company,codedsupplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP3169047,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305608,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,351.4
CU,DP4290843,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305619,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,365.72
CU,DP12394731,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305857,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,366
CU,DP12886131,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305916,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,366
CU,DP12931059,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305928,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,366
CU,DP12952119,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305935,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,368
CU,DP4442475,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305621,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,372
CU,DP11823303,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305825,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,373.96
CU,DP6624291,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305675,INDIVIDUAL SERVICE FUNDS,Revenue,1,377.16
CU,DP7382451,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305699,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,380
CU,DP467751,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305539,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,380.84
CU,DP10438959,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305779,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,382.44
CU,DP12926847,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305926,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,384
CU,DP9612003,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305757,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,384
CU,DP2086563,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305581,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,387.52
CU,DP12817335,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305901,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,388.5
CU,DP4269783,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305616,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,392.32
CU,DP5144475,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305643,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,394.92
CU,DP12213615,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305844,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,400
CU,DP12449487,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305862,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,400
CU,DP11879463,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305827,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,403.26
CU,DP3935631,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305614,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,407.64
CU,DP13037763,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305957,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,408
CU,DP8949315,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305743,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,408
CU,DP219243,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305529,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,410.48
CU,DP12901575,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305923,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,411
CU,FP3368415,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305163,PWAY SERV OTHR NEEDS,Revenue,1,411
CU,DP8149035,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305719,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,416
CU,DP2523207,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305590,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,420
CU,DP5429487,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305653,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,420
CU,DP10033203,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305767,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,421.68
CU,DP12655875,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305877,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,430
CU,DP11483535,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305812,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,432
CU,DP3652023,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305611,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,432.32
CU,FP5982663,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305496,RELATIVES AS APPROVED CARERS,Revenue,1,436.66
CU,FP6005127,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305503,RELATIVES AS APPROVED CARERS,Revenue,1,436.66
CU,FP6009339,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305506,RELATIVES AS APPROVED CARERS,Revenue,1,436.66
CU,DP13105155,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305976,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,442
CU,DP13079883,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305966,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,450
CU,DP9934923,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305764,INDIVIDUAL SERVICE FUNDS,Revenue,1,455.36
CU,DP12894555,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305921,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,456
CU,DP13006875,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305949,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,457.68
CU,DP10889643,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305791,INDIVIDUAL SERVICE FUNDS,Revenue,1,459.4
CU,DP12742923,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305887,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,464
CU,DP12998451,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305945,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,464
CU,DP2155359,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305582,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,464
CU,DP8636223,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305732,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,464
CU,DP11265915,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305803,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,480
CU,DP2872803,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305599,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,480
CU,DP12855243,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305911,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,482.48
CU,DP130791,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305525,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,486.04
CU,DP11963703,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305832,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,488
CU,DP12394731,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305857,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,488
CU,DP12886131,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305916,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,488
CU,DP12931059,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305928,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,488
CU,DP1203447,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305563,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,494.92
CU,FP5864727,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305433,SECTION 38 (6) PAYMENTS,Revenue,1,509.08
CU,DP10419303,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305777,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,517.28
CU,DP12817335,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305901,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,518
CU,DP12954927,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305936,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,520
CU,DP5859111,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305669,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,520
CU,DP4273995,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305617,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,523.2
CU,DP12825759,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305905,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,525.12
CU,DP6964059,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305686,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,533.93
CU,DP7357179,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305698,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,534.24
CU,DP11879463,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305827,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,537.68
CU,DP5538999,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305658,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,539.56
CU,DP13085499,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305970,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,540
CU,DP13103751,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305975,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,540
CU,DP4783647,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305632,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,540
CU,DP2009343,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305579,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,543.93
CU,DP11381043,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305808,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,544
CU,DP2938791,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305603,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,548.4
CU,DP2938791,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305603,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,548.4
CU,DP9836643,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305761,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,549
CU,DP7807863,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305712,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,550
CU,DP4442475,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305621,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,558
CU,DP2847531,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305598,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,558.2
CU,DP10249419,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305772,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,560
CU,DP10207299,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305769,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,561.92
CU,DP11715195,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305822,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,565.68
CU,DP5652723,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305664,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,567
CU,DP3087615,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305606,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,568
CU,DP10586379,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305781,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,569.68
CU,DP11310843,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305805,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,570.96
CU,DP12890343,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305918,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,571.5
CU,DP8848227,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305739,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,572
CU,DP10413687,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305776,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,576
CU,DP11938431,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305830,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,576
CU,DP12647451,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305876,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,576
CU,DP9061635,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305745,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,576
CU,DP1370523,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305568,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,595.52
CU,DP2346303,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305585,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,598.48
CU,DP1967223,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305575,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,600
CU,DP7355775,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305697,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,600
CU,DP13004067,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305947,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,604.2
CU,DP12997047,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305944,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,607.68
CU,FP5138859,16/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,305280,CYP PREVENT&SUPP-S17 OTH PYMT,Revenue,1,613.83
CU,DP7990383,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305714,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,630
CU,DP6401055,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305672,INDIVIDUAL SERVICE FUNDS,Revenue,1,630.92
CU,DP12365247,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305855,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,631.16
CU,DP4573047,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305628,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,632.6
CU,DP411591,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305535,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,637.4
CU,DP11020215,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305795,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,637.68
CU,DP5765043,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305668,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,640
CU,DP12599715,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305873,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,645.68
CU,DP2629911,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305592,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,645.92
CU,DP3851391,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305613,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,648.36
CU,DP10403859,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305775,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,657.08
CU,DP5429487,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305653,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,660
CU,DP12151839,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305841,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,672
CU,DP6885435,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305683,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,672
CU,DP2288739,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305584,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,706.56
CU,DP12915615,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305925,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,709.68
CU,DP10827867,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305786,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,710.6
CU,DP12203787,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305843,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,712.52
CU,DP11483535,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305812,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,720
CU,DP12143415,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305839,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,720
CU,DP13103751,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305975,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,720
CU,DP6990735,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305689,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,720
CU,DP2796987,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305597,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,724.24
CU,DP9752403,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305760,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,730.68
CU,DP12265563,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305846,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,732
CU,DP12851031,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305909,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,732
CU,DP9836643,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305761,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,732
CU,DP915627,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305558,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,743.08
CU,DP4442475,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305621,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,744
CU,DP11365599,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305807,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,751.12
CU,DP7757319,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305709,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,753.76
CU,DP12824355,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305903,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,754.5
CU,DP4462131,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305623,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,755.08
CU,DP12890343,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305918,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,762
CU,DP12024075,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305833,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,762.48
CU,DP2496531,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305589,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,763.2
CU,DP469155,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305540,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,768.72
CU,DP9529167,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305755,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,777.16
CU,DP12717651,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305882,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,785.92
CU,DP785055,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305554,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,792.8
CU,DP4014255,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305615,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,796.92
CU,DP13070055,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305961,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,815.52
CU,DP12942291,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305934,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,816
CU,DP6594807,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305673,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,825
CU,DP11685711,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305821,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,826.96
CU,DP6912111,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305684,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,828.08
CU,DP11121303,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305800,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,830.76
CU,DP7150791,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305690,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,837.28
CU,DP10458615,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305780,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,837.68
CU,DP12975987,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305941,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,837.68
CU,DP11918775,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305829,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,840
CU,DP12581463,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305872,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,840
CU,DP2472663,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305587,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,840
CU,DP11400699,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305809,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,841.28
CU,DP6964059,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305686,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,862.5
CU,DP5457567,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305655,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,869.28
CU,DP13086903,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305971,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,870.07
CU,DP136407,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305526,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,872.96
CU,DP12829971,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305906,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,881.08
CU,DP12500031,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305866,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,882
CU,DP12328743,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305851,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,887.92
CU,DP12936675,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305931,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,888.56
CU,DP11079183,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305797,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,895.08
CU,DP9356475,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305750,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,900
CU,DP12167283,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305842,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,906.72
CU,DP12080235,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305836,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,915.52
CU,DP4978803,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305638,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,919.24
CU,DP12036711,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305834,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,924
CU,DP12727479,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305884,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,935.4
CU,DP10246611,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305771,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,943.04
CU,DP12387711,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305856,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,947.08
