Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Transaction Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,12,48.50
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,13,22.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,14,12.50
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,15,288.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,16,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,08/05/2024,324898,RESOURCES  ,ASSETS & FLEET                ,CSI70778,CONTRACTUAL PAYMENTS (MAIN),Revenue,17,96.00
CU,SU71823,BELL DECORATING GROUP LIMITED,20/05/2024,334687,RESOURCES  ,ASSETS & FLEET                ,CSI70843,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"5,684.40"
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,48.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,128.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,3,26.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,4,10.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,5,12.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,6,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,7,23.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,8,88.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,9,48.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343443,RESOURCES  ,ASSETS & FLEET                ,CSI71478,CONTRACTUAL PAYMENTS (MAIN),Revenue,10,48.00
