company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP11351559,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376540,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,855.88
CU,DP13130427,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376131,INDIVIDUAL SERVICE FUNDS,Revenue,1,859.6
CU,DP9995295,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376503,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,860.56
CU,DP6401055,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375849,INDIVIDUAL SERVICE FUNDS,Revenue,1,868.76
CU,DP6401055,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375849,INDIVIDUAL SERVICE FUNDS,Revenue,2,868.76
CU,DP785055,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375734,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,869.6
CU,DP13178163,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376151,INDIVIDUAL SERVICE FUNDS,Revenue,1,880
CU,DP13178163,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376151,INDIVIDUAL SERVICE FUNDS,Revenue,2,880
CU,DP12829971,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376066,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,881.08
CU,DP12500031,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376032,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,882
CU,DP13172547,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376148,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,883.93
CU,DP11685711,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375991,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,885.6
CU,DP12328743,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376019,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,887.92
CU,DP11079183,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375965,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,895.08
CU,DP9356475,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375919,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,900
CU,DP12167283,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376012,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,906.72
CU,DP12080235,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376006,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,915.52
CU,DP13179567,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376153,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,917.83
CU,DP9005475,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376491,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,920.08
CU,DP12036711,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376004,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,924
CU,DP12727479,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376049,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,935.4
CU,DP12824355,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376063,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,937.5
CU,DP6952827,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376456,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,944.68
CU,DP5673783,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376449,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,945.12
CU,DP12387711,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376024,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,947.08
CU,DP10309791,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375938,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,951
CU,DP5968623,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375847,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,956.48
CU,DP136407,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375709,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,956.6
CU,DP4947915,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375813,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,958.8
CU,DP12785043,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376057,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,960
CU,DP10090767,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376508,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,962.2
CU,DP2201691,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375762,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,965.28
CU,DP10858755,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375953,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,966
CU,DP10437555,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375943,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,976
CU,DP8573043,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376476,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,979.24
CU,DP11816283,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375994,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,999.98
CU,DP1901235,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375754,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,000.00"
