Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
The Environment,Waste Management,Supplies and Services,External Printing,20/02/29,VI-131796,575,Revenue,Cross Media Print and Digital
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132154,2503.2,Revenue,Crown Paints Ltd
Community Health,Port Health Authority,Supplies and Services,Consultants,08/02/29,VI-131102,639.75,Revenue,Crystolutions Ltd
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,26/02/29,VI-131590,3096.68,Revenue,Daisy Communications Ltd
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,20/02/29,VI-131501,1752,Revenue,Darren's Drains
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,01/03/29,VI-132323,10350,Capital,Dell Corporation Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,05/02/29,VI-130670,9042,Capital,Demstrip Services Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,26/02/29,VI-132041,329.25,Revenue,De Sudor
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,05/02/29,VI-130799,6138.18,Capital,S W Dewell
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,06/02/29,VI-130801,5036.27,Capital,S W Dewell
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/02/29,VI-131531,4374.3,Capital,S W Dewell
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-131918,5827.26,Revenue,S W Dewell
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131077,483.84,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131058,1174.1,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131055,2188.42,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-130952,500,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/02/29,VI-131535,1874.53,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/02/29,VI-131587,1025.63,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/02/29,VI-131561,1247.84,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/02/29,VI-131560,1370.75,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-132165,1774.13,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-132166,1301.75,Revenue,DG Accessible Designs
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,13/02/29,VI-131511,1980,Revenue,Digger Boats Ltd
Excluded,Holding Accounts,Supplies and Services,Grants & Contributions,08/02/29,VI-131072,30000,Revenue,Digital Resilience UK
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131340,792,Revenue,Disclosure & Barring Service
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Health and Safety,15/02/29,VI-131617,260,Revenue,DMA Health & Safety Limited
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,11/02/29,VI-131012,312.5,Revenue,DTA Ecology Ltd
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,11/02/29,VI-131013,312.5,Revenue,DTA Ecology Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Other Ext Provided Services,11/02/29,VI-130974,910,Revenue,Durrants Holiday Cottages
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Other Indirect Transport Costs,11/02/29,VI-130998,401,Revenue,DVSA
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,06/02/29,VI-130902,295,Revenue,Dyno Plumbing
Leader of the Council,Legal,Supplies and Services,Legal Fees,12/02/29,VI-131017,650,Revenue,EA Law
Leader of the Council,Legal,Supplies and Services,Legal Fees,12/02/29,VI-131315,500,Revenue,EA Law
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,20/02/29,VI-131239,1965.76,Revenue,East Coast Scaffolding Ltd
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131416,1500,Revenue,East of England Co-operative Society
Economic Development and Transport,Economic Development,Supplies and Services,Other Ext Provided Services,12/02/29,VI-130776,1040,Revenue,East of England Local Government Association
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,13/02/29,VI-130774,34557.34,Revenue,East Suffolk Water Management Board
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,22/02/29,VI-130805,35773.16,Revenue,East Suffolk Water Management Board
Planning and Coastal Management,Coastal Management,Supplies and Services,Other Ext Provided Services,01/03/29,VI-130773,7480.79,Revenue,East Suffolk Water Management Board
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,26/02/29,VI-132080,632.5,Revenue,East Suffolk Properties Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,13/02/29,VI-131323,20149,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,13/02/29,VI-130749,19046,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,26/02/29,VI-131694,21010,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,26/02/29,VI-132014,20635,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,01/03/29,VI-132362,20291,Revenue,Easton Apartments Ltd
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Refuse Collection,05/02/29,VI-130817,1581.58,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,12/02/29,VI-131313,299,Revenue,East Suffolk Services Limited
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131327,870,Revenue,East Suffolk Services Limited
Corporate Services,Public Conveniences,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131329,1778,Revenue,East Suffolk Services Limited
Corporate Services,Public Conveniences,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131330,2540,Revenue,East Suffolk Services Limited
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131331,442.5,Capital,East Suffolk Services Limited
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,13/02/29,VI-129229,3536.72,Capital,East Suffolk Services Limited
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,13/02/29,VI-130659,2088,Revenue,East Suffolk Services Limited
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,13/02/29,VI-131302,455.4,Revenue,East Suffolk Services Limited
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,15/02/29,VI-129230,904.8,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Other Cleaning Services,22/02/29,VI-131976,858,Revenue,East Suffolk Services Limited
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Refuse Collection,26/02/29,VI-129900,2548,Revenue,East Suffolk Services Limited
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Grounds Maintenance - Other,26/02/29,VI-131757,3500,Revenue,East Suffolk Services Limited
Financial Resources and Value for Money,Recharge Accounts,Third Party Payments,Other Local Authorities Third Party,01/03/29,VI-132136,1634167,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,26/02/29,VI-132052,10055.22,Capital,East Rising Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130869,880,Revenue,East Coast Removals Ltd
Energy and Climate Change,Environmental Climate Change,Supplies and Services,Grants & Contributions,12/02/29,VI-131433,1310,Revenue,Ecotherapy East
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,01/03/29,VI-132379,84052.31,Revenue,EDF Energy Networks Ltd
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,20/02/29,VI-131642,3090,Capital,E E Bartlett Ltd
Housing Revenue Account,HRA Special Services,Premises Expenses,Building Services  VOID Maintenance,22/02/29,VI-131965,950,Revenue,E Gas and Electricity Ltd
Leader of the Council,Electoral Services,Supplies and Services,Postages,05/02/29,VI-130836,6651.04,Revenue,Civica Election Services
Leader of the Council,Electoral Services,Supplies and Services,Postages,05/02/29,VI-130837,6204.6,Revenue,Civica Election Services
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,11/02/29,VI-130949,264,Revenue,Elmhurst Energy Systems limited
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,12/02/29,VI-130630,1637.5,Revenue,Elsom Spettigue Associates Limited
Financial Resources and Value for Money,Heads of Service,Supplies and Services,Conference Fees,11/02/29,VI-130931,327.5,Revenue,Emap Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/02/29,VI-131532,291.4,Revenue,Enable Access Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,05/02/29,VI-130828,814.41,Revenue,Envirovent Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,05/02/29,VI-130829,791.94,Revenue,Envirovent Ltd
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,12/02/29,VI-131361,1213,Revenue,Environmental Protection Strategies Ltd (EPS Ltd)
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,20/02/29,VI-130954,14370,Revenue,Environmental Protection Strategies Ltd (EPS Ltd)
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,22/02/29,VI-131876,3940,Revenue,Eras Limited
Corporate Services,Assets and Property Services,Supplies and Services,Corporate Subscriptions,26/02/29,VI-132089,525,Revenue,Essential Information Group
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,01/03/29,VI-132293,36045,Revenue,Essex County Council
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,20/02/29,VI-130868,3685.35,Revenue,Essex & Suffolk Water
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,22/02/29,VI-131690,420,Revenue,Essex Chambers of Commerce & Industry Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,20/02/29,VI-131781,916,Revenue,ETT Photography
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,01/03/29,VI-131961,3714.08,Revenue,EVAD Think Unfied Ltd
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,08/02/29,VI-129465,390,Revenue,Exemplifire Limited
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,20/02/29,VI-131792,416.44,Revenue,Exemplifire Limited
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,20/02/29,VI-131793,552.05,Revenue,Exemplifire Limited
Planning and Coastal Management,Building Control,Supplies and Services,Stationery,11/02/29,VI-131015,448,Revenue,Expedia
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,General Purchases,21/02/29,VI-129686,2537.5,Revenue,Fargro Ltd
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,01/03/29,VI-132338,5000,Revenue,FaulknerBrowns LLP
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131045,3112,Revenue,Felgains Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-132040,6594.15,Revenue,Felgains Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,11/02/29,VI-131083,1455,Revenue,Felgains
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,06/02/29,VI-130117,4950,Revenue,Fenn Wright
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,08/02/29,VI-130863,2953.2,Revenue,FERA
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,13/02/29,VI-131545,892.8,Revenue,FERA
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,26/02/29,VI-131936,371.48,Revenue,Flagship Housing Group Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,26/02/29,VI-132074,306,Revenue,Flagship Housing Group Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,01/03/29,VI-132268,584.58,Revenue,Flagship Housing Group Ltd
Economic Development and Transport,Parking Services,Premises Expenses,Rents Payable,22/02/29,VI-131877,918.27,Revenue,Framlingham Town Council
Corporate Services,Cemeteries,Supplies and Services,Consultants,08/02/29,VI-131273,463.75,Revenue,H Fraser Consulting Ltd
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131393,365,Capital,Fully Loaded Removals
The Environment,Environmental Protection,Employee Expenses,Contract Staff,05/02/29,VI-130666,1092,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,05/02/29,VI-130665,270,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,20/02/29,VI-130800,4000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,20/02/29,VI-131533,2000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,20/02/29,VI-131864,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,20/02/29,VI-131865,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,20/02/29,VI-131866,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,20/02/29,VI-131867,1560,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,22/02/29,VI-131868,1391,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,27/02/29,VI-131765,2000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Financial Resources and Value for Money,Financial Services,Supplies and Services,Other Ext Provided Services,08/02/29,VI-129300,484.92,Revenue,G4S Cash Services (UK) Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131517,587.31,Revenue,G4S Cash Services (UK) Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,05/02/29,VI-129847,350,Revenue,Game Anglia CIC
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,13/02/29,VI-132043,46867.43,Revenue,Gasway Services Limited
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,19/02/29,VI-132772,54395.58,Capital,Gasway Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Electrical Heating,01/03/29,VI-132255,12213.6,Revenue,Gasway Services
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,27/02/29,VI-132025,699.95,Revenue,Gemini Data Loggers (UK) Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,01/03/29,VI-131895,869,Revenue,Gisleham Parish Council
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/02/29,VI-131534,11157.94,Revenue,Gould Adaptations Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/02/29,VI-131562,7409.79,Revenue,Gould Adaptations Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/02/29,VI-131559,8159.2,Revenue,Gould Adaptations Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,22/02/29,VI-131889,2250,Revenue,Gough Square Chambers
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,08/02/29,VI-129843,360,Revenue,GP Planning Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/02/29,VI-131090,5557.4,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132082,4161.11,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132129,1541.58,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132144,8779.58,Revenue,Graham
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,22/02/29,VI-131923,1500,Revenue,Grapevine Computing
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Grants & Contributions,13/02/29,VI-131392,18360.69,Revenue,Great Yarmouth Borough Council
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/02/29,VI-131054,15176.52,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/02/29,VI-131586,6104.96,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131946,510,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131905,252,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-132162,10560.28,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-132164,7730.67,Revenue,Greenfuture Solutions
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,15/02/29,VI-131294,13488.56,Revenue,Greyfriars Project Management
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,05/02/29,VI-130790,901.5,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,05/02/29,VI-130784,855.38,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,05/02/29,VI-130789,1644.65,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,05/02/29,VI-130826,775.5,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,12/02/29,VI-130385,572.7,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,12/02/29,VI-130787,649.06,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,12/02/29,VI-131349,855.38,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,12/02/29,VI-131354,901.5,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,12/02/29,VI-131357,1008,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,12/02/29,VI-131375,775.5,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,12/02/29,VI-131388,542.7,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,12/02/29,VI-130788,572.7,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/02/29,VI-131352,366.45,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/02/29,VI-131350,625.6,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/02/29,VI-130786,418.8,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/02/29,VI-130785,531.76,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/02/29,VI-130371,703.8,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,20/02/29,VI-131738,901.5,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,20/02/29,VI-131740,551.25,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,20/02/29,VI-131742,855.38,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,20/02/29,VI-131743,349,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,20/02/29,VI-131739,625.6,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,20/02/29,VI-131356,1451.78,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,22/02/29,VI-131939,354.96,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,22/02/29,VI-131977,775.5,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,26/02/29,VI-130700,1146.08,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,26/02/29,VI-132064,775.5,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,26/02/29,VI-132066,599.8,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,26/02/29,VI-132071,877.46,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,26/02/29,VI-129903,572.7,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,26/02/29,VI-132067,692.01,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,26/02/29,VI-132076,591.6,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,26/02/29,VI-132138,542.7,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,27/02/29,VI-132069,1644.65,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,27/02/29,VI-131744,1644.65,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,01/03/29,VI-130373,739.74,Revenue,Hales Group Limited
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,08/02/29,VI-129090,6888,Revenue,Hamson Barron Smith
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,05/02/29,VI-130818,6379.5,Capital,Harrison Group Environmental Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-128999,600,Capital,Harrison Group Environmental Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,01/03/29,VI-132269,54012.56,Capital,Harte Demolition Ltd
Economic Development and Transport,Felixstowe Vision Development,Supplies and Services,Consultants,15/02/29,VI-131565,10413.84,Revenue,HAT Projects Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,26/02/29,VI-131383,902.5,Revenue,HAT Projects Ltd
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Rents Payable,01/03/29,VI-132247,2606.63,Revenue,Havebury Housing Partnership
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Rents Payable,01/03/29,VI-132248,2555.02,Revenue,Havebury Housing Partnership
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,05/02/29,VI-130591,6595,Revenue,Heatlink Services Ltd
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,12/02/29,VI-131384,9660,Revenue,Heatlink Services Ltd
Corporate Services,Human Resources,Employee Expenses,Medical Fees,15/02/29,VI-129778,710,Revenue,Optima Health
Corporate Services,Human Resources,Employee Expenses,Medical Fees,20/02/29,VI-131788,2262.5,Revenue,Heales Health Services Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-131274,4428.57,Capital,Hem Des LLP
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Planned Maintenance,05/02/29,VI-130632,84878.97,Revenue,Henderson & Taylor Public Work Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Consultants,12/02/29,VI-131414,3240,Revenue,Hickton Quality Control
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Consultants,20/02/29,VI-130953,2655,Revenue,Hickton Quality Control
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,05/02/29,VI-130573,300,Revenue,Highfield ABC
Leader of the Council,Legal,Supplies and Services,Legal Fees,18/02/29,VI-131403,365,Revenue,Her Majesty's Court and Tribunal Service
Leader of the Council,Legal,Supplies and Services,Legal Fees,25/02/29,VI-132360,925,Revenue,Her Majesty's Court and Tribunal Service
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,20/02/29,VI-131625,880100.04,Revenue,HM Revenue & Customs
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,20/02/29,VI-131573,10196.62,Revenue,HM Revenue & Customs
Leader of the Council,Electoral Services,Employee Expenses,Other Direct Salary Costs,18/02/29,VI-132047,4149.46,Revenue,HM Revenue & Customs
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,12/02/29,VI-131306,3395,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,12/02/29,VI-131307,1090,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/02/29,VI-131611,2120,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/02/29,VI-131610,3120,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,01/03/29,VI-132333,2935,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,01/03/29,VI-132345,1770,Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,27/02/29,VI-130592,1650,Revenue,Housing Reviews Centre Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,05/02/29,VI-128878,297.6,Revenue,Houghton and Son Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,27/02/29,VI-132021,1769.25,Revenue,Houghton and Son Ltd
