Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Technical Training,17/09/2024,VI-121846,"1,600.00",Revenue,Chartered Institute of Public Finance & Accountanc,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Architect Fees,04/09/2024,VI-121432,"10,250.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Architect Fees,06/09/2024,VI-121428,500.00,Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,06/09/2024,VI-121433,"7,330.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,10/09/2024,VI-121825,"1,200.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,10/09/2024,VI-121873,"3,000.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,18/09/2024,VI-121431,"10,000.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,17/09/2024,VI-121391,455.81,Revenue,Chubb Fire & Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/09/2024,VI-119632,"3,829.28",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/09/2024,VI-121582,"2,624.26",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/09/2024,VI-122305,"5,512.29",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,27/09/2024,VI-122825,"6,032.67",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,03/09/2024,VI-120011,"21,500.00",Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Software Maintenance,03/09/2024,VI-109959,"8,145.44",Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Software Maintenance,25/09/2024,VC-003734,"-8,145.44",Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Software Maintenance,25/09/2024,VI-122466,"10,850.00",Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Purchases,27/09/2024,VI-122795,750.00,Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,03/09/2024,VI-120772,"1,505.99",Revenue,Claranet Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,24/09/2024,VI-122500,"1,551.17",Revenue,Claranet Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/09/2024,VI-121776,439.49,Revenue,Cleveland Joinery,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,27/09/2024,VI-122823,"8,270.00",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Other Ext Provided Services,10/09/2024,VI-121244,325.00,Revenue,CNC Building Control,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,13/09/2024,VI-117407,440.00,Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,13/09/2024,VI-115829,442.00,Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,18/09/2024,VI-122022,452.00,Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,24/09/2024,VI-118012,"4,837.27",Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Bank Fees,24/09/2024,VI-122279,"7,677.61",Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,06/09/2024,VI-121550,"3,000.00",Revenue,Colliers International Property Advisors UK,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Surveyor Fees,13/09/2024,VI-121994,"3,950.00",Revenue,Colliers International Property Advisors UK,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Rents Payable,13/09/2024,VI-122025,"1,125.00",Revenue,Colliers International-Common Clients,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,10/09/2024,VI-121748,390.00,Revenue,Collins Skip Hire,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,10/09/2024,VI-121874,520.00,Revenue,Columbus Plumbing and Heating Services Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,11/09/2024,VI-121992,510.00,Revenue,Colneis Division Centenary HQ,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,11/09/2024,VI-121978,"1,152.50",Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,13/09/2024,VI-122019,397.50,Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,10/09/2024,VI-121755,"1,021.98",Revenue,Complete Care Shop,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,04/09/2024,VI-121467,"16,275.23",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,17/09/2024,VC-003732,"-16,275.23",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,17/09/2024,VI-121984,310.50,Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,17/09/2024,VI-122098,"16,430.30",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,17/09/2024,VI-122108,"12,764.81",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Alarm Servicing,10/09/2024,VC-003330,"-42,062.50",Revenue,Concertus Design & Property Consultants Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Alarm Servicing,10/09/2024,VI-109932,"27,687.40",Revenue,Concertus Design & Property Consultants Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Alarm Servicing,10/09/2024,VI-112807,"13,775.47",Revenue,Concertus Design & Property Consultants Limited,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-121847,"3,500.00",Capital,Concertus Design & Property Consultants Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,27/09/2024,VI-122717,"15,000.00",Revenue,The Conservation Volunteers (TCV),,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122205,"5,500.00",Revenue,Cookley & Walpole Parish Council,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,06/09/2024,VI-121666,"1,800.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,04/09/2024,VI-121471,"7,600.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,17/09/2024,VI-122372,"2,500.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,16/09/2024,VI-099679,"9,939.75",Revenue,CF Corporate Finance Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Insurance Premiums,10/09/2024,VI-121443,"1,475.38",Revenue,Coverdrone,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,18/09/2024,VI-122444,"2,032.55",Revenue,CPRAS,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,13/09/2024,VI-122051,"2,570.69",Capital,Cripps Developements Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Legal Fees,03/09/2024,VI-121864,"10,744.80",Revenue,Cripps LLP,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,External Printing,18/09/2024,VI-122421,444.51,Revenue,Cross Media Print and Digital,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,10/09/2024,VI-121749,612.00,Revenue,Currys,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,13/09/2024,VI-122046,"3,384.84",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,17/09/2024,VI-122327,425.00,Revenue,Darren's Drains,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,17/09/2024,VI-121625,625.00,Revenue,Darren's Drains,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,17/09/2024,VI-122424,"1,724.70",Revenue,Data Stox Limited,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Software Maintenance,13/09/2024,VI-122179,"4,830.90",Revenue,Democracy Counts Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,27/09/2024,VI-122798,"5,000.00",Revenue,Istanbul Barber,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,27/09/2024,VI-122845,"30,000.00",Revenue,Dennington Jubilee Hall,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122206,"5,587.50",Revenue,Dennington Parish Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Supplies and Services,S106 REFCUS,24/09/2024,VI-122565,"3,930.46",Revenue,Dennington Sports and Social Club,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Enabling,Grants and contributions,Other Service Area Government Grants,01/09/2024,VI-119441,"806,734.00",Revenue,"Department for Levelling Up, Housing & Community",,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/09/2024,VI-121364,"4,669.95",Revenue,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/09/2024,VI-121358,"1,239.23",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/09/2024,VI-121360,"1,337.63",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/09/2024,VI-121622,"1,137.02",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/09/2024,VI-122300,"1,081.72",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/09/2024,VI-122485,"1,078.01",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,25/09/2024,VI-122619,"1,178.14",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/09/2024,VI-122815,"1,838.39",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/09/2024,VI-122785,503.00,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Employee Expenses,HR Corporate Training,27/09/2024,VI-122797,250.00,Revenue,Disability Advice Service (East Suffolk),,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,24/09/2024,VI-122634,463.01,Revenue,Disability Advice North East Suffolk,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/09/2024,VI-122266,"2,662.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122207,"8,165.50",Revenue,Earl Soham Parish Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,03/09/2024,VI-121171,489.67,Revenue,East Anglian Road Markings,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,03/09/2024,VI-121172,"4,247.82",Revenue,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,27/09/2024,VI-122645,460.80,Revenue,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,06/09/2024,VI-119962,"29,236.46",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,06/09/2024,VI-121424,"26,676.41",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122208,"5,253.99",Revenue,Easton Parish Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Grants & Contributions,18/09/2024,VI-122447,550.00,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,11/09/2024,VI-121259,"19,380.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,11/09/2024,VI-121261,"18,685.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Third Party Payments,Other Local Authorities Third Party,04/09/2024,VI-121339,"1,634,167.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-121913,"5,420.33",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,17/09/2024,VI-121995,"12,240.00",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,24/09/2024,VI-121835,796.95,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Building Services - Responsive Maintenance,24/09/2024,VI-117710,796.95,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Building Services - Responsive Maintenance,24/09/2024,VI-119648,341.55,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Building Services - Responsive Maintenance,24/09/2024,VI-121670,341.55,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Premises Expenses,Electricity,03/09/2024,VI-121388,"138,981.86",Revenue,EDF Energy Networks Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,02/09/2024,VI-121447,761.16,Revenue,EE Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,External Printing,24/09/2024,VI-122498,"1,522.15",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,24/09/2024,VI-122734,"3,465.97",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,General Purchases,17/09/2024,VI-121940,"1,050.00",Revenue,EMAP Publishing Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Electricity,10/09/2024,VI-121931,"1,585.00",Revenue,Energy Controls Group Limited,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Transport Expenses,Vehicle Hire,10/09/2024,VI-120528,390.09,Revenue,Enterprise Rent-a-car UK Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Transport Expenses,Vehicle Hire,10/09/2024,VI-120529,260.75,Revenue,Enterprise Rent-a-car UK Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Consultants,06/09/2024,VI-121076,"3,000.00",Revenue,Environmental Protection Strategies Ltd (EPS Ltd),,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,06/09/2024,VI-121541,"1,208.50",Revenue,The Environment Partnership (TEP) Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Purchases,03/09/2024,VI-120042,695.00,Revenue,Equisys Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,30/09/2024,VI-122588,"3,201.95",Revenue,EVAD Think Unfied Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,10/09/2024,VI-121394,380.00,Revenue,Eventbrite,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,10/09/2024,VI-121398,285.00,Revenue,Eventbrite,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,25/09/2024,VI-122597,508.00,Revenue,Driving Sales Ltd T/AS Event Caddie,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,06/09/2024,VI-120091,513.80,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Building Services - Planned Maintenance,10/09/2024,VI-120084,295.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Building Services - Planned Maintenance,10/09/2024,VI-120088,295.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,24/09/2024,VI-122477,295.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,24/09/2024,VI-122478,"1,172.11",Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122209,"6,015.00",Revenue,Eyke Parish Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,10/09/2024,VI-121581,639.76,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,10/09/2024,VI-121586,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,10/09/2024,VI-121587,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,10/09/2024,VI-121643,300.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122210,"332,363.50",Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,04/09/2024,VI-121438,"2,000.00",Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,06/09/2024,VI-121661,"3,974.40",Revenue,FERA,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,03/09/2024,VI-121189,"14,193.00",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,03/09/2024,VI-121406,454.70,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,04/09/2024,VI-121444,252.62,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,11/09/2024,VI-121837,"1,495.00",Revenue,Flexiform Business Furniture Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Machine Repair & Maintenance,13/09/2024,VI-121475,326.00,Revenue,Flowbird Smart City UK Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,27/09/2024,VI-122750,535.50,Revenue,Football Fun Factory,,,,,,,,,,,,,,,
Leader of the Council,Growth Programme Partnership,Supplies and Services,Grants & Contributions,06/09/2024,VI-121374,"62,377.00",Revenue,Food Museum,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122211,"93,073.00",Revenue,Framlingham Town Council,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Supplies and Services,Consultants,10/09/2024,VI-121534,"3,000.00",Revenue,H Fraser Consulting Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122212,"5,010.25",Revenue,Friston Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Other Ext Provided Services,24/09/2024,VI-122041,538.81,Revenue,G4S Cash Services (UK) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,19/09/2024,VI-122512,"47,430.26",Revenue,Gasway Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,19/09/2024,VI-122548,"64,979.02",Capital,Gasway Services Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Medical Fees,10/09/2024,VI-121530,850.00,Revenue,Genius Within CIC,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,27/09/2024,VI-122904,"1,589.50",Capital,Gipping Construction Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,06/09/2024,VI-121299,600.00,Revenue,G K Consulting,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,27/09/2024,VI-122790,600.00,Revenue,G K Consulting,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,06/09/2024,VI-121585,454.12,Revenue,Godfreys IT Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/09/2024,VI-122483,"6,398.87",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,25/09/2024,VI-122618,"6,994.89",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,24/09/2024,VI-122605,"2,537.50",Revenue,GP Planning Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/09/2024,VI-119221,"3,426.44",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/09/2024,VI-122029,"5,957.79",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,25/09/2024,VI-122467,"8,024.39",Revenue,Graham,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/09/2024,VI-121357,"7,358.52",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/09/2024,VI-121362,"7,962.04",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,06/09/2024,VI-121600,856.80,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,13/09/2024,VI-122060,266.40,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,24/09/2024,VI-122702,264.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,24/09/2024,VI-122710,252.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,24/09/2024,VI-122713,396.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Basic Pay,10/09/2024,VI-121912,"2,680.00",Revenue,Greenacre Recruitment Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Basic Pay,17/09/2024,VI-122425,"3,350.00",Revenue,Greenacre Recruitment Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Basic Pay,27/09/2024,VI-122789,"3,350.00",Revenue,Greenacre Recruitment Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,General Purchases,24/09/2024,VI-122564,295.00,Revenue,Greyhound Creative,,,,,,,,,,,,,,,
