Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128414,"1,431.88",Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128412,"1,203.31",Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128571,979.08,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/12/2024,VI-128753,"1,047.02",Revenue,DG Accessible Designs
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,10/12/2024,VI-127427,"13,640.00",Revenue,Digger Boats Ltd
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,10/12/2024,VI-127428,"6,100.00",Revenue,Digger Boats Ltd
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,11/12/2024,VI-127580,"3,440.00",Revenue,Digger Boats Ltd
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,18/12/2024,VI-127916,860.00,Revenue,Digger Boats Ltd
Community Health,Port Health Authority,Employee Expenses,Qualification Training,10/12/2024,VI-127443,"1,990.00",Revenue,Direct Training Associates Ltd
Community Health,Port Health Authority,Employee Expenses,Qualification Training,10/12/2024,VI-127444,700.00,Revenue,Direct Training Associates Ltd
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-127512,722.00,Revenue,Disclosure & Barring Service
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,18/12/2024,VI-126345,"2,300.00",Revenue,DJE Construction Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,10/12/2024,VI-126961,"1,920.00",Revenue,DMD Installations Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-126944,"5,605.00",Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/12/2024,VI-127542,"5,834.00",Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128408,"5,342.00",Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128474,"3,079.00",Revenue,Dolphin Stairlifts (East Anglia) Limited
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-126710,"1,800.00",Revenue,East of England Co-operative Society
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-127245,"1,800.00",Revenue,East of England Co-operative Society
Economic Development and Transport,Economic Development,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127248,390.00,Revenue,East of England Local Government Association
Planning and Coastal Management,Coastal Management,Supplies and Services,Other Ext Provided Services,17/12/2024,VI-124543,"8,066.40",Revenue,East Suffolk Water Management Board
Planning and Coastal Management,Coastal Management,Supplies and Services,Other Ext Provided Services,17/12/2024,VI-126093,"17,880.66",Revenue,East Suffolk Water Management Board
Planning and Coastal Management,Coastal Management,Supplies and Services,Other Ext Provided Services,17/12/2024,VI-127807,"11,119.50",Revenue,East Suffolk Water Management Board
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,20/12/2024,VI-128037,632.50,Revenue,East Suffolk Properties Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,03/12/2024,VI-126562,"14,085.00",Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,11/12/2024,VI-127514,"13,940.00",Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,11/12/2024,VI-127515,"16,420.00",Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,17/12/2024,VI-127699,"15,655.00",Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,27/12/2024,VI-128014,"16,440.00",Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,27/12/2024,VI-128318,"15,255.00",Revenue,Easton Apartments Ltd
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Planned Maintenance,03/12/2024,VI-126778,"5,216.52",Revenue,East Suffolk Services Limited
Corporate Services,Admin Buildings,Supplies and Services,Machine Repair & Maintenance,03/12/2024,VI-126779,"9,946.44",Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,06/12/2024,VI-127083,324.09,Capital,East Suffolk Services Limited
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,10/12/2024,VI-127089,377.00,Revenue,East Suffolk Services Limited
Corporate Services,Public Conveniences,Premises Expenses,Contract Cleaning,11/12/2024,VI-125920,"3,820.80",Revenue,East Suffolk Services Limited
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-126777,"7,140.40",Revenue,East Suffolk Services Limited
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,11/12/2024,VI-127197,569.25,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,11/12/2024,VI-127431,275.00,Capital,East Suffolk Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,13/12/2024,VI-126584,788.80,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,13/12/2024,VI-126586,"5,220.00",Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/12/2024,VI-127066,"1,221.48",Revenue,East Suffolk Services Limited
Economic Development and Transport,Economic Regeneration,Premises Expenses,Building Services - Responsive Maintenance,17/12/2024,VI-115532,796.95,Revenue,East Suffolk Services Limited
Corporate Services,Public Conveniences,Supplies and Services,Other Ext Provided Services,17/12/2024,VI-127662,"3,534.56",Revenue,East Suffolk Services Limited
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,17/12/2024,VI-127672,567.89,Revenue,East Suffolk Services Limited
Financial Resources and Value for Money,Recharge Accounts,Third Party Payments,Other Local Authorities Third Party,20/12/2024,VI-128225,"1,634,167.00",Revenue,East Suffolk Services Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,24/12/2024,VI-128126,"1,092.00",Revenue,East Suffolk Services Limited
Corporate Services,Miscellaneous Land,Premises Expenses,Grounds Maintenance - Other,24/12/2024,VI-128708,"6,500.00",Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-128403,"3,792.43",Capital,East Rising Ltd
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,27/12/2024,VI-128684,"46,453.57",Capital,East Rising Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,24/12/2024,VI-128428,300.00,Revenue,East Anglian Storytelling Festival
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,02/12/2024,VI-126705,749.99,Revenue,EE Ltd
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,31/12/2024,VI-128865,775.12,Revenue,EE Ltd
Leader of the Council,Electoral Services,Supplies and Services,Postages,20/12/2024,VI-128345,"19,977.54",Revenue,Civica Election Services
Leader of the Council,Electoral Services,Supplies and Services,Postages,20/12/2024,VI-128346,"39,104.93",Revenue,Civica Election Services
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-128166,284.00,Capital,Enable Access Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/12/2024,VI-128761,"4,953.95",Revenue,Enable Access Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,24/12/2024,VI-128713,"4,115.52",Revenue,Enhance CC Ltd
Planning and Coastal Management,Planning,Supplies and Services,Consultants,06/12/2024,VI-126929,"1,858.50",Revenue,The Environment Partnership (TEP) Limited
Planning and Coastal Management,Planning,Supplies and Services,Consultants,27/12/2024,VI-128760,"4,348.65",Revenue,The Environment Partnership (TEP) Limited
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Audit Fees,03/12/2024,VI-126755,"106,348.50",Revenue,Ernst & Young LLP
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,13/12/2024,VI-127546,"3,787.40",Revenue,Essex & Suffolk Water
Community Health,Corporate Health and Safety,Employee Expenses,Technical Training,10/12/2024,VI-127474,345.00,Revenue,Euro Business Information Services
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,31/12/2024,VI-128344,"3,310.53",Revenue,EVAD Think Unfied Ltd
Corporate Services,Admin Buildings,Premises Expenses,Building Services - Responsive Maintenance,20/12/2024,VI-127961,650.00,Revenue,Exemplifire Limited
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,20/12/2024,VI-128174,"9,800.00",Revenue,Farlingaye High School
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,20/12/2024,VI-128232,420.00,Revenue,Feilden & Mawson
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-127033,"2,334.00",Revenue,Felgains Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-127166,"13,686.00",Revenue,Felgains Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,18/12/2024,VI-127873,"1,030.00",Revenue,Felixstowe Opportunity Group
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,03/12/2024,VI-126753,"10,611.80",Revenue,FERA
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,03/12/2024,VI-126754,"1,490.40",Revenue,FERA
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,20/12/2024,VI-128098,"5,464.80",Revenue,FERA
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,04/12/2024,VI-126924,259.74,Revenue,Flagship Housing Group Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,18/12/2024,VI-127897,267.57,Revenue,Flagship Housing Group Ltd
Economic Development and Transport,Parking Services,Supplies and Services,Software Maintenance,06/12/2024,VI-126913,"5,760.00",Revenue,Flowbird Smart City UK Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,24/12/2024,VI-128445,"4,925.00",Revenue,Focus Organic Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-127168,"2,838.49",Revenue,John Ford Group Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,10/12/2024,VI-127362,"3,000.00",Revenue,Framlingham Town Council
Economic Development and Transport,Parking Services,Premises Expenses,Rents Payable,10/12/2024,VI-126815,"1,798.61",Revenue,Framlingham Town Council
Leader of the Council,Legal,Supplies and Services,Legal Fees,13/12/2024,VI-127598,"2,000.00",Revenue,Francis Taylor Building
Corporate Services,Cemeteries,Supplies and Services,Consultants,27/12/2024,VI-128759,851.25,Revenue,H Fraser Consulting Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,18/12/2024,VI-127613,250.00,Revenue,Framlingham Sir Robert Hitchams CEVAP School
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,18/12/2024,VI-125963,"14,397.60",Revenue,David Friend Heating Services
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,13/12/2024,VI-126591,280.00,Revenue,Froggy Hire
Financial Resources and Value for Money,Financial Services,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-125519,592.70,Revenue,G4S Cash Services (UK) Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Other Ext Provided Services,24/12/2024,VI-127412,538.81,Revenue,G4S Cash Services (UK) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,10/12/2024,VI-127590,"47,824.21",Revenue,Gasway Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,10/12/2024,VI-127589,"47,824.21",Revenue,Gasway Services Limited
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/12/2024,VI-129007,"73,401.25",Capital,Gasway Services Limited
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,27/12/2024,VI-128743,"1,000.00",Revenue,Genius Within CIC
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,03/12/2024,VI-126344,"6,100.00",Revenue,S J Geomatics Limited
"Communities, Culture, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,03/12/2024,VI-126424,"1,689.00",Capital,Gipping Construction Ltd
"Communities, Culture, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,10/12/2024,VI-126425,"62,343.54",Capital,Gipping Construction Ltd
Corporate Services,ICT,Supplies and Services,Software Maintenance,24/12/2024,VI-127940,"1,848.33",Revenue,GoCardless Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128569,"5,809.98",Revenue,Gould Adaptations Ltd
Community Health,Food and Safety,Grants and contributions,Vatable Contributions Local Authorities,04/12/2024,VI-125677,500.00,Revenue,Gough Square Chambers
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,24/12/2024,VI-127912,765.00,Revenue,GP Planning Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Oil Heating,10/12/2024,VC-003875,-311.94,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-127050,303.24,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-127249,"13,629.26",Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-127273,"10,481.99",Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/12/2024,VC-003897,"-1,112.61",Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/12/2024,VI-128416,"13,813.22",Revenue,Graham
Financial Resources and Value for Money,Financial Services,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-126760,"24,825.00",Revenue,Grant Thornton UK LLP
Economic Development and Transport,Economic Development,Supplies and Services,External Printing,27/12/2024,VI-128723,"1,634.88",Revenue,Great Yarmouth Borough Council
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/12/2024,VI-127540,"4,161.50",Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/12/2024,VI-127852,"1,567.68",Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127854,936.00,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127855,624.00,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127856,270.00,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127857,426.00,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127592,"1,218.00",Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127858,594.00,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127859,578.40,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,20/12/2024,VI-128411,"7,162.59",Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/12/2024,VI-128727,"5,646.31",Revenue,Greenfuture Solutions
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,10/12/2024,VI-127408,"1,797.00",Revenue,Greyfriars Project Management
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Consultants,17/12/2024,VI-127409,"1,826.00",Revenue,Greyfriars Project Management
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,20/12/2024,VI-127435,"26,344.00",Revenue,Groundwork East
Planning and Coastal Management,Planning,Supplies and Services,CIL REFCUS,20/12/2024,VI-128068,"12,328.34",Revenue,Grove Medical Centre
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,10/12/2024,VI-127413,"1,000.00",Revenue,Grundisburgh & Culpho PC
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,13/12/2024,VI-127721,309.00,Revenue,Gunton Residents Association
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,13/12/2024,VI-127661,"3,000.00",Revenue,Hainstone Group Ltd
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,03/12/2024,VI-126767,"1,816.48",Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,03/12/2024,VI-126769,442.50,Revenue,Hales Group Limited
Financial Resources and Value for Money,Procurement,Employee Expenses,Contract Staff,04/12/2024,VI-126775,898.73,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,04/12/2024,VI-126768,639.66,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,06/12/2024,VI-127214,591.84,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,10/12/2024,VI-127369,685.35,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,10/12/2024,VI-127370,383.90,Revenue,Hales Group Limited
Financial Resources and Value for Money,Procurement,Employee Expenses,Contract Staff,10/12/2024,VI-127373,898.73,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,10/12/2024,VI-127383,775.50,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,10/12/2024,VI-127433,443.88,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,10/12/2024,VI-127068,775.50,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,10/12/2024,VI-127437,"1,190.06",Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/12/2024,VI-126773,346.50,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/12/2024,VI-125530,819.00,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/12/2024,VI-125136,"1,417.50",Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,17/12/2024,VI-126772,"1,556.26",Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,17/12/2024,VI-127372,535.50,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,18/12/2024,VI-127213,"1,307.18",Revenue,Hales Group Limited
Financial Resources and Value for Money,Procurement,Employee Expenses,Contract Staff,18/12/2024,VI-127886,898.73,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,18/12/2024,VI-127887,685.35,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,18/12/2024,VI-127889,775.50,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,18/12/2024,VI-127890,349.00,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,20/12/2024,VI-127892,378.00,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,24/12/2024,VI-128495,503.10,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,24/12/2024,VI-128513,434.16,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,24/12/2024,VI-128558,775.50,Revenue,Hales Group Limited
Financial Resources and Value for Money,Procurement,Employee Expenses,Contract Staff,24/12/2024,VI-128499,898.73,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,27/12/2024,VI-127888,"1,599.01",Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,27/12/2024,VI-128493,"2,137.95",Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,27/12/2024,VI-128494,456.90,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,27/12/2024,VI-128496,677.70,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,27/12/2024,VI-128497,572.70,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,27/12/2024,VI-128801,775.50,Revenue,Hales Group Limited
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,06/12/2024,VI-126916,"6,888.00",Revenue,Hamson Barron Smith
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,13/12/2024,VI-127240,395.00,Capital,Happy Drains Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,06/12/2024,VI-127021,"3,353.50",Capital,Harrison Group Environmental Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-128591,"109,553.13",Capital,Harte Demolition Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VC-003886,"-39,484.77",Capital,Harte Demolition Ltd
Economic Development and Transport,Felixstowe Vision Development,Supplies and Services,Consultants,24/12/2024,VI-127808,"10,240.51",Revenue,HAT Projects Ltd
Planning and Coastal Management,Planning,Supplies and Services,Consultants,03/12/2024,VI-126781,"1,800.00",Revenue,Haydens Arboricultural
Planning and Coastal Management,Planning,Supplies and Services,Consultants,24/12/2024,VI-128709,"1,575.00",Revenue,Haydens Arboricultural
Corporate Services,Human Resources,Supplies and Services,Miscellaneous Other Services,10/12/2024,VI-126871,525.00,Revenue,Haymarket Media Group Management
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,04/12/2024,VI-126750,250.00,Revenue,Heatlink Services Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,06/12/2024,VI-127200,"4,428.57",Capital,Hem Des LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,24/12/2024,VI-127904,391.00,Revenue,Her Majesty's Court and Tribunal Service
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/12/2024,VI-128009,800.00,Revenue,"Hollesley,Boyton and Shingle Street"
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,03/12/2024,VI-126338,"3,087.00",Capital,Hollins
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128405,"1,500.00",Revenue,Clare Holmes
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,20/12/2024,VI-128012,"11,931.01",Revenue,Home Adapt Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,20/12/2024,VI-128235,"5,299.55",Revenue,Home Adapt Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,20/12/2024,VI-128407,"5,179.14",Revenue,Home Adapt Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128573,588.84,Revenue,Home Adapt Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128568,"3,348.00",Revenue,Home Adapt Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,10/12/2024,VI-127227,"2,835.00",Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,13/12/2024,VI-127628,"2,965.00",Revenue,Hotel NR19 Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,20/12/2024,VI-128322,"2,580.00",Revenue,Hotel NR19 Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,20/12/2024,VI-126931,"3,683.30",Revenue,Houghton and Son Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,20/12/2024,VI-126932,"3,947.48",Revenue,Houghton and Son Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,20/12/2024,VI-127689,"3,269.80",Revenue,Houghton and Son Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Corporate Subscriptions,27/12/2024,VI-128710,"2,725.00",Revenue,HQN Limited
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,04/12/2024,VI-126884,504.36,Revenue,Hudson Group Ltd
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,27/12/2024,VI-128780,"1,150.00",Revenue,Icarus Collective Ltd
Economic Development and Transport,Economic Funding,Supplies and Services,Corporate Subscriptions,06/12/2024,VI-126744,"6,400.00",Revenue,IDOX Software Ltd
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-127225,"3,588.33",Revenue,Igenix Ltd T/A Animal Warden Services
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-125523,"3,721.23",Revenue,Igenix Ltd T/A Animal Warden Services
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,04/12/2024,VI-126343,"3,961.80",Revenue,Ikon Training
Leader of the Council,Democratic Services,Supplies and Services,Other Civic Expenses,10/12/2024,VI-126921,806.00,Revenue,Inform Printed Solutions T/A Totally Branded
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-127568,919.70,Capital,Insight Direct (UK) Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-128003,499.80,Capital,Insight Direct (UK) Ltd
The Environment,Environmental Protection,Supplies and Services,Hardware Purchases,24/12/2024,VI-128595,"1,107.56",Revenue,Insight Direct (UK) Ltd
