Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/10/2024,VI-123783,449.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/10/2024,VI-123784,406.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,18/10/2024,VI-123785,796.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/10/2024,VI-124120,561.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,22/10/2024,VI-124272,458.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/10/2024,VI-124270,540.84,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/10/2024,VI-124267,265.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/10/2024,VI-124262,326.20,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/10/2024,VI-124258,283.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,22/10/2024,VI-124254,302.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124605,739.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124607,597.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124608,363.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124613,402.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124614,320.30,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124615,378.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124618,449.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124626,948.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,04/10/2024,VI-122388,623.60,Revenue,The Bridge Marketing Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124383,"4,529.98",Revenue,Brightwell Foxhall & Purdis Farm Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,08/10/2024,VI-123214,582.36,Revenue,British Gas,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,08/10/2024,VI-123213,"1,491.19",Revenue,British Gas,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,08/10/2024,VI-123215,559.22,Revenue,British Gas,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,08/10/2024,VI-123216,521.61,Revenue,British Gas,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,08/10/2024,VI-123217,496.25,Revenue,British Gas,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,08/10/2024,VI-123218,519.52,Revenue,British Gas,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,08/10/2024,VI-123220,535.88,Revenue,British Gas,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Electricity,18/10/2024,VI-124030,497.34,Revenue,British Gas - Business,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Electricity,18/10/2024,VI-124031,566.48,Revenue,British Gas - Business,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,29/10/2024,VI-124350,499.82,Revenue,British Gas - Business,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,04/10/2024,VI-123273,"10,500.00",Revenue,Bristow Holland Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,08/10/2024,VI-123399,"4,500.00",Revenue,Britten as a Boy Statue,,,,,,,,,,,,,,,
