Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,08/10/2024,VI-123520,"1,560.00",Revenue,Sancus Security Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/10/2024,VI-122414,750.00,Revenue,Saxmundham Judo Club,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,01/10/2024,VI-122894,"3,026.21",Revenue,SC Plumbing Services,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,04/10/2024,VI-123158,"1,555.07",Revenue,SC Plumbing Services,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/10/2024,VI-123632,"4,585.40",Revenue,SC Plumbing Services,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-124252,"1,517.32",Revenue,SC Plumbing Services,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,29/10/2024,VI-124789,"4,988.00",Revenue,SC Plumbing Services,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,22/10/2024,VI-124333,"4,315.00",Revenue,Screenprint and Display Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,30/10/2024,VI-124831,"2,250.00",Revenue,The Seagull Lowestoft CIC,,,,,,,,,,,,,,,
Community Health,Food and Safety,Employee Expenses,Technical Training,29/10/2024,VI-124710,400.00,Revenue,Sea Fish Industry Authority,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,04/10/2024,VI-123054,"1,676.55",Revenue,Secon Cyber Security Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,15/10/2024,VI-123846,"16,100.00",Revenue,Secon Cyber Security Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-122994,"394,667.75",Capital,SEH French Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Microfilming/Photocopying/Scanning,11/10/2024,VI-123932,283.82,Revenue,Sharp Business Systems UK PLC,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Microfilming/Photocopying/Scanning,15/10/2024,VI-123939,271.85,Revenue,Sharp Business Systems UK PLC,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,01/10/2024,VI-122085,505.00,Revenue,Shelter Training,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Employee Expenses,Relocation Expenses,08/10/2024,VI-123185,"9,852.94",Revenue,Showcase PSR Portsdown Limited ,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Legal Fees,15/10/2024,VI-124329,"3,000.00",Revenue,Shoosmiths,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,11/10/2024,VI-124553,321.98,Revenue,Siemens Financial Services,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,11/10/2024,VI-123918,"4,026.00",Revenue,S J Soar Roofing Ltd,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,04/10/2024,VI-123305,"5,400.00",Revenue,SLM Community Leisure Charitable Trust,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,08/10/2024,VI-123595,"2,549.98",Revenue,SLM Community Leisure Charitable Trust,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,25/10/2024,VI-124503,"2,250.00",Revenue,SLR Consulting Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,25/10/2024,VI-124501,"1,822.77",Revenue,SLR Consulting Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,01/10/2024,VI-122948,367.77,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,01/10/2024,VI-122953,470.70,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,01/10/2024,VI-122956,991.40,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,01/10/2024,VI-122960,258.93,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,01/10/2024,VI-122961,"1,232.10",Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/10/2024,VI-123789,438.95,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/10/2024,VI-123759,729.85,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/10/2024,VI-124237,492.30,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,29/10/2024,VI-124732,320.70,Revenue,Smith Brothers Timber (East Anglia) Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Direct Salary Costs,11/10/2024,VI-123871,623.10,Revenue,Pluxee UK Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,04/10/2024,VI-122784,"80,032.05",Revenue,Boxxe Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,15/10/2024,VI-123942,"2,375.00",Revenue,Solon Security Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,CIL REFCUS,23/10/2024,VI-124419,"23,000.00",Revenue,Southwold Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124387,"3,352.21",Revenue,Southwold Town Council,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,10/10/2024,VI-123794,850.00,Revenue,Specsavers,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,04/10/2024,VI-122575,"3,017.00",Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,15/10/2024,VI-123964,376.05,Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,15/10/2024,VI-123956,288.28,Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,15/10/2024,VI-123963,"1,649.81",Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Public Shelters,Premises Expenses,Building Services - Planned Maintenance,16/10/2024,VI-122581,"5,983.79",Revenue,P J Spillings (Builders) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,08/10/2024,VI-122574,848.28,Revenue,Splice Creative Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,15/10/2024,VI-123986,"3,720.00",Revenue,Splice Creative Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,10/10/2024,VI-123631,"1,530.00",Revenue,Splashtop,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Holding Account - Cash Out,Capital Expenditure,22/10/2024,VI-124427,800.00,Capital,The Sports Consultancy Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Premises Expenses,Electricity,25/10/2024,VI-124453,481.00,Revenue,Sports and Leisure Management Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Legal Fees,08/10/2024,VI-122928,750.00,Revenue,Sprake and Kingsley,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,29/10/2024,VI-124747,"1,080.00",Revenue,St Andrews Church,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,08/10/2024,VI-123529,"2,451.00",Revenue,Standard Life,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,11/10/2024,VI-123813,"2,451.00",Revenue,Standard Life,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,04/10/2024,VI-122752,"1,600.00",Capital,Steria Consulting Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Surveyor Fees,29/10/2024,VI-124664,450.00,Revenue,Steria Consulting Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,29/10/2024,VI-124785,"4,950.00",Capital,Steria Consulting Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Supplies and Services,Other Ext Provided Services,01/10/2024,VI-122010,949.16,Revenue,Storetec Services Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Supplies and Services,Other Ext Provided Services,16/10/2024,VI-123938,"2,827.73",Revenue,Storetec Services Limited,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Supplies and Services,Miscellaneous Other Services,22/10/2024,VI-124312,"1,950.00",Revenue,Nick Stolerman & Associates Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,General Purchases,15/10/2024,VI-124093,287.00,Revenue,Suffolk Agricultural Association,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,15/10/2024,VI-124145,"30,333.33",Revenue,The Suffolk Coast Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,01/10/2024,VI-122727,"1,853.88",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Recruitment Advertising,04/10/2024,VI-122749,"1,687.50",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Other Ext Provided Services,04/10/2024,VI-122432,"3,905.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Recruitment Advertising,04/10/2024,VI-122495,832.50,Revenue,Suffolk County Council,,,,,,,,,,,,,,,
The Environment,Street Scene,Premises Expenses,Building Services - Responsive Maintenance,04/10/2024,VI-123174,"4,550.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Electricity,08/10/2024,VI-123173,"122,216.49",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
The Environment,Street Scene,Premises Expenses,Building Services - Responsive Maintenance,08/10/2024,VI-123175,"3,400.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Holding Account - Cash In,Grant,11/10/2024,VI-123720,"14,025.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,11/10/2024,VI-122607,"4,012.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Recruitment Advertising,15/10/2024,VI-124114,"3,518.50",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,18/10/2024,VI-121662,500.00,Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124280,"14,025.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,29/10/2024,VI-124632,"40,000.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,15/10/2024,VI-112563,"11,916,172.00",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,21/10/2024,VI-112549,"2,807,186.34",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,01/10/2024,VI-122983,"914,661.71",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Employee Expenses,Redundancy/Compensation,15/10/2024,VI-123182,"29,267.59",Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Grants & Contributions,10/10/2024,VI-123698,430.00,Revenue,Suffolk County Council,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123539,520.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123540,520.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123541,520.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123542,840.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VC-003782,-480.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123544,480.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VC-003781,-480.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123545,480.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123550,520.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123551,520.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123552,520.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123553,910.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,11/10/2024,VI-123957,480.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,17/10/2024,VI-123554,520.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,17/10/2024,VI-123546,480.00,Revenue,Suffolk Libraries IPS Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Supplies and Services,Miscellaneous Other Services,25/10/2024,VI-124536,"1,000.00",Revenue,Suffolk Mind,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,15/10/2024,VI-112537,"2,090,245.00",Revenue,Suffolk Police & Crime Commissioner,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,09/10/2024,VI-123738,850.00,Revenue,Suffolk Market Events Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Premises Expenses,Refuse Collection,29/10/2024,VI-122452,"3,000.00",Revenue,Suffolk Pharma Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,Consultants,18/10/2024,VI-124293,"1,508.50",Revenue,SWT Trading Limited,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,22/10/2024,VI-124294,"1,316.00",Capital,SWT Trading Limited,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,25/10/2024,VI-124418,"2,375.50",Capital,SWT Trading Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,18/10/2024,VI-124249,"2,882.00",Revenue,360 Systems Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,"HRA Drainage, Pumping Stat etc",29/10/2024,VI-124768,"8,150.00",Revenue,T4 Survey Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-124253,"4,882.31",Revenue,T A K Building Maintenance Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/10/2024,VI-124833,"3,225.98",Revenue,T A K Building Maintenance Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Other Ext Provided Services,15/10/2024,VI-121997,"3,800.00",Revenue,The TAS Partnership Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,30/10/2024,VI-124814,441.09,Revenue,Taylor Properties Trading Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,11/10/2024,VI-123808,625.00,Revenue,Taylor Properties (Clients account),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,11/10/2024,VI-123804,500.00,Revenue,Taylor Properties (Clients account),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,15/10/2024,VI-123629,500.00,Revenue,Taylor Properties (Clients account),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,15/10/2024,VI-124134,625.00,Revenue,Taylor Properties (Clients account),,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Other Ext Provided Services,22/10/2024,VI-124345,648.00,Revenue,Teletrac Navman UK,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124469,"1,646.60",Revenue,The Offshoot Foundation,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124470,"1,792.80",Revenue,The Offshoot Foundation,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124471,"1,435.80",Revenue,The Offshoot Foundation,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Stationery,22/10/2024,VI-124323,"1,062.00",Revenue,Thomas Stoner Supplies Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,11/10/2024,VI-123649,524.30,Revenue,Tick Solutions Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Medical Fees,15/10/2024,VI-123806,350.00,Revenue,Tide Medical Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Medical Fees,15/10/2024,VI-123837,350.00,Revenue,Tide Medical Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,08/10/2024,VI-123633,"9,138.14",Revenue,Titans Security Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,08/10/2024,VI-123634,"1,001.52",Revenue,Titans Security Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,18/10/2024,VI-124285,325.00,Revenue,T M O Traffic Highways Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,25/10/2024,VI-124551,"2,040.00",Revenue,T M O Traffic Highways Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,11/10/2024,VI-123652,498.00,Capital,TM Services Audio Visual Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Hardware Maintenance,11/10/2024,VI-123651,"9,750.00",Revenue,TM Services Audio Visual Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,10/10/2024,VI-123673,333.50,Revenue,Total Merchandise,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Other Office Expenses,25/10/2024,VI-124517,702.00,Revenue,Tower Leasing Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/10/2024,VI-123874,266.23,Revenue,Travis Perkins,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,22/10/2024,VI-124332,973.07,Revenue,Travis Perkins,,,,,,,,,,,,,,,
Corporate Services,ICT,Employee Expenses,Technical Training,04/10/2024,VI-123102,849.00,Revenue,Training Byte Size Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124388,"17,773.37",Revenue,Trimley St Martin PC,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124389,"10,236.47",Revenue,Trimley St Mary Parish Council,,,,,,,,,,,,,,,
Excluded,Bank Accounts,Current Liabilities,Creditors - Unallocated,29/10/2024,VI-124630,"1,258.00",Revenue,Trowers & Hamlins,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,15/10/2024,VI-123857,"7,652.47",Revenue,Tusker,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Lifts,15/10/2024,VI-124085,"1,560.00",Revenue,Ray Tuttle Lift Services Limited,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124390,"4,593.62",Revenue,Ufford Parish Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Premises Expenses,Rents Payable,24/10/2024,VC-003803,"-2,302.08",Revenue,Ufford Park Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Premises Expenses,Rents Payable,22/10/2024,VI-124452,"2,302.08",Revenue,Ufford Park Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,04/10/2024,VI-122729,"16,124.00",Revenue,UK Health Security Agency,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Miscellaneous Other Services,10/10/2024,VI-123737,"1,239.00",Revenue,UK VIsas & Immigration,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,01/10/2024,VI-122990,"1,303.60",Revenue,Unison Eastern Region,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,11/10/2024,VI-123929,"4,500.00",Revenue,Useful Simple Group Ltd T/A Expedition,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,08/10/2024,VI-123403,"17,450.40",Revenue,Richard Utting LLP,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,08/10/2024,VI-123292,"39,023.74",Revenue,Vertas Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Transport Expenses,Vehicle Hire,09/10/2024,VI-123608,450.00,Revenue,Vertas Group Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,General Purchases,15/10/2024,VI-122551,331.41,Revenue,Vertas Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/10/2024,VI-124050,"1,120.00",Revenue,Vinyl Installation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/10/2024,VI-124116,366.00,Revenue,Vinyl Installation Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Marketing & Promotions,22/10/2024,VI-124335,660.00,Revenue,Vinyl Installation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,08/10/2024,VI-123526,"7,712.21",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Employee Expenses,Contract Staff,08/10/2024,VI-123528,"3,267.54",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,11/10/2024,VI-123838,"1,141.57",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,11/10/2024,VI-123527,"6,000.00",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,15/10/2024,VI-123576,"8,195.83",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/10/2024,VI-124082,"4,176.00",Revenue,Vivid Resourcing,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124391,"2,956.81",Revenue,Walberswick Parish Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/10/2024,VI-124534,524.00,Revenue,Waldringfield Parish Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/10/2024,VI-122969,"8,097.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/10/2024,VI-122976,"5,507.50",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/10/2024,VI-122997,"16,838.00",Revenue,Warmpro Insulation Specialists Ltd,,,,,,,,,,,,,,,
