Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,23/08/2024,VI-119894,"20,700.00",Revenue,Certa Partnership Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,09/08/2024,VI-120038,500.00,Revenue,O A Chapman and Son,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,23/08/2024,VI-120865,250.00,Revenue,Charsfield Parish Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Employee Expenses,Officer Professional Subscriptions,09/08/2024,VI-119199,347.00,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Employee Expenses,Officer Professional Subscriptions,16/08/2024,VI-120462,347.00,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Employee Expenses,Officer Professional Subscriptions,21/08/2024,VI-120180,268.00,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Employee Expenses,Officer Professional Subscriptions,28/08/2024,VI-120983,250.00,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Stationery,09/08/2024,VI-119809,255.00,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Officer Professional Subscriptions,06/08/2024,VI-119200,262.00,Revenue,Chartered Institute of Housing,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Officer Professional Subscriptions,09/08/2024,VI-116743,262.00,Revenue,Chartered Institute of Housing,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Technical Training,21/08/2024,VI-118833,"1,970.00",Revenue,Chartered Institute of,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,06/08/2024,VI-119599,"5,000.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,06/08/2024,VI-119600,775.00,Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Architect Fees,06/08/2024,VI-119601,"12,175.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,07/08/2024,VI-119608,"4,000.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,13/08/2024,VI-119971,"8,494.35",Revenue,Chase Services Group Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,General Purchases,16/08/2024,VI-120485,"3,053.13",Revenue,"Church of England Soldiers, Sailors and Airmen's",,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,14/08/2024,VI-120297,"21,000.00",Revenue,S C Churchyard & Sons,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/08/2024,VC-003662,-274.95,Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/08/2024,VI-119385,325.72,Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/08/2024,VI-119634,"6,092.67",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,09/08/2024,VI-119575,"1,782.41",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,09/08/2024,VI-119924,"11,324.57",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,09/08/2024,VI-119927,"8,839.17",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/08/2024,VI-120129,"9,278.35",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/08/2024,VI-120199,"7,589.43",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,23/08/2024,VI-120853,"3,899.35",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,28/08/2024,VI-120970,"2,085.50",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,28/08/2024,VC-003719,-298.55,Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,30/08/2024,VI-121218,"8,299.59",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,16/08/2024,VI-120301,"220,000.00",Revenue,Citizens Advice East Suffolk,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Other Ext Provided Services,01/08/2024,VC-001817,-398.26,Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,06/08/2024,VI-118489,"1,505.99",Revenue,Claranet Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/08/2024,VI-120233,673.65,Revenue,Cleveland Joinery,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,07/08/2024,VI-119223,"3,500.00",Capital,Clear Consulting and Design Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,09/08/2024,VI-119099,"13,710.00",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,09/08/2024,VI-119375,"11,715.00",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,30/08/2024,VI-121153,495.00,Revenue,CMC Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,16/08/2024,VC-003703,"-1,106.00",Revenue,Coastal Accessible Transport Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,16/08/2024,VI-120491,"7,559.19",Revenue,Coastal Accessible Transport Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,06/08/2024,VI-119478,"1,424.00",Revenue,Coastline Carpets,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,09/08/2024,VI-119942,446.00,Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,13/08/2024,VI-120143,"5,818.35",Revenue,Park Now Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,09/08/2024,VI-119619,300.00,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,23/08/2024,VI-118396,491.28,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,23/08/2024,VI-120669,513.47,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,13/08/2024,VI-117852,"2,937.50",Revenue,Columbus Plumbing and Heating Services Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,09/08/2024,VI-119956,250.00,Revenue,Commodore Mission,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,16/08/2024,VI-120547,740.00,Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,06/08/2024,VI-119642,"15,052.08",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,14/08/2024,VI-120130,"19,580.00",Capital,Contact Electrical (Norwich) Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,14/08/2024,VI-120131,"1,300.00",Capital,Contact Electrical (Norwich) Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,13/08/2024,VI-120212,"5,328.00",Revenue,Connecting Spaces,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,06/08/2024,VI-119211,"12,000.00",Revenue,Connected Places Catapult,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Licence Fees,09/08/2024,VI-119966,"4,480.34",Revenue,The Copyright Licensing Agency Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Welfare Adaptations,14/08/2024,VI-120312,"1,000.00",Revenue,Copper Leaf Therapy Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,23/08/2024,VI-120868,"1,048.49",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/08/2024,VI-120389,"1,500.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,06/08/2024,VI-119389,"1,500.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,20/08/2024,VI-120619,"3,000.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/08/2024,VI-120385,"10,000.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,09/08/2024,VI-119746,250.00,Revenue,Corton Methodist Church,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,30/08/2024,VI-121239,"1,957.34",Revenue,CPRAS,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,23/08/2024,VI-120618,"4,039.57",Revenue,Create Consulting Engineers Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,External Printing,09/08/2024,VI-119657,586.08,Revenue,Cross Media Print and Digital,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,28/08/2024,VI-121079,"8,622.96",Revenue,Crown Paints Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,09/08/2024,VI-119662,"1,085.00",Revenue,Crystolutions Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,General Purchases,30/08/2024,VI-121154,480.00,Revenue,CycleRecycleuk Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/08/2024,VI-121043,"5,000.00",Revenue,CYDS Young People Taking Action,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,09/08/2024,VI-119955,"4,367.03",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,20/08/2024,VI-120558,975.00,Revenue,Darren's Drains,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,20/08/2024,VI-117147,"4,596.00",Revenue,Darren's Drains,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Supplies and Services,S106 REFCUS,14/08/2024,VI-120391,"38,701.13",Revenue,Darsham Village Hall,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/08/2024,VI-120671,"1,310.00",Revenue,Dare to Dip CIC,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Purchases,20/08/2024,VI-120030,474.90,Revenue,Datatank,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,13/08/2024,VI-119622,"1,680.00",Revenue,Data Protection People Limited ,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,28/08/2024,VI-120957,800.00,Revenue,Day & Knight Property,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,09/08/2024,VI-120046,712.60,Capital,Dell Corporation Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Software Maintenance,23/08/2024,VI-120804,995.00,Revenue,Democracy Counts Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,23/08/2024,VI-119231,"22,177.75",Revenue,Democracy Counts Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,16/08/2024,VI-120506,"1,500.00",Revenue,Dennington Sports and Social Club,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,09/08/2024,VI-119904,395.00,Revenue,Derby City Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/08/2024,VI-119994,"1,347.17",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/08/2024,VI-119996,"1,278.36",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/08/2024,VI-120004,935.27,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/08/2024,VI-120049,"1,027.40",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/08/2024,VI-120157,"1,616.42",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/08/2024,VI-120178,345.46,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/08/2024,VI-120398,"1,029.31",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/08/2024,VI-120405,"1,314.29",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/08/2024,VI-120409,"1,750.75",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/08/2024,VI-120444,"1,189.84",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/08/2024,VI-120415,"1,203.91",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/08/2024,VI-120443,"1,281.98",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/08/2024,VI-120453,"1,844.24",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,20/08/2024,VI-120655,"4,000.00",Revenue,Digger Boats Ltd,,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,23/08/2024,VI-119938,722.00,Revenue,Disclosure & Barring Service,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,09/08/2024,VI-119714,500.00,Revenue,Disclosure and Barring Service,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,09/08/2024,VI-119712,400.00,Revenue,Disclosure and Barring Service,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,09/08/2024,VI-119716,500.00,Revenue,Disclosure and Barring Service,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,13/08/2024,VI-120009,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,13/08/2024,VI-120010,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,23/08/2024,VI-120951,"1,824.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Technical Training,07/08/2024,VI-119596,650.00,Revenue,DMA Health & Safety Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,07/08/2024,VI-119715,"2,721.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/08/2024,VI-120408,"2,221.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,28/08/2024,VI-121011,"6,492.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,16/08/2024,VI-120507,"24,187.50",Revenue,Draganfly Motorcycles Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,14/08/2024,VI-119804,"4,333.33",Capital,Drives 4 U Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,14/08/2024,VI-119806,633.33,Capital,Drives 4 U Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,14/08/2024,VI-119914,"1,300.00",Revenue,Drives 4 U Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/08/2024,VI-120627,"2,600.00",Revenue,Earthwake CIC,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,06/08/2024,VC-003676,"-23,439.00",Capital,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,06/08/2024,VI-119483,"24,717.00",Capital,East Anglian Road Markings,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,13/08/2024,VI-119431,"20,797.36",Revenue,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Health and Safety,20/08/2024,VI-119623,"2,328.48",Revenue,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Health and Safety,20/08/2024,VI-119624,"5,376.23",Revenue,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,23/08/2024,VI-118185,730.17,Capital,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,16/08/2024,VI-120490,"2,457.20",Capital,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,21/08/2024,VI-120135,"1,502.00",Revenue,East of England Co-operative Society,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,21/08/2024,VI-120137,"1,580.00",Revenue,East of England Co-operative Society,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,14/08/2024,VI-120440,648.22,Revenue,easyHotel,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,09/08/2024,VI-119968,250.00,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,13/08/2024,VI-119823,632.50,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/08/2024,VI-121028,632.50,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/08/2024,VI-118787,"17,470.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/08/2024,VI-118789,"18,495.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/08/2024,VI-119222,"16,380.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/08/2024,VI-120377,"20,085.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,28/08/2024,VI-120774,"4,692.00",Revenue,Easy Mobility Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,06/08/2024,VI-114345,"3,387.20",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,06/08/2024,VI-114346,"3,155.20",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Third Party Payments,Other Local Authorities Third Party,06/08/2024,VI-119331,"1,634,167.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,06/08/2024,VI-119519,"1,045.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Third Party Payments,Other Local Authorities Third Party,09/08/2024,VI-118180,"407,361.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Refuse Collection,09/08/2024,VI-119109,"2,093.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Equipment Hire,09/08/2024,VI-119906,"6,527.69",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Grants & Contributions,09/08/2024,VI-119907,256.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,13/08/2024,VI-120276,"5,317.44",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,14/08/2024,VI-120283,"4,478.50",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Other Cleaning Services,14/08/2024,VI-120284,900.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Refuse Collection,23/08/2024,VI-119160,"3,445.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,23/08/2024,VI-119650,569.25,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,28/08/2024,VI-121061,"3,016.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,28/08/2024,VI-121058,715.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,30/08/2024,VI-121019,"6,069.65",Capital,East Rising Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,20/08/2024,VI-120607,"30,751.46",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,20/08/2024,VI-120608,"6,947.07",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,20/08/2024,VI-120609,"27,270.70",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,20/08/2024,VI-120610,"6,561.68",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,23/08/2024,VI-120817,"3,587.89",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,23/08/2024,VI-120818,326.00,Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,23/08/2024,VI-120819,"2,858.09",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,23/08/2024,VI-120820,484.25,Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,23/08/2024,VI-120821,608.24,Revenue,Civica Election Services,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Grants & Contributions,06/08/2024,VI-112699,318.00,Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Purchases,23/08/2024,VI-119394,"2,700.00",Revenue,Equisys Limited,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Interview Expenses,13/08/2024,VI-119940,"3,200.00",Revenue,Eras Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Supplies and Services,Audit Fees,30/08/2024,VI-121099,"27,000.00",Revenue,Ernst & Young LLP,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,06/08/2024,VI-119193,984.00,Revenue,ESPO,,,,,,,,,,,,,,,
