Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Legal Fees,18/03/2025,VI-133672,"1,126.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,21/03/2025,VI-134064,"4,003.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,25/03/2025,VI-134161,"3,196.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,18/03/2025,VI-133801,"4,900.00",Revenue,Black Shuck Festival,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Consultants,07/03/2025,VI-132714,595.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Consultants,07/03/2025,VI-132843,660.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,General Purchases,14/03/2025,VI-133685,740.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/03/2025,VI-133437,"5,762.60",Revenue,Blue Sail Consulting Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/03/2025,VI-134257,"1,014.32",Revenue,Bottomline,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Hotel Accommodation,28/03/2025,VI-134389,"3,750.00",Revenue,Bournemouth Convention Bureau Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,04/03/2025,VI-132579,295.00,Revenue,Dyno-Rod T/A P Bowyer Associates Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,04/03/2025,VI-132570,475.00,Revenue,Dyno-Rod T/A P Bowyer Associates Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,21/03/2025,VI-133793,295.00,Revenue,Dyno-Rod T/A P Bowyer Associates Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,25/03/2025,VI-134193,355.00,Revenue,Dyno-Rod T/A P Bowyer Associates Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,25/03/2025,VI-134245,580.00,Revenue,Dyno-Rod T/A P Bowyer Associates Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,28/03/2025,VI-134447,335.00,Revenue,Dyno-Rod T/A P Bowyer Associates Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134371,610.00,Revenue,Bramfield & Thorington PC,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,07/03/2025,VI-132841,"8,978.16",Revenue,Breckland Council,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Third Party Payments,Other Local Authorities Third Party,25/03/2025,VI-134159,"6,189.00",Revenue,Breckland Council,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Third Party Payments,Other Local Authorities Third Party,25/03/2025,VI-134160,"3,595.00",Revenue,Breckland Council,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/03/2025,VI-133747,339.25,Revenue,C Brewer and Son,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,04/03/2025,VI-131220,445.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,04/03/2025,VI-131665,320.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132031,471.70,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132032,470.86,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132035,326.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132258,689.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132262,445.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132265,320.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,11/03/2025,VI-132822,514.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,11/03/2025,VI-132823,424.30,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-132894,449.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-132895,674.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-132896,360.30,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-132566,353.80,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,26/03/2025,VI-132893,316.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,28/03/2025,VI-133074,363.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-133412,404.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-133479,293.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-133481,255.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,28/03/2025,VI-133794,597.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-133795,283.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,28/03/2025,VI-133810,451.50,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-134140,283.50,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,28/03/2025,VI-134149,855.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,07/03/2025,VI-132195,425.50,Revenue,The Bridge Marketing Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,14/03/2025,VI-132740,729.13,Revenue,The Bridge Marketing Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Electricity,14/03/2025,VI-133523,449.97,Revenue,British Gas - Business,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Electricity,18/03/2025,VI-133524,656.36,Revenue,British Gas - Business,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Corporate Subscriptions,28/03/2025,VI-134181,"18,245.00",Revenue,British Parking Association,,,,,,,,,,,,,,,,,,
