Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/03/2025,VI-133451,866.78,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,25/03/2025,VI-133453,"1,644.65",Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/03/2025,VI-133779,855.38,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,25/03/2025,VI-133784,"1,623.22",Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,25/03/2025,VI-134182,775.50,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/03/2025,VI-134183,531.76,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/03/2025,VI-134184,349.00,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,25/03/2025,VI-134185,721.20,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,25/03/2025,VI-134189,855.38,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,28/03/2025,VI-132065,594.32,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,28/03/2025,VI-134187,486.80,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,28/03/2025,VI-134188,548.84,Revenue,Hales Group Limited,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,26/03/2025,VI-134047,"4,699.00",Revenue,Halesworth Town Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,21/03/2025,VI-134022,"4,000.00",Revenue,Halesworth Tennis Club,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,11/03/2025,VI-130980,"6,888.00",Revenue,Hamson Barron Smith,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,14/03/2025,VI-132720,"6,888.00",Revenue,Hamson Barron Smith,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134493,"2,500.00",Revenue,Hamilton MAS,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,12/03/2025,VI-132844,"1,641.00",Capital,Harrison Group Environmental Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,14/03/2025,VI-133590,910.00,Revenue,Hartismere School,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Felixstowe Vision Development,Supplies and Services,Consultants,18/03/2025,VI-133805,"7,000.33",Revenue,HAT Projects Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Rents Payable,12/03/2025,VI-133403,"3,179.50",Revenue,Havebury Housing Partnership,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,04/03/2025,VI-132253,"1,125.00",Revenue,Haydens Arboricultural,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,14/03/2025,VI-133546,"2,700.00",Revenue,Haydens Arboricultural,,,,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,28/03/2025,VI-134345,684.40,Revenue,Haydens Arboricultural,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,25/03/2025,VI-134066,"2,015.00",Revenue,Heatlink Services Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Building Services - Planned Maintenance,28/03/2025,VI-134355,"4,295.00",Revenue,Heatlink Services Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,19/03/2025,VI-133887,"3,390.50",Revenue,Heales Health Services Ltd,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,General Purchases,07/03/2025,VI-132918,292.20,Revenue,The Helping Hand Company,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133624,"4,428.57",Capital,Hem Des LLP,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Consultants,18/03/2025,VI-133550,"1,858.00",Revenue,Hickton Quality Control,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,General Purchases,14/03/2025,VI-133548,"2,545.84",Revenue,High Lodge Leisure Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,28/03/2025,VI-134448,"4,679.88",Revenue,Hi-Spec Facilities Services Ltd,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,17/03/2025,VI-134077,484.00,Revenue,Her Majesty's Court and Tribunal Service,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,04/03/2025,VI-132596,387.86,Revenue,HMCTS,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,26/03/2025,VI-134303,389.10,Revenue,HMCTS,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,14/03/2025,VI-133427,"907,156.16",Revenue,HM Revenue & Customs,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,07/03/2025,VI-132779,"9,924.04",Revenue,HM Revenue & Customs,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134496,360.00,Revenue,"Hollesley,Boyton and Shingle Street",,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134501,"1,273.00",Revenue,Hollesley Village Hall,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133322,"5,423.85",Revenue,Home Adapt Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133334,"5,030.82",Revenue,Home Adapt Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,28/03/2025,VI-134366,"1,437.89",Revenue,Home Adapt Ltd,,,,,,,,,,,,,,,,,,
Energy and Climate Change,Environmental Climate Change,Supplies and Services,Hospitality,28/03/2025,VI-132554,452.00,Revenue,Honey and Harvey,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,04/03/2025,VI-132518,"3,030.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,04/03/2025,VI-132517,"1,960.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,11/03/2025,VI-132827,"1,785.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,11/03/2025,VI-132829,"2,510.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,18/03/2025,VI-133513,"3,590.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,19/03/2025,VI-133515,960.00,Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,25/03/2025,VI-134057,"4,040.00",Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,25/03/2025,VI-134058,550.00,Revenue,Hotel NR19 Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,11/03/2025,VI-123307,660.00,Revenue,Housing Reviews Centre Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134407,"5,100.00",Revenue,Housing Reviews Centre Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134312,"3,600.00",Revenue,Hour Community,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,26/03/2025,VI-134316,"2,000.00",Revenue,Hour Community,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,26/03/2025,VI-134315,"2,588.96",Revenue,Hour Community,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,07/03/2025,VI-132329,552.00,Capital,Houghton and Son Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,21/03/2025,VI-132904,"2,241.90",Revenue,Houghton and Son Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-132335,529.00,Capital,Houghton and Son Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-132331,598.00,Capital,Houghton and Son Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-132266,552.00,Capital,Houghton and Son Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,21/03/2025,VI-132334,299.00,Capital,Houghton and Son Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-133475,368.00,Capital,Houghton and Son Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,18/03/2025,VI-132018,"5,061.50",Revenue,A F Howland Associates Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,14/03/2025,VI-133539,"1,909.00",Revenue,Howes Percival LLP,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,12/03/2025,VI-133416,"2,185.00",Revenue,Huia Property Ltd,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133431,"3,588.33",Revenue,Igenix Ltd T/A Animal Warden Services,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Marketing & Promotions,12/03/2025,VI-133384,"4,410.00",Revenue,Impress Ipswich,,,,,,,,,,,,,,,,,,
Leader of the Council,Democratic Services,Employee Expenses,Technical Training,05/03/2025,VI-127957,"1,505.00",Revenue,Improvement & Development Agency,,,,,,,,,,,,,,,,,,
Leader of the Council,Democratic Services,Employee Expenses,Technical Training,18/03/2025,VI-132850,285.00,Revenue,Improvement & Development Agency,,,,,,,,,,,,,,,,,,
Leader of the Council,Democratic Services,Employee Expenses,Technical Training,18/03/2025,VI-132855,285.00,Revenue,Improvement & Development Agency,,,,,,,,,,,,,,,,,,
Leader of the Council,Democratic Services,Employee Expenses,Technical Training,25/03/2025,VI-134241,285.00,Revenue,Improvement & Development Agency,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,05/03/2025,VI-127871,"36,959.30",Capital,Ingleton Wood,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133378,"7,350.00",Capital,Ingleton Wood,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,19/03/2025,VI-133840,"1,000.00",Capital,Ingleton Wood,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,11/03/2025,VI-133345,"2,600.00",Revenue,Ink,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,11/03/2025,VI-132916,818.67,Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Hardware Purchases,12/03/2025,VI-132746,385.88,Revenue,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133701,611.80,Capital,Insight Direct (UK) Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Qualification Training,28/03/2025,VI-134461,"1,111.67",Revenue,International Correspondance Schools Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Qualification Training,28/03/2025,VI-134561,956.66,Revenue,International Correspondance Schools Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Software Maintenance,04/03/2025,VI-131763,668.10,Revenue,Intalect Ltd,,,,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Hardware Purchases,12/03/2025,VI-132715,"1,139.99",Revenue,Intermedical (UK) Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134209,"2,970.00",Revenue,IP17GNS,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,28/03/2025,VI-134377,500.00,Revenue,IP17GNS,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Third Party Payments,Other Local Authorities Third Party,11/03/2025,VI-132685,"3,064.39",Revenue,Ipswich Borough Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,18/03/2025,VI-133868,400.00,Revenue,Ipswich Town Foundation,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,28/03/2025,VI-134527,"1,638.00",Revenue,ITS Training (UK) Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,28/03/2025,VI-134528,"1,638.00",Revenue,ITS Training (UK) Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Technical Training,04/03/2025,VI-132503,375.00,Revenue,ITSM Assist Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Qualification Training,14/03/2025,VI-133619,"1,125.00",Revenue,ITSM Assist Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Qualification Training,28/03/2025,VI-134490,"1,125.00",Revenue,ITSM Assist Limited,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,07/03/2025,VI-132733,"1,890.00",Revenue,Adrian James Acoustics Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Funding,Employee Expenses,Technical Training,19/03/2025,VI-133477,"1,445.00",Revenue,Jarrold Training,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Qualification Training,21/03/2025,VI-132761,"5,995.00",Revenue,Jarrold Training,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Qualification Training,21/03/2025,VI-132759,"1,795.00",Revenue,Jarrold Training,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133252,674.52,Revenue,J C Building Services,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,04/03/2025,VI-132586,325.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Miscellaneous Other Services,21/03/2025,VI-132309,495.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,25/03/2025,VI-134258,326.77,Revenue,JLA Total Care Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,25/03/2025,VI-134259,326.77,Revenue,JLA Total Care Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,25/03/2025,VI-134261,337.88,Revenue,JLA Total Care Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,25/03/2025,VI-134262,337.88,Revenue,JLA Total Care Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Machine Repair & Maintenance,28/03/2025,VI-131595,292.00,Revenue,JLA Total Care Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Technical Training,11/03/2025,VI-132778,"5,246.88",Revenue,KBA Solutions Ltd,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,18/03/2025,VI-133644,875.00,Revenue,Keating Chambers,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134142,"2,431.35",Revenue,1st Kesgrave Scout Group,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134128,"2,754.35",Revenue,Kesgrave Town Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134131,"1,025.00",Revenue,Kesgrave Town Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,07/03/2025,VI-132732,"1,200.00",Revenue,Kessingland Mens Shed,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132390,"1,200.00",Revenue,Kessingland Parochial Church Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132392,"1,500.00",Revenue,Kessingland Bowls Club,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,05/03/2025,VI-132662,"574,635.66",Capital,Kier Construction - Eastern,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/03/2025,VI-133485,"11,404.00",Revenue,Kingsley House Hotel,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/03/2025,VI-133486,"17,528.00",Revenue,Kingsley House Hotel,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/03/2025,VI-133487,"19,401.00",Revenue,Kingsley House Hotel,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Machine Repair & Maintenance,04/03/2025,VI-132501,461.94,Revenue,Klipspringer Instrumentation,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Postages,07/03/2025,VI-132781,298.79,Revenue,Klipspringer Instrumentation,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,07/03/2025,VI-132731,576.00,Revenue,Knodishall Parish Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,25/03/2025,VI-134190,654.00,Revenue,Knockout Challenge Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Technical Training,14/03/2025,VI-133467,955.00,Revenue,Kovia Ltd T/A Kovia Compliance,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Consultants,19/03/2025,VI-133900,"95,000.00",Revenue,KPMG,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Conference Fees,19/03/2025,VI-133952,435.00,Revenue,LABC,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-133800,"3,006.70",Revenue,LABC,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,14/03/2025,VI-133645,500.00,Revenue,Landmark Chambers,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,14/03/2025,VI-133541,"2,250.00",Revenue,Landmark Chambers,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Landguard,Supplies and Services,Grants & Contributions,05/03/2025,VI-131684,"13,393.20",Revenue,Landguard and Felixstowe Conservation Trust,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Health and Safety,04/03/2025,VI-132218,553.48,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,25/03/2025,VI-132593,"11,242.50",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,,,,
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,28/03/2025,VI-134429,"16,736.78",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,28/03/2025,VI-134390,"2,100.00",Revenue,Leading Edge Leadership Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Health and Safety,04/03/2025,VI-132485,264.66,Revenue,LEC Marine (Klyne) Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Health and Safety,19/03/2025,VI-132459,"3,350.00",Revenue,LEC Marine (Klyne) Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,11/03/2025,VI-134005,"19,491.16",Revenue,Legal and General Assurance Society Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,26/03/2025,VI-134655,"23,448.58",Revenue,Legal and General Assurance Society Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,External Printing,04/03/2025,VI-132578,"3,104.00",Revenue,Leiston Press,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,07/03/2025,VI-132675,689.11,Revenue,Leiston Youth Club,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133625,"4,987.80",Capital,A C Leigh (Norwich) Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132388,"3,150.00",Revenue,Leopards Basketball Club,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,07/03/2025,VI-132819,487.50,Revenue,Lexden Consultancy Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,25/03/2025,VI-134305,325.00,Revenue,Lexden Consultancy Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Legal Fees,18/03/2025,VI-134170,"6,000.00",Revenue,Liberay Legal Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/03/2025,VI-134532,882.18,Revenue,Lisa's Homes,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,25/03/2025,VI-134148,"2,500.00",Revenue,Little Paws Products Ltd,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,14/03/2025,VI-134060,"8,560.56",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,,,,
Leader of the Council,Democratic Services,Supplies and Services,Conference Fees,17/03/2025,VC-004115,"-5,280.00",Revenue,Local Government Association,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,05/03/2025,VI-132551,"7,500.00",Capital,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,14/03/2025,VI-131286,"2,669.50",Revenue,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hospitality,18/03/2025,VI-133807,273.00,Revenue,Lotties Ventures Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Grants & Contributions,05/03/2025,VI-132681,"500,000.00",Revenue,Lowestoft Town Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Other REFCUS,05/03/2025,VI-132682,"200,000.00",Revenue,Lowestoft Town Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,07/03/2025,VI-132941,"5,072.76",Capital,Lowestoft Town Council,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,05/03/2025,VI-132684,867.06,Revenue,Lowestoft Vision,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,05/03/2025,VI-132683,"2,789.56",Revenue,Lowestoft Vision,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,14/03/2025,VI-133443,"2,500.00",Revenue,Lowestoft Vision,,,,,,,,,,,,,,,,,,
