Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,19/04/2024,VI-111736,"19,920.00",Revenue,Columbus Global UK Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,19/04/2024,VI-112045,"8,950.00",Revenue,Columbus Global UK Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/04/2024,VI-112061,360.00,Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Holding Account - Cash In,Grant,05/04/2024,VI-110974,"3,250.00",Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,09/04/2024,VI-111402,740.00,Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,19/04/2024,VI-112530,740.00,Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/04/2024,VI-110807,"5,627.50",Revenue,Communities Together East Anglia,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,02/04/2024,VI-110661,800.00,Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,10/04/2024,VI-111462,"11,838.14",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Alarm Servicing,02/04/2024,VI-109935,"42,062.50",Revenue,Concertus Design & Property Consultants Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112425,"5,500.00",Revenue,Cookley & Walpole Parish Council,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,05/04/2024,VI-111291,"1,000.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,26/04/2024,VI-112844,"2,500.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,05/04/2024,VI-111298,700.00,Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112095,"2,782.19",Revenue,Corton Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112426,"7,599.35",Revenue,Corton Parish Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Caravan and Camping Sites,Holding Account - Cash Out,Capital Expenditure,05/04/2024,VI-110415,"3,850.00",Capital,Covill Interiors Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Caravan and Camping Sites,Holding Account - Cash Out,Capital Expenditure,05/04/2024,VI-110673,"3,850.00",Capital,Covill Interiors Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,19/04/2024,VI-112334,"2,450.85",Revenue,CPRAS,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112427,"4,500.00",Revenue,Cratfield Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112428,"2,983.00",Revenue,"Cretingham, Hoo & Monewden Parish Council",,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,05/04/2024,VI-111271,"2,545.00",Revenue,Creative Leiston C.I.C.,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,10/04/2024,VI-111706,"212,083.20",Capital,Cripps Developements Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Marketing & Promotions,02/04/2024,VI-110954,750.00,Revenue,Cross Media Print and Digital,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,External Printing,19/04/2024,VI-111632,"1,422.44",Revenue,Cross Media Print and Digital,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,External Printing,26/04/2024,VI-112899,972.66,Revenue,Cross Media Print and Digital,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,30/04/2024,VI-112332,"1,496.35",Revenue,The Crown Estate,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Tenants Allowances,30/04/2024,VI-113172,"1,533.60",Revenue,Crown Paints Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,09/04/2024,VI-111369,600.00,Revenue,CYDS Young People Taking Action,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,02/04/2024,VI-109305,"4,004.48",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,19/04/2024,VI-111867,"4,285.15",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,01/04/2024,VC-003432,"-4,285.15",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Concessions,Premises Expenses,Building Services - Responsive Maintenance,05/04/2024,VI-111072,725.00,Revenue,Darren's Drains,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,19/04/2024,VI-112044,450.00,Revenue,Darren's Drains,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112429,"6,952.50",Revenue,Darsham Parish Council,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-110802,"45,900.00",Capital,Dell Corporation Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112431,"5,587.50",Revenue,Dennington Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Other Financial Transactions,Current Liabilities,Creditors - Other,09/04/2024,VI-112621,492.00,Revenue,Department for Business & Trade,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-110875,"3,700.00",Capital,Design Foresightful Architecture Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,02/04/2024,VI-110718,"5,975.57",Revenue,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-110211,789.80,Capital,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/04/2024,VI-112240,"6,090.32",Revenue,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,23/04/2024,VI-112626,"5,222.26",Revenue,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/04/2024,VI-112838,"4,904.21",Revenue,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/04/2024,VI-111368,"1,882.04",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/04/2024,VI-111383,"1,860.89",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/04/2024,VI-111717,"1,205.30",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/04/2024,VI-111660,"1,124.11",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/04/2024,VI-111681,"1,904.05",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/04/2024,VI-111799,"1,316.38",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/04/2024,VI-112861,401.52,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/04/2024,VI-112912,"1,205.54",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/04/2024,VI-112915,"1,281.11",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/04/2024,VI-112919,330.66,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/04/2024,VI-112921,"1,245.48",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/04/2024,VI-112941,"1,482.95",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/04/2024,VI-112913,"1,968.20",Revenue,DG Servicing Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,12/04/2024,VI-109536,"3,736.50",Revenue,Diamond Property Services,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,12/04/2024,VI-111752,274.50,Revenue,Direct-Tech Solutions Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,12/04/2024,VI-111754,374.00,Revenue,Direct-Tech Solutions Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,19/04/2024,VI-111755,385.00,Revenue,Direct-Tech Solutions Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,09/04/2024,VI-111642,750.00,Revenue,Direct Works,,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,12/04/2024,VI-111759,993.00,Revenue,Disclosure & Barring Service,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111048,300.00,Revenue,Disclosure and Barring Service,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,09/04/2024,VI-111390,400.00,Revenue,Disclosure and Barring Service,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,09/04/2024,VI-111395,500.00,Revenue,Disclosure and Barring Service,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Grants & Contributions,02/04/2024,VI-110960,"1,482.00",Revenue,District Roofing Company,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,12/04/2024,VI-111781,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,16/04/2024,VI-112079,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,19/04/2024,VI-112316,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/04/2024,VI-111151,"5,385.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/04/2024,VI-111364,"2,464.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,19/04/2024,VI-112594,"2,548.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,02/04/2024,VI-110692,"3,676.63",Revenue,K Dossett Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,12/04/2024,VI-109650,"2,807.46",Revenue,D P Renovations (east anglia) Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112432,"2,000.00",Revenue,Dunwich Parish Meeting,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,19/04/2024,VI-112213,800.00,Revenue,Dunwich Greyfriars Trust,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Valuation Fees,23/04/2024,VI-112686,300.00,Revenue,Durrants,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Consultants,19/04/2024,VC-003254,"-1,352.00",Revenue,Dynamics Consultants Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Purchases,19/04/2024,VI-111467,"12,342.01",Revenue,Dynamics Consultants Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112433,"8,165.50",Revenue,Earl Soham Parish Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,02/04/2024,VI-109925,"1,500.00",Revenue,Earthwake CIC,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-110771,"1,965.76",Capital,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-108600,"1,560.00",Capital,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Corporate Subscriptions,19/04/2024,VI-112297,460.00,Revenue,East of England Energy Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Employee Expenses,Technical Training,16/04/2024,VI-111333,"1,375.00",Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,05/04/2024,VI-109758,"30,822.17",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,16/04/2024,VI-111741,"41,179.83",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112434,"5,254.00",Revenue,Easton Parish Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,05/04/2024,VI-110618,"12,250.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,10/04/2024,VI-110854,"13,110.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,16/04/2024,VI-112031,"14,430.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,30/04/2024,VI-112949,"13,400.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,30/04/2024,VI-112247,"14,395.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Grounds Maintenance - Other,02/04/2024,VI-110776,"2,380.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,02/04/2024,VI-110896,290.40,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Premises Expenses,Contract Cleaning,05/04/2024,VI-110938,"2,822.54",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Premises Expenses,Contract Cleaning,05/04/2024,VI-110948,"2,593.94",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Contract Cleaning,05/04/2024,VI-110809,265.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Other Ext Provided Services,05/04/2024,VI-111141,546.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-111432,"1,329.00",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111083,"1,229.60",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-111435,584.64,Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-111610,845.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-111590,"1,804.80",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Supplies and Services,Other Ext Provided Services,10/04/2024,VI-111452,"1,183.20",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,12/04/2024,VI-110582,"6,597.50",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,12/04/2024,VI-111453,"2,994.84",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,12/04/2024,VI-111800,445.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Community Health,Emergency Planning,Supplies and Services,General Purchases,12/04/2024,VI-111771,974.40,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Supplies and Services,Other Ext Provided Services,16/04/2024,VI-111814,563.10,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Other Ext Provided Services,17/04/2024,VI-111772,"2,912.32",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,19/04/2024,VI-099936,910.80,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Community Health,Emergency Planning,Supplies and Services,Other Ext Provided Services,23/04/2024,VI-112637,"9,729.40",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
The Environment,Waste Management,Transport Expenses,Fuel,30/04/2024,VI-112932,"104,868.91",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Resort Activities,Premises Expenses,Electricity,30/04/2024,VI-113141,"8,707.53",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,12/04/2024,VI-111705,350.00,Revenue,Eastern Energy Consultants Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,05/04/2024,VI-110864,"2,600.00",Capital,Eastwood Tree Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,12/04/2024,VI-111804,"31,882.68",Capital,East Rising Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,19/04/2024,VI-112209,"1,737.20",Revenue,East Suffolk One Radio,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,12/04/2024,VI-111743,"3,860.42",Capital,Eco Environmental Services Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,19/04/2024,VI-111689,800.00,Revenue,Edible Felixstowe,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,02/04/2024,VI-110880,715.05,Revenue,EE Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,19/04/2024,VI-112257,"4,910.76",Revenue,Elizabeth Estates Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,19/04/2024,VI-112259,"4,209.16",Revenue,Elizabeth Estates Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,19/04/2024,VI-112260,"8,905.32",Revenue,Elizabeth Estates Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Employee Expenses,Officer Professional Subscriptions,10/04/2024,VI-111458,290.00,Revenue,Elmhurst Energy Systems Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,19/04/2024,VI-112223,"1,637.50",Revenue,Elsom Spettigue Associates Limited,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Indoor Leisure,Supplies and Services,Consultants,23/04/2024,VI-112571,"61,381.75",Revenue,Elysian Associates,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Furniture and Equipment,30/04/2024,VI-109744,"15,000.00",Revenue,Emmaus Norfolk and Waveney,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,02/04/2024,VI-110756,"3,510.45",Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/04/2024,VI-111268,"4,750.50",Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Electricity,02/04/2024,VI-110676,"1,560.00",Revenue,Energy Controls Group Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Licence Fees,19/04/2024,VI-112174,"1,447.80",Revenue,Environment Agency,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Licence Fees,19/04/2024,VI-112175,"1,824.00",Revenue,Environment Agency,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,19/04/2024,VI-112575,"1,554.00",Revenue,Socotec,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,19/04/2024,VI-112577,"3,066.00",Revenue,Socotec,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-111542,"1,100.00",Capital,Erskine Electrical Contractors Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-111545,"2,480.00",Capital,Erskine Electrical Contractors Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-111547,"2,480.00",Capital,Erskine Electrical Contractors Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,02/04/2024,VI-111550,"1,100.00",Capital,Erskine Electrical Contractors Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,30/04/2024,VI-112752,"3,162.53",Revenue,EVAD Think Unfied Ltd,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-111486,750.00,Capital,Evans Rivers and Coastal Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,19/04/2024,VI-111865,"3,484.67",Revenue,Exacom Systems Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112435,"6,015.00",Revenue,Eyke Parish Council,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,09/04/2024,VI-111013,475.76,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,09/04/2024,VI-111133,300.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,23/04/2024,VI-112603,"1,100.00",Revenue,Brickologist Young Engineers,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,09/04/2024,VI-111329,500.00,Revenue,Felixstowe Ferry Sailing Club Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,09/04/2024,VI-111330,"1,500.00",Revenue,Felixstowe Ferry Sailing Club Ltd,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/04/2024,VI-111686,500.00,Revenue,Felixstowe Festival Events,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112436,"332,363.50",Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Other Ext Provided Services,09/04/2024,VI-109292,"1,047.75",Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112096,"17,750.03",Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,16/04/2024,VI-112190,"1,618.67",Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/04/2024,VI-110706,"6,520.00",Revenue,Felixstowe Carnival Association,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,09/04/2024,VI-111282,"1,000.00",Revenue,Felixstowe Mencap Society,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,09/04/2024,VI-111285,500.00,Revenue,Felixstowe Integrated Neighbourhood,,,,,,,,,,,,,,,
