Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Employee Expenses,Technical Training,04/06/2024,VI-115176,258.33,Revenue,Chartered Association of Building Engineers,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Hotel Accommodation,11/06/2024,VI-115679,624.00,Revenue,Chartered Institute of Building,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Officer Professional Subscriptions,07/06/2024,VI-110895,262.00,Revenue,Chartered Institute of Housing,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,05/06/2024,VI-115468,"4,500.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Architect Fees,05/06/2024,VI-115448,"30,000.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,05/06/2024,VI-115445,380.00,Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Furniture and Equipment,18/06/2024,VI-115449,"15,000.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,19/06/2024,VI-116182,"9,415.05",Revenue,Chase Services Group Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,25/06/2024,VI-116624,"3,780.00",Revenue,Chronologic Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,14/06/2024,VI-115413,"1,553.99",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/06/2024,VI-116248,"10,674.27",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/06/2024,VI-116422,"4,651.08",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/06/2024,VI-116425,"2,442.58",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/06/2024,VI-116426,"1,655.08",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,07/06/2024,VI-114565,"1,505.99",Revenue,Claranet Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,19/06/2024,VI-116481,"1,505.99",Revenue,Claranet Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,18/06/2024,VI-116351,"7,202.50",Revenue,Clear Skies Software Limited,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,05/06/2024,VI-115418,"2,750.00",Capital,Clear Consulting and Design Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,04/06/2024,VI-115201,495.00,Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/06/2024,VI-116207,"7,253.57",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/06/2024,VI-116208,"16,552.00",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,07/06/2024,VI-113870,"32,044.88",Revenue,Park Now Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,19/06/2024,VI-116033,"23,207.69",Revenue,Park Now Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,18/06/2024,VI-115528,300.00,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Furniture and Equipment,07/06/2024,VI-114717,"31,764.93",Revenue,Colena Ltd t/a heliguy,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Pest Control,04/06/2024,VI-115064,265.00,Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Building Services - Responsive Maintenance,04/06/2024,VI-114846,420.00,Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Pest Control,25/06/2024,VI-116485,285.00,Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,28/06/2024,VI-116640,250.00,Revenue,Commodore Mission,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,12/06/2024,VI-116042,"3,361.54",Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,14/06/2024,VI-116250,"6,370.53",Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,18/06/2024,VI-116382,"3,411.85",Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,28/06/2024,VI-116740,740.00,Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,11/06/2024,VI-115977,"5,000.00",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,21/06/2024,VI-116429,"16,043.78",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/06/2024,VI-116008,364.00,Revenue,Construction Testing Solutions Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,14/06/2024,VI-115746,250.00,Revenue,Corton Methodist Church,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,17/06/2024,VI-099677,"9,939.75",Revenue,CF Corporate Finance Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,14/06/2024,VI-116189,"84,627.96",Capital,Cripps Developements Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,External Printing,07/06/2024,VI-115606,"1,456.84",Revenue,Cross Media Print and Digital,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,07/06/2024,VI-115604,706.30,Revenue,Crystolutions Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Furniture and Equipment,11/06/2024,VI-115260,393.00,Revenue,Currys,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,18/06/2024,VI-115973,"4,346.78",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,18/06/2024,VI-116443,825.00,Revenue,Darren's Drains,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,19/06/2024,VI-115432,"2,394.40",Revenue,Darren's Drains,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,14/06/2024,VI-115745,250.00,Revenue,Darsham Village Hall,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,04/06/2024,VI-115195,607.80,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,07/06/2024,VI-115567,"1,659.14",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/06/2024,VI-116155,"3,121.86",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/06/2024,VI-116157,"1,284.84",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/06/2024,VI-116159,"1,008.28",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/06/2024,VI-116682,"1,284.52",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,11/06/2024,VI-115816,722.00,Revenue,Disclosure & Barring Service,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,11/06/2024,VI-115906,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,11/06/2024,VI-115907,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/06/2024,VI-115393,"5,374.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,28/06/2024,VI-116725,"6,292.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,General Purchases,11/06/2024,VI-115284,300.00,Revenue,DTA Publications Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Transport Expenses,Vehicle Operational Leases,11/06/2024,VI-115546,337.50,Revenue,DVLA,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,26/06/2024,VI-115167,"1,965.76",Capital,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Consultants,18/06/2024,VI-116356,"2,350.00",Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Employee Expenses,Technical Training,21/06/2024,VI-116525,"1,375.00",Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Expenditure not charged to Cost of Service,Levies,18/06/2024,VI-108202,"136,276.00",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,07/06/2024,VI-115118,"15,665.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,12/06/2024,VI-115957,"17,540.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,12/06/2024,VI-115958,"15,545.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/06/2024,VI-116650,"17,585.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,28/06/2024,VI-116673,"15,985.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,21/06/2024,VI-116556,"1,801.00",Revenue,Easton School Association,,,,,,,,,,,,,,,
The Environment,Waste Management,Premises Expenses,Refuse Collection,04/06/2024,VI-115221,462.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Health and Safety,11/06/2024,VI-115623,825.33,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,11/06/2024,VI-115628,255.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Refuse Collection,12/06/2024,VI-115474,"1,547.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Refuse Collection,12/06/2024,VI-115476,"1,547.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Refuse Collection,12/06/2024,VI-115477,"1,547.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Resort Activities,Holding Account - Cash Out,Capital Expenditure,12/06/2024,VI-115624,"1,856.00",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,14/06/2024,VI-115625,480.48,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,14/06/2024,VI-115626,320.19,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,14/06/2024,VI-115674,569.25,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,14/06/2024,VI-116322,"8,251.06",Capital,East Rising Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,05/06/2024,VI-115451,"4,697.00",Revenue,Echo Plumbing and Heating Services,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,04/06/2024,VI-115358,"1,890.00",Revenue,Edible Felixstowe,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Postages,05/06/2024,VI-115371,"3,076.41",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,18/06/2024,VI-116386,"4,981.90",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,18/06/2024,VI-116387,"24,609.97",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,18/06/2024,VI-116389,"21,694.36",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,18/06/2024,VI-116390,"4,995.20",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Postages,19/06/2024,VI-116420,"2,257.17",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Postages,19/06/2024,VI-116421,438.76,Revenue,Civica Election Services,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Conference Fees,14/06/2024,VI-116260,"4,152.82",Revenue,Elior UK,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,14/06/2024,VI-116304,"50,000.00",Revenue,Emmaus Suffolk,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/06/2024,VI-116416,397.50,Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,21/06/2024,VI-116454,410.00,Capital,Ensure Safety and Compliance,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Transport Expenses,Vehicle Hire,14/06/2024,VI-115793,259.15,Revenue,Enterprise Rent-a-car UK Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Transport Expenses,Vehicle Hire,14/06/2024,VI-115800,501.92,Revenue,Enterprise Rent-a-car UK Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Audit Fees,14/06/2024,VI-116015,"70,726.00",Revenue,Ernst & Young LLP,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,25/06/2024,VI-116185,815.35,Revenue,Essex & Suffolk Water,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,28/06/2024,VI-116547,"3,375.77",Revenue,EVAD Think Unfied Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Employee Expenses,Medical Fees,11/06/2024,VI-115510,358.40,Revenue,Exceptional Individuals,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,18/06/2024,VI-116314,295.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Planned Maintenance,28/06/2024,VI-116753,395.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,11/06/2024,VI-115336,300.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,11/06/2024,VI-115555,705.55,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,11/06/2024,VI-115556,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,11/06/2024,VI-115558,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,11/06/2024,VI-115560,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,11/06/2024,VI-115563,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,11/06/2024,VI-115565,702.13,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,11/06/2024,VI-115568,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/06/2024,VI-116154,"11,311.00",Revenue,Felgains Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/06/2024,VI-116300,"11,122.00",Revenue,Felgains Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Marketing & Promotions,28/06/2024,VI-116733,"1,000.00",Revenue,Fenn Wright,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,18/06/2024,VC-003215,-995.83,Revenue,First Data,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,14/06/2024,VI-116132,"9,203.00",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Alarm Repairs,11/06/2024,VI-115635,272.88,Revenue,FirePlug Fire & Acoustics,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,21/06/2024,VI-116576,302.77,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,25/06/2024,VI-116545,324.06,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,14/06/2024,VI-116247,522.21,Revenue,Flagship Housing,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,07/06/2024,VI-115314,295.00,Revenue,Flyer Group Media Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,18/06/2024,VI-115312,295.00,Revenue,Flyer Group Media Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,04/06/2024,VI-115232,250.00,Revenue,Framlingham United Free Church,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Customer and Client Receipts,Vatable Charges To External Orgs,19/06/2024,VI-116376,"5,500.00",Revenue,Francis Taylor Building,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/06/2024,VI-116134,"7,100.00",Revenue,Frame Projects,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,04/06/2024,VI-115274,"2,565.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,11/06/2024,VI-115910,"1,125.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,18/06/2024,VI-116374,"1,125.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,25/06/2024,VI-116620,"1,125.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Other Ext Provided Services,14/06/2024,VI-116020,538.81,Revenue,G4S Cash Services (UK) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,19/06/2024,VI-116780,"52,917.74",Capital,Gasway Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,19/06/2024,VI-116459,"3,878.50",Capital,G B Geotechnics Ltd t/a GBG Group,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/06/2024,VI-116044,615.00,Revenue,Gilbert Builders Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,07/06/2024,VI-115719,"3,750.00",Revenue,G K Consulting,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,10/06/2024,VC-003538,"-2,083.33",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,25/06/2024,VI-116205,"1,848.33",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,25/06/2024,VI-116458,"1,848.33",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Corporate Subscriptions,28/06/2024,VI-116578,"1,000.00",Revenue,Good Homes Alliance,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,07/06/2024,VI-115566,"9,858.01",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/06/2024,VI-116153,"10,347.77",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/06/2024,VI-116156,"7,630.00",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Conference Fees,11/06/2024,VI-115285,273.60,Revenue,Government Events,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,18/06/2024,VI-116361,"4,455.91",Revenue,GP Planning Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,14/06/2024,VI-116292,"17,977.12",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/06/2024,VI-116305,"3,715.17",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/06/2024,VI-116448,"2,768.85",Revenue,Graham,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,07/06/2024,VI-115547,575.64,Revenue,E.E. Green & Son Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,07/06/2024,VI-115653,581.03,Revenue,E.E. Green & Son Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Grounds Maintenance - Contract,07/06/2024,VI-115622,"15,000.00",Revenue,Greener Growth CIC,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,04/06/2024,VI-115194,"4,200.00",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,04/06/2024,VI-115360,"10,105.77",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/06/2024,VI-115377,468.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,11/06/2024,VI-115788,396.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,11/06/2024,VI-115986,264.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/06/2024,VI-115470,300.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/06/2024,VI-115985,372.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/06/2024,VI-116451,"8,300.00",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/06/2024,VI-116512,306.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/06/2024,VI-116516,453.60,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/06/2024,VI-116517,288.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/06/2024,VI-116518,288.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/06/2024,VI-116520,420.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/06/2024,VI-116676,"7,610.21",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
