Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,08/05/2024,VI-114145,351.96,Revenue,Blackwater Freight Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,01/05/2024,VI-113191,"1,995.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,01/05/2024,VI-113192,"1,735.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,03/05/2024,VI-113255,510.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,03/05/2024,VI-113302,590.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,03/05/2024,VI-113299,640.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,14/05/2024,VI-114168,450.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,17/05/2024,VI-114092,680.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,10/05/2024,VI-113367,777.86,Revenue,Booking.com,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,31/05/2024,VI-115113,"1,993.42",Revenue,Boost Felixstowe Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,01/05/2024,VI-113205,"20,630.00",Capital,Booth Tarmacadem Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,21/05/2024,VI-114330,"4,800.00",Capital,Booth Tarmacadem Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,21/05/2024,VI-114749,993.39,Revenue,Bottomline,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/05/2024,VI-115847,993.39,Revenue,Bottomline,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,03/05/2024,VI-113231,"69,415.31",Revenue,Breckland Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,03/05/2024,VI-113232,"10,621.80",Revenue,Breckland Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,10/05/2024,VI-113511,"8,978.09",Revenue,Breckland Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,29/05/2024,VI-115066,"27,523.04",Revenue,Breckland Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/05/2024,VI-114423,547.65,Revenue,C Brewer and Son,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113668,371.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/05/2024,VI-114105,679.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,15/05/2024,VI-114106,445.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,15/05/2024,VI-114107,347.20,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,15/05/2024,VI-114109,568.00,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/05/2024,VI-114115,847.60,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,15/05/2024,VI-114117,323.60,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,17/05/2024,VI-112605,389.55,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,17/05/2024,VI-113535,340.20,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Welfare Adaptations,17/05/2024,VI-113536,508.20,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,17/05/2024,VI-113542,283.00,Capital,Breydon Flooring Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,24/05/2024,VI-114777,755.70,Revenue,Breydon Flooring Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,10/05/2024,VI-114194,"3,389.50",Revenue,Breast Friends CIC,,,,,,,,,,,,,,,
