Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,10/05/2024,VI-113198,"3,642.00",Revenue,Ipswich Gas Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,15/05/2024,VI-113905,"1,250.00",Revenue,Ivy Legal Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,03/05/2024,VI-113238,"3,060.00",Revenue,Jaffer Investments Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,15/05/2024,VI-114181,282.50,Capital,Adrian James Acoustics Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113284,"7,774.93",Revenue,J C Building Services,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113690,"1,632.76",Revenue,J C Building Services,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/05/2024,VI-114512,424.64,Revenue,J C Building Services,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,03/05/2024,VI-113268,495.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,14/05/2024,VI-114084,495.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,17/05/2024,VI-114326,673.40,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,24/05/2024,VI-114752,480.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,24/05/2024,VI-114753,490.00,Revenue,Jennings of Lowestoft,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Equipment Hire,03/05/2024,VI-113946,326.77,Revenue,JLA Total Care Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/05/2024,VI-114195,"5,125.00",Capital,John Grose Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/05/2024,VI-114192,"5,125.00",Capital,John Grose Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,03/05/2024,VI-113270,"1,310.00",Revenue,Johns Slater and Haward Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/05/2024,VI-114122,"3,500.00",Revenue,Phil Jones Associates Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114826,320.00,Revenue,Juiced Media Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,21/05/2024,VC-003327,-310.00,Revenue,Karpet Kingdom,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,21/05/2024,VI-114414,638.33,Revenue,Karpet Kingdom,,,,,,,,,,,,,,,
The Environment,Street Scene,Holding Account - Cash Out,Capital Expenditure,01/05/2024,VI-113218,640.00,Capital,Karcher UK,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,22/05/2024,VI-114606,"4,031.89",Revenue,Keating Chambers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,31/05/2024,VI-115125,402.50,Revenue,Keating Chambers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,03/05/2024,VI-113264,"11,000.00",Revenue,Keating Chambers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,14/05/2024,VI-113931,"1,300.00",Revenue,Keating Chambers,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114644,480.00,Revenue,P.J.Kerley Motor Engineers Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/05/2024,VI-115135,"4,500.00",Revenue,Kesgrave Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,10/05/2024,VI-113476,478.00,Revenue,Kesgrave War Memorial Community Centre,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/05/2024,VI-114245,"1,000.00",Revenue,Kesgrave Kruisers Running Club,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/05/2024,VI-115174,705.47,Revenue,1st Kessingland Rainbows,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,10/05/2024,VI-113475,250.00,Revenue,Kettleburgh Village Hall,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,24/05/2024,VI-114342,500.00,Revenue,Kettleburgh Village Hall,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,10/05/2024,VI-113831,"285,093.48",Capital,Kier Construction - Eastern,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,03/05/2024,VI-113254,"7,858.00",Revenue,Kiltti Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,21/05/2024,VI-114465,"17,389.00",Revenue,Kingsley House Hotel,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Transport Expenses,Repairs & Service,22/05/2024,VI-114564,343.55,Revenue,Klipspringer Instrumentation,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Consultants,14/05/2024,VI-114085,610.85,Revenue,"Knight, Kavanagh & Page",,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,10/05/2024,VI-113904,590.00,Revenue,Knockout Challenge Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,14/05/2024,VI-113932,"2,871.50",Revenue,Koris Ltd,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Telephone Calls/Data/Broadband,17/05/2024,VI-114157,"1,500.00",Revenue,Koris Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Landguard,Supplies and Services,Grants & Contributions,24/05/2024,VI-114698,"19,735.32",Revenue,Landguard and Felixstowe Conservation Trust,,,,,,,,,,,,,,,
Economic Development and Transport,Landguard,Supplies and Services,Grants & Contributions,24/05/2024,VI-114706,"27,275.95",Revenue,Landguard and Felixstowe Conservation Trust,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,01/05/2024,VI-113189,719.20,Revenue,Landmark Fencing Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Employee Expenses,Technical Training,21/05/2024,VI-113961,670.00,Revenue,Lawyers in Local Government,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/05/2024,VI-114123,"1,693.19",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Consultants,01/05/2024,VC-003438,"-2,455.70",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,17/05/2024,VI-114257,"6,258.01",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,17/05/2024,VI-114255,"4,000.00",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,17/05/2024,VC-003418,"-8,350.51",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,17/05/2024,VI-114253,"9,420.64",Revenue,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,17/05/2024,VI-114227,"2,059.70",Capital,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,21/05/2024,VI-114226,396.00,Capital,LDA Design Consultancy Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,30/05/2024,VI-115795,"177,500.00",Capital,Leadenhall Law Group,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,03/05/2024,VI-113347,854.17,Revenue,LEC Hire,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,17/05/2024,VI-114151,"1,630.00",Revenue,LEC Marine (Klyne) Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Furniture and Equipment,31/05/2024,VI-115134,"3,174.30",Revenue,Lets Connect IT Solutions Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,08/05/2024,VI-113665,"2,198.00",Revenue,Level 2 Youth Project,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/05/2024,VI-114310,930.00,Revenue,Level 2 Youth Project,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/05/2024,VI-113499,"4,774.76",Revenue,LGS Homes (Suffolk) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/05/2024,VI-114191,"1,591.59",Revenue,LGS Homes (Suffolk) Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Other Office Expenses,03/05/2024,VI-113285,"1,547.52",Revenue,Liquidline Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,01/05/2024,VI-113193,635.00,Revenue,Lisa's Homes,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rent Deposits,14/05/2024,VI-114142,"1,400.00",Revenue,Lisa's Homes,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,17/05/2024,VI-114137,441.09,Revenue,Lisa's Homes,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,15/05/2024,VI-114517,"9,567.35",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Bank Fees,29/05/2024,VI-115231,"3,402.76",Revenue,Lloyds Bank Group,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Conference Fees,17/05/2024,VC-003443,"-6,804.00",Revenue,Local Government Association,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Conference Fees,17/05/2024,VI-114284,"7,371.00",Revenue,Local Government Association,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Corporate Subscriptions,31/05/2024,VI-114985,"6,995.00",Revenue,Localgov Improve Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/05/2024,VI-114440,333.33,Revenue,Lofty Heights CIC,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,10/05/2024,VI-113686,"2,560.00",Revenue,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,15/05/2024,VI-113875,"7,000.00",Capital,Rossi Long Consulting Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,31/05/2024,VI-115101,"2,000.00",Revenue,Lowestoft Time Bank CIC,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,08/05/2024,VC-003420,"-1,831.92",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,08/05/2024,VI-113517,"1,831.92",Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,08/05/2024,VI-113529,358.02,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,08/05/2024,VI-113533,366.46,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,29/05/2024,VI-114873,316.76,Revenue,Lucion Enviromental Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,21/05/2024,VI-114337,"1,895.04",Revenue,Macfarlane Group UK Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,31/05/2024,VI-113873,999.00,Revenue,Mallard Consultancy,,,,,,,,,,,,,,,
Energy and Climate Change,The Green Agenda,Supplies and Services,Marketing & Promotions,08/05/2024,VI-113458,300.00,Revenue,Marketing Force (Services Ltd),,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,03/05/2024,VI-113408,"3,498.00",Revenue,Marineserv UK Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,15/05/2024,VI-114132,642.50,Revenue,Marineserv UK Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,14/05/2024,VI-113921,"5,200.00",Revenue,March Web Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,08/05/2024,VI-113528,500.00,Capital,Marshall Fire Ltd,,,,,,,,,,,,,,,
Leader of the Council,Communications,Supplies and Services,Marketing & Promotions,10/05/2024,VI-113787,466.50,Revenue,Eco Colour Print Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,03/05/2024,VI-113134,384.22,Revenue,Medfor Products Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,01/05/2024,VI-112877,"8,640.00",Revenue,Media Managers Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Clothing & Uniforms,15/05/2024,VI-114155,679.50,Revenue,Mehler Vario System GmbH,,,,,,,,,,,,,,,
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,08/05/2024,VI-113660,429.35,Revenue,Mid Suffolk District Council,,,,,,,,,,,,,,,
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,10/05/2024,VI-113785,"1,642.50",Revenue,Mid Suffolk District Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Customer and Client Receipts,Outside Scope Inspection Fees,17/05/2024,VI-115218,330.00,Revenue,Mid Suffolk District Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/05/2024,VI-115057,"2,000.00",Revenue,Migliori Training,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,20/05/2024,VI-113627,"4,284,190.00",Revenue,"Dept Levelling Up, Housing & Communities",,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Other Ext Provided Services,03/05/2024,VI-113342,860.00,Revenue,MJ Training,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,14/05/2024,VI-113197,"1,078.57",Revenue,MLL Telecom Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,03/05/2024,VI-113110,723.20,Revenue,Mobile Mini UK Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-115053,723.20,Revenue,Mobile Mini UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Furniture and Equipment,31/05/2024,VI-115104,"3,105.00",Revenue,Modex Exhibitions Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,03/05/2024,VI-113178,"14,620.00",Revenue,Mountain Builders,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,14/05/2024,VI-113933,770.00,Revenue,Mountain Builders,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,14/05/2024,VI-113935,"2,900.00",Revenue,Mountain Builders,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113936,"15,060.00",Capital,Mountain Builders,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,29/05/2024,VI-114907,"10,040.00",Capital,Mountain Builders,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,29/05/2024,VI-114910,"12,980.00",Capital,Mountain Builders,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,29/05/2024,VI-115055,"1,852.00",Revenue,Mountain Builders,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Clothing & Uniforms,29/05/2024,VI-114995,927.55,Revenue,Munnings Supplies Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Fixtures & Fittings,10/05/2024,VI-113778,"8,631.00",Revenue,Nagels UK Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Corporate Subscriptions,10/05/2024,VI-113838,"3,727.00",Revenue,NBS Enterprises Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,03/05/2024,VI-111864,621.00,Revenue,Need 2 Store Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,14/05/2024,VI-114062,621.00,Revenue,Need 2 Store Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114723,436.42,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114724,436.42,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114727,401.92,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114729,436.42,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114730,384.67,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114731,401.92,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114734,436.32,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114737,436.32,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114739,401.92,Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,24/05/2024,VI-114741,"1,409.14",Revenue,Nemco Utilities Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,03/05/2024,VI-113252,"1,211.20",Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,03/05/2024,VI-113093,"3,058.28",Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,08/05/2024,VI-113092,"6,540.48",Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,10/05/2024,VI-113869,545.04,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,15/05/2024,VI-114232,363.36,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,24/05/2024,VI-112810,545.04,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Rights of Way,Supplies and Services,Advertising,29/05/2024,VI-114185,423.92,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,29/05/2024,VI-114353,847.84,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,24/05/2024,VI-114650,"2,572.70",Revenue,Norfolk County Council,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Legionella,28/05/2024,VI-111468,"1,811.95",Revenue,Norse Commercial Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Machine Repair & Maintenance,17/05/2024,VI-108468,693.65,Revenue,Northgate Vehicle Hire Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,15/05/2024,VI-113530,"1,623.78",Revenue,Northumbrian Water Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,22/05/2024,VC-003491,"-6,500.00",Revenue,Norris Media Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,29/05/2024,VI-114895,"37,130.25",Capital,M S Oakes Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,21/05/2024,VI-110241,350.00,Capital,Oakfield Arboricultural Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Electricity,22/05/2024,VI-113387,284.26,Revenue,Octopus Energy Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,10/05/2024,VI-113679,390.00,Revenue,Odd Bods exterior cleaning specialist Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,14/05/2024,VI-113695,"1,150.00",Revenue,Odd Bods exterior cleaning specialist Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,22/05/2024,VI-105050,625.00,Revenue,Odd Bods exterior cleaning specialist Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,29/05/2024,VI-114906,300.00,Revenue,Ogilvie Pavilion and Sports Field,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,24/05/2024,VI-114769,330.00,Revenue,Old Felixstowe Community Association,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,29/05/2024,VI-114822,900.00,Revenue,Old Felixstowe Parochial,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,24/05/2024,VI-114751,"1,947.65",Revenue,Openreach,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,14/05/2024,VI-112683,"2,587.50",Revenue,Opus People Solutions Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,14/05/2024,VI-113080,"2,587.50",Revenue,Opus People Solutions Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,14/05/2024,VI-113507,"2,587.50",Revenue,Opus People Solutions Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,17/05/2024,VI-113938,"2,587.50",Revenue,Opus People Solutions Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,21/05/2024,VI-114451,"2,587.50",Revenue,Opus People Solutions Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,08/05/2024,VI-113081,"2,649.10",Capital,Orange Fox Electrical Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,08/05/2024,VI-113623,"3,150.00",Revenue,Ovamill Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,10/05/2024,VI-113622,"3,432.00",Revenue,Ovamill Ltd,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-113506,"9,638.70",Capital,Ovamill Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Stationery,24/05/2024,VI-114695,687.75,Revenue,Ovendens Papers Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,10/05/2024,VI-113886,402.00,Revenue,Owl Architects,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,08/05/2024,VI-113532,"4,125.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,21/05/2024,VI-114473,"3,300.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,31/05/2024,VI-114867,"4,125.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,31/05/2024,VI-114868,"4,125.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/05/2024,VI-114306,"1,200.00",Revenue,Pakefield Community Group,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,10/05/2024,VI-113664,"7,944.95",Revenue,Paper & Design,,,,,,,,,,,,,,,
