Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,15/11/2024,VI-125227,"7,056.00",Revenue,Columbus Global UK Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,08/11/2024,VI-125455,"2,781.56",Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,26/11/2024,VI-126156,"5,773.74",Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,29/11/2024,VI-126554,370.00,Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,19/11/2024,VI-124533,"1,698.36",Revenue,Communities Together East Anglia,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,05/11/2024,VI-125127,"2,530.00",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,06/11/2024,VI-125183,926.70,Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,15/11/2024,VI-125713,"1,150.00",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/11/2024,VI-126458,625.00,Revenue,Consortium Trust,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Welfare Adaptations,29/11/2024,VI-126525,"1,050.00",Revenue,Copper Leaf Therapy Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Welfare Adaptations,29/11/2024,VI-126528,"1,050.00",Revenue,Copper Leaf Therapy Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,27/11/2024,VI-126301,"2,300.92",Revenue,Corgi Technical Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,27/11/2024,VI-126302,"3,651.46",Revenue,Corgi Technical Services Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,22/11/2024,VI-125994,"1,606.62",Revenue,CPRAS,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/11/2024,VI-125449,"3,431.16",Revenue,Crown Paints Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,08/11/2024,VI-125376,479.50,Revenue,Crystolutions Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,19/11/2024,VI-125683,"3,120.14",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,12/11/2024,VI-125451,"2,926.80",Revenue,Darren's Drains,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,15/11/2024,VI-123105,500.00,Revenue,Darren's Drains,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,19/11/2024,VI-124604,"1,225.00",Capital,Darren's Drains,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,29/11/2024,VI-125269,"1,375.00",Revenue,Darren's Drains,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,12/11/2024,VI-124351,"3,350.00",Revenue,Democracy Counts Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Consultants,12/11/2024,VI-125518,"1,163.00",Revenue,Demstrip Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Supplies and Services,S106 REFCUS,26/11/2024,VI-126333,"3,930.46",Revenue,Dennington Sports and Social Club,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,05/11/2024,VI-124823,"5,940.00",Revenue,Destination Research Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Felixstowe Vision Development,Supplies and Services,General Purchases,12/11/2024,VI-125564,"9,770.00",Revenue,Destination Research Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/11/2024,VI-126173,"4,985.20",Revenue,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125622,"1,220.11",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125623,"1,015.91",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125626,799.82,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125628,"2,308.42",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125642,460.14,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125645,"1,110.98",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/11/2024,VI-125693,"2,372.02",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Technical Training,15/11/2024,VI-125786,350.00,Revenue,Direct Training Associates Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Qualification Training,27/11/2024,VI-126385,"1,990.00",Revenue,Direct Training Associates Ltd,,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,12/11/2024,VI-125563,"1,102.00",Revenue,Disclosure & Barring Service,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,26/11/2024,VI-126114,841.78,Revenue,Disability Advice North East Suffolk,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,06/11/2024,VI-125204,"3,000.00",Revenue,DK9 Specialist Search and Rescue,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Health and Safety,12/11/2024,VI-125538,440.00,Revenue,DMA Health & Safety Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Health and Safety,12/11/2024,VI-125540,390.00,Revenue,DMA Health & Safety Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/11/2024,VI-125486,"3,081.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,22/11/2024,VI-126044,"3,244.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,22/11/2024,VI-126068,"2,921.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,27/11/2024,VI-126299,"6,705.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,19/11/2024,VI-125892,"18,469.20",Revenue,K Dossett Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,19/11/2024,VI-125851,"15,533.33",Revenue,Drives 4 U Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125507,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125506,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125505,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125504,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125503,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,13/11/2024,VI-125502,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,19/11/2024,VI-125952,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,19/11/2024,VI-125953,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,19/11/2024,VI-125954,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,19/11/2024,VI-125955,"226,943.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Financial Services,Supplies and Services,Miscellaneous Other Services,19/11/2024,VI-126141,"1,769.28",Revenue,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,19/11/2024,VI-125848,"2,042.56",Capital,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,26/11/2024,VI-126153,632.50,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,08/11/2024,VI-124990,"16,800.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/11/2024,VI-125814,"16,260.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,27/11/2024,VI-126088,"16,315.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/11/2024,VI-124892,601.99,Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/11/2024,VI-124896,324.15,Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/11/2024,VI-124912,"1,314.28",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/11/2024,VI-124913,"1,263.24",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/11/2024,VI-124914,"1,186.68",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Other Ext Provided Services,01/11/2024,VI-124929,770.30,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Supplies and Services,Other Ext Provided Services,06/11/2024,VI-124900,"2,838.36",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,06/11/2024,VI-124931,556.80,Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,06/11/2024,VI-124962,305.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,08/11/2024,VI-125400,400.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,08/11/2024,VI-125368,455.40,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,08/11/2024,VI-125370,350.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,08/11/2024,VI-125379,472.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Building Services - Responsive Maintenance,13/11/2024,VC-003814,-455.40,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Building Services - Responsive Maintenance,13/11/2024,VI-123378,683.10,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,13/11/2024,VI-125596,299.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,15/11/2024,VI-125599,299.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,15/11/2024,VI-125597,299.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Planned Maintenance,15/11/2024,VI-124891,"5,980.40",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Planned Maintenance,15/11/2024,VI-124898,"5,980.40",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,15/11/2024,VI-124958,"3,788.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Third Party Payments,Other Local Authorities Third Party,22/11/2024,VI-126048,"1,634,167.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,26/11/2024,VI-123379,796.95,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,29/11/2024,VI-126477,"1,025.75",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,27/11/2024,VC-003841,"-12,955.15",Capital,East Rising Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,27/11/2024,VI-125577,"12,954.24",Capital,East Rising Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,27/11/2024,VI-126095,"1,786.72",Capital,East Rising Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,29/11/2024,VI-126420,"31,474.00",Capital,E Capital,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,22/11/2024,VI-125000,"56,848.35",Revenue,EDF Energy Networks Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,22/11/2024,VI-126128,"62,572.74",Revenue,EDF Energy Networks Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,22/11/2024,VI-126129,"87,046.74",Revenue,EDF Energy Networks Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Postages,15/11/2024,VI-125805,"1,339.74",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,06/11/2024,VI-125173,"1,637.50",Revenue,Elsom Spettigue Associates Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/11/2024,VI-126148,466.00,Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Risk Assessments,01/11/2024,VI-124903,410.00,Revenue,Ensure Safety and Compliance,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,26/11/2024,VI-125795,778.61,Revenue,Envirovent Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Qualification Training,19/11/2024,VI-125213,"4,135.00",Revenue,Essex County Council,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,27/11/2024,VI-126432,"2,996.56",Revenue,Essex & Suffolk Water,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Technical Training,05/11/2024,VI-125039,954.00,Revenue,Evac Chair International Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,29/11/2024,VI-126031,"5,273.54",Revenue,EVAD Think Unfied Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,06/11/2024,VI-125154,"3,973.00",Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,08/11/2024,VI-124657,275.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Planned Maintenance,08/11/2024,VI-125198,310.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Supplies and Services,Health and Safety,26/11/2024,VI-126099,328.61,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Supplies and Services,Health and Safety,26/11/2024,VI-126101,271.22,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Supplies and Services,Health and Safety,26/11/2024,VI-126123,731.82,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Supplies and Services,Health and Safety,26/11/2024,VI-126124,458.44,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Supplies and Services,Health and Safety,26/11/2024,VI-126125,530.94,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,22/11/2024,VI-126064,"1,035.00",Revenue,Feilden & Mawson,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,01/11/2024,VI-122999,"2,942.00",Revenue,Felgains Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Grants & Contributions,01/11/2024,VI-124906,428.00,Revenue,Felgains Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,22/11/2024,VI-126117,756.00,Revenue,Felgains Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/11/2024,VI-125773,"2,097.32",Revenue,Felixstowe History & Museum Society,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/11/2024,VI-125895,"7,812.07",Revenue,Felixstowe Opportunity Group,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,06/11/2024,VI-125169,768.14,Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,06/11/2024,VI-125199,"1,900.00",Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,22/11/2024,VI-125808,"1,000.00",Revenue,Felixstowe Carnival Association,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,12/11/2024,VI-125570,"2,401.67",Revenue,Felixstowe Blinds & Awnings Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,01/11/2024,VI-124849,"2,166.20",Revenue,FERA,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,01/11/2024,VI-123960,280.43,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/11/2024,VI-125777,400.00,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/11/2024,VI-125739,501.33,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/11/2024,VI-125731,284.19,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/11/2024,VI-124890,"3,575.00",Capital,Flamestone Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,01/11/2024,VI-124936,295.00,Revenue,Flyer Group Media Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,20/11/2024,VI-124457,"1,816.80",Revenue,Footstars CIC,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Furniture and Equipment,13/11/2024,VI-125499,"15,830.00",Revenue,Fourstar Refrigeration Company Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,01/11/2024,VI-124902,650.00,Revenue,Framlingham Town Council,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Supplies and Services,Consultants,08/11/2024,VI-125496,363.70,Revenue,H Fraser Consulting Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Supplies and Services,Consultants,29/11/2024,VI-126502,256.75,Revenue,H Fraser Consulting Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,19/11/2024,VI-125771,673.00,Revenue,The Freedom Group of Companies Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,01/11/2024,VI-124908,750.00,Revenue,Friends of Bungay Community Library,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,26/11/2024,VI-126326,"1,102.50",Revenue,Friends of Lowestoft Library,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Employee Expenses,Contract Staff,12/11/2024,VI-125161,"1,274.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/11/2024,VI-123588,"68,503.43",Capital,Gasway Services Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Miscellaneous Other Services,06/11/2024,VI-125190,495.00,Revenue,Gemini Data Loggers (Uk) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Miscellaneous Other Services,15/11/2024,VI-125680,495.00,Revenue,Gemini Data Loggers (Uk) Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,08/11/2024,VI-125215,"1,250.00",Revenue,Genius Within CIC,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,22/11/2024,VI-126069,"1,989.60",Revenue,Gilbert Builders Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/11/2024,VI-125975,"1,848.33",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Legal Fees,22/11/2024,VI-125908,"2,498.00",Revenue,Gotelee Solicitors,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125624,"6,029.22",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,12/11/2024,VI-125641,"2,721.09",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,19/11/2024,VI-125904,"1,170.00",Revenue,GP Planning Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,01/11/2024,VI-124995,"9,263.74",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,05/11/2024,VI-125118,"1,172.95",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,05/11/2024,VC-003829,-288.56,Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/11/2024,VI-125443,"5,304.48",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/11/2024,VI-125613,"6,143.73",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/11/2024,VI-125614,"10,260.31",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/11/2024,VI-125815,"3,494.72",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,15/11/2024,VI-125816,261.94,Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,27/11/2024,VI-126423,"1,619.31",Revenue,Graham,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,19/11/2024,VI-125774,"1,500.00",Revenue,Grapevine Computing,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,27/11/2024,VI-126169,"2,000.00",Revenue,Great Bealings Parish Council,,,,,,,,,,,,,,,
