Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Tenants Allowances,45685,VI-130349,1078.7,Revenue,Crown Paints Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Tenants Allowances,45685,VI-130419,1817.9,Revenue,Crown Paints Ltd
Community Health,Port Health Authority,Supplies and Services,Consultants,45667,VI-129132,455,Revenue,Crystolutions Ltd
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,45678,VI-129406,3075.22,Revenue,Daisy Communications Ltd
Corporate Services,Human Resources,Employee Expenses,Medical Fees,45667,VI-129721,570,Revenue,Greg Daniels Coaching
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,"HRA Drainage, Pumping Stat etc",45681,VI-126339,2840.2,Revenue,Darren's Drains
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,45666,VI-128885,20336.31,Revenue,The Data Appeal Company Spa
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Hospitality,45685,VI-130432,320,Revenue,Deborah's Homemade Bakes
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45667,VI-128818,4136,Capital,Dell Corporation Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Hardware Purchases,45667,VI-128897,1935,Revenue,Dell Corporation Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,45685,VI-129932,20700,Capital,Dell Corporation Ltd
Corporate Services,ICT,Supplies and Services,Hardware Purchases,45667,VI-129373,316.38,Revenue,Dell Products
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Consultants,45664,VC-003293,-1163,Revenue,Demstrip Services Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Consultants,45664,VI-127293,1036,Revenue,Demstrip Services Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45664,VI-128177,13720,Capital,Demstrip Services Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45672,VI-129597,1444.21,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45672,VI-129602,503,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45679,VI-130133,489.36,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45685,VI-128728,1021.54,Revenue,DG Accessible Designs
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45686,VI-130540,954.91,Revenue,DG Accessible Designs
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,45678,VI-129828,3560,Revenue,Digger Boats Ltd
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,45678,VI-129830,3640,Revenue,Digger Boats Ltd
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,45679,VI-129584,990,Revenue,Disclosure & Barring Service
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,45667,VI-129742,324.17,Revenue,D&M Tools Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45672,VI-129554,5846,Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45672,VI-129555,2647,Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45672,VI-129558,5054,Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45679,VI-130126,6785,Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45686,VI-130539,6154,Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45686,VI-130450,2930,Revenue,Dolphin Stairlifts (East Anglia) Limited
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45686,VI-130441,5523,Revenue,Dolphin Stairlifts (East Anglia) Limited
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,45685,VI-130244,1252,Revenue,DSV Road Ltd
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,45685,VI-130245,1252,Revenue,DSV Road Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45685,VI-127729,4422.96,Revenue,East Coast Scaffolding Ltd
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,45685,VI-129842,1474.32,Revenue,East Coast Scaffolding Ltd
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,45674,VI-129667,41370.48,Revenue,East Suffolk Water Management Board
Excluded,Bank Accounts,Current Liabilities,Creditors - Unallocated,45681,VI-130230,550.8,Revenue,East Anglian Schools Trust
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45678,VI-129968,632.5,Revenue,East Suffolk Properties Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,45686,VI-130348,4920,Revenue,East Coast Energy Training Academy
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45665,VI-128906,15280,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45665,VI-128898,17105,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45671,VI-129273,2375,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45678,VI-129765,16885,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45678,VI-129761,14235,Revenue,Easton Apartments Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45681,VI-130238,18539,Revenue,Easton Apartments Ltd
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,45667,VI-128940,455.4,Revenue,East Suffolk Services Limited
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,45667,VI-129222,1175.59,Revenue,East Suffolk Services Limited
Corporate Services,Admin Buildings,Premises Expenses,Fixtures & Fittings,45671,VI-129221,3128.88,Revenue,East Suffolk Services Limited
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,45671,VI-129193,1305,Revenue,East Suffolk Services Limited
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,45674,VI-129232,3004.4,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,45678,VC-004001,-655.65,Revenue,East Suffolk Services Limited
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,45678,VI-129194,974.4,Revenue,East Suffolk Services Limited
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Building Services - Responsive Maintenance,45678,VI-129786,630.05,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,45678,VI-129961,715,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,45678,VI-129962,747.5,Revenue,East Suffolk Services Limited
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,45681,VI-126812,4591.25,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Premises Expenses,Other Cleaning Services,45681,VI-129698,585,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,45681,VI-130171,884,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,45681,VI-130173,598,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,45681,VI-130188,747.5,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,45681,VI-130214,1102,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,45681,VI-130215,1403.6,Revenue,East Suffolk Services Limited
Financial Resources and Value for Money,Recharge Accounts,Third Party Payments,Other Local Authorities Third Party,45685,VI-130366,1634167,Revenue,East Suffolk Services Limited
Planning and Coastal Management,Coastal Management,Premises Expenses,Grounds Maintenance - Coastal,45688,VI-130658,1386,Revenue,East Suffolk Services Limited
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,45681,VI-130239,7033.22,Capital,East Rising Ltd
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,45688,VI-130553,14733.17,Capital,East Rising Ltd
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,45671,VI-129024,117566.5,Revenue,EDF Energy Networks Ltd
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Electricity,45681,VI-130043,101345.16,Revenue,EDF Energy Networks Ltd
Corporate Services,Admin Buildings,Premises Expenses,Electricity,45673,VC-004014,-742.24,Revenue,EDF Energy Networks Ltd
Corporate Services,Admin Buildings,Premises Expenses,Electricity,45673,VC-004015,-1419.91,Revenue,EDF Energy Networks Ltd
Corporate Services,Admin Buildings,Premises Expenses,Electricity,45673,VC-004016,-908.8,Revenue,EDF Energy Networks Ltd
Corporate Services,Admin Buildings,Premises Expenses,Electricity,45673,VC-004017,-529.63,Revenue,EDF Energy Networks Ltd
Planning and Coastal Management,Coastal Management,Supplies and Services,Hospitality,45667,VI-129826,472.5,Revenue,Edgbaston Park Hotel
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,45688,VI-130550,757.46,Revenue,EE Ltd
Excluded,Holding Accounts,Supplies and Services,Miscellaneous Other Services,45667,VI-128598,3897.67,Revenue,Election Claims Unit
Excluded,Holding Accounts,Supplies and Services,Miscellaneous Other Services,45667,VI-128599,26285.46,Revenue,Election Claims Unit
Planning and Coastal Management,Coastal Management,Supplies and Services,Software Maintenance,45674,VI-129455,1835,Revenue,Elecosoft UK Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45664,VI-128931,2000,Revenue,Emmaus Suffolk
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45679,VI-130101,4821.5,Revenue,Enable Access Ltd
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Electricity,45674,VI-129417,1560,Revenue,Energy Controls Group Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,45685,VI-130275,659.63,Revenue,Envirovent Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,45685,VI-130319,659.63,Revenue,Envirovent Ltd
The Environment,Environmental Protection,Employee Expenses,Basic Pay,45667,VI-128841,4316.3,Revenue,Environmental Health Resource Centre Ltd
Planning and Coastal Management,Coastal Management,Supplies and Services,Corporate Subscriptions,45681,VI-129728,10500,Revenue,Esri UK Ltd
Community Health,Licensing,Supplies and Services,Furniture and Equipment,45674,VI-129626,940.09,Revenue,Digital ID Ltd
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,45688,VI-130079,3839.24,Revenue,EVAD Think Unfied Ltd
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Supplies and Services,Health and Safety,45664,VI-127960,4524.35,Revenue,Exemplifire Limited
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,45667,VI-126757,415,Revenue,Exemplifire Limited
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Supplies and Services,Health and Safety,45667,VI-128922,3220.9,Revenue,Exemplifire Limited
Corporate Services,Admin Buildings,Holding Account - Cash Out,Capital Expenditure,45681,VI-130148,2345,Capital,Exemplifire Limited
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Supplies and Services,Health and Safety,45681,VI-130172,2878.25,Revenue,Exemplifire Limited
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Marketing & Promotions,45667,VI-129569,267.83,Revenue,Meta Platforms Ireland
Leader of the Council,Legal,Supplies and Services,Legal Fees,45664,VI-125932,1500,Revenue,FCC Recycling (UK) Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,45665,VI-128987,1050,Revenue,Feilden & Mawson
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45664,VI-128862,3029,Revenue,Felgains Ltd
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,45678,VI-129922,3989.2,Revenue,FERA
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,45667,VI-129185,10333,Revenue,First Light Festival C.I.C.
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,45667,VI-129186,17076,Revenue,First Light Festival C.I.C.
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,45678,VI-129812,398,Revenue,Fisher Scientific UK Ltd
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,45688,VI-130675,398,Revenue,Fisher Scientific UK Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,45686,VI-130543,252,Revenue,Flagship Housing Group Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,45688,VI-129784,28255,Revenue,Forgaard Agency Ltd
Corporate Services,Cemeteries,Supplies and Services,Consultants,45685,VI-130266,1159.75,Revenue,H Fraser Consulting Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45674,VI-129674,250,Revenue,Friston Village History Group
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,45686,VI-130458,1200,Revenue,Froggy Hire
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45672,VI-129590,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45672,VI-129592,1508,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45672,VI-129593,1404,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45672,VI-129595,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45672,VI-129596,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45672,VI-129598,2652,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45672,VI-129599,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45672,VI-129601,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45678,VI-129600,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129635,2000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129636,1600,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129637,2000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129639,2000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129641,1600,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45678,VI-129642,2200,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45679,VI-129630,1200,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45679,VI-129632,2000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45679,VI-129634,2000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45679,VI-129874,1600,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,45679,VI-129875,2000,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45688,VI-130663,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45688,VI-130664,1560,Revenue,G2 Recruitment Solutions a division of G2V Recruit
The Environment,Environmental Protection,Employee Expenses,Contract Staff,45688,VI-130667,1040,Revenue,G2 Recruitment Solutions a division of G2V Recruit
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45686,VI-130555,588,Revenue,Garden Care
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,45664,VI-129697,46803.33,Revenue,Gasway Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,45666,VI-130745,46803.33,Revenue,Gasway Services Limited
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45673,VI-129734,89073.82,Capital,Gasway Services Limited
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Electrical Heating,45678,VI-127382,11628.59,Revenue,Gasway Services
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Electrical Heating,45678,VI-129683,7610.16,Revenue,Gasway Services
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,45665,VI-128972,600,Revenue,G K Consulting
Corporate Services,ICT,Supplies and Services,Software Maintenance,45679,VI-129785,1848.83,Revenue,GoCardless Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45664,VI-128873,1029.89,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45664,VI-128939,12593.75,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45672,VI-129546,13368.48,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45678,VI-129718,6946.79,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45678,VI-129770,1146.93,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45685,VI-130344,11459.67,Revenue,Graham
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,45688,VI-130696,2740.83,Revenue,Graham
Financial Resources and Value for Money,Other Financial Transactions,Supplies and Services,Audit Fees,45681,VI-130130,7500,Revenue,Grant Thornton UK LLP
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,45674,VI-129672,1125,Revenue,Grapevine Computing
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,45688,VI-130617,1373.05,Revenue,E.E. Green & Son Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45667,VI-128985,718.68,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45667,VI-128970,528,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45667,VI-128967,468,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,45667,VI-128966,282,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45667,VI-128963,270,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45667,VI-128960,912,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45671,VI-129456,362.4,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45671,VI-129556,980,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45672,VI-129594,8578.62,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45679,VI-130073,5987.16,Revenue,Greenfuture Solutions
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45685,VI-130333,270,Revenue,Greenfuture Solutions
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,45667,VI-127407,669.43,Capital,Greyfriars Project Management
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,45685,VI-129396,563.47,Capital,Greyfriars Project Management
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,45685,VI-125600,4934.6,Capital,Greyfriars Project Management
Excluded,Bank Accounts,Current Liabilities,Creditors - Unallocated,45681,VI-130225,2441.4,Revenue,The Great Yarmouth Palace Church
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,45671,VI-129390,54149.14,Revenue,Groundwork East
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,45667,VI-129072,27658,Revenue,The Growth Company
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,45678,VI-126892,4160,Revenue,Hags SMP Ltd
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,45664,VI-128291,2323.5,Revenue,Hags SMP Ltd
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,45678,VI-126809,1785,Revenue,Hags SMP Ltd
Financial Resources and Value for Money,Procurement,Employee Expenses,Contract Staff,45664,VI-128806,898.73,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45664,VI-128803,692.01,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45664,VI-128501,1463.33,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45664,VI-128798,920.63,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45664,VI-128797,572.7,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45665,VI-128957,310.2,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,45665,VI-128804,1988.98,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,45667,VI-129187,434.16,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45667,VI-129035,331.43,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45667,VI-128498,472.5,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45667,VI-128795,456.9,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45671,VI-129442,310.2,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45671,VI-129453,368.25,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45671,VI-128955,343.62,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45671,VI-129447,439.07,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45671,VI-129449,539.29,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45672,VI-127374,1556.26,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45674,VI-129811,540.95,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45678,VI-129808,855.38,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45678,VI-129809,685.35,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45678,VI-129813,775.5,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,45678,VI-129840,542.7,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45678,VI-129904,920.63,Revenue,Hales Group Limited
Financial Resources and Value for Money,Procurement,Employee Expenses,Contract Staff,45678,VI-129905,3241.64,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,45678,VI-129902,1539.57,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,45678,VI-129451,2416.97,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,45678,VI-127891,3096.24,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45679,VI-129810,692.01,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45685,VI-130368,855.38,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45685,VI-130370,775.5,Revenue,Hales Group Limited
Financial Resources and Value for Money,Procurement,Employee Expenses,Basic Pay,45685,VI-130372,3672.88,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45685,VI-130374,1260,Revenue,Hales Group Limited
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,45685,VI-130376,349,Revenue,Hales Group Limited
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,45685,VI-130387,901.5,Revenue,Hales Group Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Contract Staff,45688,VI-130375,1644.65,Revenue,Hales Group Limited
Corporate Services,Human Resources,Employee Expenses,Basic Pay,45688,VI-130603,2119.82,Revenue,Hales Group Limited
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,45688,VI-130604,542.7,Revenue,Hales Group Limited
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Other Ext Provided Services,45678,VI-127976,1000,Revenue,Hammonds Accident Repair Centre
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Other Ext Provided Services,45678,VI-128859,1000,Revenue,Hammonds Accident Repair Centre
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Other Ext Provided Services,45678,VI-128860,1000,Revenue,Hammonds Accident Repair Centre
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,45679,VI-130103,1500,Revenue,Harwich Harbour Ferry Services
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,45679,VI-130123,50704.4,Capital,Harte Demolition Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,45667,VI-128722,3887.5,Revenue,HAT Projects Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,45678,VI-129603,375,Revenue,HAT Projects Ltd
