Portfolio,Supplier_Name,Payment_Date,Transaction_Number,Net Amount,Merchant Category
Adult Care and Health,BRIGHTER LIVING CARE LTD,45084,5037791,5902.24,TCR SUPPLIER GENERAL
Adult Care and Health,BRITISH HOME AND HOSPITAL FOR INCURABLES,45084,5037792,25617.08,TCR SUPPLIER GENERAL
Adult Care and Health,BRITISH HOME AND HOSPITAL FOR INCURABLES,45084,5037792,3611.5600000000004,TCR SUPPLIER GENERAL
"Children, Education and Families",BROMLEY COURT HOTEL,45084,5037793,599.71,OTHER CREDS
Adult Care and Health,BROWNHILL LODGE,45084,5037794,5782.4,TCR RESIDENTIAL HOME
Adult Care and Health,BRYMORE CARE HOMES LTD,45084,5037795,4209.379999999999,TCR RESIDENTIAL HOME
Adult Care and Health,BUPA CARE SERVICES,45084,5037797,2560.6400000000003,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037798,3088.34,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037799,3166.48,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037800,3167.84,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037801,5373.4400000000005,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037802,6037.64,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037803,7211.4,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037803,3328,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037804,19630.07,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037804,4265.76,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037805,26446.16,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45084,5037805,2730.4,OTHER CREDS
Adult Care and Health,BURROWS HOUSE,45084,5037806,96038.98999999996,TCR RESIDENTIAL HOME
Adult Care and Health,BURROWS HOUSE,45084,5037806,8748.24,TCR RESIDENTIAL HOME
Adult Care and Health,CAMBIAN SIGN POST LTD,45084,5037808,16679.12,TCR RESIDENTIAL HOME
Adult Care and Health,CAMPHILL BLAIR DRUMMOND,45084,5037809,6313.92,TCR RESIDENTIAL HOME
Adult Care and Health,CANTERBURY OAST TRUST * 3000326,45084,5037810,4730.4400000000005,OTHER CREDS
Adult Care and Health,CANTERBURY OAST TRUST * 3000326,45084,5037811,7733.32,OTHER CREDS
Adult Care and Health,CANTERBURY OAST TRUST * 3000326,45084,5037812,32415.519999999997,OTHER CREDS
Adult Care and Health,CARE DIRECT UK LTD,45084,5037813,4339.68,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037814,6642,ST SUPP LODGE
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037815,7111.6,ST SUPP LODGE
Adult Care and Health,CARE PRO SOUTH EAST LTD,45084,5037816,4270.4,OTHER CREDS
Adult Care and Health,CARE WORLD AGENCY LTD,45084,5037817,8585.61,TCR SUPPLIER GENERAL
Adult Care and Health,CARE WORLD AGENCY LTD,45084,5037817,39.82,TCR SUPPLIER GENERAL
Adult Care and Health,CARETECH COMMUNITY SERVICES LTD,45084,5037818,9357.2,TCR SUPPLIER GENERAL
Adult Care and Health,CARETECH COMMUNITY SERVICES LTD,45084,5037819,9628.76,TCR SUPPLIER GENERAL
Adult Care and Health,CARETECH COMMUNITY SERVICES LTD,45084,5037820,60279.92,TCR SUPPLIER GENERAL
Adult Care and Health,CARNALEA LIMITED,45084,5037821,3868.8,TCR RESIDENTIAL HOME
Adult Care and Health,CAS CARE SERVICES LTD,45084,5037822,13191.84,TCR RESIDENTIAL HOME
Adult Care and Health,CEDARMORE HOUSING ASSOCIATION LTD,45084,5037823,7229.619999999999,TCR RESIDENTIAL HOME
Adult Care and Health,CEDARMORE HOUSING ASSOCIATION LTD,45084,5037823,13367.830000000002,TCR RESIDENTIAL HOME
"Renewal, Recreation and Housing",CEDARMORE HOUSING ASSOCIATION LTD,45084,5037823,150,TCR RESIDENTIAL HOME
Adult Care and Health,CHANCTONBURY HEALTHCARE LTD,45084,5037825,2891.2,TCR RESIDENTIAL HOME
Adult Care and Health,CHARING COURT INVESTMENTS LTD ROSEWOOD RESIDENTIAL CARE HOME,45084,5037826,2892.24,TCR RESIDENTIAL HOME
Adult Care and Health,CHARING ROSE LTD,45084,5037827,3207.8,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG LTD T/A CRANMER COURT,45084,5037828,2694.4,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG LTD T/A KIPPINGTONS,45084,5037829,2527.44,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG LTD T/A SUNDRIDGE,45084,5037830,46629.61,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG LTD T/A SUNDRIDGE,45084,5037830,3282.48,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG T/A BELMONT HOUSE,45084,5037831,21462.239999999998,TCR RESIDENTIAL HOME
"Children, Education and Families",CHILDRENS SERVICES NETWORK,45084,5037832,454.95,TCR SUPPLIER GENERAL
Adult Care and Health,CHISLEHURST CARE LIMITED,45084,5037833,9216.6,TCR RESIDENTIAL HOME
Adult Care and Health,CHISLEHURST CARE LIMITED,45084,5037834,31009.089999999993,TCR RESIDENTIAL HOME
Adult Care and Health,CHISLEHURST CARE LIMITED,45084,5037835,62004.19999999998,TCR RESIDENTIAL HOME
Adult Care and Health,CHISLEHURST CARE LIMITED,45084,5037835,2891.2,TCR RESIDENTIAL HOME
Adult Care and Health,CHOICE CARE (COMMUNITY HOMES OF INTENSIVE CARE & EDUCATION) LTD,45084,5037836,7342.12,TCR SUPPLIER GENERAL
Adult Care and Health,CHOICE SUPPORT,45084,5037837,83104.44000000002,TCR RESIDENTIAL HOME
Adult Care and Health,CHURCHILL RESIDENTIAL CARE & NURSING HOME LTD,45084,5037838,6240,TCR RESIDENTIAL HOME
Adult Care and Health,CNV LTD,45084,5037839,2730.24,TCR RESIDENTIAL HOME
Adult Care and Health,COLOMA COURT CARE HOME,45084,5037841,7995.52,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037842,4168.72,IND RESIDENTIAL
Adult Care and Health,CONTEMPLATION HOMES LTD,45084,5037843,3186.8,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037844,2197.64,TCR RESIDENTIAL HOME
Adult Care and Health,CRAEGMOOR HEALTHCARE,45084,5037845,2699.08,OTHER CREDS
Adult Care and Health,CRAEGMOOR HEALTHCARE,45084,5037846,6702.639999999999,OTHER CREDS
Adult Care and Health,CRAEGMOOR HEALTHCARE,45084,5037847,9524.039999999999,OTHER CREDS
Adult Care and Health,CREATIVE SUPPORT LTD,45084,5037848,49152.29000000001,TCR SUPPLIER GENERAL
Adult Care and Health,CREATIVE SUPPORT LTD,45084,5037849,65275.65,TCR SUPPLIER GENERAL
Adult Care and Health,CREATIVE SUPPORT LTD,45084,5037850,77263.05,TCR SUPPLIER GENERAL
Adult Care and Health,CYGNET DH LTD,45084,5037852,16747.52,TCR DOMICILIARY PROVIDER
Adult Care and Health,CYGNET HEALTH CARE LIMITED,45084,5037853,17241.75,TCR RESIDENTIAL HOME
"Children, Education and Families",REDACTED PERSONAL DATA,45084,5037854,9042.8,CHILDRENS RES UNITS
"Children, Education and Families",REDACTED PERSONAL DATA,45084,5037855,9042.8,CHILDRENS RES UNITS
"Children, Education and Families",REDACTED PERSONAL DATA,45084,5037856,9042.8,CHILDRENS RES UNITS
"Children, Education and Families",REDACTED PERSONAL DATA,45084,5037857,9042.8,CHILDRENS RES UNITS
"Children, Education and Families",REDACTED PERSONAL DATA,45084,5037858,9042.8,CHILDRENS RES UNITS
Adult Care and Health,DAISY CORPORATE SERVICES,45084,5037859,21.73,TCR SUPPLIER GENERAL
Adult Care and Health,DAISY CORPORATE SERVICES,45084,5037859,209.48,TCR SUPPLIER GENERAL
"Children, Education and Families",DAISY CORPORATE SERVICES,45084,5037859,214.52,TCR SUPPLIER GENERAL
"Children, Education and Families",DAISY CORPORATE SERVICES,45084,5037859,24.49,TCR SUPPLIER GENERAL
"Children, Education and Families",DAISY CORPORATE SERVICES,45084,5037859,225.01,TCR SUPPLIER GENERAL
"Children, Education and Families",DAISY CORPORATE SERVICES,45084,5037859,152.45,TCR SUPPLIER GENERAL
"Children, Education and Families",DAISY CORPORATE SERVICES,45084,5037859,21.73,TCR SUPPLIER GENERAL
"Children, Education and Families",DAISY CORPORATE SERVICES,45084,5037859,296.87,TCR SUPPLIER GENERAL
Environment & Community Services,DAISY CORPORATE SERVICES,45084,5037859,65.19,TCR SUPPLIER GENERAL
Environment & Community Services,DAISY CORPORATE SERVICES,45084,5037859,43.46,TCR SUPPLIER GENERAL
Environment & Community Services,DAISY CORPORATE SERVICES,45084,5037859,195.57,TCR SUPPLIER GENERAL
Environment & Community Services,DAISY CORPORATE SERVICES,45084,5037859,117.94,TCR SUPPLIER GENERAL
Environment & Community Services,DAISY CORPORATE SERVICES,45084,5037859,46.95,TCR SUPPLIER GENERAL
Environment & Community Services,DAISY CORPORATE SERVICES,45084,5037859,65.19,TCR SUPPLIER GENERAL
Environment & Community Services,DAISY CORPORATE SERVICES,45084,5037859,76.19,TCR SUPPLIER GENERAL
Public Protection and Enforcement,DAISY CORPORATE SERVICES,45084,5037859,131.25,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",DAISY CORPORATE SERVICES,45084,5037859,69.83,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",DAISY CORPORATE SERVICES,45084,5037859,26.61,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",DAISY CORPORATE SERVICES,45084,5037859,374.69,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",DAISY CORPORATE SERVICES,45084,5037859,133.14,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",DAISY CORPORATE SERVICES,45084,5037859,21.73,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",DAISY CORPORATE SERVICES,45084,5037859,23.95,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",DAISY CORPORATE SERVICES,45084,5037859,517.66,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",DALE POWER SOLUTIONS LTD,45084,5037860,2400,SUB-CONTRACTOR
Adult Care and Health,DARETHEALTHCARE UK LTD,45084,5037861,2714.76,TCR DOMICILIARY PROVIDER
Adult Care and Health,DARETHEALTHCARE UK LTD,45084,5037861,6206.799999999999,TCR DOMICILIARY PROVIDER
Adult Care and Health,DAY TO DAY CARE LTD,45084,5037863,1514.8000000000002,TCR DOMICILIARY PROVIDER
Adult Care and Health,DAY TO DAY CARE LTD,45084,5037863,73.68,TCR DOMICILIARY PROVIDER
Adult Care and Health,DAY TO DAY CARE LTD,45084,5037863,239.57999999999998,TCR DOMICILIARY PROVIDER
"Resources, Commissioning and Contracts Management",DEKA CHAMBERS ,45084,5037864,1550,TCR LEGAL
Adult Care and Health,DIAGRAMA HEALTHCARE SERVICES LTD,45084,5037865,33033.88,ST SUPP LODGE
Adult Care and Health,DIAGRAMA HEALTHCARE SERVICES LTD,45084,5037866,84341.29999999994,ST SUPP LODGE
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037867,12337.169999999996,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037867,2115.34,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037868,10199.9,TCR RESIDENTIAL HOME
Adult Care and Health,DYZACK LIMITED,45084,5037869,13885,OTHER CREDS
Adult Care and Health,EAST VIEW HOUSING MANAGEMENT LTD,45084,5037870,12252.84,OTHER CREDS
"Renewal, Recreation and Housing",EASYMOVE ESTATE AGENTS LTD,45084,5037871,13485,TCR LANDLORD
Adult Care and Health,EDEN HEALTH CARE SERVICES (UK) LTD,45084,5037872,52912.12,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037875,3806.4,TCR RESIDENTIAL HOME
Adult Care and Health,ELMES HOMECARE LTD,45084,5037876,9056.28,TCR DOMICILIARY PROVIDER
Adult Care and Health,ELYSIUM HEALTHCARE LTD,45084,5037877,9062.599999999999,TCR SUPPLIER GENERAL
Adult Care and Health,ELYSIUM HEALTHCARE LTD,45084,5037877,29989.84,TCR SUPPLIER GENERAL
"Children, Education and Families",EON NEXT,45084,5037878,318.05,TCR UTILITY
"Children, Education and Families",EON NEXT,45084,5037878,318.05,TCR UTILITY
Adult Care and Health,ETERNAL CARE UK LTD,45084,5037880,3908.1,TCR DOMICILIARY PROVIDER
Adult Care and Health,ETERNAL CARE UK LTD,45084,5037880,4440.58,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037881,600,TCR SUPPLIER GENERAL
Adult Care and Health,FIRCROFT * 3018718,45084,5037884,5218,OTHER CREDS
Adult Care and Health,FIRCROFT * 3018718,45084,5037884,4879.36,OTHER CREDS
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037885,9355.08,ST SUPP LODGE
Adult Care and Health,FOR AND ON BEHALF OF NORBURY HALL RESIDENTIAL CARE HOME,45084,5037886,8415.83,TCR RESIDENTIAL HOME
Adult Care and Health,FOUR SEASONS 2000 LTD RE CEDAR COURT,45084,5037887,12173.04,TCR RESIDENTIAL HOME
Adult Care and Health,FOUR SEASONS 2000 LTD RE MARLBOROUGH,45084,5037888,2704,TCR RESIDENTIAL HOME
Adult Care and Health,FOUR SEASONS 2000 LTD RE MARLBOROUGH,45084,5037889,5616,TCR RESIDENTIAL HOME
Adult Care and Health,FREEWAYS TRUST LTD,45084,5037890,4089.6000000000004,OTHER CREDS
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037891,6731.08,TCR RESIDENTIAL HOME
Adult Care and Health,FRIENDS THERAPEUTIC COMMUNITY TRUST,45084,5037892,27605.76,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037893,15496.96,IND RESIDENTIAL
Adult Care and Health,GIBSON'S LODGE LTD,45084,5037894,3224,TCR RESIDENTIAL HOME
Adult Care and Health,GLANCESTYLE CARE HOMES LTD,45084,5037895,11985.48,TCR RESIDENTIAL HOME
Adult Care and Health,GLEBE CARE LTD,45084,5037896,23131,TCR RESIDENTIAL HOME
Environment & Community Services,GLENDALE GROUNDS MANAGEMENT LTD,45084,5037897,28120.64,SUB-CONTRACTOR
Environment & Community Services,GLENDALE GROUNDS MANAGEMENT LTD,45084,5037897,32.58,SUB-CONTRACTOR
Adult Care and Health,GLENHOLME HEALTHCARE (NGC) LTD,45084,5037898,8561.68,TCR DOMICILIARY PROVIDER
Adult Care and Health,GLENHOLME HEALTHCARE LTD,45084,5037899,5039.8,TCR RESIDENTIAL HOME
"Children, Education and Families",GLOBAL MEDIATION LTD,45084,5037900,6480,TCR CONSULTANT
Adult Care and Health,GOLD CARE SERVICES LTD,45084,5037902,10681.6,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037903,7687.68,ST SUPP LODGE
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037903,10069.28,ST SUPP LODGE
Adult Care and Health,GRAVESEND INDEPENDENT LIVING SERVICES LTD,45084,5037904,5034.64,TCR RESIDENTIAL HOME
Adult Care and Health,GREENSLEEVES HOMES TRUST (LAVENDER FIELDS CARE HOME),45084,5037905,13676.3,TCR RESIDENTIAL HOME
Adult Care and Health,GRESHAM CARE OPERATIONS LTD,45084,5037906,8277.36,ST SUPP LODGE
Adult Care and Health,GRESHAM CARE OPERATIONS LTD,45084,5037907,8606.4,ST SUPP LODGE
Adult Care and Health,GRESHAM CARE OPERATIONS LTD,45084,5037908,10878.44,ST SUPP LODGE
Adult Care and Health,GRESHAM CARE OPERATIONS LTD,45084,5037909,15014.119999999999,ST SUPP LODGE
Adult Care and Health,GRESHAM CARE OPERATIONS LTD,45084,5037910,20222.68,ST SUPP LODGE
Adult Care and Health,H PLUS CARE LTD,45084,5037911,5200,TCR RESIDENTIAL HOME
Adult Care and Health,HAMBERLEY CARE 2 LTD,45084,5037912,1908.88,TCR RESIDENTIAL HOME
Adult Care and Health,HARMONY HOME AID SERVICES LTD,45084,5037913,927.85,TCR DOMICILIARY PROVIDER
Adult Care and Health,HARMONY HOME AID SERVICES LTD,45084,5037913,35.42,TCR DOMICILIARY PROVIDER
Adult Care and Health,HAZELDENE LTD,45084,5037914,10241.96,VENDOR
Adult Care and Health,HAZELDENE LTD,45084,5037915,11226.24,VENDOR
Adult Care and Health,HC ONE LTD,45084,5037916,813.6099999999997,TCR RESIDENTIAL HOME
Adult Care and Health,HC ONE LTD,45084,5037917,2770.88,TCR RESIDENTIAL HOME
Adult Care and Health,HEALTH PERSONNEL LTD,45084,5037918,7194.72,TCR SUPPLIER GENERAL
Adult Care and Health,HEALTHCARE HOMES (SPRING) LTD,45084,5037919,1303.9599999999998,TCR RESIDENTIAL HOME
Adult Care and Health,HEATHCOTES SOUTHERN LTD,45084,5037920,8821.56,TCR RESIDENTIAL HOME
Adult Care and Health,HEATHERWOOD NURSING HOME,45084,5037921,6066.8,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037922,7623.96,TCR RESIDENTIAL HOME
Adult Care and Health,HOLLYMEADE COTTAGE LTD,45084,5037923,1878.6399999999999,TCR RESIDENTIAL HOME
Adult Care and Health,HOLYWELL PARK LTD,45084,5037924,4746.56,TCR RESIDENTIAL HOME
Adult Care and Health,HOMECARE BROMLEY,45084,5037925,5622.73,TCR RESIDENTIAL HOME
Adult Care and Health,HOMECARE BROMLEY,45084,5037925,179.72,TCR RESIDENTIAL HOME
Adult Care and Health,HOMELANDS * 3008893,45084,5037926,6028.8,OTHER CREDS
Adult Care and Health,HOMELANDS * 3008893,45084,5037926,3026.88,OTHER CREDS
"Renewal, Recreation and Housing",HOMELY HOUSING,45084,5037927,8333.5,VENDOR
Adult Care and Health,HSN CARE LTD,45084,5037928,15781.519999999999,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037929,6665.15,TCR DOMICILIARY PROVIDER
Adult Care and Health,INDEPENDENCE HOMES LTD,45084,5037930,8214.039999999999,TCR RESIDENTIAL HOME
Adult Care and Health,INDEPENDENCE HOMES LTD,45084,5037931,8971.16,TCR RESIDENTIAL HOME
Adult Care and Health,INDEPENDENCE HOMES LTD,45084,5037932,10283.52,TCR RESIDENTIAL HOME
Adult Care and Health,INDEPENDENT LIFESTYLES OPTIONS LTD,45084,5037933,4659.360000000001,TCR RESIDENTIAL HOME
Adult Care and Health,INDEX CARE LTD,45084,5037934,6294.36,ST SUPP LODGE
Adult Care and Health,INVICTA24 PLUS LTD,45084,5037936,13048.859999999993,TCR SUPPLIER GENERAL
Adult Care and Health,J & C CHELLUN T/A LAKESIDE NURSING HOME,45084,5037937,15453.880000000001,TCR RESIDENTIAL HOME
Adult Care and Health,JANSONDEAN NURSING HOME,45084,5037939,3222.16,TCR RESIDENTIAL HOME
Adult Care and Health,JANSONDEAN NURSING HOME,45084,5037940,91413.74999999997,TCR RESIDENTIAL HOME
Adult Care and Health,JANSONDEAN NURSING HOME,45084,5037940,6297.43,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037941,22734.72,TCR RESIDENTIAL HOME
"Children, Education and Families",KASPER LTD,45084,5037942,3892.2,VENDOR
Adult Care and Health,KINGS LODGE NURSING HOME,45084,5037943,18395.68,TCR RESIDENTIAL HOME
Adult Care and Health,KINGS LODGE NURSING HOME,45084,5037943,12741.12,TCR RESIDENTIAL HOME
Adult Care and Health,KISIMUL GROUP LTD,45084,5037944,48767.399999999994,TCR RESIDENTIAL HOME
"Children, Education and Families",LADYBIRDS 1991 LTD,45084,5037945,83580.84,TCR SUPPLIER GENERAL
Adult Care and Health,LAUREL RESIDENTIAL HOMES LIMITED,45084,5037946,3720.52,TCR RESIDENTIAL HOME
Adult Care and Health,LAUREL RESIDENTIAL HOMES LIMITED,45084,5037947,5270.32,TCR RESIDENTIAL HOME
Adult Care and Health,LAUREL RESIDENTIAL HOMES LIMITED,45084,5037948,11305.04,TCR RESIDENTIAL HOME
Adult Care and Health,LEONARD CHESHIRE SERVICES CIC,45084,5037951,63262.399999999994,TCR RESIDENTIAL HOME
Adult Care and Health,LEONARD CHESHIRE SERVICES CIC,45084,5037951,33160.9,TCR RESIDENTIAL HOME
"Renewal, Recreation and Housing",LESSHOMELESS LTD,45084,5037952,102165,TCR SUPPLIER GENERAL
Adult Care and Health,LEWISHAM NEXUS SERVICE T/A AURORA NEXUS,45084,5037953,1929.6,TCR SUPPLIER GENERAL
Adult Care and Health,LEWISHAM NEXUS SERVICE T/A AURORA NEXUS,45084,5037953,86052.95999999999,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45084,5037954,1060.5,IND AGENCY CARERS
Adult Care and Health,LIFETIME CARE DEVELOPMENT LTD,45084,5037955,9548.08,TCR RESIDENTIAL HOME
Adult Care and Health,LIFEWAYS COMMUNITY CARE LTD,45084,5037956,4028.76,ST SUPP LODGE
Adult Care and Health,LIRAL VEGET TRAINING AND RECRUITMENT LTD,45084,5037957,69479.36,TCR TRAINING
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037958,7428.72,ST SUPP LODGE
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037959,15986.88,ST SUPP LODGE
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037960,17130.4,ST SUPP LODGE
Adult Care and Health,LLOYD PARK NURSING HOME,45084,5037961,9665.119999999999,TCR RESIDENTIAL HOME
Adult Care and Health,LONDON RESIDENTIAL HEALTHCARE LTD,45084,5037963,4771.08,TCR RESIDENTIAL HOME
Adult Care and Health,LONDON RESIDENTIAL HEALTHCARE LTD,45084,5037964,2549.76,TCR RESIDENTIAL HOME
Adult Care and Health,LONDON RESIDENTIAL HEALTHCARE LTD,45084,5037964,3696.08,TCR RESIDENTIAL HOME
Adult Care and Health,LONDON RESIDENTIAL HEALTHCARE LTD,45084,5037965,8736,TCR RESIDENTIAL HOME
Adult Care and Health,LONDON RESIDENTIAL HEALTHCARE LTD,45084,5037965,2612.36,TCR RESIDENTIAL HOME
Adults Balance Sheet Total,REDACTED PERSONAL DATA,45084,5037966,8696.5,TCR TRANSPORT
Adult Care and Health,LORVEN HOUSING LTD,45084,5037967,8908.8,TCR RESIDENTIAL HOME
Adult Care and Health,LORVEN HOUSING LTD,45084,5037968,34802.53,TCR RESIDENTIAL HOME
Adult Care and Health,LOVESTAR LTD,45084,5037969,6921.16,TCR RESIDENTIAL HOME
Adult Care and Health,MACINTYRE CARE,45084,5037971,2563.0800000000004,TCR RESIDENTIAL HOME
Adult Care and Health,MACKLEY HOME CARE LTD,45084,5037972,1202.25,TCR DOMICILIARY PROVIDER
Adult Care and Health,MANOR CARE HOMES LTD,45084,5037973,6069.08,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037974,10646.24,TCR DOMICILIARY PROVIDER
Adult Care and Health,MAPLES CARE HOME,45084,5037975,514.3299999999997,TCR RESIDENTIAL HOME
Adult Care and Health,MARTHA TRUST,45084,5037976,9851.679999999998,TCR RESIDENTIAL HOME
Adult Care and Health,MEATH EPILEPSY TRUST,45084,5037977,15594.68,TCR RESIDENTIAL HOME
Adult Care and Health,MEDICAL EXPRESS CARE SERVICES,45084,5037978,7131.4,TCR RESIDENTIAL HOME
"Resources, Commissioning and Contracts Management",MEDIGOLD HEALTH CONSULTANCY LTD,45084,5037979,3402,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037980,14112.950000000003,TCR DOMICILIARY PROVIDER
Adult Care and Health,MILLARD HOUSE CARE LTD,45084,5037983,16956.28,TCR RESIDENTIAL HOME
Adult Care and Health,MINSA CARE LTD,45084,5037984,3224,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037990,72065.53000000001,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037990,3329.6,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037991,102698.37000000005,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037991,4102.08,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037992,121028.8100000001,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037992,1507.1399999999999,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037993,128404.53000000007,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037993,3329.6,TCR RESIDENTIAL HOME
Adult Care and Health,MISSION CARE,45084,5037993,6659.2,TCR RESIDENTIAL HOME
Adult Care and Health,MORDEN COLLEGE * 2007908,45084,5037994,10620.2,OTHER CREDS
Adult Care and Health,MORDEN COLLEGE * 2007908,45084,5037995,12980.169999999998,OTHER CREDS
Adult Care and Health,MORVEN HEALTHCARE LTD,45084,5037996,1827.6800000000003,TCR RESIDENTIAL HOME
Adult Care and Health,MR & MRS PURMESSUR T/A BAYTREES,45084,5037997,7432.84,TCR RESIDENTIAL HOME
"Children, Education and Families",REDACTED PERSONAL DATA,45084,5037998,612,TCR TRANSPORT
Adult Care and Health,REDACTED PERSONAL DATA,45084,5037999,27298.72,IND RESIDENTIAL
Adult Care and Health,MR Y AND MRS D ABHEE T/A FOXLEY LODGE,45084,5038004,6609.9400000000005,TCR RESIDENTIAL HOME
Adult Care and Health,MR Y AND MRS D ABHEE T/A FOXLEY LODGE,45084,5038004,5831.639999999999,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45084,5038006,180223.52000000002,CHILDRENS RES UNITS
Adult Care and Health,REDACTED PERSONAL DATA,45084,5038009,1502.88,IND RESIDENTIAL
Adult Care and Health,REDACTED PERSONAL DATA,45084,5038013,4586.72,IND CLIENT
Adult Care and Health,REDACTED PERSONAL DATA,45084,5038016,5616,IND RESIDENTIAL
Adult Care and Health,REDACTED PERSONAL DATA,45084,5038017,2567.12,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45084,5038020,2974.4,TCR RESIDENTIAL HOME
"Children, Education and Families",REDACTED PERSONAL DATA,45084,5038021,563.96,TCR TRANSPORT
Adult Care and Health,REDACTED PERSONAL DATA,45084,5038024,3480.4,OTHER CREDS
Adult Care and Health,NAVLETTE O MCFARLANE,45084,5038025,2763.7200000000003,TCR RESIDENTIAL HOME
Adult Care and Health,NAVLETTE O MCFARLANE,45084,5038025,3894.88,TCR RESIDENTIAL HOME
Adult Care and Health,NELLSAR LIMITED,45084,5038026,76191.21999999999,TCR RESIDENTIAL HOME
Adult Care and Health,NELLSAR LIMITED,45084,5038026,2528.7200000000003,TCR RESIDENTIAL HOME
Adult Care and Health,NEW CENTURY CARE (CATERHAM) LTD,45084,5038027,3224,TCR RESIDENTIAL HOME
Adult Care and Health,NEW DIRECTIONS,45084,5038028,7374.12,TCR RESIDENTIAL HOME
Adult Care and Health,NIGHTINGALE HAMMERSON TRUSTEE COMPANY LTD,45084,5038029,7860.88,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45084,5038030,4530.24,OTHER CREDS
Adult Care and Health,NOMASE CARE LTD,45084,5038034,16733.26,IND RESIDENTIAL
Adult Care and Health,NORWOOD SCHOOLS LTD,45084,5038035,6934.16,ST SUPP LODGE
Adult Care and Health,NORWOOD SCHOOLS LTD,45084,5038036,7256.76,ST SUPP LODGE
