Portfolio,Supplier_Name,Payment_Date,Transaction_Number,Net Amount,Merchant Category
Adult Care and Health,AUTISM INITIATIVES,45028,5030182,8462.240000000002,OTHER CREDS
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030184,624,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030185,686.4,IND CARERS/MOTHERS
Adult Care and Health,BARCHESTER HEALTHCARE HOMES LTD,45028,5030186,1089.4200000000021,TCR RESIDENTIAL HOME
Adult Care and Health,BARCHESTER HEALTHCARE HOMES LTD,45028,5030187,2043.7599999999998,TCR RESIDENTIAL HOME
Adult Care and Health,BARCHESTER HEALTHCARE HOMES LTD,45028,5030188,2458.68,TCR RESIDENTIAL HOME
Adult Care and Health,BARCHESTER HEALTHCARE HOMES LTD,45028,5030189,3021.12,TCR RESIDENTIAL HOME
Adult Care and Health,BARCHESTER HEALTHCARE HOMES LTD,45028,5030190,9471.55,TCR RESIDENTIAL HOME
Adult Care and Health,BARONSMEDE SUPPORT SERVICES LTD,45028,5030191,9745.88,TCR RESIDENTIAL HOME
"Children, Education and Families",BASTON PRE-SCHOOL LTD,45028,5030192,2852.44,TCR SUPPLIER GENERAL
"Children, Education and Families",BASTON PRE-SCHOOL LTD,45028,5030192,360,TCR SUPPLIER GENERAL
Adult Care and Health,BAUGH HOUSE,45028,5030193,51565.67000000001,TCR RESIDENTIAL HOME
Adult Care and Health,BEACH HOUSE BIRCHINGTON LTD,45028,5030194,4680,TCR RESIDENTIAL HOME
"Children, Education and Families",BEBRIGHT PROJECT LIMITED,45028,5030195,12109.42,TCR SUPPLIER GENERAL
"Children, Education and Families",BEBRIGHT PROJECT LIMITED,45028,5030195,360,TCR SUPPLIER GENERAL
"Children, Education and Families",BECKENHAM MONTESSORI PRE-SCHOOL LTD,45028,5030196,2599.96,TCR NURSERY
Adult Care and Health,BEEAKTIVE CARE LTD,45028,5030197,2265.94,TCR DOMICILIARY PROVIDER
Adult Care and Health,BEEAKTIVE CARE LTD,45028,5030197,709.48,TCR DOMICILIARY PROVIDER
Adult Care and Health,BEEAKTIVE CARE LTD,45028,5030198,2388.4,TCR DOMICILIARY PROVIDER
Adult Care and Health,BEEAKTIVE CARE LTD,45028,5030198,709.48,TCR DOMICILIARY PROVIDER
Adult Care and Health,BEEAKTIVE CARE LTD,45028,5030199,2388.4,TCR DOMICILIARY PROVIDER
Adult Care and Health,BEEAKTIVE CARE LTD,45028,5030199,709.48,TCR DOMICILIARY PROVIDER
"Children, Education and Families",BELLISSIMA NURSERIES LTD,45028,5030200,11504.199999999999,TCR NURSERY
"Children, Education and Families",BELLISSIMA NURSERIES LTD,45028,5030201,17511.52,TCR NURSERY
Adult Care and Health,BETHANY LODGE KENT LTD,45028,5030202,3868.6799999999994,OTHER CREDS
"Children, Education and Families",BICKLEY PARK SCHOOL LTD,45028,5030204,4134.6,TCR IND SCHOOL
"Children, Education and Families",BISHOP CHALLONER SCHOOL,45028,5030205,1911.3,LBB SCHOOL
"Children, Education and Families",BIZZY BEES PRE-SCHOOL,45028,5030206,6882,TCR NURSERY
Adult Care and Health,BLACK SWAN CARE GROUP,45028,5030207,4281.88,TCR RESIDENTIAL HOME
"Children, Education and Families",BLOSSOM YEARS LTD,45028,5030208,6798.67,TCR NURSERY
"Children, Education and Families",BLOSSOM YEARS LTD,45028,5030209,17855.94,TCR NURSERY
"Children, Education and Families",BLOSSOM YEARS LTD,45028,5030209,1500,TCR NURSERY
"Children, Education and Families",BLUE PEAR DAY NURSERY,45028,5030210,9527.2,TCR NURSERY
"Children, Education and Families",BLUE PEAR DAY NURSERY,45028,5030211,10259.529999999999,TCR NURSERY
"Children, Education and Families",BLUE PEAR DAY NURSERY,45028,5030211,330,TCR NURSERY
Adult Care and Health,BLUEFIELD CARE SERVICES LTD,45028,5030212,5384.910000000001,TCR DOMICILIARY PROVIDER
Adult Care and Health,BLUEFIELD CARE SERVICES LTD,45028,5030212,120.33,TCR DOMICILIARY PROVIDER
Adult Care and Health,BLUEFIELD CARE SERVICES LTD,45028,5030212,400.3,TCR DOMICILIARY PROVIDER
Adult Care and Health,BONDCARE LONDON LTD,45028,5030213,13706.349999999999,TCR RESIDENTIAL HOME
Adult Care and Health,BONDCARE LONDON LTD,45028,5030214,120387.92,TCR RESIDENTIAL HOME
Adult Care and Health,BONDCARE LONDON LTD,45028,5030214,18770.72,TCR RESIDENTIAL HOME
Adult Care and Health,BOUGHTON MANOR,45028,5030215,3008,TCR RESIDENTIAL HOME
Adult Care and Health,BOULEVARD CARE LTD HEAD OFFICE,45028,5030216,3015.56,TCR RESIDENTIAL HOME
Adult Care and Health,BRANDON TRUST,45028,5030217,92936.20000000001,TCR SUPPLIER GENERAL
"Children, Education and Families",BREASIDE PREPARATORY SCHOOL,45028,5030218,12837,OTHER CREDS
"Children, Education and Families",BRICK BY BRICK PRE-SCHOOL,45028,5030219,6251.799999999999,OTHER CREDS
"Children, Education and Families",BRICK BY BRICK PRE-SCHOOL,45028,5030219,180,OTHER CREDS
Adult Care and Health,BRIDGES HEALTHCARE & NURSING LTD,45028,5030220,4071.9100000000008,TCR RESIDENTIAL HOME
"Children, Education and Families",BRIGHT BEGINNINGS PRE-SCHOOL,45028,5030221,3751.7999999999997,TCR NURSERY
"Children, Education and Families",BRIGHT FUTURE SEMI INDEPENDENT LIVING,45028,5030222,706.8,TCR SUPPLIER GENERAL
"Children, Education and Families",BRIGHT HORIZONS FAMILY SOLUTIONS,45028,5030223,2600,TCR NURSERY
"Children, Education and Families",BRIGHT HORIZONS FAMILY SOLUTIONS,45028,5030223,330,TCR NURSERY
"Children, Education and Families",BRIGHT HORIZONS FAMILY SOLUTIONS,45028,5030224,5079.4,TCR NURSERY
"Children, Education and Families",BRIGHT HORIZONS FAMILY SOLUTIONS,45028,5030225,6288.219999999999,TCR NURSERY
"Children, Education and Families",BRIGHT HORIZONS FAMILY SOLUTIONS,45028,5030226,5828.379999999999,TCR NURSERY
"Children, Education and Families",BRIGHT HORIZONS FAMILY SOLUTIONS,45028,5030226,660,TCR NURSERY
"Children, Education and Families",BRIGHT HORIZONS FAMILY SOLUTIONS,45028,5030227,10419.560000000001,TCR NURSERY
"Children, Education and Families",BRIGHT HORIZONS FAMILY SOLUTIONS,45028,5030227,1026,TCR NURSERY
"Children, Education and Families",BRIGHT START MONTESSORI,45028,5030228,10642.2,OTHER CREDS
"Children, Education and Families",BRIGHT START MONTESSORI,45028,5030228,1440,OTHER CREDS
Adult Care and Health,BRIGHTER LIVING CARE LTD,45028,5030229,5675.24,TCR SUPPLIER GENERAL
Adult Care and Health,BRITISH HOME AND HOSPITAL FOR INCURABLES,45028,5030230,24664.6,TCR SUPPLIER GENERAL
Adult Care and Health,BRITISH HOME AND HOSPITAL FOR INCURABLES,45028,5030230,3497.3999999999996,TCR SUPPLIER GENERAL
Adult Care and Health,BROWNHILL LODGE,45028,5030231,8331.04,TCR RESIDENTIAL HOME
Adult Care and Health,BRYMORE CARE HOMES LTD,45028,5030232,15894.47,TCR RESIDENTIAL HOME
RCCM Capital Total,BT GLOBAL SERVICES,45028,5030233,17780.5,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",BT GLOBAL SERVICES,45028,5030233,157727.61,TCR SUPPLIER GENERAL
Adult Care and Health,BUPA CARE SERVICES,45028,5030234,2496.96,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030235,3046,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030236,5325.4,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030237,5701.88,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030238,6074.84,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030239,10108.45,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030239,3200,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030240,18702.58,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030240,2625.4,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030241,21910.16,OTHER CREDS
Adult Care and Health,BUPA CARE SERVICES,45028,5030241,4179.96,OTHER CREDS
"Children, Education and Families",BURNT ASH PRIMARY SCHOOL (ACADEMY),45028,5030242,7499.4,TCR IND SCHOOL
"Children, Education and Families",BURNT ASH PRIMARY SCHOOL (ACADEMY),45028,5030242,1350,TCR IND SCHOOL
Adult Care and Health,BURROWS HOUSE,45028,5030243,75823.25000000004,TCR RESIDENTIAL HOME
Adult Care and Health,BURROWS HOUSE,45028,5030243,8411.8,TCR RESIDENTIAL HOME
"Children, Education and Families",BUSY BEES KIDS CLUB LTD,45028,5030244,11793.029999999999,TCR NURSERY
"Children, Education and Families",BUSY BEES KIDS CLUB LTD,45028,5030244,450,TCR NURSERY
"Children, Education and Families",BUSY BEES NURSERY CHISLEHURST,45028,5030245,11261.02,TCR NURSERY
Adult Care and Health,CAMBIAN SIGN POST LTD,45028,5030246,16063.440000000002,TCR RESIDENTIAL HOME
Adult Care and Health,CAMPHILL BLAIR DRUMMOND,45028,5030247,6071.08,TCR RESIDENTIAL HOME
Adult Care and Health,CANTERBURY OAST TRUST * 3000326,45028,5030254,4574.32,OTHER CREDS
Adult Care and Health,CANTERBURY OAST TRUST * 3000326,45028,5030255,7435.879999999999,OTHER CREDS
Adult Care and Health,CANTERBURY OAST TRUST * 3000326,45028,5030256,31297.840000000004,OTHER CREDS
Adult Care and Health,CARE DIRECT UK LTD,45028,5030257,4195.679999999999,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030258,6386.52,ST SUPP LODGE
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030259,6838.08,ST SUPP LODGE
Adult Care and Health,CARE PRO SOUTH EAST LTD,45028,5030260,4106.16,OTHER CREDS
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030261,2912,IND AGENCY CARERS
Adult Care and Health,CARETECH COMMUNITY SERVICES LTD,45028,5030262,9058.84,TCR SUPPLIER GENERAL
Adult Care and Health,CARETECH COMMUNITY SERVICES LTD,45028,5030263,9258.44,TCR SUPPLIER GENERAL
Adult Care and Health,CARETECH COMMUNITY SERVICES LTD,45028,5030264,50432.96000000001,TCR SUPPLIER GENERAL
Adult Care and Health,CARING LANE LTD,45028,5030265,3522.6,TCR DOMICILIARY PROVIDER
Adult Care and Health,CARNALEA LIMITED,45028,5030266,3720,TCR RESIDENTIAL HOME
Adult Care and Health,CAS CARE SERVICES LTD,45028,5030267,12710.28,TCR RESIDENTIAL HOME
"Children, Education and Families",CDAT T/A BIGGIN HILL PRIMARY SCHOOL,45028,5030269,7740,TCR IND SCHOOL
"Children, Education and Families",CHANNEL YOUR ENERGIES LTD * CATOR PARK,45028,5030270,11218.599999999999,TCR NURSERY
"Children, Education and Families",CHANNEL YOUR ENERGIES LTD * CATOR PARK,45028,5030270,360,TCR NURSERY
Adult Care and Health,CHARING COURT INVESTMENTS LTD ROSEWOOD RESIDENTIAL CARE HOME,45028,5030271,2781,TCR RESIDENTIAL HOME
Adult Care and Health,CHARING ROSE LTD,45028,5030272,3121.2,TCR RESIDENTIAL HOME
"Children, Education and Families",CHARTERHOUSE PRE-SCHOOL,45028,5030274,11984.400000000001,VENDOR
"Children, Education and Families",CHARTERHOUSE PRE-SCHOOL,45028,5030274,2373,VENDOR
Adult Care and Health,CHHG LTD T/A CRANMER COURT,45028,5030276,2048.89,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG LTD T/A KIPPINGTONS,45028,5030277,2466.96,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG LTD T/A SUNDRIDGE,45028,5030278,16223.400000000001,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG LTD T/A SUNDRIDGE,45028,5030278,3156.24,TCR RESIDENTIAL HOME
Adult Care and Health,CHHG T/A BELMONT HOUSE,45028,5030279,13400,TCR RESIDENTIAL HOME
"Children, Education and Families",CHILDBASE LTD,45028,5030280,15126.58,VENDOR
"Children, Education and Families",CHILDBASE LTD,45028,5030280,987,VENDOR
Adult Care and Health,CHISLEHURST CARE LIMITED,45028,5030281,4834.68,TCR RESIDENTIAL HOME
Adult Care and Health,CHISLEHURST CARE LIMITED,45028,5030282,11064.580000000002,TCR RESIDENTIAL HOME
Adult Care and Health,CHISLEHURST CARE LIMITED,45028,5030282,6255,TCR RESIDENTIAL HOME
Adult Care and Health,CHISLEHURST CARE LIMITED,45028,5030283,33245.96,TCR RESIDENTIAL HOME
Adult Care and Health,CHOICE CARE (COMMUNITY HOMES OF INTENSIVE CARE & EDUCATION) LTD,45028,5030284,99792.08999999998,TCR SUPPLIER GENERAL
Adult Care and Health,CHOICE SUPPORT,45028,5030285,4786.549999999999,TCR RESIDENTIAL HOME
Adult Care and Health,CHOICE SUPPORT,45028,5030286,79908.2,TCR RESIDENTIAL HOME
"Children, Education and Families",CHRIST CHURCH PRE-SCHOOL,45028,5030287,2486.64,TCR NURSERY
"Children, Education and Families",CHRIST CHURCH PRE-SCHOOL,45028,5030287,742.5,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030288,3914.99,IND AGENCY CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030288,7575.16,IND AGENCY CARERS
"Children, Education and Families",CHURCHFIELDS PRIMARY SCHOOL,45028,5030289,1590.06,LBB SCHOOL
Adult Care and Health,CHURCHILL RESIDENTIAL CARE & NURSING HOME LTD,45028,5030290,6000,TCR RESIDENTIAL HOME
"Children, Education and Families",CLOCK HOUSE PRE-SCHOOL GROUP,45028,5030291,6115.450000000001,OTHER CREDS
"Children, Education and Families",CLOCK HOUSE PRE-SCHOOL GROUP,45028,5030291,2775,OTHER CREDS
Adult Care and Health,CNV LTD,45028,5030292,2625.24,TCR RESIDENTIAL HOME
Adult Care and Health,,45028,5030294,4008.4,IND RESIDENTIAL
Adult Care and Health,CONTEMPLATION HOMES LTD,45028,5030295,3064.24,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030298,2113.12,TCR RESIDENTIAL HOME
Adult Care and Health,CRAEGMOOR HEALTHCARE,45028,5030299,2979.3999999999996,OTHER CREDS
Adult Care and Health,CRAEGMOOR HEALTHCARE,45028,5030300,6496.4800000000005,OTHER CREDS
Adult Care and Health,CRAEGMOOR HEALTHCARE,45028,5030301,9183.560000000001,OTHER CREDS
"Children, Education and Families",CROFTON EARLY LEARNERS,45028,5030302,7457.4,TCR NURSERY
"Children, Education and Families",CROFTON INFANT SCHOOL (ACADEMY) * INACTIVE,45028,5030303,8714.800000000001,TCR IND SCHOOL
"Children, Education and Families",CROWN CHILDCARE LTD,45028,5030304,1980.6,TCR NURSERY
"Children, Education and Families",CROYDON COUNCIL,45028,5030307,157.5,PCS LOCAL AUTH
"Children, Education and Families",CROYDON COUNCIL,45028,5030307,594.1,PCS LOCAL AUTH
"Children, Education and Families",CRYSTAL CHILDCARE LTD,45028,5030308,15680.349999999999,OTHER CREDS
Adult Care and Health,CYGNET DH LTD,45028,5030309,16129.2,TCR DOMICILIARY PROVIDER
Adult Care and Health,CYGNET HEALTH CARE LIMITED,45028,5030310,16384.08,TCR RESIDENTIAL HOME
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030311,752.9000000000001,IND OTHER
Adult Care and Health,DARETHEALTHCARE UK LTD,45028,5030314,2610.36,TCR DOMICILIARY PROVIDER
Adult Care and Health,DARETHEALTHCARE UK LTD,45028,5030314,5968.08,TCR DOMICILIARY PROVIDER
"Children, Education and Families",DARRICK WOOD INFANT SCHOOL (ACADEMY),45028,5030316,11075.169999999998,TCR IND SCHOOL
"Renewal, Recreation and Housing","DEPARTMENT OF LEVELLING UP, HOUSING AND COMMUNITIES",45028,5030317,18390,REFUNDS
"Children, Education and Families",DEPAUL UK,45028,5030318,1307.5600000000002,ST SUPP LODGE
Adult Care and Health,DIAGRAMA HEALTHCARE SERVICES LTD,45028,5030320,31853.879999999997,ST SUPP LODGE
Adult Care and Health,DIAGRAMA HEALTHCARE SERVICES LTD,45028,5030321,125575.68999999989,ST SUPP LODGE
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030322,1120,TCR CONSULTANT
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030323,1067.5200000000002,TCR RESIDENTIAL HOME
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030324,5860,IND OTHER
Adult Care and Health,DYZACK LIMITED,45028,5030325,13398.4,OTHER CREDS
"Children, Education and Families",E J C  CHILDCARE LTD,45028,5030326,3820.2,TCR NURSERY
"Children, Education and Families",E J C  CHILDCARE LTD,45028,5030326,288,TCR NURSERY
Adult Care and Health,EAST VIEW HOUSING MANAGEMENT LTD,45028,5030327,11869.96,OTHER CREDS
"Renewal, Recreation and Housing",REDACTED PERSONAL DATA,45028,5030328,1950,TCR CONSULTANT
Adult Care and Health,EDEN HEALTH CARE SERVICES (UK) LTD,45028,5030329,43414.48,TCR RESIDENTIAL HOME
"Children, Education and Families",EDEN PARK CHILDCARE - AMANDA COWARD,45028,5030330,624,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030331,548.6,TCR NURSERY
"Children, Education and Families",ELMSTEAD WOOD PRIMARY SCHOOL,45028,5030332,7339.200000000001,TCR NURSERY
"Children, Education and Families",ELMSTEAD WOOD PRIMARY SCHOOL,45028,5030332,450,TCR NURSERY
Adult Care and Health,ELYSIUM HEALTHCARE LTD,45028,5030333,8739.84,TCR SUPPLIER GENERAL
Adult Care and Health,ELYSIUM HEALTHCARE LTD,45028,5030333,28939.679999999997,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030338,3098.24,TCR RESIDENTIAL HOME
"Children, Education and Families",FARRINGTONS SCHOOL,45028,5030339,3043.5,OTHER CREDS
"Children, Education and Families",FENNIES DAY NURSERIES LTD,45028,5030340,5801.999999999999,TCR NURSERY
"Children, Education and Families",FENNIES DAY NURSERIES LTD,45028,5030340,657.6,TCR NURSERY
"Children, Education and Families",FENNIES DAY NURSERIES LTD,45028,5030341,12190.830000000002,TCR NURSERY
"Children, Education and Families",FENNIES DAY NURSERIES LTD,45028,5030342,14960.16,TCR NURSERY
"Children, Education and Families",FENNIES DAY NURSERIES LTD,45028,5030342,1233.3,TCR NURSERY
"Children, Education and Families",FERN HILL MONTESSORI LTD,45028,5030343,3632.19,TCR NURSERY
Adult Care and Health,FIRCROFT * 3018718,45028,5030344,5042.04,OTHER CREDS
Adult Care and Health,FIRCROFT * 3018718,45028,5030344,4691.68,OTHER CREDS
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030345,8995.28,ST SUPP LODGE
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030346,2557.12,IND AGENCY CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030347,5425,CHILDRENS RES UNITS
"Children, Education and Families",FLEDGLINGS MONTESSORI,45028,5030348,2589.6000000000004,TCR NURSERY
Adult Care and Health,FOR AND ON BEHALF OF NORBURY HALL RESIDENTIAL CARE HOME,45028,5030349,4470.4400000000005,TCR RESIDENTIAL HOME
Adult Care and Health,FOUR SEASONS 2000 LTD RE CEDAR COURT,45028,5030350,7035.039999999999,TCR RESIDENTIAL HOME
Adult Care and Health,FOUR SEASONS 2000 LTD RE MARLBOROUGH,45028,5030351,8000,TCR RESIDENTIAL HOME
Adult Care and Health,FREEWAYS TRUST LTD,45028,5030352,3958.12,OTHER CREDS
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030353,6472.2,TCR RESIDENTIAL HOME
Adult Care and Health,FRIENDS THERAPEUTIC COMMUNITY TRUST,45028,5030354,26544,TCR RESIDENTIAL HOME
"Children, Education and Families",FUNSHINE (EDEN PARK) LTD,45028,5030355,10701.55,TCR IND SCHOOL
"Children, Education and Families",GEORGE DAY NURSERIES LTD,45028,5030358,5568.99,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030359,554.91,TCR NURSERY
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030360,14900.92,IND RESIDENTIAL
"Children, Education and Families",GIANT STEPS NURSERY LTD,45028,5030361,4188.0599999999995,TCR NURSERY
Adult Care and Health,GIBSON'S LODGE LTD,45028,5030362,3100,TCR RESIDENTIAL HOME
Adult Care and Health,GLANCESTYLE CARE HOMES LTD,45028,5030364,9100.3,TCR RESIDENTIAL HOME
Adult Care and Health,GLEBE HOUSING ASSOCIATION LTD,45028,5030365,16308.28,OTHER CREDS
Adult Care and Health,GLEBE HOUSING ASSOCIATION LTD,45028,5030365,321.42999999999984,OTHER CREDS
Adult Care and Health,GLENHOLME HEALTHCARE (NGC) LTD,45028,5030366,8232.4,TCR DOMICILIARY PROVIDER
Adult Care and Health,GLENHOLME HEALTHCARE LTD,45028,5030367,4861.200000000001,TCR RESIDENTIAL HOME
Adult Care and Health,GOLD CARE SERVICES LTD,45028,5030368,10270.76,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030369,7392,ST SUPP LODGE
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030369,9682,ST SUPP LODGE
"Children, Education and Families",GRACES DAY NURSERY LTD,45028,5030370,28542.15,TCR NURSERY
"Children, Education and Families",GRACES DAY NURSERY LTD,45028,5030370,1350,TCR NURSERY
Adult Care and Health,GRAVESEND INDEPENDENT LIVING SERVICES LTD,45028,5030371,4841,TCR RESIDENTIAL HOME
"Children, Education and Families",GRAYS FARM PRIMARY ACADEMY,45028,5030372,5061.6,TCR IND SCHOOL
Adult Care and Health,GREENSLEEVES HOMES TRUST (LAVENDER FIELDS CARE HOME),45028,5030373,60312.15,TCR RESIDENTIAL HOME
Adult Care and Health,GRESHAM CARE OPERATIONS LTD,45028,5030374,10460.04,ST SUPP LODGE
Adult Care and Health,GRESHAM CARE OPERATIONS LTD,45028,5030375,19470.72,ST SUPP LODGE
Adult Care and Health,GRESHAM CARE OPERATIONS LTD,45028,5030376,31738.98,ST SUPP LODGE
Adult Care and Health,H PLUS CARE LTD,45028,5030377,5000,TCR RESIDENTIAL HOME
Adult Care and Health,HAMBERLEY CARE 2 LTD,45028,5030378,4196,TCR RESIDENTIAL HOME
"Children, Education and Families",HAPPY DAYS KINDERGARTEN LTD,45028,5030379,7054.579999999999,TCR NURSERY
"Children, Education and Families",HARRIS FEDERATION PRIMARY ACADEMY KENT HOUSE,45028,5030380,3015.6,TCR IND SCHOOL
"Children, Education and Families",HARRIS PRIMARY ACADEMY CRYSTAL PALACE,45028,5030381,6049.95,TCR IND SCHOOL
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030382,12798.57,IND FOSTER CARER
"Children, Education and Families",HAYESWICK LTD,45028,5030383,4576.16,TCR NURSERY
"Children, Education and Families",HAYESWICK LTD,45028,5030384,6652.04,TCR NURSERY
Adult Care and Health,HAZELDENE LTD,45028,5030385,9896,VENDOR
Adult Care and Health,HAZELDENE LTD,45028,5030386,10846.08,VENDOR
Adult Care and Health,HC ONE LTD,45028,5030387,2664.32,TCR RESIDENTIAL HOME
Adult Care and Health,HEALTH PERSONNEL LTD,45028,5030389,6918,TCR SUPPLIER GENERAL
Adult Care and Health,HEALTHCARE HOMES (SPRING) LTD,45028,5030390,1304.3199999999997,TCR RESIDENTIAL HOME
Adult Care and Health,HEATHCOTES SOUTHERN LTD,45028,5030391,8508.08,TCR RESIDENTIAL HOME
Adult Care and Health,HEATHERWOOD NURSING HOME,45028,5030392,9087.279999999999,TCR RESIDENTIAL HOME
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030393,784.8,IND REFUND
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030394,7330.72,TCR RESIDENTIAL HOME
Adult Care and Health,HOLLYMEADE COTTAGE LTD,45028,5030395,1843.1200000000001,TCR RESIDENTIAL HOME
"Children, Education and Families",HOLY INNOCENTS CATHOLIC PRIMARY SCHOOL,45028,5030396,12513.05,TCR NURSERY
"Children, Education and Families",HOLY INNOCENTS CATHOLIC PRIMARY SCHOOL,45028,5030396,900,TCR NURSERY
Adult Care and Health,HOLYWELL PARK LTD,45028,5030397,4564,TCR RESIDENTIAL HOME
Adult Care and Health,HOMECARE BROMLEY,45028,5030398,5629.1900000000005,TCR RESIDENTIAL HOME
Adult Care and Health,HOMECARE BROMLEY,45028,5030398,182.92000000000002,TCR RESIDENTIAL HOME
Adult Care and Health,HOMELANDS * 3008893,45028,5030399,5796.96,OTHER CREDS
Adult Care and Health,HOMELANDS * 3008893,45028,5030399,2898.48,OTHER CREDS
Adult Care and Health,HSN CARE LTD,45028,5030400,15200.36,TCR RESIDENTIAL HOME
Adult Care and Health,INDEPENDENCE HOMES LTD,45028,5030401,9642.47000000003,TCR RESIDENTIAL HOME
Adult Care and Health,INDEPENDENCE HOMES LTD,45028,5030402,9888,TCR RESIDENTIAL HOME
Adult Care and Health,INDEPENDENT LIFESTYLES OPTIONS LTD,45028,5030403,4505.96,TCR RESIDENTIAL HOME
Adult Care and Health,INDEX CARE LTD,45028,5030404,6052.28,ST SUPP LODGE
Adult Care and Health,J & C CHELLUN T/A LAKESIDE NURSING HOME,45028,5030405,14890.96,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030406,25965.310000000005,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030406,6216.5999999999985,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030406,1423.6600000000003,TCR DOMICILIARY PROVIDER
Adult Care and Health,JANSONDEAN NURSING HOME,45028,5030408,73156.82,TCR RESIDENTIAL HOME
"Children, Education and Families",JIGSAW PRE-SCHOOL PLAYGROUP,45028,5030409,2932.7999999999997,OTHER CREDS
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030410,4137.43,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030414,624,TCR NURSERY
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030415,21860.32,TCR RESIDENTIAL HOME
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030416,889.2,TCR NURSERY
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030420,4024.8,IND REFUND
"Children, Education and Families",KENT COUNTY COUNCIL (KCS),45028,5030426,587.88,PCS LOCAL AUTH
"Children, Education and Families",REDACTED PERSONAL DATA,45028,5030427,752.9000000000001,IND OTHER
"Children, Education and Families",KINDER EDUCATION LTD,45028,5030430,4886,TCR NURSERY
"Children, Education and Families",KINDER EDUCATION LTD,45028,5030430,1305,TCR NURSERY
"Children, Education and Families",KINDRED EDUCATION (LES ENFANTS)  LTD,45028,5030431,30704.619999999995,TCR NURSERY
"Children, Education and Families",KINDRED EDUCATION (LES ENFANTS)  LTD,45028,5030431,880,TCR NURSERY
"Children, Education and Families",KINDRED EDUCATION (LES ENFANTS)  LTD,45028,5030432,40898.86,TCR NURSERY
"Children, Education and Families",KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,45028,5030433,3129.98,PCS HEALTH AUTH
Adult Care and Health,KINGS LODGE NURSING HOME,45028,5030434,17718,TCR RESIDENTIAL HOME
Adult Care and Health,KINGS LODGE NURSING HOME,45028,5030434,12247.4,TCR RESIDENTIAL HOME
Adult Care and Health,KISIMUL GROUP LTD,45028,5030435,47871.68,TCR RESIDENTIAL HOME
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030436,2556.43,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45028,5030436,428.82000000000005,TCR DOMICILIARY PROVIDER
