SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151921,5072705,45359,5291.46,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151921,5072706,45359,5721.86,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151820,5072707,45359,3332.61,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151820,5072707,45359,41.9,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3123502,5072709,45359,2262.51,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3123502,5072709,45359,1213.38,TCR DOMICILIARY PROVIDER
 Safeguarding and Care Planning East,"Children, Education and Families",66112,Looked After Cost Other,REDACTED PERSONAL DATA,3204181,5072710,45359,2410.43,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,REDACTED PERSONAL DATA,3148931,5072712,45359,2435.71,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65555,Client Support Third Party,REDACTED PERSONAL DATA,3148931,5072712,45359,553.57,TCR SUPPLIER GENERAL
 Access and Inclusion,"Children, Education and Families",63213,Client Transport,LADYBIRDS 1991 LTD,3133008,5072717,45359,142679,TCR SUPPLIER GENERAL
 Access and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,LEARN SOLUTIONS LTD (TLC LIVE),3137830,5072718,45359,12586,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,53237,Fairer Charging Residential Care Income,LEONARD CHESHIRE SERVICES CIC,3146063,5072719,45359,-483.2,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65542,Long Term Residential Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5072719,45359,6030,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,53236,Fairer Charging Nursing Care Income,LEONARD CHESHIRE SERVICES CIC,3146063,5072720,45359,-966.4,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65536,Long Term Nursing Care Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5072720,45359,13784.880000000001,TCR RESIDENTIAL HOME
 CLA and Care Leavers,"Children, Education and Families",63213,Client Transport,LONDON BOROUGH OF BEXLEY,2121719,5072722,45359,7365.6,PCS LOCAL AUTH
 Audit,"Resources, Commissioning and Contracts Management",65111,Payment to Other Local Authorities,LONDON BOROUGH OF SUTTON,2042495,5072723,45359,109200,PCS LOCAL AUTH
 Assessment and Care Management,Adult Care and Health,65567,Emergency Placement - Residential,LORVEN HOUSING LTD,3138985,5072724,45359,1274.86,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65542,Long Term Residential Spot Contract,LORVEN HOUSING LTD,3138985,5072724,45359,4128,TCR RESIDENTIAL HOME
 Business Support and Markets,Environment & Community Services,64331,Miscellaneous Expenses,MARKETFORCE SERVICES LTD,3142527,5072726,45359,4010,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning West,"Children, Education and Families",65584,Community Homes,MCRAE RESIDENTIAL CARE SERVICES LTD,3146972,5072727,45359,34206.22,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3143960,5072728,45359,1807.75,TCR DOMICILIARY PROVIDER
 Bromley North Housing,RRH Capital Total,68159,Survey Fees,MONTAGU EVANS LLP,3128502,5072734,45359,5000,TCR CONSULTANT
 Allocations & Accommodation,"Renewal, Recreation and Housing",64332,Storage and Archiving,MR CHARANTOOR SINGH T/A KINGS MOVE,3129282,5072735,45359,2490,TCR SUPPLIER GENERAL
 SEN and Inclusion (DSG),"Children, Education and Families",63213,Client Transport,REDACTED PERSONAL DATA,3203626,5072740,45359,1368.43,TCR TRANSPORT
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151863,5072744,45359,6235.01,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151863,5072744,45359,48.09,TCR DOMICILIARY PROVIDER
 CLA and Care Leavers,"Children, Education and Families",64353,Placement Support,NEKISSE HOMES LTD,3203462,5072746,45359,1107.01,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,NEKISSE HOMES LTD,3203462,5072746,45359,3764.33,TCR SUPPLIER GENERAL
 LIP Formula Funding,ECS Capital Total,68154,Capital Main Works,NEWSQUEST MEDIA GROUP,3130632,5072748,45359,56.25,TCR SUPPLIER GENERAL
 Traffic & Road Safety,Environment & Community Services,64311,Advertising Publicity and Marketing,NEWSQUEST MEDIA GROUP,3130632,5072748,45359,543.75,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",65520,Long Term Support Community Homecare,NUTRIX PERSONNEL LTD,3200352,5072750,45359,10038,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,OZUMBA TRAINING & CONSULT. SERVICES LTD,3141982,5072752,45359,11707.279999999997,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,OZUMBA TRAINING & CONSULT. SERVICES LTD,3141982,5072752,45359,518.45,TCR DOMICILIARY PROVIDER
 Allocations & Accommodation,"Renewal, Recreation and Housing",65552,Private Rented Leased Fee,PEARL RESIDENTIAL GROUP LTD,3140136,5072754,45359,15024,TCR LANDLORD
 0-25 Children Service,"Children, Education and Families",64333,Translators and Interpreters,REMARK LTD,3132683,5072757,45359,530,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,RIVER GARDEN CARE LTD,3134448,5072758,45359,6268.639999999999,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,RIVER GARDEN CARE LTD,3134448,5072758,45359,561.1,TCR RESIDENTIAL HOME
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,RIVER GARDEN CARE LTD,3134448,5072758,45359,1253.33,TCR RESIDENTIAL HOME
 Public Health,Adult Care and Health,64117,Purchase Equipment Furniture and Materials,SMART HEALTH SOLUTIONS LTD,3132230,5072760,45359,700,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151872,5072761,45359,1166.91,TCR DOMICILIARY PROVIDER
 DFG - Renovation Grant,RRH Capital Total,68160,Grants Paid,SOUTH EAST BUILDING CONTRACTORS LTD,3204184,5072762,45359,11415,CONTRACTOR
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3103377,5072763,45359,20226.11,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3103377,5072763,45359,690.73,TCR DOMICILIARY PROVIDER
 SEN and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,THE HIGHWAY PRIMARY SCHOOL (ACADEMY),3139272,5072764,45359,3023.25,TCR IND SCHOOL
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,THE NATIONAL FOSTERING AGENCY LTD,3106374,5072765,45359,3226.58,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",65518,Fostering Agency Placements,THE NATIONAL FOSTERING AGENCY LTD,3106374,5072765,45359,5611.5,TCR SUPPLIER GENERAL
 Quality Assurance & Safeguarding,Adult Care and Health,64323,Legal Fees,TUPWOOD CHAMBERS,3203131,5072767,45359,450,TCR LEGAL
 HR,"Resources, Commissioning and Contracts Management",65556,Third Party Payment Not Government,TUSKERDIRECT LTD,3147856,5072768,45359,22592.120000000003,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,VIRGO SOLICITORS LTD,3203479,5072770,45359,800,TCR LEGAL
 Bromley North Housing,RRH Capital Total,68155,Consultants Costs,WSP UK LTD,3203686,5072771,45359,8500,COMPANY
 Insur.Fund-Non Claims Items,Insurance Fund Holding Account Total,68613,Insurance Fund Non Claims ,ZURICH MUNICIPAL,3001001,5072773,45359,3500,TCR SUPPLIER GENERAL
 DFG - Renovation Grant,RRH Capital Total,68160,Grants Paid,ACCESSIBLE SOLUTIONS LTD,3134335,5072774,45362,1422.49,TCR SUPPLIER GENERAL
 Information Systems and Telephony,"Resources, Commissioning and Contracts Management",64417,Other IT Services,AIMEDIADATA LTD,3202402,5072775,45362,583.33,COMPANY
 Arboriculture Management,Environment & Community Services,64334,Tree Works,ALL ANGLES TREE CARE LTD,3152753,5072776,45362,1400,TCR SUPPLIER GENERAL
 Parking,Environment & Community Services,64212,Stationery,ALLIED PUBLICITY SERVICES (MANCHESTER) LTD,3145684,5072777,45362,850.3,TCR SUPPLIER GENERAL
 Planning,"Renewal, Recreation and Housing",67117,Central ICT,ARCUS GLOBAL LTD,3202096,5072779,45362,1590,TCR SUPPLIER GENERAL
 Facilities & Support,"Resources, Commissioning and Contracts Management",62111,Facilities Management,ASCOT SERVICES UK LTD,3202928,5072780,45362,1328.54,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65542,Long Term Residential Spot Contract,BPU CARE LTD,3201346,5072793,45362,2891.2,IND RESIDENTIAL
 Public Health,Adult Care and Health,65556,Third Party Payment Not Government,BROMLEY GP ALLIANCE LTD,3140817,5072795,45362,7290.95,TCR SUPPLIER GENERAL
 Information & Early Intervention,Adult Care and Health,65411,Payments to Voluntary Sector,BROMLEY THIRD SECTOR ENTERPRISE CIC,3142671,5072796,45362,263162.74,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65584,Community Homes,CAMBIAN ASPERGER SYNDROME SERVICES LTD,3201470,5072798,45362,42600,TCR RESIDENTIAL HOME
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,CAMBIAN ASPERGER SYNDROME SERVICES LTD,3201470,5072798,45362,17047,TCR RESIDENTIAL HOME
 Access and Inclusion (DSG),"Children, Education and Families",53250,Fees and Charges Other Non VATable,CAPACITY GRID (TRADING NAME OF LIBERATA UK LTD),3152799,5072799,45362,465.5,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5072800,45362,17572.599999999995,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5072800,45362,336.28,TCR SUPPLIER GENERAL
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3121366,5072800,45362,1025.65,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65542,Long Term Residential Spot Contract,COLOMA COURT CARE HOME,3112363,5072802,45362,7370,TCR RESIDENTIAL HOME
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,REDACTED PERSONAL DATA,3132295,5072804,45362,1320,TCR CONSULTANT
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,ENTERPRISE CARE SUPPORT LTD,3152900,5072805,45362,13468.15,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,ENTERPRISE CARE SUPPORT LTD,3152900,5072805,45362,366.94,TCR DOMICILIARY PROVIDER
 CLA and Care Leavers,"Children, Education and Families",65584,Community Homes,REDACTED PERSONAL DATA,3203706,5072806,45362,46903.89,CHILDRENS RESIDENTIAL UNITS
 Safeguarding and Care Planning East,"Children, Education and Families",65584,Community Homes,ESLAND SOUTH LTD,3138978,5072807,45362,22992.86,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",65584,Community Homes,ESLAND SOUTH LTD,3138978,5072807,45362,19427.1,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,REDACTED PERSONAL DATA,3035679,5072808,45362,5157.86,CHILDRENS RES UNITS
 Transport Operations and Depot Management,Environment & Community Services,62127,Property Refurbishment,G4S SECURE SOLUTIONS (UK) LTD FIRE & SECURITY,3131184,5072809,45362,2309.76,SUB-CONTRACTOR
 Quality Assurance & Safeguarding,Adult Care and Health,64323,Legal Fees,GARDEN COURT BARRISTERS,3200693,5072810,45362,3360,TCR LEGAL
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,HEATH FARM FOSTERING,3139082,5072812,45362,5065.31,TCR SUPPLIER GENERAL
 Neighbourhood Services,Environment & Community Services,64320,Highway Services,IDVERDE LTD,3137441,5072813,45362,2190.98,TCR SUPPLIER GENERAL
 Safeguarding and Quality Improvement,"Children, Education and Families",61440,Recruitment & Retention Intiative,INSPIRE SOCIAL WORK INTERNATIONAL PVT LTD,3204137,5072814,45362,1300,TCR TRAINING
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,INTEGRATED SERVICES PROGRAMME,2084996,5072815,45362,27752.699999999997,OTHER CREDS
 Safeguarding and Care Planning East,"Children, Education and Families",65518,Fostering Agency Placements,INTEGRATED SERVICES PROGRAMME,2084996,5072815,45362,14304.7,OTHER CREDS
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3123502,5072816,45362,5701.77,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3123502,5072816,45362,6060.780000000001,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3123502,5072816,45362,152.6,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3123502,5072817,45362,18630.289999999986,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3123502,5072817,45362,8237.500000000002,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3123502,5072817,45362,1039.27,TCR DOMICILIARY PROVIDER
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,KENT COUNTY COUNCIL,2167220,5072818,45362,1500,PCS LOCAL AUTH
 SEN and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,KINDER EDUCATION LTD,3150236,5072821,45362,3741,TCR NURSERY
 OPR Churchill Theatre,RCCM Capital Total,68155,Consultants Costs,LANDMARK CHAMBERS,3109955,5072822,45362,600,TCR LEGAL
 Learning Disabilities Services,Adult Care and Health,53237,Fairer Charging Residential Care Income,LEONARD CHESHIRE SERVICES CIC,3146063,5072824,45362,-786.44,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65542,Long Term Residential Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5072824,45362,6735.64,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,53237,Fairer Charging Residential Care Income,LEONARD CHESHIRE SERVICES CIC,3146063,5072825,45362,-786.44,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65542,Long Term Residential Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5072825,45362,6735.64,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65536,Long Term Nursing Care Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5072826,45362,20935.4,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,65536,Long Term Nursing Care Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5072827,45362,20935.4,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,53236,Fairer Charging Nursing Care Income,LEONARD CHESHIRE SERVICES CIC,3146063,5072828,45362,-966.4,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65536,Long Term Nursing Care Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5072828,45362,30105.760000000002,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,53236,Fairer Charging Nursing Care Income,LEONARD CHESHIRE SERVICES CIC,3146063,5072829,45362,-1932.8,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65536,Long Term Nursing Care Spot Contract,LEONARD CHESHIRE SERVICES CIC,3146063,5072829,45362,43890.64,TCR RESIDENTIAL HOME
 Quality Assurance & Safeguarding,Adult Care and Health,61432,Training Expenses,LINDA SPENCER-PATEL T/A LS CONSULTING,3147460,5072830,45362,1010,TCR SUPPLIER GENERAL
 Public Protection,Public Protection and Enforcement,64331,Miscellaneous Expenses,LONDON TRADING STANDARDS ASSOCIATION,3143144,5072832,45362,2042,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,LONE CARE SERVICES LTD,3146246,5072833,45362,1391.05,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,LONE CARE SERVICES LTD,3146246,5072833,45362,787.8,TCR DOMICILIARY PROVIDER
 Safeguarding and Care Planning West,"Children, Education and Families",66112,Looked After Cost Other,MARVELLOUS PROPERTIES LTD,3127037,5072835,45362,3360.07,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning West,"Children, Education and Families",64353,Placement Support,MARVELLOUS PROPERTIES LTD,3127037,5072835,45362,745.71,TCR SUPPLIER GENERAL
 SEN and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,REDACTED PERSONAL DATA,2143577,5072841,45362,3311,TCR NURSERY
 Traffic & Road Safety,Environment & Community Services,64311,Advertising Publicity and Marketing,NEWSQUEST MEDIA GROUP,3130632,5072844,45362,436.25,TCR SUPPLIER GENERAL
 Planning,"Renewal, Recreation and Housing",64311,Advertising Publicity and Marketing,NEWSQUEST MEDIA GROUP,3130632,5072845,45362,545,TCR SUPPLIER GENERAL
 SEN and Inclusion,"Children, Education and Families",61114,Temporary and Agency Staff,NONSTOP CONSULTING LTD,3151698,5072846,45362,15240,TCR STAFF AGENCY
 CLA and Care Leavers,"Children, Education and Families",66112,Looked After Cost Other,OPENMINDS SOCIAL CARE LTD,3144418,5072847,45362,3774.35,TCR RESIDENTIAL HOME
 CLA and Care Leavers,"Children, Education and Families",64353,Placement Support,OPENMINDS SOCIAL CARE LTD,3144418,5072847,45362,2071.43,TCR RESIDENTIAL HOME
 Safeguarding and Care Planning West,"Children, Education and Families",66112,Looked After Cost Other,OPENMINDS SOCIAL CARE LTD,3144418,5072847,45362,278.4,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,PLUM CARE LTD,3146233,5072850,45362,9030.51,TCR DOMICILIARY PROVIDER
 Safeguarding and Care Planning East,"Children, Education and Families",65520,Long Term Support Community Homecare,POTTON KARE SERVICES LTD,3137990,5072851,45362,812.3,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",66112,Looked After Cost Other,POTTON KARE SERVICES LTD,3137990,5072851,45362,59.7,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning West,"Children, Education and Families",65520,Long Term Support Community Homecare,POTTON KARE SERVICES LTD,3137990,5072851,45362,502.79999999999995,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151812,5072852,45362,623.14,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151812,5072853,45362,17218.11,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3151812,5072853,45362,361.34000000000003,TCR DOMICILIARY PROVIDER
 Allocations & Accommodation,"Renewal, Recreation and Housing",65552,Private Rented Leased Fee,RENT CONNECT,3117398,5072854,45362,115586.59999999999,TCR SUPPLIER GENERAL
 Housing Improvement,"Renewal, Recreation and Housing",64331,Miscellaneous Expenses,REDACTED PERSONAL DATA,3203547,5072855,45362,51730.65,IND OTHER
 CLA and Care Leavers,"Children, Education and Families",66114,Leaving Care,ROYAL ALEXANDRA AND ALBERT SCHOOL,3138086,5072856,45362,750,TCR IND SCHOOL
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,RUSSELL HOUSE SCHOOL,3142839,5072857,45362,2451,TCR IND SCHOOL
 0-25 Children Service,"Children, Education and Families",64118,Specialist Equipment for Service Provision,SMIRTHWAITE LTD,3136845,5072859,45362,449,TCR SUPPLIER GENERAL
 0-25 Children Service,"Children, Education and Families",66614,Grants to Businesses,SPORT WORKS LTD,3149815,5072861,45362,2254.58,TCR SUPPLIER GENERAL
 HR,"Resources, Commissioning and Contracts Management",61432,Training Expenses,SYED & QUINN LTD,3138732,5072862,45362,700,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65584,Community Homes,THE CARE ADVANTAGE LTD,3204267,5072865,45362,38818.53,TCR RESIDENTIAL HOME
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,THE NATIONAL FOSTERING AGENCY LTD,3106374,5072867,45362,10702,TCR SUPPLIER GENERAL
 Referral and Assessment Service,"Children, Education and Families",65518,Fostering Agency Placements,THE NATIONAL FOSTERING AGENCY LTD,3106374,5072867,45362,3801.03,TCR SUPPLIER GENERAL
 Safeguarding and Care Planning East,"Children, Education and Families",65518,Fostering Agency Placements,THE NATIONAL FOSTERING AGENCY LTD,3106374,5072867,45362,14493.619999999999,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65536,Long Term Nursing Care Spot Contract,REDACTED PERSONAL DATA,3152547,5072868,45362,6778.84,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65536,Long Term Nursing Care Spot Contract,REDACTED PERSONAL DATA,3152547,5072869,45362,13557.68,TCR RESIDENTIAL HOME
 SEN and Inclusion (DSG),"Children, Education and Families",65586,SEN Support,THE SHEILING RINGWOOD,3146689,5072870,45362,21939.66,TCR IND SCHOOL
 Learning Disabilities Services,Adult Care and Health,65542,Long Term Residential Spot Contract,THE SHEILING RINGWOOD,3146689,5072870,45362,52483.34,TCR IND SCHOOL
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,THE TUTORIAL FOUNDATION,3104041,5072871,45362,20103.5,VENDOR
 SEN and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,THE TUTORIAL FOUNDATION,3104041,5072871,45362,6356,VENDOR
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,WATERGATE SCHOOL,3129165,5072875,45362,43100,PCS LA SCHOOL
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,AJ MOBILITY LTD,3204455,220524,45363,12768.16,REFUNDS
 SEN and Inclusion,"Children, Education and Families",64315,Consultancy Fees,REDACTED PERSONAL DATA,3204466,220529,45363,750,IND REFUND
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,REDACTED PERSONAL DATA,3151421,5072878,45363,2385,TCR SUPPLIER GENERAL
 Virtual School,"Children, Education and Families",66311,Schools Transfer Payment,ADDEY & STANHOPE SCHOOL,3131572,5072880,45363,700,PCS LA SCHOOL
 Information & Early Intervention,Adult Care and Health,65411,Payments to Voluntary Sector,ADVOCACY FOR ALL,3122641,5072881,45363,22922.54,VOS CHARITY ORG
 Virtual School,"Children, Education and Families",66311,Schools Transfer Payment,ALEC HUNTER ACADEMY,3133946,5072883,45363,1400,TCR SUPPLIER GENERAL
 Integrated Commissioning Service,Adult Care and Health,65556,Third Party Payment Not Government,ALLPAY LTD,3147690,5072888,45363,995.02,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,ALWAYS CARING (BROMLEY) LTD,3114186,5072889,45363,3442.04,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,ALWAYS CARING (BROMLEY) LTD,3114186,5072889,45363,4332.1,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,AMY ADAMS HOMECARE UK LIMITED,3139872,5072891,45363,4523.5,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,ASCENT FOSTERING AGENCY,3144762,5072893,45363,6094.91,TCR SUPPLIER GENERAL
 Virtual School,"Children, Education and Families",66311,Schools Transfer Payment,ASD LEARNING LTD,3147351,5072894,45363,700,LBB SCHOOL
 Libraries and Museums,"Renewal, Recreation and Housing",62311,Rents Payable,BAXTER PHILIPS CHARTERED SURVEYORS,3126019,5072896,45363,9625,TCR LEGAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,BLUEFIELD CARE SERVICES LTD,3143988,5072897,45363,10651.57,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,BLUEFIELD CARE SERVICES LTD,3143988,5072897,45363,158.81,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,BLUEFIELD CARE SERVICES LTD,3143988,5072897,45363,883.72,TCR DOMICILIARY PROVIDER
 Virtual School,"Children, Education and Families",66311,Schools Transfer Payment,BRINDISHE MANOR PRIMARY SCHOOL,3150934,5072898,45363,780,PCS LA SCHOOL
 Information & Early Intervention,Adult Care and Health,65411,Payments to Voluntary Sector,BROMLEY  LEWISHAM AND GREENWICH MIND,3130750,5072899,45363,40833.33,TCR SUPPLIER GENERAL
 CLA and Care Leavers,"Children, Education and Families",65518,Fostering Agency Placements,BY THE BRIDGE LTD,3034433,5072900,45363,12856.01,OTHER CREDS
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,CARE OUTLOOK LIMITED,3119225,5072901,45363,945.71,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,CARE OUTLOOK LIMITED,3119225,5072901,45363,485.65999999999997,TCR SUPPLIER GENERAL
 Virtual School,"Children, Education and Families",66311,Schools Transfer Payment,CHEAM ACADEMIES NETWORK,3204191,5072902,45363,700,TCR ACADEMY
 Virtual School,"Children, Education and Families",66311,Schools Transfer Payment,CO-OP ACADEMY FAILSWORTH,3152165,5072905,45363,700,TCR ACADEMY
 Assessment and Care Management,Adult Care and Health,65542,Long Term Residential Spot Contract,COUNTRY RETIREMENT NURSING HOMES LTD,3203232,5072906,45363,4800,TCR RESIDENTIAL HOME
 Adult Education Centres,"Children, Education and Families",64112,Cleaning Materials,CSG GLOBAL EDUCATION LTD,3202195,5072908,45363,714.45,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,DAY TO DAY CARE LTD,3028207,5072909,45363,1354.9,TCR DOMICILIARY PROVIDER
