Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Operations & Regulatory Services ,Operations,Revenue Expenditure,12/06/2024,DENNIS EAGLE LTD,9128029,revenue,3KES1,City Transport Stock,395.19
Operations & Regulatory Services ,Operations,Revenue Expenditure,07/06/2024,DENNIS EAGLE LTD,9127036,revenue,3KES1,City Transport Stock,384.59
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/06/2024,DENNIS EAGLE LTD,9144871,revenue,3KES1,City Transport Stock,557.28
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/06/2024,DENNIS EAGLE LTD,9141417,revenue,3KES1,City Transport Stock,634.97
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/06/2024,DENNIS EAGLE LTD,9141416,revenue,3KES1,City Transport Stock,743.89
Operations & Regulatory Services ,Operations,Revenue Expenditure,21/06/2024,DENNIS EAGLE LTD,9151195,revenue,3KES1,City Transport Stock,622.29
Operations & Regulatory Services ,Operations,Revenue Expenditure,28/06/2024,DENNIS EAGLE LTD,9141419,revenue,3KES1,City Transport Stock,266.98
Operations & Regulatory Services ,Operations,Revenue Expenditure,28/06/2024,DENNIS EAGLE LTD,9144805,revenue,3KES1,City Transport Stock,743.89
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139611,revenue,1MG60,Day Care OP,437.50
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139634,revenue,1MG60,Day Care OP,400.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,18/06/2024,DENTON TRAVEL,9149897,revenue,1MG60,Day Care OP,320.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139626,revenue,1MK60,Ind Day Care LD,450.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139628,revenue,1MK60,Ind Day Care LD,450.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139629,revenue,1MK60,Ind Day Care LD,420.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139622,revenue,1MK60,Ind Day Care LD,550.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139630,revenue,1MK60,Ind Day Care LD,300.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139612,revenue,1MK60,Ind Day Care LD,375.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139623,revenue,1MK60,Ind Day Care LD,750.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139625,revenue,1MK60,Ind Day Care LD,400.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139631,revenue,1MK60,Ind Day Care LD,416.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139632,revenue,1MK60,Ind Day Care LD,550.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,04/06/2024,DENTON TRAVEL,9139633,revenue,1MK60,Ind Day Care LD,460.00
