Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Children & Families,Education Schools/DSG,Revenue Expenditure,17/01/2025,ADVENTURE IN LEARNING LTD,9303533,revenue,1E25R,AP Inclusion Panel,#N/A,,768.00
Children & Families,Education Schools/DSG,Revenue Expenditure,17/01/2025,ADVENTURE IN LEARNING LTD,9303534,revenue,1E25R,AP Inclusion Panel,#N/A,,768.00
Children & Families,Education Schools/DSG,Revenue Expenditure,17/01/2025,ADVENTURE IN LEARNING LTD,9303535,revenue,1E25R,AP Inclusion Panel,#N/A,,768.00
Children & Families,Education Schools/DSG,Revenue Expenditure,17/01/2025,ADVENTURE IN LEARNING LTD,9303593,revenue,1E25R,AP Inclusion Panel,#N/A,,1152.00
Children & Families,Children's Social Care,Revenue Expenditure,27/01/2025,ADVOCATE RESIDENTIAL,9310192,revenue,1MC02,External Residential Placement,#N/A,,39200.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,16/01/2025,AEBI SCHMIDT UK LTD,9289541,revenue,3KES1,City Transport Stock,#N/A,,2337.77
Operations & Regulatory Services ,Operations,Revenue Expenditure,31/01/2025,AEBI SCHMIDT UK LTD,9303995,revenue,3KES1,City Transport Stock,#N/A,,505.01
Operations & Regulatory Services ,Operations,Revenue Expenditure,30/01/2025,AEBI SCHMIDT UK LTD,9313541,revenue,3KES1,City Transport Stock,#N/A,,793.93
Operations & Regulatory Services ,Operations,Revenue Expenditure,10/01/2025,AEBI SCHMIDT UK LTD,9284675,revenue,3KES1,City Transport Stock,#N/A,,437.22
Operations & Regulatory Services ,Operations,Revenue Expenditure,10/01/2025,AEBI SCHMIDT UK LTD,9298314,revenue,3KES1,City Transport Stock,#N/A,,589.80
Operations & Regulatory Services ,Operations,Revenue Expenditure,17/01/2025,AEBI SCHMIDT UK LTD,9297289,revenue,3KES1,City Transport Stock,#N/A,,1176.92
Operations & Regulatory Services ,Operations,Revenue Expenditure,27/01/2025,AEBI SCHMIDT UK LTD,9310459,revenue,3KES1,City Transport Stock,#N/A,,300.87
Deputy Chief Executive,Education & Skills Services,Revenue Expenditure,17/01/2025,AFD SOFTWARE LTD,9303038,revenue,1EA15,Newcastle City Learning Main,#N/A,,2000.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,15/01/2025,AGGREKO UK LTD,9293741,revenue,1CC52,Outer West Library Hub,#N/A,,3606.04
Investment & Growth,Development Management,Revenue Expenditure,20/01/2025,AGROVISTA UK LTD,9295099,revenue,1V039,Trees 4 Climate,#N/A,,3203.50
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,21/01/2025,AIR TECHNIQUE,9257441,revenue,1KBM0,Public & Educ O/H,#N/A,,484.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,08/01/2025,AJAY MANAGEMENT SERVICES LTD,9285837,revenue,1KVWC,Minor Works Contracts,#N/A,,1625.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,08/01/2025,AJAY MANAGEMENT SERVICES LTD,9285838,revenue,1KVWC,Minor Works Contracts,#N/A,,1550.00
