Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115244,revenue,1MK60,Ind Day Care LD,1858.51
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115245,revenue,1MK60,Ind Day Care LD,1936.47
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115246,revenue,1MK60,Ind Day Care LD,1858.51
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115247,revenue,1MK60,Ind Day Care LD,1858.51
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115250,revenue,1MK60,Ind Day Care LD,1888.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115253,revenue,1MK60,Ind Day Care LD,1485.50
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115254,revenue,1MK60,Ind Day Care LD,1862.42
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115255,revenue,1MK60,Ind Day Care LD,2153.37
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115256,revenue,1MK60,Ind Day Care LD,1196.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115257,revenue,1MK60,Ind Day Care LD,3154.25
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115258,revenue,1MK60,Ind Day Care LD,3807.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115259,revenue,1MK60,Ind Day Care LD,956.80
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115260,revenue,1MK60,Ind Day Care LD,1324.04
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115261,revenue,1MK60,Ind Day Care LD,2284.20
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115262,revenue,1MK60,Ind Day Care LD,349.60
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115264,revenue,1MK60,Ind Day Care LD,2775.03
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115265,revenue,1MK60,Ind Day Care LD,1556.85
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115266,revenue,1MK60,Ind Day Care LD,2284.20
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115267,revenue,1MK60,Ind Day Care LD,4127.17
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,30/04/2024,PERCY HEDLEY CENTRE,9115268,revenue,1MK60,Ind Day Care LD,1883.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095989,revenue,1MH60,Day Care PD,2784.50
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096010,revenue,1MH60,Day Care PD,4542.26
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096004,revenue,1MH60,Day Care PD,1106.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096015,revenue,1MK20,Residential Care LD,8632.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095990,revenue,1MK60,Ind Day Care LD,1073.08
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095993,revenue,1MK60,Ind Day Care LD,1889.30
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096011,revenue,1MK60,Ind Day Care LD,2075.47
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096012,revenue,1MK60,Ind Day Care LD,4633.72
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096013,revenue,1MK60,Ind Day Care LD,4542.26
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096014,revenue,1MK60,Ind Day Care LD,853.88
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095985,revenue,1MK60,Ind Day Care LD,1858.51
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095986,revenue,1MK60,Ind Day Care LD,1936.47
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095987,revenue,1MK60,Ind Day Care LD,1858.51
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095988,revenue,1MK60,Ind Day Care LD,1858.51
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095991,revenue,1MK60,Ind Day Care LD,1888.64
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095994,revenue,1MK60,Ind Day Care LD,1485.50
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095995,revenue,1MK60,Ind Day Care LD,1862.42
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095996,revenue,1MK60,Ind Day Care LD,2153.37
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095997,revenue,1MK60,Ind Day Care LD,1196.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095998,revenue,1MK60,Ind Day Care LD,3154.25
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9095999,revenue,1MK60,Ind Day Care LD,3807.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096000,revenue,1MK60,Ind Day Care LD,956.80
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096001,revenue,1MK60,Ind Day Care LD,1324.04
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096002,revenue,1MK60,Ind Day Care LD,2284.20
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096003,revenue,1MK60,Ind Day Care LD,349.60
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096005,revenue,1MK60,Ind Day Care LD,2775.03
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096006,revenue,1MK60,Ind Day Care LD,1556.85
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096007,revenue,1MK60,Ind Day Care LD,2284.20
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096008,revenue,1MK60,Ind Day Care LD,4127.17
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,02/04/2024,PERCY HEDLEY CENTRE,9096009,revenue,1MK60,Ind Day Care LD,1883.84
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,PERCY HEDLEY CENTRE,9102124,revenue,1MG20,Residential Care OP,5257.76
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,PERCY HEDLEY CENTRE,9102124,revenue,1MK20,Residential Care LD,52729.60
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,09/04/2024,PERCY HEDLEY CENTRE,9102123,revenue,1MK20,Residential Care LD,77528.95
