Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
Cygnet Learning Disabilities Ltd,Residential Placemnt,Working Together - Learning Disability,7085.72,0,7085.72,45162
Cygnet Learning Disabilities Ltd,Residential Placemnt,Working Together - Learning Disability,7200,0,7200,45191
D & A Consultants Ltd (T/A Derek Lofty & Associates),Other Professionals,Harrow Museum,475,95,570,45154
D2 Interactive Limited,Other Professionals,Cap - Environment,1750,350,2100,45117
D2 Interactive Limited,Other Professionals,Cap - Environment,1750,350,2100,45147
D2 Interactive Limited,Other Professionals,Cap - Environment,1750,350,2100,45197
DA Languages Limited,Accommodation,CIN Team 3,12157.83,2431.566,14589.396,45183
DA Languages Limited,Accommodation,CIN Team 3,17821.37,3564.274,21385.644,45152
DA Languages Limited,Accommodation,CIN Team 3,18907.33,3781.466,22688.796000000002,45120
DAC Beachcroft,Other Agencies,Motor Insurance,655,131,786,45120
DAC Beachcroft,Other Agencies,Liability Insurance,713,142.6,855.6,45183
DAC Beachcroft,Other Agencies,Liability Insurance,1320,264,1584,45183
DAC Beachcroft,Other Agencies,Liability Insurance,1580.5,316.1,1896.6,45148
DAC Beachcroft,Other Agencies,Motor Insurance,1703,340.6,2043.6,45182
DAC Beachcroft,Other Agencies,Liability Insurance,5640,1128,6768,45110
DAC Beachcroft,Other Agencies,Liability Insurance,12732,2546.4,15278.4,45188
Daisy Corporate Services Trading Limited,Equipment Purchases,IT Operations Service Management,3320.13,664.026,3984.156,45148
Daisy Corporate Services Trading Limited,Equipment Purchases,IT Operations Service Management,3449.51,689.902,4139.412,45148
Daisy Corporate Services Trading Limited,Equipment Purchases,IT Operations Service Management,3573.62,714.724,4288.344,45128
Daisy Corporate Services Trading Limited,Equipment Purchases,IT Operations Service Management,3632.47,726.494,4358.964,45128
Dale Avenue Nursery,Private Nurseries,2 year old offer,3269.7,0,3269.7,45176
Dale Avenue Nursery,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,15790.95,0,15790.95,45187
Dana Care,Supptd Accommodation,Working Together - Learning Disability,-6036.75,0,-6036.75,45191
Dana Care,Residential Placemnt,Working Together - Learning Disability,-5634.75,0,-5634.75,45162
Dana Care,Rec Cost Ext Non-Vat,Working Together - Learning Disability,732.52,0,732.52,45162
Dana Care,Residential Placemnt,Working Together - Learning Disability,-1153.57,0,-1153.57,45131
Dana Care,Residential Placemnt,Working Together - Learning Disability,714.99,0,714.99,45177
Dana Care,Residential Placemnt,Working Together - Learning Disability,845.15,0,845.15,45180
Dana Care,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-109.86,0,-109.86,45180
Dana Care,Residential Placemnt,Working Together - Learning Disability,969,0,969,45177
Dana Care,Supptd Accommodation,Working Together - Learning Disability,1442.48,0,1442.48,45177
Dana Care,Residential Placemnt,Working Together - Learning Disability,1531.57,0,1531.57,45177
Dana Care,Supptd Accommodation,Working Together - Learning Disability,1812,0,1812,45177
Dana Care,Residential Placemnt,Working Together - Learning Disability,1869.1,0,1869.1,45177
Dana Care,Supptd Accommodation,Working Together - Learning Disability,2426.79,0,2426.79,45177
Dana Care,Supptd Accommodation,Working Together - Learning Disability,4240,0,4240,45153
Dana Care,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-551.2,0,-551.2,45153
Dana Care,Supptd Accommodation,Working Together - Learning Disability,10371.71,0,10371.71,45131
Dana Care,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-6223.03,0,-6223.03,45131
Dana Care,Supptd Accommodation,Working Together - Learning Disability,10371.72,0,10371.72,45162
Dana Care,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-6223.03,0,-6223.03,45162
Dana Care,Supptd Accommodation,Working Together - Learning Disability,6360,0,6360,45191
Dana Care,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-826.8,0,-826.8,45191
Dana Care,Supptd Accommodation,Working Together - Learning Disability,6572,0,6572,45162
Dana Care,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-854.36,0,-854.36,45162
Dana Care,Supptd Accommodation,Working Together - Learning Disability,5922.99,0,5922.99,45131
Dana Care,Supptd Accommodation,Working Together - Learning Disability,5923,0,5923,45162
Dana Care,Supptd Accommodation,Working Together - Learning Disability,6018.51,0,6018.51,45191
Dana Care,Residential Placemnt,Working Together - Learning Disability,6288.57,0,6288.57,45131
Dana Care,Residential Placemnt,Working Together - Learning Disability,6288.57,0,6288.57,45162
Dana Care,Residential Placemnt,Working Together - Learning Disability,6390,0,6390,45191
Dana Care,Residential Placemnt,Working Together - Learning Disability,6616.73,0,6616.73,45162
Dana Care,Residential Placemnt,Working Together - Learning Disability,6723.43,0,6723.43,45191
Dana Care,Residential Placemnt,Working Together - Learning Disability,7265.77,0,7265.77,45131
Dana Care,Residential Placemnt,Working Together - Learning Disability,7357.63,0,7357.63,45162
Dana Care,Supptd Accommodation,Working Together - Learning Disability,7440,0,7440,45131
Dana Care,Supptd Accommodation,Working Together - Learning Disability,7440,0,7440,45162
Dana Care,Residential Placemnt,Working Together - Learning Disability,7476.3,0,7476.3,45191
Dana Care,Supptd Accommodation,Working Together - Learning Disability,7560,0,7560,45191
Dana Care,Residential Placemnt,Working Together - Learning Disability,8733.85,0,8733.85,45131
Dana Care,Rec Cost Ext Non-Vat,Working Together - Learning Disability,-1135.4,0,-1135.4,45131
Dana Care,Residential Placemnt,Working Together - Learning Disability,7683.94,0,7683.94,45131
Dana Care,Supptd Accommodation,Working Together - Learning Disability,8997.08,0,8997.08,45162
Dana Care,Supptd Accommodation,Working Together - Learning Disability,8997.09,0,8997.09,45131
Dana Care,Supptd Accommodation,Working Together - Learning Disability,9964.28,0,9964.28,45162
Dana Care,Supptd Accommodation,Working Together - Learning Disability,9964.29,0,9964.29,45131
Dana Care,Supptd Accommodation,Working Together - Learning Disability,10125,0,10125,45191
Daniela Pincus,Other Professionals,Adult Skills Budget,3628,0,3628,45113
Darethealthcare UK Limited,Domiciliary Care,Personalisation,650.17,0,650.17,45121
David Martin,Misc Supp & Serv Cst,Cap - GF Housing,2422.8,0,2422.8,45170
David Martin Carpentry Contractors,Misc Supp & Serv Cst,Cap - GF Housing,528,0,528,45196
David Martin Contractors,Misc Supp & Serv Cst,Cap - GF Housing,5152.8,0,5152.8,45183
David Martin Contractors,Landld Rprs Exit Cts,Cap - Housing,9132.09,1826.418,10958.508,45154
Deansbrook Junior School,Other Professionals,Dsg Outborough Placement-Fees,2312.08,0,2312.08,45110
Debigno Ltd,Misc Supp & Serv Cst,Harrow: Sexual Health Services,629.94,125.988,755.9280000000001,45147
Debigno Ltd,Misc Supp & Serv Cst,Harrow: Sexual Health Services,650,130,780,45126
Debigno Ltd,Misc Supp & Serv Cst,Harrow: Sexual Health Services,650,130,780,45154
Debigno Ltd,Misc Supp & Serv Cst,Harrow: Sexual Health Services,650,130,780,45197
Delrose House Ltd,Residential Placemnt,Mental Health  - S75,9733.64,0,9733.64,45131
Delrose House Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-4088.13,0,-4088.13,45131
Delrose House Ltd,Residential Placemnt,Mental Health  - S75,10069.29,0,10069.29,45191
Delrose House Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-4229.1,0,-4229.1,45191
Delrose House Ltd,Residential Placemnt,Mental Health  - S75,10404.93,0,10404.93,45162
Delrose House Ltd,Rec Cost Ext Non-Vat,Mental Health  - S75,-4370.07,0,-4370.07,45162
Dementia Partners Ltd,Supptd Accommodation,Personalisation,4272.86,0,4272.86,45191
Dementia Partners Ltd,Supptd Accommodation,Personalisation,4415.28,0,4415.28,45162
Dementia Partners Ltd,Supptd Accommodation,Personalisation,4415.29,0,4415.29,45131
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,524.39,0,524.39,45119
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,524.39,0,524.39,45148
Dendera Care,Domiciliary Care,Personalisation,537.17,0,537.17,45139
Dendera Care,Domiciliary Care,Personalisation,542.48,0,542.48,45148
Dendera Care,Domiciliary Care,Personalisation,542.48,0,542.48,45148
Dendera Care,Domiciliary Care,Personalisation,542.48,0,542.48,45148
Dendera Care,Domiciliary Care,Personalisation,543.8,0,543.8,45119
Dendera Care,Domiciliary Care,Personalisation,543.8,0,543.8,45119
Dendera Care,Domiciliary Care,Personalisation,543.8,0,543.8,45119
Dendera Care,Domiciliary Care,Personalisation,546.63,0,546.63,45148
Dendera Care,Domiciliary Care,Personalisation,192.07,0,192.07,45139
Dendera Care,Carer's Service,Personalisation,355.71,0,355.71,45139
Dendera Care,Domiciliary Care,Personalisation,547.8,0,547.8,45148
Dendera Care,Domiciliary Care,Personalisation,554.44,0,554.44,45119
Dendera Care,Domiciliary Care,Personalisation,571.67,0,571.67,45177
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,571.67,0,571.67,45177
Dendera Care,Domiciliary Care,Personalisation,571.67,0,571.67,45177
Dendera Care,Domiciliary Care,Personalisation,571.67,0,571.67,45177
Dendera Care,Domiciliary Care,Personalisation,571.69,0,571.69,45177
Dendera Care,Domiciliary Care,Personalisation,572.52,0,572.52,45148
Dendera Care,Domiciliary Care,Personalisation,256.11,0,256.11,45139
Dendera Care,Carer's Service,Personalisation,341.49,0,341.49,45139
Dendera Care,Domiciliary Care,Personalisation,605.57,0,605.57,45148
Dendera Care,Domiciliary Care,Personalisation,613.2,0,613.2,45148
Dendera Care,Domiciliary Care,Personalisation,619.52,0,619.52,45119
Dendera Care,Domiciliary Care,Personalisation,619.52,0,619.52,45119
Dendera Care,Domiciliary Care,Personalisation,619.52,0,619.52,45119
Dendera Care,Domiciliary Care,Personalisation,619.52,0,619.52,45148
Dendera Care,Domiciliary Care,Personalisation,619.52,0,619.52,45148
Dendera Care,Domiciliary Care,Personalisation,622.61,0,622.61,45177
Dendera Care,Reablmnt Care Client,Personalisation,629.64,0,629.64,45181
Dendera Care,Reablmnt Care Client,Personalisation,630,0,630,45181
Dendera Care,Domiciliary Care,Personalisation,232.4,0,232.4,45139
Dendera Care,Domiciliary Care,Personalisation,232.4,0,232.4,45139
Dendera Care,Carer's Service,Personalisation,398.4,0,398.4,45139
Dendera Care,Carer's Service,Personalisation,398.4,0,398.4,45139
Dendera Care,Domiciliary Care,Personalisation,651.24,0,651.24,45177
Dendera Care,Domiciliary Care,Personalisation,651.24,0,651.24,45177
Dendera Care,Domiciliary Care,Personalisation,671.85,0,671.85,45177
Dendera Care,Domiciliary Care,Personalisation,697.2,0,697.2,45119
Dendera Care,Domiciliary Care,Personalisation,697.2,0,697.2,45119
Dendera Care,Domiciliary Care,Personalisation,697.2,0,697.2,45148
Dendera Care,Reablmnt Care Client,Personalisation,702,0,702,45181
Dendera Care,Domiciliary Care,Personalisation,723.44,0,723.44,45148
Dendera Care,Domiciliary Care,Personalisation,729.08,0,729.08,45119
Dendera Care,Domiciliary Care,Personalisation,732.92,0,732.92,45177
Dendera Care,Domiciliary Care,Personalisation,751.32,0,751.32,45148
Dendera Care,Domiciliary Care,Personalisation,753.81,0,753.81,45119
Dendera Care,Domiciliary Care,Personalisation,757.35,0,757.35,45177
Dendera Care,Domiciliary Care,Personalisation,763.6,0,763.6,45160
Dendera Care,Domiciliary Care,Personalisation,774.88,0,774.88,45148
Dendera Care,Domiciliary Care,Personalisation,774.88,0,774.88,45148
Dendera Care,Domiciliary Care,Personalisation,776.2,0,776.2,45119
Dendera Care,Domiciliary Care,Personalisation,776.2,0,776.2,45119
Dendera Care,Domiciliary Care,Personalisation,788.18,0,788.18,45148
Dendera Care,Domiciliary Care,Personalisation,804.78,0,804.78,45177
Dendera Care,Domiciliary Care,Personalisation,814.6,0,814.6,45177
Dendera Care,Domiciliary Care,Personalisation,815.95,0,815.95,45177
Dendera Care,Domiciliary Care,Personalisation,815.95,0,815.95,45177
Dendera Care,Domiciliary Care,Personalisation,815.95,0,815.95,45177
Dendera Care,Domiciliary Care,Personalisation,826.01,0,826.01,45119
Dendera Care,Reablmnt Care Client,Personalisation,849,0,849,45181
Dendera Care,Domiciliary Care,Personalisation,851.92,0,851.92,45119
Dendera Care,Domiciliary Care,Personalisation,851.92,0,851.92,45148
Dendera Care,Domiciliary Care,Personalisation,860.62,0,860.62,45177
Dendera Care,Domiciliary Care,Personalisation,865.7,0,865.7,45119
Dendera Care,Domiciliary Care,Personalisation,885.76,0,885.76,45177
Dendera Care,Domiciliary Care,Personalisation,895.52,0,895.52,45177
Dendera Care,Domiciliary Care,Personalisation,909,0,909,45148
Dendera Care,Domiciliary Care,Personalisation,929.6,0,929.6,45119
Dendera Care,Domiciliary Care,Personalisation,929.6,0,929.6,45148
Dendera Care,Domiciliary Care,Personalisation,977.2,0,977.2,45177
Dendera Care,Domiciliary Care,Personalisation,977.2,0,977.2,45177
Dendera Care,Domiciliary Care,Personalisation,996,0,996,45119
Dendera Care,Domiciliary Care,Personalisation,996,0,996,45148
Dendera Care,Domiciliary Care,Personalisation,1007.28,0,1007.28,45119
Dendera Care,Domiciliary Care,Personalisation,1007.28,0,1007.28,45148
Dendera Care,Domiciliary Care,Personalisation,1008.61,0,1008.61,45119
Dendera Care,Domiciliary Care,Personalisation,1008.61,0,1008.61,45148
Dendera Care,Domiciliary Care,Personalisation,1025.38,0,1025.38,45177
Dendera Care,Domiciliary Care,Personalisation,1047,0,1047,45177
Dendera Care,Domiciliary Care,Personalisation,1087.64,0,1087.64,45119
Dendera Care,Domiciliary Care,Personalisation,1087.64,0,1087.64,45148
Dendera Care,Domiciliary Care,Personalisation,1108.25,0,1108.25,45177
Dendera Care,Domiciliary Care,Personalisation,1112.54,0,1112.54,45148
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,1137.44,0,1137.44,45119
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,1137.44,0,1137.44,45148
Dendera Care,Domiciliary Care,Personalisation,1143.33,0,1143.33,45177
Dendera Care,Domiciliary Care,Personalisation,1147.16,0,1147.16,45177
Dendera Care,Domiciliary Care,Personalisation,1170.3,0,1170.3,45148
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,1195.68,0,1195.68,45177
Dendera Care,Domiciliary Care,Personalisation,1241,0,1241,45119
Dendera Care,Domiciliary Care,Personalisation,1281.86,0,1281.86,45119
Dendera Care,Reablmnt Care Client,Personalisation,1286.67,0,1286.67,45181
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,1374.98,0,1374.98,45118
Dendera Care,Reablmnt Care Client,Personalisation,1386,0,1386,45181
Dendera Care,Domiciliary Care,Personalisation,1411,0,1411,45119
Dendera Care,Domiciliary Care,Personalisation,1457.49,0,1457.49,45132
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,1274.44,0,1274.44,45132
Dendera Care,Domiciliary Care,Self funders Personalisation - Adult Soc,216,0,216,45132
Dendera Care,Domiciliary Care,Personalisation,1552.44,0,1552.44,45119
Dendera Care,Domiciliary Care,Personalisation,1552.44,0,1552.44,45148
Dendera Care,Domiciliary Care,Personalisation,1640.65,0,1640.65,45177
Dendera Care,Domiciliary Care,Personalisation,1701.33,0,1701.33,45119
Dendera Care,Domiciliary Care,Personalisation,1704.48,0,1704.48,45148
Dendera Care,Domiciliary Care,Personalisation,1791.76,0,1791.76,45177
Dendera Care,Domiciliary Care,Personalisation,1984.04,0,1984.04,45119
Dendera Care,Domiciliary Care,Personalisation,2017.24,0,2017.24,45148
Dendera Care,Domiciliary Care,Personalisation,2017.24,0,2017.24,45148
Dendera Care,Domiciliary Care,Personalisation,2065.72,0,2065.72,45119
Dendera Care,Domiciliary Care,Personalisation,2082.31,0,2082.31,45148
Dendera Care,Domiciliary Care,Personalisation,2129.25,0,2129.25,45177
Dendera Care,Domiciliary Care,Personalisation,2188.93,0,2188.93,45177
Dendera Care,Domiciliary Care,Personalisation,2249.64,0,2249.64,45119
Dendera Care,Domiciliary Care,Personalisation,2249.64,0,2249.64,45148
Dendera Care,Domiciliary Care,Personalisation,2299.11,0,2299.11,45148
Dendera Care,Domiciliary Care,Personalisation,2324,0,2324,45148
Dendera Care,Domiciliary Care,Personalisation,2337.77,0,2337.77,45119
Dendera Care,Domiciliary Care,Personalisation,2364.81,0,2364.81,45177
Dendera Care,Domiciliary Care,Personalisation,2365.16,0,2365.16,45119
Dendera Care,Domiciliary Care,Personalisation,2387.23,0,2387.23,45148
Dendera Care,Domiciliary Care,Personalisation,2443,0,2443,45177
Dendera Care,Domiciliary Care,Personalisation,2443.01,0,2443.01,45177
Dendera Care,Domiciliary Care,Personalisation,2503.72,0,2503.72,45177
Dendera Care,Domiciliary Care,Personalisation,3834.93,0,3834.93,45119
Dendera Care,Domiciliary Care,Personalisation,3876.43,0,3876.43,45148
Development & Learning Opportunitie,Day Care Payments,Working Together - Learning Disability,1134,0,1134,45147
Development & Learning Opportunitie,Day Care Payments,Working Together - Learning Disability,1323,0,1323,45113
Development & Learning Opportunitie,Day Care Payments,Working Together - Learning Disability,1323,0,1323,45196
Development & Learning Opportunitie,Day Care Payments,Working Together - Learning Disability,1560,0,1560,45113
Development & Learning Opportunitie,Day Care Payments,Working Together - Learning Disability,1560,0,1560,45147
Development & Learning Opportunitie,Day Care Payments,Working Together - Learning Disability,1560,0,1560,45196
DIAMOND BUILD PLC,Misc Supp & Serv Cst,Cap - Housing,24539.21,4907.842,29447.052,45145
DIAMOND BUILD PLC,Misc Supp & Serv Cst,Cap - Housing,44823.85,8964.77,53788.619999999995,45166
Diffusion Elite Security Ltd,Other Professionals,Regeneration Projects,2090,0,2090,45118
Diffusion Elite Security Ltd,Other Professionals,Regeneration Projects,3230,0,3230,45166
Diffusion Elite Security Ltd,Other Professionals,Regeneration Projects,3757,751.4,4508.4,45166
Diffusion Elite Security Ltd,Other Professionals,Regeneration Projects,4335,867,5202,45118
Digital Dispatch (International) Lt,Computer Software,Brent SNT Childrens,16568,3313.6,19881.6,45111
Digital Dispatch (International) Lt,Computer Software,P-DSG Transport Educ - Ops,9940.8,1988.16,11928.96,45111
Digital Dispatch (International) Lt,Computer Software,Transport S S - Ops,6627.2,1325.44,7952.639999999999,45111
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,1109.85,0,1109.85,45177
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,1970.55,0,1970.55,45177
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,4557,0,4557,45131
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,4557,0,4557,45162
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,4630.5,0,4630.5,45191
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,8091,0,8091,45131
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,8091,0,8091,45162
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,8221.5,0,8221.5,45191
DMP Healthcare (Ogilvy) Ltd,Nursing Care,Long Term Care,604.44,0,604.44,45177
DMP Healthcare (Ogilvy) Ltd,Nursing Care,Long Term Care,4136.29,0,4136.29,45131
DMP Healthcare (Ogilvy) Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1240,0,-1240,45131
DMP Healthcare (Ogilvy) Ltd,Nursing Care,Long Term Care,4136.28,0,4136.28,45162
DMP Healthcare (Ogilvy) Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1034.07,0,-1034.07,45162
DMP Healthcare (Ogilvy) Ltd,Nursing Care,Long Term Care,4122.94,0,4122.94,45191
DMP Healthcare (Ogilvy) Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1000.71,0,-1000.71,45191
DNA Legal Ltd,Soc. Serv Client DP,Cin Team 1,552,0,552,45113
DNA Legal Ltd,Soc. Serv Client DP,Cin Team 1,552,0,552,45169
DNA Legal Ltd,Soc. Serv Client DP,Cin Team 1,717,0,717,45118
DOR-2-DOR (Harrow),Other Professionals,Harrow Museum,420,84,504,45191
Dorians Solicitors Ltd NatWest Account,Other Agencies,Liability Insurance,2701,0,2701,45147
Doro Care (UK) Limited,Computer Purchases,Harrow Helpline,1068,213.6,1281.6,45145
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,2800,560,3360,45124
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,3234.95,646.99,3881.9399999999996,45194
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4000,800,4800,45124
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4000,800,4800,45124
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4000,800,4800,45194
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4000,800,4800,45194
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4000,800,4800,45194
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4000,800,4800,45194
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4000,800,4800,45194
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4015.95,803.19,4819.139999999999,45124
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4015.95,803.19,4819.139999999999,45124
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4615.95,923.19,5539.139999999999,45156
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4615.95,923.19,5539.139999999999,45156
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4615.95,923.19,5539.139999999999,45156
Dover Grammar School for Girls,Grants and Subscript,CLA Pupil Premium Grant,500,0,500,45154
DPR Housing Limited,Semi Independent,Leaving Care Placements,1899.94,0,1899.94,45114
DPR Housing Limited,Youth Aid Payments,Leaving Care Placements,185,0,185,45114
DPR Housing Limited,Semi Independent,Leaving Care Placements,4071.17,0,4071.17,45114
DPR Housing Limited,Semi Independent,Leaving Care Placements,4207.14,0,4207.14,45148
DPR Housing Limited,Youth Aid Payments,Leaving Care Placements,396.43,0,396.43,45114
DPR Housing Limited,Youth Aid Payments,Leaving Care Placements,260.46,0,260.46,45148
DPR Housing Limited,Semi Independent,Leaving Care Placements,4206.87,0,4206.87,45176
DPR Housing Limited,Youth Aid Payments,Leaving Care Placements,409.65,0,409.65,45176
DPR Housing Limited,Supptd Accommodation,Mental Health  - S75,5975.66,0,5975.66,45166
DPR Housing Limited,Supptd Accommodation,Mental Health  - S75,6387.77,0,6387.77,45173
DPR Housing Limited,Semi Independent,Leaving Care Placements,5978.66,0,5978.66,45152
DPR Housing Limited,Youth Aid Payments,Leaving Care Placements,1295,0,1295,45152
DPR Housing Limited,Semi Independent,Leaving Care Placements,5772.61,0,5772.61,45114
DPR Housing Limited,Youth Aid Payments,Leaving Care Placements,1863.21,0,1863.21,45114
Dr Joanna Gibbons Clin.Psy,Other Professionals,Virtual Head Teacher,510,0,510,45194
Drainwork Solutions Ltd,Other Agencies,Cap - Housing,7900,1580,9480,45128
Dream Home Care LTD,Domiciliary Care,Personalisation,534.89,0,534.89,45182
Dream Home Care LTD,Carer's Service,Personalisation,37.99,0,37.99,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,575.35,0,575.35,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,619.52,0,619.52,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,619.52,0,619.52,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,651.24,0,651.24,45182
Dream Home Care LTD,Domiciliary Care,Self funders Personalisation - Adult Soc,697.2,0,697.2,45120
Dream Home Care LTD,Domiciliary Care,Self funders Personalisation - Adult Soc,697.2,0,697.2,45149
Dream Home Care LTD,Domiciliary Care,Self funders Personalisation - Adult Soc,732.92,0,732.92,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,744.42,0,744.42,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,774.88,0,774.88,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,830,0,830,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,840.95,0,840.95,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1430.01,0,1430.01,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,-578.26,0,-578.26,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,895.52,0,895.52,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,926.79,0,926.79,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,929.6,0,929.6,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,929.6,0,929.6,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,929.6,0,929.6,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,971.31,0,971.31,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,977.2,0,977.2,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,977.2,0,977.2,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,984.89,0,984.89,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1004.3,0,1004.3,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1007.28,0,1007.28,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1007.28,0,1007.28,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1007.28,0,1007.28,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1007.28,0,1007.28,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1051.62,0,1051.62,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1058.88,0,1058.88,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,1058.88,0,1058.88,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,1073.36,0,1073.36,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1087.66,0,1087.66,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,1126.22,0,1126.22,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1128.32,0,1128.32,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,1134.33,0,1134.33,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,1265.13,0,1265.13,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,1316.72,0,1316.72,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1316.72,0,1316.72,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1384.12,0,1384.12,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,1549.12,0,1549.12,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1549.12,0,1549.12,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1464.59,0,1464.59,45149
Dream Home Care LTD,Carer's Service,Personalisation,101.3,0,101.3,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1628.44,0,1628.44,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,1704.48,0,1704.48,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1704.48,0,1704.48,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1759.65,0,1759.65,45173
Dream Home Care LTD,Domiciliary Care,Self funders Personalisation - Adult Soc,1792.8,0,1792.8,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1859.2,0,1859.2,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1859.2,0,1859.2,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,1859.2,0,1859.2,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1936.57,0,1936.57,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,1954.4,0,1954.4,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,2035.72,0,2035.72,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,2111.03,0,2111.03,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,2113.68,0,2113.68,45149
Dream Home Care LTD,Domiciliary Care,Personalisation,2117.2,0,2117.2,45182
Dream Home Care LTD,Domiciliary Care,Personalisation,2169.28,0,2169.28,45120
Dream Home Care LTD,Domiciliary Care,Personalisation,2169.28,0,2169.28,45149
