Updated Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
Community Connex Ltd,Domiciliary Care,Personalisation,1992,0,1992,45030
Community Connex Ltd,Domiciliary Care,Working Together - Learning Disability,13088.2,0,13088.2,45037
Community Connex Ltd,Domiciliary Care,Working Together - Learning Disability,315.46,0,315.46,45042
Community Connex Ltd,Domiciliary Care,Working Together - Learning Disability,12666,0,12666,45072
Community Connex Ltd,Domiciliary Care,Working Together - Learning Disability,13088.2,0,13088.2,45107
Community Connex Ltd,Other Agencies,Contracts & Voluntary Sector,3605,0,3605,45058
Community Connex Ltd,Respite Costs,Children With Disabilities Client Costs,1364.4,0,1364.4,45019
Community Connex Ltd,Respite Costs,Children With Disabilities Client Costs,682.2,0,682.2,45050
Community Connex Ltd,Respite Costs,Children With Disabilities Client Costs,152.4,0,152.4,45051
Community Connex Ltd,Respite Costs,Children With Disabilities Client Costs,1054.2,0,1054.2,45096
Community Connex Ltd,Respite Costs,Children With Disabilities Client Costs,682.2,0,682.2,45105
Community Support,Reg Svs - Env Health,Liquor Licensing,1045.9,0,1045.9,45056
Community Support,Reg Svs - Env Health,Liquor Licensing,1220,0,1220,45077
Community Support,Reg Svs - Env Health,Liquor Licensing,610,0,610,45083
Companies House,Other Agencies,Liquor Licensing,4,0,4,45027
Compass,Misc Supp & Serv Cst,Harrow: Drug Misuse,59720.5,0,59720.5,45084
Computer Share Voucher Services Ltd,Section 17,Childcare Vouchers,2534.09,5.02,2539.11,45030
Computer Share Voucher Services Ltd,Section 17,Childcare Vouchers,2412.89,4.78,2417.67,45061
Computer Share Voucher Services Ltd,Section 17,Childcare Vouchers,2422.99,4.8,2427.79,45091
Connect Fostering,Foster Payments,Asylum Client Expenditure,4185,0,4185,45022
Connect Fostering,Foster Payments,Asylum Client Expenditure,4185,0,4185,45085
Connevans Limited,Other Professionals,Children's Sensory Team,150.67,30.13,180.8,45068
Connifers Care Ltd,Residential Placemnt,Working Together - Learning Disability,4290.99,0,4290.99,45037
Connifers Care Ltd,Residential Placemnt,Working Together - Learning Disability,4434.02,0,4434.02,45069
Connifers Care Ltd,Residential Placemnt,Working Together - Learning Disability,4290.98,0,4290.98,45100
Continuum Sport and Leisure Ltd,Activity Leaders,Leisure Centre,11433,2286.6,13719.6,45022
Contract Plant Rental,Vehicle Hire Costs,C.A.Site,8056.72,1611.34,9668.06,45027
Contract Plant Rental,Vehicle Hire Costs,C.A.Site,7717,1543.4,9260.4,45061
Contract Plant Rental,Vehicle Hire Costs,C.A.Site,7717,1543.4,9260.4,45090
Control B Web & Graphic Design,Other Professionals,Harrow Museum,210,0,210,45106
Coral Community Assessments,Soc. Serv Client DP,CIN Team 3,11517,2303.4,13820.4,45091
Coral Products (Mouldings) Ltd,Equipment Purchases,Domestic Waste,8850,1770,10620,45082
Coram,Adoption Allowances,Adoption Support,87657.75,0,87657.75,45028
coram chambers,Legal Fees,Divisional Director Targeted Services,775,155,930,45021
coram chambers,Legal Fees,Divisional Director Targeted Services,625,125,750,45090
coram chambers,Legal Fees,Divisional Director Targeted Services,1656.25,331.25,1987.5,45021
coram chambers,Legal Fees,Divisional Director Targeted Services,837.5,167.5,1005,45107
coram chambers,Legal Fees,Divisional Director Targeted Services,850,170,1020,45107
coram chambers,Legal Fees,Divisional Director Targeted Services,650,130,780,45034
coram chambers,Legal Fees,Divisional Director Targeted Services,950,190,1140,45100
Coram Children's Legal Centre,Staff training - Gen,Training - Childrens Services,3800,760,4560,45041
CoramBAAF,Grants and Subscript,Permanency Team,4629.88,925.98,5555.86,45049
CoramBAAF,Grants and Subscript,Permanency Team,1118.6,223.72,1342.32,45089
Core Prospects,Supptd Accommodation,Working Together - Learning Disability,5357.14,0,5357.14,45037
Core Prospects,Supptd Accommodation,Working Together - Learning Disability,5535.71,0,5535.71,45069
Core Prospects,Supptd Accommodation,Working Together - Learning Disability,5357.15,0,5357.15,45100
Corich Homes (Consensus),Residential Placemnt,Working Together - Learning Disability,11870.06,0,11870.06,45037
Corich Homes (Consensus),Residential Placemnt,Working Together - Learning Disability,12265.73,0,12265.73,45069
Corich Homes (Consensus),Residential Placemnt,Working Together - Learning Disability,11870.05,0,11870.05,45100
Corinthian Healthcare Ltd,Residential Placemnt,Working Together - Learning Disability,12720.89,0,12720.89,45100
cornerstone barristers,Legal Fees,Adult Strategic Management,250,50,300,45061
cornerstone barristers,Legal Fees,Revenues - Dso,1750,350,2100,45061
Cornerstone Training,Other Professionals,Community Learning Trust,1644,0,1644,45019
Cornerstone Training,Other Professionals,Community Learning Trust,1825.2,0,1825.2,45054
Cornerstone Training,Other Professionals,Community Learning Trust,1000,0,1000,45089
Cosmic Integrated Ltd,Build Maint Exit Cst,Non-Delegated Building Maintenance,4000,800,4800,45061
Coteford Infant School,Other Professionals,Dsg Outborough Placement-Fees,20700,0,20700,45076
Cottrell and Vermeulen Architecture,Consultants Fees,Council Regeneration Programme,2445,489,2934,45063
Cottrell and Vermeulen Architecture,Consultants Fees,Development Control,500,100,600,45061
Cottrell and Vermeulen Architecture,Consultants Fees,Development Control,500,100,600,45062
Countess Marquees Ltd,Other Professionals,Harrow Museum,2500,500,3000,45051
Country and City Construction Ltd,Build Maint Exit Cst,Cap - Housing,12038.01,0,12038.01,45050
Country and City Construction Ltd,Build Maint Exit Cst,Cap - Housing,8083.8,0,8083.8,45068
Country and City Construction Ltd,Build Maint Exit Cst,Cap - Housing,37208.17,0,37208.17,45097
Countrywide Grounds Maintenance Ltd,Other Professionals,Harrow Museum,1008.6,201.72,1210.32,45061
Countrywide Grounds Maintenance Ltd,Other Professionals,Harrow Museum,516.6,103.32,619.92,45090
County Private Client Ltd,Accommodation,Bed&Breakfast,19196.25,0,19196.25,45021
County Private Client Ltd,Accommodation,Bed&Breakfast,10351.5,0,10351.5,45076
County Private Client Ltd,Accommodation,Bed&Breakfast,12271.25,0,12271.25,45097
Courtneys Autos,Equipment Purchases,Parking A/C-On Street Enfrcmnt,2080.16,416.03,2496.19,45090
Courtneys Autos,Equipment Purchases,Parking A/C-On Street Enfrcmnt,323.76,64.75,388.51,45092
Courtneys Autos,Equipment Purchases,Parking A/C-On Street Enfrcmnt,317.39,63.48,380.87,45096
Courtneys Autos,Equipment Purchases,Parking A/C-On Street Enfrcmnt,516.8,103.36,620.16,45097
Courtneys Autos,Equipment Purchases,Parking A/C-On Street Enfrcmnt,257.75,51.55,309.3,45105
Courtneys Autos,Other Agencies,Motor Insurance,2961.81,592.35,3554.16,45043
Courtneys Autos,Other Agencies,Motor Insurance,610,122,732,45044
Courtneys Autos,Other Agencies,Motor Insurance,866.81,173.36,1040.17,45047
Courtneys Autos,Other Agencies,Motor Insurance,6339.08,1267.82,7606.9,45054
Courtneys Autos,Other Agencies,Motor Insurance,3541.89,708.38,4250.27,45063
Courtneys Autos,Other Agencies,Motor Insurance,3180.7,636.14,3816.84,45069
Courtneys Autos,Other Agencies,Motor Insurance,1191.1,238.22,1429.32,45076
Courtneys Autos,Other Agencies,Motor Insurance,2951.7,590.34,3542.04,45082
Courtneys Autos,Other Agencies,Motor Insurance,961.74,192.35,1154.09,45091
Courtneys Autos,Other Agencies,Motor Insurance,1221.9,244.38,1466.28,45103
Courtneys Autos,Other Agencies,Motor Insurance,2864.71,572.94,3437.65,45105
Courtneys Autos,Private Contractors,Parking A/C-On Street Enfrcmnt,1511.38,302.28,1813.66,45022
Courtneys Autos,Private Contractors,Parking A/C-On Street Enfrcmnt,318.52,63.7,382.22,45049
Courtneys Autos,Repairs/Maintenance,Motor Insurance,4518.6,903.72,5422.32,45019
Courtneys Autos,Repairs/Maintenance,Motor Insurance,1367,273.4,1640.4,45020
Courtneys Autos,Repairs/Maintenance,Motor Insurance,2671.87,534.37,3206.24,45027
Cozy Carpets & Furniture,Furniture,Homelessness,605,121,726,45022
Cozy Carpets & Furniture,Furniture,Homelessness,2031,406.2,2437.2,45027
Cozy Carpets & Furniture,Furniture,Homelessness,1239,247.8,1486.8,45033
Cozy Carpets & Furniture,Furniture,Homelessness,180,36,216,45035
Cozy Carpets & Furniture,Furniture,Homelessness,690,138,828,45047
Cozy Carpets & Furniture,Furniture,Homelessness,784,156.8,940.8,45049
Cozy Carpets & Furniture,Furniture,Homelessness,375,75,450,45054
Cozy Carpets & Furniture,Furniture,Homelessness,150,30,180,45057
Cozy Carpets & Furniture,Furniture,Homelessness,974,194.8,1168.8,45064
Cozy Carpets & Furniture,Furniture,Homelessness,395,79,474,45070
Cozy Carpets & Furniture,Furniture,Homelessness,695,139,834,45082
Cozy Carpets & Furniture,Furniture,Homelessness,544,108.8,652.8,45098
Cozy Carpets & Furniture,Furniture,Homelessness,959,191.8,1150.8,45104
Cozy Carpets & Furniture,Furniture,Tenant Services,535,107,642,45028
Cozy Carpets & Furniture,Furniture,Tenant Services,2909,581.8,3490.8,45035
Cozy Carpets & Furniture,Furniture,Tenant Services,115,23,138,45036
Cozy Carpets & Furniture,Furniture,Tenant Services,535,107,642,45040
Cozy Carpets & Furniture,Furniture,Tenant Services,1639,327.8,1966.8,45063
Cozy Carpets & Furniture,Furniture,Tenant Services,295,59,354,45071
Cozy Carpets & Furniture,Furniture,Tenant Services,319,63.8,382.8,45085
Cozy Carpets & Furniture,Furniture,Tenant Services,843,168.6,1011.6,45092
Creed Foodservice LTD,Catering,Depot Canteen,140.65,6.37,147.02,45082
Creed Foodservice LTD,Catering,Depot Canteen,203.68,0,203.68,45096
Creed Foodservice LTD,Catering,Depot Canteen,115.51,2.72,118.23,45103
Crosthwaite Limited,Consultants Fees,Commercial Property Portfolio,5750,1150,6900,45091
Crystalize Care Service,Semi Independent,Leaving Care Placements,2525,0,2525,45057
Crystalize Care Service,Youth Aid Payments,Leaving Care Placements,2800,0,2800,45057
Cube Advocacy Ltd,Consultants Fees,Safeguarding Adults & Quality Assurance,2096.38,0,2096.38,45033
Culligan Water Limited,Catering,Kenmore NRC,149.32,29.86,179.18,45076
Culligan Water Limited,Catering,The New Bentley (Byron) NRC,155.21,31.04,186.25,45084
Curapharm Chemist,Misc Supp & Serv Cst,Lateral Flow Testing,252,50.4,302.4,45063
Curapharm Chemist,Misc Supp & Serv Cst,Lateral Flow Testing,798,159.6,957.6,45064
Cycle Confident Ltd,Other Professionals,Harrow Arts Centre,180,36,216,45079
Cygnet Learning Disabilities Ltd,Residential Placemnt,Working Together - Learning Disability,6857.14,0,6857.14,45037
Cygnet Learning Disabilities Ltd,Residential Placemnt,Working Together - Learning Disability,7085.71,0,7085.71,45069
Cygnet Learning Disabilities Ltd,Residential Placemnt,Working Together - Learning Disability,6857.15,0,6857.15,45100
D2 Interactive Limited,Other Professionals,Cap - Environment,10750,2150,12900,45058
D2 Interactive Limited,Other Professionals,Cap - Environment,1750,350,2100,45099
DA Languages Limited,Accommodation,CIN Team 3,20873.29,4174.66,25047.95,45061
DA Languages Limited,Accommodation,CIN Team 3,18402.09,3680.42,22082.51,45090
DA Languages Limited,Signers/Interpreters,CIN Team 3,22776.57,4555.31,27331.88,45028
DAC Beachcroft,Other Agencies,Liability Insurance,750,150,900,45050
DAC Beachcroft,Other Agencies,Liability Insurance,841,168.2,1009.2,45054
DAC Beachcroft,Other Agencies,Liability Insurance,6241,1248.2,7489.2,45058
DAC Beachcroft,Other Agencies,Liability Insurance,1275,255,1530,45061
DAC Beachcroft,Other Agencies,Liability Insurance,2279.5,434.3,2713.8,45085
DAC Beachcroft,Other Agencies,Liability Insurance,609.5,121.9,731.4,45089
Daisy Corporate Services Trading Limited,Equipment Purchases,Procurement,3692.17,738.43,4430.6,45077
Dale Avenue Nursery,Private Nurseries,2 year old offer,934.2,0,934.2,45085
Dale Avenue Nursery,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,27070.2,0,27070.2,45034
Dale Avenue Nursery,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,28985.7,0,28985.7,45089
Dale Avenue Nursery,Private Nurseries,EY SEN Inclusion Fund,5000,0,5000,45091
Dana Care,Supptd Accommodation,Working Together - Learning Disability,9642.86,0,9642.86,45037
Dana Care,Supptd Accommodation,Working Together - Learning Disability,35346.89,0,35346.89,45069
Dana Care,Supptd Accommodation,Working Together - Learning Disability,9642.85,0,9642.85,45100
Datatank Ltd,Levies (not in SL),Revenues - Dso,31660,6332,37992,45082
David Martin Contractors,Landld Rprs Exit Cts,Cap - GF Housing,2670.78,0,2670.78,45064
David Martin Contractors,Landld Rprs Exit Cts,Cap - GF Housing,9322.37,0,9322.37,45103
David Martin Contractors,Landld Rprs Exit Cts,Cap - Housing,8972.33,1794.46,10766.79,45020
David Ogilvie Engineering Ltd,Grounds Maintenance,Parks/Open Spaces & Playing Fields,1650,330,1980,45022
Deepdale Trees Ltd,Tree Work,Cap- Enterprise and Planning,3185,637,3822,45027
Deka Chambers,Legal Fees,Divisional Director Targeted Services,1600,320,1920,45021
Deka Chambers,Legal Fees,Divisional Director Targeted Services,750,150,900,45040
Deka Chambers,Legal Fees,Divisional Director Targeted Services,850,170,1020,45100
Deka Chambers,Legal Fees,Divisional Director Targeted Services,1500,300,1800,45076
Dementia Partners Ltd,Supptd Accommodation,Personalisation,4272.86,0,4272.86,45037
Dementia Partners Ltd,Supptd Accommodation,Personalisation,4415.29,0,4415.29,45069
Dementia Partners Ltd,Supptd Accommodation,Personalisation,4272.85,0,4272.85,45100
Dendera Care,Domiciliary Care,Personalisation,2877.03,0,2877.03,45034
Dendera Care,Domiciliary Care,Personalisation,2324,0,2324,45035
Dendera Care,Domiciliary Care,Personalisation,2357.2,0,2357.2,45063
Dendera Care,Domiciliary Care,Personalisation,2438.01,0,2438.01,45064
Dendera Care,Domiciliary Care,Personalisation,3569.4,0,3569.4,45092
Dendera Care,Reablmnt Care Client,Personalisation,3780,0,3780,45047
Dendera Care,Reablmnt Care Client,Personalisation,1617,0,1617,45079
Dendera Care,Reablmnt Care Client,Personalisation,1677,0,1677,45098
Development & Learning Opportunities,Day Care Payments,Working Together - Learning Disability,1680,0,1680,45033
Development & Learning Opportunities,Day Care Payments,Working Together - Learning Disability,1440,0,1440,45070
Development & Learning Opportunities,Day Care Payments,Working Together - Learning Disability,1680,0,1680,45086
Dialogue Consultants Ltd,Staff training - Gen,The Firs,995,199,1194,45062
Diamond Paving Limited,Landld Rprs Exit Cts,Cap - GF Housing,10931,0,10931,45085
Diffusion Elite Security Ltd,Other Professionals,Regeneration Projects,2790,330,3120,45034
Digital ID,Security Costs,Security & Out of Hours,3258.95,651.79,3910.74,45034
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,7830,0,7830,45037
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,8091,0,8091,45069
Dillon Care,Supptd Accommodation,Working Together - Learning Disability,7830,0,7830,45100
DISABILITY SERVICES TEAM,Ad & Soc - Clnt Chgs,Concessionary Fares Levy,10,0,10,45034
DISABILITY SERVICES TEAM,Ad & Soc - Clnt Chgs,Concessionary Fares Levy,10,0,10,45078
DISABILITY SERVICES TEAM,Ad & Soc - Tele Peri,Harrow Helpline,56.25,0,56.25,45049
DISABILITY SERVICES TEAM,Ad & Soc - Tele Peri,Harrow Helpline,73.75,0,73.75,45062
DISABILITY SERVICES TEAM,Ad & Soc - Tele Peri,Harrow Helpline,56.25,0,56.25,45065
DISABILITY SERVICES TEAM,Ad & Soc - Tele Peri,Harrow Helpline,73.75,0,73.75,45070
DISABILITY SERVICES TEAM,Ad & Soc - Tele Peri,Harrow Helpline,35.49,0,35.49,45105
DISABILITY SERVICES TEAM,Domiciliary Care,Personalisation,250,0,250,45098
DISABILITY SERVICES TEAM,Misc Supp & Serv Cst,Complaints,100,0,100,45105
DMP Healthcare (Ogilvy) Ltd,Nursing Care,Long Term Care,4002.86,0,4002.86,45037
DMP Healthcare (Ogilvy) Ltd,Nursing Care,Long Term Care,4136.29,0,4136.29,45069
DMP Healthcare (Ogilvy) Ltd,Nursing Care,Long Term Care,4002.85,0,4002.85,45100
DMP Healthcare (Ogilvy) Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1200,0,-1200,45037
DMP Healthcare (Ogilvy) Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1240,0,-1240,45069
DMP Healthcare (Ogilvy) Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1200,0,-1200,45100
DNA Legal Ltd,Consultants Fees,Divisional Director Targeted Services,432.34,86.46,518.8,45035
DNA Legal Ltd,Soc. Serv Client DP,Cin Team 1,665,133,798,45054
DNA Legal Ltd,Soc. Serv Client DP,CIN Team 3,552,110.4,662.4,45027
DNA Legal Ltd,Soc. Serv Client DP,CIN Team 3,479,95.8,574.8,45068
DOR-2-DOR (Harrow),Other Professionals,Harrow Museum,297,59.4,356.4,45047
Doro Care (UK) Limited,Computer Maintenance,Harrow Helpline,1671.95,334.39,2006.34,45022
Doro Care (UK) Limited,Computer Maintenance,Harrow Helpline,12159.95,2431.99,14591.94,45051
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,572,114.4,686.4,45019
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,1390.95,278.19,1669.14,45051
Doro Care (UK) Limited,Equipment Purchases,Harrow Helpline,4615.95,923.19,5539.14,45071
Dotted Eyes Ltd,Computer Software,WEB Team,41000,8200,49200,45030
DPR Housing Limited,Semi Independent,Leaving Care Placements,3567.89,0,3567.89,45063
DPR Housing Limited,Semi Independent,Leaving Care Placements,5978.7,0,5978.7,45085
DPR Housing Limited,Youth Aid Payments,Leaving Care Placements,185,0,185,45063
DPR Housing Limited,Youth Aid Payments,Leaving Care Placements,819.29,0,819.29,45085
Dr Grange & Associates,Consultants Fees,Divisional Director Targeted Services,877.46,175.49,1052.95,45022
Dr Grange & Associates,Consultants Fees,Divisional Director Targeted Services,168,33.6,201.6,45061
Dr Grange & Associates,Consultants Fees,Divisional Director Targeted Services,1067.16,213.43,1280.59,45082
Drainwork Solutions Ltd,Consultants Fees,Cap - Housing,6913.09,1382.62,8295.71,45028
Dream Home Care LTD,Domiciliary Care,Personalisation,2169.28,0,2169.28,45034
Dream Home Care LTD,Domiciliary Care,Personalisation,3953.6,0,3953.6,45035
Dream Home Care LTD,Domiciliary Care,Personalisation,2456.98,0,2456.98,45061
Dream Home Care LTD,Domiciliary Care,Personalisation,3953.6,0,3953.6,45064
Dream Home Care LTD,Domiciliary Care,Personalisation,290.82,0,290.82,45086
Dream Home Care LTD,Domiciliary Care,Personalisation,3953.6,0,3953.6,45097
DSI Billing Services Ltd,Printing (external),Tenant Services,4084.32,816.86,4901.18,45054
DSSL Group Ltd,Computer Maintenance,Cap - Environment,64801.49,12960.3,77761.79,45020
DSSL Group Ltd,Computer Maintenance,Cap - Environment,43832.54,8766.51,52599.05,45050
DSSL Group Ltd,Computer Maintenance,Cap - Environment,9135.43,1827.09,10962.52,45071
DSSL Group Ltd,Computer Maintenance,Cap - Environment,20252.24,4050.45,24302.69,45076
DSSL Group Ltd,Computer Maintenance,Cap - Environment,16099.63,3219.93,19319.56,45078
DSSL Group Ltd,Computer Maintenance,Closed Circuit TV Management,3881.49,776.3,4657.79,45021
DSSL Group Ltd,Computer Maintenance,Closed Circuit TV Management,15395.33,3079.07,18474.4,45041
DSSL Group Ltd,Computer Maintenance,Closed Circuit TV Management,5633.33,1126.67,6760,45082
DSSL Group Ltd,Computer Maintenance,Estate Services,4437.24,887.45,5324.69,45061
DSSL Group Ltd,Computer Maintenance,Non-Delegated Building Maintenance,3401.58,680.32,4081.9,45104
DSSL Group Ltd,Security Costs,Closed Circuit TV Management,225,45,270,45057
DSSL Group Ltd,Security Costs,Closed Circuit TV Management,150,30,180,45076
D-Triumph Care Services,Domiciliary Care,Children With Disabilities Client Costs,1759.5,0,1759.5,45042
D-Triumph Care Services,Domiciliary Care,Children With Disabilities Client Costs,2311.5,0,2311.5,45078
D-Triumph Care Services,Respite Costs,Children With Disabilities Client Costs,1760,0,1760,45019
D-Triumph Care Services,Respite Costs,Children With Disabilities Client Costs,2420,0,2420,45071
D-Triumph Care Services,Respite Costs,Children With Disabilities Client Costs,1980,0,1980,45089
DWF LLP,Legal Fees,Liability Insurance,414,82.8,496.8,45027
E IVOR HUGHES EDUCATIONAL FOUNDATION,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,8188.54,0,8188.54,45034
E IVOR HUGHES EDUCATIONAL FOUNDATION,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,4458.71,0,4458.71,45089
E.Novation UK Ltd,Computer Maintenance,Harrow Helpline,3483.2,696.64,4179.84,45021
E.Novation UK Ltd,Computer Maintenance,Harrow Helpline,7033.04,1406.6,8439.64,45097
EACH Counselling and Support,Day Care Payments,Housing Needs Grants,31137.13,0,31137.13,45021
Eagle Care Ltd,Domiciliary Care,Personalisation,1195.2,0,1195.2,45049
Eagle Care Ltd,Domiciliary Care,Personalisation,1195.2,0,1195.2,45071
Eagle Care Ltd,Domiciliary Care,Personalisation,1195.2,0,1195.2,45097
Ealing Council,Consultants Fees,Sen Assessment,7500,0,7500,45086
Ealing Council,Grants and Subscript,IYSS,43006.89,0,43006.89,45092
Ealing Council,Other Agencies,Adult Strategic Management,53227,0,53227,45079
Ealing Council,Other Agencies,Bed&Breakfast,14500,0,14500,45049
Ealing Council,Other Agencies,Cdc - Corporate & Democratic Core Costs,11430,0,11430,45104
Ealing Council,Other Agencies,Cdc - Corporate & Democratic Core Costs,35000,0,35000,45106
Ealing Council,Other Agencies,HGF Administration,5000,0,5000,45064
Ealing Council,Other Agencies,Housing Needs Staffing Costs,625,0,625,45104
Ealing Council,Other Agencies,HRA Administration,5000,0,5000,45064
Ealing Council,Other Agencies,HRA Administration,13500,0,13500,45068
Ealing Council,Prof Services-Curric,Other Strategic School Support,4132.17,0,4132.17,45047
Ealing Hammersmith & West London College,Other Professionals,TU - FE Colleges,40652,0,40652,45061
Ealing Homecare Limited,Domiciliary Care,Personalisation,498.17,0,498.17,45049
Ealing Homecare Limited,Domiciliary Care,Personalisation,1817.7,0,1817.7,45107
Ealing Homecare Limited,Domiciliary Care,Self funders Personalisation - Adult Soc,5569.32,0,5569.32,45028
Ealing Homecare Limited,Domiciliary Care,Self funders Personalisation - Adult Soc,5569.32,0,5569.32,45054
Ealing Homecare Limited,Domiciliary Care,Self funders Personalisation - Adult Soc,5569.32,0,5569.32,45098
EA-RS Fire Engineering LTD,Consultants Fees,Non-Delegated Building Maintenance,4995,999,5994,45049
East Architecture Landscape Urban,Consultants Fees,Development Control,300,60,360,45077
Eastcote Care Providers Limited,Supptd Accommodation,Long Term Care,4712.14,0,4712.14,45037
Eastcote Care Providers Limited,Supptd Accommodation,Long Term Care,4869.21,0,4869.21,45069
Eastcote Care Providers Limited,Supptd Accommodation,Long Term Care,4712.15,0,4712.15,45100
ECT Manager Ltd,Other Professionals,Harrow Schools Standards & Effectivenes,675.58,135.12,810.7,45043
ECT Manager Ltd,Other Professionals,Harrow Schools Standards & Effectivenes,670,134,804,45061
ECT Manager Ltd,Other Professionals,Harrow Schools Standards & Effectivenes,664.42,132.88,797.3,45091
Eden Kids Nursery Limited,Private Nurseries,2 year old offer,4982.4,0,4982.4,45085
Eden Kids Nursery Limited,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,23310.45,0,23310.45,45034
Eden Kids Nursery Limited,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,7300.35,0,7300.35,45089
Eden Kids Nursery Limited,Private Nurseries,EY SEN Inclusion Fund,2800,0,2800,45091
Edge grove School Trust LTD,Residential Schools,Dsg Outborough Placement-Fees,5500,0,5500,45019
EdgePS Ltd,Consultants Fees,Cap - Regeneration,8000,1600,9600,45061
EdgePS Ltd,Consultants Fees,Cap - Schools and Children,3000,600,3600,45021
EdgePS Ltd,Consultants Fees,Cap - Schools and Children,16500,3300,19800,45061
EdgePS Ltd,Consultants Fees,Cap - Schools Capital Maintenance,1500,300,1800,45061
Edit Rees,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,1672.11,0,1672.11,45089
EDR CARE LIMITED,Day Care Payments,Working Together - Learning Disability,2530.92,0,2530.92,45057
EDR CARE LIMITED,Day Care Payments,Working Together - Learning Disability,2530.92,0,2530.92,45086
Education Software Solutions Limited,Other Professionals,It/Sims Team,13095,2619,15714,45085
Effectable Construction Sv S Ltd,Landld Rprs Exit Cts,Cap - GF Housing,9156.97,0,9156.97,45076
Effectable Construction Sv S Ltd,Landld Rprs Exit Cts,Cap - Housing,10637.74,2127.55,12765.29,45021
Effectable Construction Sv S Ltd,Landld Rprs Exit Cts,Cap - Housing,7200,1440,8640,45022
Effectable Construction Sv S Ltd,Landld Rprs Exit Cts,Cap - Housing,2818.99,563.8,3382.79,45093
Egbert H Taylor & Co Ltd,Equipment Purchases,Cap - Environment,13047.06,2609.41,15656.47,45019
Egbert H Taylor & Co Ltd,Equipment Purchases,Cap - Environment,17954.58,3590.92,21545.5,45027
Egbert H Taylor & Co Ltd,Equipment Purchases,Cap - Environment,897.5,179.5,1077,45063
Egerton-rothesay School Ltd,Prof Services-Curric,Ind Residential Day School Placement,11360,0,11360,45105
Egerton-rothesay School Ltd,Prof Services-Curric,P-DSG Transport Educ - Ops,2550,0,2550,45062
Eleada Care  - ISF,Domiciliary Care,Personalisation,2058.4,0,2058.4,45036
Eleada Care  - ISF,Domiciliary Care,Personalisation,2058.4,0,2058.4,45065
Eleada Care  - ISF,Domiciliary Care,Personalisation,2058.4,0,2058.4,45093
Elevate Care Homes,Semi Independent,Leaving Care Placements,4207.14,0,4207.14,45027
Elevate Care Homes,Semi Independent,Leaving Care Placements,4071.43,0,4071.43,45085
Elevate Care Homes,Semi Independent,Leaving Care Placements,4207.14,0,4207.14,45091
Elklan Training Ltd,Material/Consumables,Educational Psychology,200,1.6,201.6,45065
Elmgrove Infant & Nursery School,Schools Advances,Elmgrove Primary,245500,0,245500,45022
Elmgrove Infant & Nursery School,Schools Advances,Elmgrove Primary,250000,0,250000,45028
Elmgrove Infant & Nursery School,Schools Advances,Elmgrove Primary,125000,0,125000,45050
Elmgrove Infant & Nursery School,Schools Advances,Elmgrove Primary,150000,0,150000,45057
Elmgrove Infant & Nursery School,Schools Advances,Elmgrove Primary,150000,0,150000,45091
Elysium Care Partnerships Limited,Residential Placemnt,Working Together - Learning Disability,8952.86,0,8952.86,45037
Elysium Care Partnerships Limited,Residential Placemnt,Working Together - Learning Disability,9251.29,0,9251.29,45069
Elysium Care Partnerships Limited,Residential Placemnt,Working Together - Learning Disability,8952.85,0,8952.85,45100
Elysium Healthcare Ltd,Residential Schools,Other LA Special Schools,4025,0,4025,45027
Elysium Healthcare Ltd,Residential Schools,Other LA Special Schools,1575,0,1575,45056
Elysium Healthcare Ltd,Residential Schools,Other LA Special Schools,3150,0,3150,45090
Emergency Personnel,Domiciliary Care,Working Together - Learning Disability,7096.32,1419.26,8515.58,45047
Emergency Personnel,Domiciliary Care,Working Together - Learning Disability,7096.32,1419.26,8515.58,45077
Emergency Personnel,Domiciliary Care,Working Together - Learning Disability,7096.32,1419.26,8515.58,45097
Empowerhouse LTD,Foster Payments,Asylum Client Expenditure,3321.43,664.29,3985.72,45022
Empowerhouse LTD,Foster Payments,Asylum Client Expenditure,2785.72,557.14,3342.86,45057
Empowerhouse LTD,Foster Payments,Asylum Client Expenditure,2878.57,575.72,3454.29,45085
Empowerhouse LTD,Misc Supp & Serv Cst,Asylum Client Expenditure,857.14,171.43,1028.57,45057
Empowerhouse LTD,Misc Supp & Serv Cst,Asylum Client Expenditure,885.71,177.14,1062.85,45085
Enablement Care Services Ltd,Supptd Accommodation,Working Together - Learning Disability,5218.71,0,5218.71,45037
