Organisation,Supplier Name,Unique reference number,Payment Date,Cost Center/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Graceful Care Ltd,3009202305294,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,492.8
LBHF,Graceful Care Ltd,3009202305295,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,176
LBHF,Graceful Care Ltd,3009202305296,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,105.6
LBHF,Graceful Care Ltd,3009202305297,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,985.6
LBHF,Graceful Care Ltd,3009202305298,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305299,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,739.2
LBHF,Graceful Care Ltd,3009202305300,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,140.8
LBHF,Graceful Care Ltd,3009202305301,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,792
LBHF,Graceful Care Ltd,3009202305302,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,32.9
LBHF,Graceful Care Ltd,3009202305303,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,345.5
LBHF,Graceful Care Ltd,3009202305304,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,985.6
LBHF,Graceful Care Ltd,3009202305305,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1474
LBHF,Graceful Care Ltd,3009202305306,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1474
LBHF,Graceful Care Ltd,3009202305307,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305308,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,554.4
LBHF,Graceful Care Ltd,3009202305309,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1363.83
LBHF,Graceful Care Ltd,3009202305310,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,177.12
LBHF,Graceful Care Ltd,3009202305311,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1239.85
LBHF,Graceful Care Ltd,3009202305312,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,915.2
LBHF,Graceful Care Ltd,3009202305313,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1478.4
LBHF,Graceful Care Ltd,3009202305314,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1478.4
LBHF,Graceful Care Ltd,3009202305315,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,677.6
LBHF,Graceful Care Ltd,3009202305316,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,677.6
LBHF,Graceful Care Ltd,3009202305317,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1478.4
LBHF,Graceful Care Ltd,3009202305318,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1478.4
LBHF,Graceful Care Ltd,3009202305319,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1478.4
LBHF,Graceful Care Ltd,3009202305320,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1478.4
LBHF,Graceful Care Ltd,3009202305321,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,3942.4
LBHF,Graceful Care Ltd,3009202305322,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,440
LBHF,Graceful Care Ltd,3009202305323,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,146.24
LBHF,Graceful Care Ltd,3009202305324,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,2217.6
LBHF,Graceful Care Ltd,3009202305325,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,668.8
LBHF,Graceful Care Ltd,3009202305326,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1513.6
LBHF,Graceful Care Ltd,3009202305327,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1513.6
LBHF,Graceful Care Ltd,3009202305328,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,264
LBHF,Graceful Care Ltd,3009202305329,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,264
LBHF,Graceful Care Ltd,3009202305330,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305331,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305332,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,108.96
LBHF,Graceful Care Ltd,3009202305333,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,67.04
LBHF,Graceful Care Ltd,3009202305334,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305335,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,105.6
LBHF,Graceful Care Ltd,3009202305336,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,105.6
LBHF,Graceful Care Ltd,3009202305337,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1223.2
LBHF,Graceful Care Ltd,3009202305338,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,739.2
LBHF,Graceful Care Ltd,3009202305339,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305340,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,2094.4
LBHF,Graceful Care Ltd,3009202305341,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1601.6
LBHF,Graceful Care Ltd,3009202305342,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,990.64
LBHF,Graceful Care Ltd,3009202305343,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,100.56
LBHF,Graceful Care Ltd,3009202305344,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1355.2
LBHF,Graceful Care Ltd,3009202305345,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1355.2
LBHF,Graceful Care Ltd,3009202305346,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,528
LBHF,Graceful Care Ltd,3009202305347,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305348,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305349,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1249.6
LBHF,Graceful Care Ltd,3009202305350,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,422.4
LBHF,Graceful Care Ltd,3009202305351,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305352,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,669.34
LBHF,Graceful Care Ltd,3009202305353,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,63.75
LBHF,Graceful Care Ltd,3009202305354,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,182.11
LBHF,Graceful Care Ltd,3009202305355,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,123.2
LBHF,Graceful Care Ltd,3009202305356,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305357,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1355.2
LBHF,Graceful Care Ltd,3009202305358,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1601.6
LBHF,Graceful Care Ltd,3009202305359,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1601.6
LBHF,Graceful Care Ltd,3009202305360,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,17.6
LBHF,Graceful Care Ltd,3009202305361,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,281.6
LBHF,Graceful Care Ltd,3009202305362,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,616
LBHF,Graceful Care Ltd,3009202305363,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305364,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305365,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1362.06
LBHF,Graceful Care Ltd,3009202305366,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,67.38
LBHF,Graceful Care Ltd,3009202305367,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,495.3
LBHF,Graceful Care Ltd,3009202305368,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1362.06
LBHF,Graceful Care Ltd,3009202305369,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1848
LBHF,Graceful Care Ltd,3009202305370,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1843.6
LBHF,Graceful Care Ltd,3009202305371,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305372,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,985.6
LBHF,Graceful Care Ltd,3009202305373,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305374,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,985.6
LBHF,Graceful Care Ltd,3009202305375,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,492.8
LBHF,Graceful Care Ltd,3009202305376,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,352
LBHF,Graceful Care Ltd,3009202305377,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1355.2
LBHF,Graceful Care Ltd,3009202305378,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,105.6
LBHF,Graceful Care Ltd,3009202305379,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,616
LBHF,Graceful Care Ltd,3009202305380,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,140.8
LBHF,Graceful Care Ltd,3009202305381,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,114.4
LBHF,Graceful Care Ltd,3009202305382,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1355.2
LBHF,Graceful Care Ltd,3009202305383,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1355.2
LBHF,Graceful Care Ltd,3009202305384,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305385,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,985.6
LBHF,Graceful Care Ltd,3009202305386,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,67.04
LBHF,Graceful Care Ltd,3009202305387,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,988.96
LBHF,Graceful Care Ltd,3009202305388,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305389,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305390,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,105.6
LBHF,Graceful Care Ltd,3009202305391,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305392,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,985.6
LBHF,Graceful Care Ltd,3009202305393,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,660
LBHF,Graceful Care Ltd,3009202305394,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,35.2
LBHF,Graceful Care Ltd,3009202305395,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,220
LBHF,Graceful Care Ltd,3009202305396,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,316.8
LBHF,Graceful Care Ltd,3009202305397,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,369.6
LBHF,Graceful Care Ltd,3009202305398,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,968
LBHF,Graceful Care Ltd,3009202305399,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,968
LBHF,Graceful Care Ltd,3009202305400,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305401,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305402,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1971.2
LBHF,Graceful Care Ltd,3009202305403,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,145.2
LBHF,Graceful Care Ltd,3009202305404,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,396
LBHF,Graceful Care Ltd,3009202305405,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,88
LBHF,Graceful Care Ltd,3009202305406,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1151.64
LBHF,Graceful Care Ltd,3009202305407,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1151.64
LBHF,Graceful Care Ltd,3009202305408,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305409,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1724.8
LBHF,Graceful Care Ltd,3009202305410,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,211.2
LBHF,Graceful Care Ltd,3009202305411,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,862.4
LBHF,Graceful Care Ltd,3009202305412,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1232
LBHF,Graceful Care Ltd,3009202305413,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1196.8
LBHF,Graceful Care Ltd,3009202305414,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,140.8
LBHF,Graceful Care Ltd,3009202305415,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305416,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305417,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,211.2
LBHF,Graceful Care Ltd,3009202305418,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,140.8
LBHF,Graceful Care Ltd,3009202305419,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,985.6
LBHF,Graceful Care Ltd,3009202305420,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,105.6
LBHF,Graceful Care Ltd,3009202305421,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305422,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,246.4
LBHF,Graceful Care Ltd,3009202305423,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,52.8
LBHF,Graceful Care Ltd,3009202305424,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,739.2
LBHF,Graceful Care Ltd,3009202305425,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,989.18
LBHF,Graceful Care Ltd,3009202305426,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,119.62
LBHF,Graceful Care Ltd,3009202305427,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,598.4
LBHF,Graceful Care Ltd,3009202305428,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,633.6
LBHF,Graceful Care Ltd,3009202305429,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1108.8
LBHF,Graceful Care Ltd,3009202305430,45126,"MH Placements, Community Packages and DP",OE-Home Care,492.8
LBHF,Graceful Care Ltd,3009202305431,45126,"MH Placements, Community Packages and DP",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305432,45126,"MH Placements, Community Packages and DP",OE-Home Care,140.8
LBHF,Graceful Care Ltd,3009202305433,45126,"MH Placements, Community Packages and DP",OE-Home Care,492.8
LBHF,Graceful Care Ltd,3009202305434,45126,"MH Placements, Community Packages and DP",OE-Home Care,140.8
LBHF,Graceful Care Ltd,3009202305435,45126,"MH Placements, Community Packages and DP",OE-Home Care,211.2
LBHF,Graceful Care Ltd,3009202305436,45126,"MH Placements, Community Packages and DP",OE-Home Care,211.2
LBHF,Graceful Care Ltd,3009202305437,45126,"MH Placements, Community Packages and DP",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305438,45126,"MH Placements, Community Packages and DP",OE-Home Care,105.6
LBHF,Graceful Care Ltd,3009202305439,45126,"MH Placements, Community Packages and DP",OE-Home Care,17.6
LBHF,Graceful Care Ltd,3009202305440,45126,"MH Placements, Community Packages and DP",OE-Home Care,39.6
LBHF,Graceful Care Ltd,3009202305441,45126,"MH Placements, Community Packages and DP",OE-Home Care,288.32
LBHF,Graceful Care Ltd,3009202305442,45126,"MH Placements, Community Packages and DP",OE-Home Care,134.08
LBHF,Graceful Care Ltd,3009202305443,45126,"MH Placements, Community Packages and DP",OE-Home Care,211.2
LBHF,Graceful Care Ltd,3009202305444,45126,"MH Placements, Community Packages and DP",OE-Home Care,2217.6
LBHF,Graceful Care Ltd,3009202305445,45126,"MH Placements, Community Packages and DP",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305446,45126,"MH Placements, Community Packages and DP",OE-Home Care,70.4
LBHF,Graceful Care Ltd,3009202305447,45126,"LD Placements, Community Packages, DP's",OE-Home Care,492.8
LBHF,Graceful Care Ltd,3009202305448,45126,"LD Placements, Community Packages, DP's",OE-Home Care,352
LBHF,Graceful Care Ltd,3009202305449,45126,"LD Placements, Community Packages, DP's",OE-Home Care,422.4
LBHF,Graceful Care Ltd,3009202305450,45126,"LD Placements, Community Packages, DP's",OE-Home Care,1724.8
LBHF,Mihomecare Ltd,3009202305451,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,-2067.04
LBHF,Mihomecare Ltd,3009202305452,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1284.3
LBHF,Mihomecare Ltd,3009202305453,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1096.21
LBHF,Mihomecare Ltd,3009202305454,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,117.44
LBHF,Mihomecare Ltd,3009202305455,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,55.5
LBHF,Mihomecare Ltd,3009202305456,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,388.51
LBHF,Mihomecare Ltd,3009202305457,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,138.97
LBHF,Mihomecare Ltd,3009202305458,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1216.02
LBHF,Mihomecare Ltd,3009202305459,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1216.02
LBHF,Mihomecare Ltd,3009202305460,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,949.87
LBHF,Mihomecare Ltd,3009202305461,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1053.55
LBHF,Mihomecare Ltd,3009202305462,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,112.87
LBHF,Mihomecare Ltd,3009202305463,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,75.24
LBHF,Mihomecare Ltd,3009202305464,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,259.1
LBHF,Mihomecare Ltd,3009202305465,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,764.97
LBHF,Mihomecare Ltd,3009202305466,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,109.28
LBHF,Mihomecare Ltd,3009202305467,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,263.66
LBHF,Mihomecare Ltd,3009202305468,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,515.35
LBHF,Mihomecare Ltd,3009202305469,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1164.31
LBHF,Mihomecare Ltd,3009202305470,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,147.79
LBHF,Mihomecare Ltd,3009202305471,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,73.9
LBHF,Mihomecare Ltd,3009202305472,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,129.04
LBHF,Mihomecare Ltd,3009202305473,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,790.45
LBHF,Mihomecare Ltd,3009202305474,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,803.49
LBHF,Mihomecare Ltd,3009202305475,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,822.08
LBHF,Mihomecare Ltd,3009202305476,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,273.46
LBHF,Mihomecare Ltd,3009202305477,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,375.15
LBHF,Mihomecare Ltd,3009202305478,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1070.48
LBHF,Mihomecare Ltd,3009202305479,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,542.69
LBHF,Mihomecare Ltd,3009202305480,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,496.7
LBHF,Mihomecare Ltd,3009202305481,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,141.92
LBHF,Mihomecare Ltd,3009202305482,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,395.38
LBHF,Mihomecare Ltd,3009202305483,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,108.94
LBHF,Mihomecare Ltd,3009202305484,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1143.88
LBHF,Mihomecare Ltd,3009202305485,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,72.62
LBHF,Mihomecare Ltd,3009202305486,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,267.6
LBHF,Mihomecare Ltd,3009202305487,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1010.77
LBHF,Mihomecare Ltd,3009202305488,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1010.77
LBHF,Mihomecare Ltd,3009202305489,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,117.44
LBHF,Mihomecare Ltd,3009202305490,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1346.07
LBHF,Mihomecare Ltd,3009202305491,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,153.79
LBHF,Mihomecare Ltd,3009202305492,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,543.34
LBHF,Mihomecare Ltd,3009202305493,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1570.96
LBHF,Mihomecare Ltd,3009202305494,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,233.21
LBHF,Mihomecare Ltd,3009202305495,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,819.17
LBHF,Mihomecare Ltd,3009202305496,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,117.44
LBHF,Mihomecare Ltd,3009202305497,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,375.51
LBHF,Mihomecare Ltd,3009202305498,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,107.29
LBHF,Mihomecare Ltd,3009202305499,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,39.16
LBHF,Mihomecare Ltd,3009202305500,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,117.46
LBHF,Mihomecare Ltd,3009202305501,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,253.2
LBHF,Mihomecare Ltd,3009202305502,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,179.8
LBHF,Mihomecare Ltd,3009202305503,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1078.91
LBHF,Mihomecare Ltd,3009202305504,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1095.92
LBHF,Mihomecare Ltd,3009202305505,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1067.47
LBHF,Mihomecare Ltd,3009202305506,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,531.39
LBHF,Mihomecare Ltd,3009202305507,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,151.75
LBHF,Mihomecare Ltd,3009202305508,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,75.87
LBHF,Mihomecare Ltd,3009202305509,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1577.3
LBHF,Mihomecare Ltd,3009202305510,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,86.67
LBHF,Mihomecare Ltd,3009202305511,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,104
LBHF,Mihomecare Ltd,3009202305512,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1092.28
LBHF,Mihomecare Ltd,3009202305513,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,78.28
LBHF,Mihomecare Ltd,3009202305514,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,378.67
LBHF,Mihomecare Ltd,3009202305515,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1214.35
LBHF,Mihomecare Ltd,3009202305516,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,115.65
LBHF,Mihomecare Ltd,3009202305517,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,24.47
LBHF,Mihomecare Ltd,3009202305518,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1233.16
LBHF,Mihomecare Ltd,3009202305519,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,78.28
LBHF,Mihomecare Ltd,3009202305520,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,176.16
LBHF,Mihomecare Ltd,3009202305521,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,430.88
LBHF,Mihomecare Ltd,3009202305522,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,164.14
LBHF,Mihomecare Ltd,3009202305523,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,911.98
LBHF,Mihomecare Ltd,3009202305524,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,86.86
LBHF,Mihomecare Ltd,3009202305525,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,57.89
LBHF,Mihomecare Ltd,3009202305526,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,411.04
LBHF,Mihomecare Ltd,3009202305527,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,75.34
LBHF,Mihomecare Ltd,3009202305528,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,951.48
LBHF,Mihomecare Ltd,3009202305529,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,312.79
LBHF,Mihomecare Ltd,3009202305530,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,144.03
LBHF,Mihomecare Ltd,3009202305531,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,1260.61
LBHF,Mihomecare Ltd,3009202305532,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,78.28
LBHF,Mihomecare Ltd,3009202305533,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,78.28
LBHF,Mihomecare Ltd,3009202305534,45126,"Phy Supp (PS) Placements, Commty Package",OE-Home Care,117.48
