Organisation,Supplier Name,Reference,Payment Date,Service Area/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50025,45343,Care and Assessment Services,Home Care,952
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50029,45343,Care and Assessment Services,Home Care,1724.14
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50032,45343,Care and Assessment Services,Home Care,794.47
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50033,45343,Care and Assessment Services,Home Care,613.76
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50045,45343,Care and Assessment Services,Home Care,1206.8
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50046,45343,Care and Assessment Services,Home Care,767.92
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50051,45343,Care and Assessment Services,Home Care,1571.44
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50053,45343,Care and Assessment Services,Home Care,1075.04
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50060,45343,Care and Assessment Services,Home Care,934.56
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50062,45343,Care and Assessment Services,Home Care,2125.1
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50068,45343,Care and Assessment Services,Home Care,805.56
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50071,45343,Care and Assessment Services,Home Care,781.7
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50073,45343,Care and Assessment Services,Home Care,517.54
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50076,45343,Care and Assessment Services,Home Care,1313.51
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50078,45343,Care and Assessment Services,Home Care,1079.52
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50080,45343,Care and Assessment Services,Home Care,767.2
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50082,45343,Care and Assessment Services,Home Care,1207.84
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50083,45343,Care and Assessment Services,Home Care,805.84
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50085,45343,Care and Assessment Services,Home Care,765.01
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50089,45343,Care and Assessment Services,Home Care,774.31
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50094,45343,Care and Assessment Services,Home Care,518.9
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50096,45343,Care and Assessment Services,Home Care,1862.33
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50101,45343,Care and Assessment Services,Home Care,1073.12
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50109,45343,Care and Assessment Services,Home Care,508.45
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50111,45343,Care and Assessment Services,Home Care,728.84
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50118,45343,Care and Assessment Services,Home Care,1089.43
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50124,45343,Care and Assessment Services,Home Care,795.97
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50126,45343,Care and Assessment Services,Home Care,1845.17
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50131,45343,Care and Assessment Services,Home Care,1286.05
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50132,45343,Care and Assessment Services,Home Care,1286.05
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50133,45343,Care and Assessment Services,Home Care,1332.34
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50136,45343,Care and Assessment Services,Home Care,1332.34
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50137,45343,Care and Assessment Services,Home Care,1104.89
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50138,45343,Care and Assessment Services,Home Care,1160.27
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50143,45343,Care and Assessment Services,Home Care,2017.49
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50153,45343,Care and Assessment Services,Home Care,508.92
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50157,45343,Care and Assessment Services,Home Care,1111.77
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50159,45343,Care and Assessment Services,Home Care,851.73
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50160,45343,Care and Assessment Services,Home Care,521.5
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50162,45343,Care and Assessment Services,Home Care,755.69
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50165,45343,Care and Assessment Services,Home Care,536.4
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50169,45343,Care and Assessment Services,Home Care,803.28
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50170,45343,Care and Assessment Services,Home Care,944.72
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50179,45343,Care and Assessment Services,Home Care,654.16
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50180,45343,Care and Assessment Services,Home Care,1247.34
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50184,45343,Care and Assessment Services,Home Care,911.13
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50187,45343,Care and Assessment Services,Home Care,1577.23
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50190,45343,Care and Assessment Services,Home Care,1044.65
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50194,45343,Care and Assessment Services,Home Care,803.96
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50198,45343,Care and Assessment Services,Home Care,1002.47
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50201,45343,Care and Assessment Services,Home Care,682.96
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50205,45343,Care and Assessment Services,Home Care,975.88
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50206,45343,Care and Assessment Services,Home Care,869.6
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50207,45343,Care and Assessment Services,Home Care,869.59
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50211,45343,Care and Assessment Services,Home Care,761.22
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50218,45343,Care and Assessment Services,Home Care,1452.9
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50219,45343,Care and Assessment Services,Home Care,582.56
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50221,45343,Care and Assessment Services,Home Care,640.75
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50223,45343,Care and Assessment Services,Home Care,537.04
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50231,45343,Care and Assessment Services,Home Care,1073.76
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50233,45343,Care and Assessment Services,Home Care,12884.16
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50235,45343,Care and Assessment Services,Home Care,500.82
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50239,45343,Care and Assessment Services,Home Care,859.56
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50242,45343,Care and Assessment Services,Home Care,1002.96
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50246,45343,Care and Assessment Services,Home Care,1121.51
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50248,45343,Care and Assessment Services,Home Care,803.96
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50253,45343,Care and Assessment Services,Home Care,1036.02
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50255,45343,Care and Assessment Services,Home Care,520.63
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50258,45343,Care and Assessment Services,Home Care,1067.03
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50259,45343,Care and Assessment Services,Home Care,1036.68
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50260,45343,Care and Assessment Services,Home Care,1036.68
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50261,45343,Care and Assessment Services,Home Care,537.04
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50262,45343,Care and Assessment Services,Home Care,1600.57
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50269,45343,Care and Assessment Services,Home Care,1228.05
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50272,45343,Care and Assessment Services,Home Care,701.93
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50274,45343,Care and Assessment Services,Home Care,788.94
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50275,45343,Care and Assessment Services,Home Care,769.13
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50276,45343,Care and Assessment Services,Home Care,1074.08
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50278,45343,Care and Assessment Services,Home Care,671.3
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50279,45343,Care and Assessment Services,Home Care,1150.8
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50280,45343,Care and Assessment Services,Home Care,1150.8
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50281,45343,Care and Assessment Services,Home Care,1461.99
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50283,45343,Care and Assessment Services,Home Care,891.12
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50284,45343,Care and Assessment Services,Home Care,891.12
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50285,45343,Care and Assessment Services,Home Care,733.34
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50286,45343,Care and Assessment Services,Home Care,1180.35
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50296,45343,Care and Assessment Services,Home Care,1998.4
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50298,45343,Care and Assessment Services,Home Care,1998.4
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50302,45343,Care and Assessment Services,Home Care,722.97
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50304,45343,Care and Assessment Services,Home Care,520.97
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50306,45343,Care and Assessment Services,Home Care,1729.55
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50307,45343,Care and Assessment Services,Home Care,1729.55
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50308,45343,Care and Assessment Services,Home Care,980.11
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50309,45343,Care and Assessment Services,Home Care,535.77
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50312,45343,Care and Assessment Services,Home Care,537.04
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50315,45343,Care and Assessment Services,Home Care,770.36
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50319,45343,Care and Assessment Services,Home Care,1386.11
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50321,45343,Care and Assessment Services,Home Care,1139.31
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50323,45343,Care and Assessment Services,Home Care,772.45
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50324,45343,Care and Assessment Services,Home Care,772.45
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50326,45343,Care and Assessment Services,Home Care,1342.28
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50327,45343,Care and Assessment Services,Home Care,1462.56
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50329,45343,Care and Assessment Services,Home Care,1462.56
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50330,45343,Care and Assessment Services,Home Care,796.21
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50332,45343,Care and Assessment Services,Home Care,1456.41
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50333,45343,Care and Assessment Services,Home Care,1456.42
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50335,45343,Care and Assessment Services,Home Care,554.57
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50337,45343,Care and Assessment Services,Home Care,1802.79
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50338,45343,Care and Assessment Services,Home Care,1802.79
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50339,45343,Care and Assessment Services,Home Care,1315.72
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50340,45343,Care and Assessment Services,Home Care,789.54
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50341,45343,Care and Assessment Services,Home Care,790.22
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50342,45343,Care and Assessment Services,Home Care,913.11
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50343,45343,Care and Assessment Services,Home Care,1185.29
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50344,45343,Care and Assessment Services,Home Care,833.26
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50346,45343,Care and Assessment Services,Home Care,540.24
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50348,45343,Care and Assessment Services,Home Care,1175.86
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50349,45343,Care and Assessment Services,Home Care,648.44
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50350,45343,Care and Assessment Services,Home Care,1879.92
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50351,45343,Care and Assessment Services,Home Care,1872.26
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50352,45343,Care and Assessment Services,Home Care,1124.16
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50354,45343,Care and Assessment Services,Home Care,756.98
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50356,45343,Care and Assessment Services,Home Care,517.86
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50357,45343,Care and Assessment Services,Home Care,1177.52
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50358,45343,Care and Assessment Services,Home Care,720.91
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50359,45343,Care and Assessment Services,Home Care,897.03
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50360,45343,Care and Assessment Services,Home Care,934.85
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50364,45343,Care and Assessment Services,Home Care,517.86
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50365,45343,Care and Assessment Services,Home Care,1078.09
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50369,45343,Care and Assessment Services,Home Care,921.98
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50372,45343,Care and Assessment Services,Home Care,1732.97
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50373,45343,Care and Assessment Services,Home Care,1730.5
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50376,45343,Care and Assessment Services,Home Care,1074.08
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50377,45343,Care and Assessment Services,Home Care,537.04
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50378,45343,Care and Assessment Services,Home Care,1447.02
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50379,45343,Care and Assessment Services,Home Care,803.64
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50381,45343,Care and Assessment Services,Home Care,802.37
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50383,45343,Care and Assessment Services,Home Care,962.4
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50384,45343,Care and Assessment Services,Home Care,1463.62
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50391,45343,Care and Assessment Services,Home Care,509.91
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50393,45343,Care and Assessment Services,Home Care,1060.65
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50394,45343,Care and Assessment Services,Home Care,537.04
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50396,45343,Care and Assessment Services,Home Care,745.51
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50398,45343,Care and Assessment Services,Home Care,841.8
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50400,45343,Care and Assessment Services,Home Care,824.28
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50401,45343,Care and Assessment Services,Home Care,935.5
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50405,45343,Care and Assessment Services,Home Care,1464.09
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50406,45343,Care and Assessment Services,Home Care,1464.08
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50408,45343,Care and Assessment Services,Home Care,1595.79
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50410,45343,Care and Assessment Services,Home Care,878.82
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50413,45343,Care and Assessment Services,Home Care,511.87
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50415,45343,Care and Assessment Services,Home Care,647.4
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50432,45343,Care and Assessment Services,Home Care,1009.46
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50443,45343,Care and Assessment Services,Home Care,1227.52
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50449,45343,Care and Assessment Services,Home Care,1063.93
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50453,45343,Care and Assessment Services,Home Care,2112.94
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50454,45343,Care and Assessment Services,Home Care,2132
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50456,45343,Care and Assessment Services,Home Care,803.96
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50460,45343,Care and Assessment Services,Home Care,664.74
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50461,45343,Care and Assessment Services,Home Care,1050.72
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50463,45343,Care and Assessment Services,Home Care,823.56
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50468,45343,Care and Assessment Services,Home Care,1599.94
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50471,45343,Care and Assessment Services,Home Care,1325.95
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50474,45343,Care and Assessment Services,Home Care,939.01
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50484,45343,Care and Assessment Services,Home Care,574
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50487,45343,Care and Assessment Services,Home Care,728.93
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50488,45343,Care and Assessment Services,Home Care,797.89
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50491,45343,Care and Assessment Services,Home Care,1573.17
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50496,45343,Care and Assessment Services,Home Care,1598.65
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50497,45343,Care and Assessment Services,Home Care,532.89
LBHF,Notting Hill Genesis,2324.4.CPMT.5050,45343,Allocations & Lettings (GF),Temporary Accommodation,41920.18
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50500,45343,Care and Assessment Services,Home Care,528.78
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50506,45343,Care and Assessment Services,Home Care,827.63
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50507,45343,Care and Assessment Services,Home Care,862.12
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50509,45343,Care and Assessment Services,Home Care,537.04
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50510,45343,Care and Assessment Services,Home Care,668.55
LBHF,Allied Health-Services Ltd,2324.4.CPMT.50520,45343,Care and Assessment Services,Home Care,872.78
LBHF,Cavendish Construction Ltd,2324.4.CPMT.5059,45343,Capital - Adaptations (HRA),Capital - Contractors - Refurbishment and Restora,7864.1
LBHF,Cavendish Construction Ltd,2324.4.CPMT.5060,45343,Capital - Adaptations (HRA),Capital - Contractors - Refurbishment and Restora,884
LBHF,Cavendish Construction Ltd,2324.4.CPMT.5061,45343,Capital - Adaptations (HRA),Capital - Contractors - Refurbishment and Restora,890
LBHF,Cavendish Construction Ltd,2324.4.CPMT.5062,45343,Capital - Adaptations (HRA),Capital - Contractors - Refurbishment and Restora,7396.42
LBHF,Cavendish Construction Ltd,2324.4.CPMT.5063,45343,Capital - Adaptations (HRA),Capital - Contractors - Refurbishment and Restora,8057.1
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51124,45343,Mental Health Services,Home Care,575.72
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51126,45343,Mental Health Services,Home Care,1833.3
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51128,45343,Mental Health Services,Home Care,1322.46
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51130,45343,Mental Health Services,Home Care,583.17
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51140,45343,Mental Health Services,Home Care,927.22
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51142,45343,Mental Health Services,Home Care,803.01
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51143,45343,Mental Health Services,Home Care,603.22
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51149,45343,Mental Health Services,Home Care,795.97
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51150,45343,Mental Health Services,Home Care,796.93
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51218,45343,Learning Disability Services,Home Care,632.99
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51222,45343,Learning Disability Services,Home Care,998.32
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51223,45343,Learning Disability Services,Home Care,2455.47
LBHF,Allied Health-Services Ltd,2324.4.CPMT.51225,45343,Learning Disability Services,Home Care,1377.48
LBHF,HFS Environmental Ltd,2324.4.CPMT.5123,45343,Head of Fire Safety Works,Third Party Payments (Other),1600
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.51307,45343,Looked After Children & Leaving Care,Semi Independent Accomodation,3542.68
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.51308,45343,Looked After Children & Leaving Care,Semi Independent Accomodation,3314.12
LBHF,My Place Homes Ltd,2324.4.CPMT.52147,45343,Looked After Children & Leaving Care,Semi Independent Accomodation,3000
LBHF,My Place Homes Ltd,2324.4.CPMT.52151,45343,Looked After Children & Leaving Care,Semi Independent Accomodation,9000
LBHF,One-time vendors,2324.4.CPMT.52689,45343,Cultural Services,Activities and Events,500
LBHF,Jetter Conversions Ltd,2324.4.CPMT.54318,45343,H&F maintenance (DLO),Reactive Repairs & Maintenance - Buildings - Materials,726
LBHF,Plan B Associates Ltd,2324.4.CPMT.5439,45343,Communications,"Publicity, Promotions and Advertisement",3000
LBHF,F.M Conway Ltd,2324.4.CPMT.550,45343,Highways,Payments to Private Contractors,2782.13
LBHF,Port Of London Authority,2324.4.CPMT.642,45343,Asset Strategy & Portfolio Management,Premises Rent,4289.43
LBHF,Port Of London Authority,2324.4.CPMT.643,45343,Asset Strategy & Portfolio Management,Premises Rent,1374.43
LBHF,Port Of London Authority,2324.4.CPMT.644,45343,Asset Strategy & Portfolio Management,Premises Rent,1458.88
LBHF,Port Of London Authority,2324.4.CPMT.646,45343,Asset Strategy & Portfolio Management,Premises Rent,4289.43
LBHF,Whitton Properties Ltd,2324.4.CPMT.6882,45343,Allocations & Lettings (GF),Temporary Accommodation,6140
LBHF,Petalouda Consultancy Ltd,2324.4.CPMT.7058,45343,"Safeguarding, Review and Quality Assuran",Conference Expenses,857.48
LBHF,Candid Housing Solutions Ltd,2324.4.CPMT.7073,45343,Allocations & Lettings (GF),Temporary Accommodation,10089
LBHF,LTA Direct Ltd,2324.4.CPMT.7105,45343,Allocations & Lettings (GF),Temporary Accommodation,7602
LBHF,Family Network Incorporated Ltd,2324.4.CPMT.7118,45343,"Safeguarding, Review and Quality Assuran",Conference Expenses,714.47
LBHF,Shakazi Productions Ltd,2324.4.CPMT.7198,45343,"Safeguarding, Review and Quality Assuran",Conference Expenses,698.53
LBHF,Personal Data - Name Redacted,2324.4.CPMT.7261,45343,Street Environment Services,Legal Costs,1610
LBHF,Personal Data - Name Redacted,2324.4.CPMT.7355,45343,Cultural Services,Activities and Events,760
LBHF,Personal Data - Name Redacted,2324.4.CPMT.7369,45343,Communications,"Publicity, Promotions and Advertisement",540
LBHF,SUPPLYCHAIN COORDINATION LIMITED,2324.4.CPMT.7671,45343,Families and Children,Payments to Health Authorities,570.4
LBHF,Personal Data - Name Redacted,2324.4.CPMT.7774,45343,ENV Health & Regulatory Services,Legal Costs,3925
LBHF,Personal Data - Name Redacted,2324.4.CPMT.7926,45343,Provided Services (Social Care),Fees - General,1790
LBHF,Personal Data - Name Redacted,2324.4.CPMT.7927,45343,Provided Services (Social Care),Fees - General,1530
LBHF,Entitledto Ltd,2324.4.CPMT.8158,45343,Project Management Office,"IT Software, Licences and Subscriptions",4800
LBHF,D A Languages Limited,2324.4.CPMT.8564,45343,Assistant Director of Family Services,Fees - Interpreters,15290.14
LBHF,Letting International Limited,2324.4.CPMT.8729,45343,Allocations & Lettings (GF),Temporary Accommodation,3450
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.8929,45343,Care and Assessment Services,Payments to Transport Operators,1118.65
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.8930,45343,Care and Assessment Services,Payments to Transport Operators,1528.56
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.8957,45343,Learning Disability Services,Payments to Transport Operators,2557.35
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.8958,45343,Learning Disability Services,Payments to Transport Operators,3554.53
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.8985,45343,Education - Assets and Resources,Payments to Transport Operators,19075.04
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.8986,45343,Education - Assets and Resources,Payments to Transport Operators,28773.33
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.9022,45343,Disabled Children's Team,Payments to Transport Operators,2140.48
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.9023,45343,Disabled Children's Team,Payments to Transport Operators,2083.24
LBHF,City of London,2324.4.CPMT.904,45343,Sexual Health,Payments to Health Authorities,54227.72
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.9054,45343,Looked After Children & Leaving Care,Payments to Transport Operators,31272.22
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.9055,45343,Looked After Children & Leaving Care,Payments to Transport Operators,45753.52
LBHF,GT Gettaxi (UK) Limited,2324.4.CPMT.9101,45343,Allocations & Lettings (GF),Payments to Transport Operators,897.28
LBHF,Oyster Information Management Solutions,2324.4.CPMT.9355,45343,ICT Service Towers,"IT Software, Licences and Subscriptions",106760
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.61,45343,Allocation and Lettings,Hire of Accommodation and Facilities,1666.67
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.62,45343,Allocation and Lettings,Hire of Accommodation and Facilities,1666.67
LBHF,UKVI,2324.4.GPC.63,45343,Provided Services (Social Care),Payments to Government Departments,2239
LBHF,BT Global Services,2324.4.CPMT.106,45344,Digital Projects,"IT Hardware incl Support, Storage and Co",2729.17
LBHF,BT Global Services,2324.4.CPMT.116,45344,ICT Service Towers,"IT Hardware incl Support, Storage and Co",23573.25
LBHF,BT Global Services,2324.4.CPMT.117,45344,ICT Service Towers,"IT Hardware incl Support, Storage and Co",1575
LBHF,Central London Community Healthcare,2324.4.CPMT.1675,45344,Families and Children,Payments to Health Authorities,360000
LBHF,Shepherds Bush Housing Association,2324.4.CPMT.184,45344,Capital - DFG Private Clients,Capital - Contractors - Refurbishment and Restora,1116
LBHF,Shepherds Bush Housing Association,2324.4.CPMT.185,45344,Capital - DFG Private Clients,Capital - Contractors - Refurbishment and Restora,4947
LBHF,Personal Data - Name Redacted,2324.4.CPMT.2139,45344,Supported Housing,Temporary Accommodation,750
LBHF,Personal Data - Name Redacted,2324.4.CPMT.2140,45344,Supported Housing,Temporary Accommodation,750
LBHF,Personal Data - Name Redacted,2324.4.CPMT.2154,45344,Allocations & Lettings (GF),Temporary Accommodation,7140
LBHF,Personal Data - Name Redacted,2324.4.CPMT.2155,45344,Allocations & Lettings (GF),Temporary Accommodation,6540
LBHF,Personal Data - Name Redacted,2324.4.CPMT.2156,45344,Allocations & Lettings (GF),Temporary Accommodation,15100
LBHF,JH Crawford Security Ltd,2324.4.CPMT.2199,45344,H&F maintenance (DLO),"Tools, Furniture, Materials - Materials",805.94
