Entity Name,Directorate,Service/Board,Cost Centre,Description,Subjective,Description,Supplier Name,Payment Date,Line Amount,Invoice Amount,Net Amount
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-220,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-200,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-176,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-156,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-90,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-80,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-72.48,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-68,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-60,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-46,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-27.5,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,-7.26,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,7.26,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,27.5,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,46,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,60,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,68,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,72.48,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,80,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,90,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,156,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,176,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,200,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,220,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,408,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,450,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,575,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,703.22,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,920,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,1740,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,5999.42,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,5999.43,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,5999.46,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,43505,Professional Services,Ambipar Response Ltd,45316,7199.3,7199.3,5999.42
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45207,IT Hardware Purchases,Copperchase Ltd,45302,930.68,1116.82,930.68
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,15.15,746.49,622.08
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,15.52,746.49,622.08
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,18.2,746.49,622.08
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,19.4,746.49,622.08
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,38.41,746.49,622.08
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,10.43,589.99,491.67
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,11.51,589.99,491.67
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,12.5,589.99,491.67
51 Council of the Isles of Scilly,Chief Executives Department,Airport,600060,Airport,45210,IT Communications,Servicom (High Tech) Ltd,45300,12.76,589.99,491.67
