Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F42201,139248.31,BH-EMM_Mental Health_23-24_Social,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F42200,107533.6,BH-EMM_Mental Health_23-24_Paid Search,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F40066,65026.89,BH-EMM_Mental Health_23-24_Digital Audio,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F40064,90494.39,BH-EMM_Mental Health_23-24_VOD_ITV,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39703,2291.88,Marketing services.,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39703,90709.52,BH-EMM_Mental Health_23-24_OLV,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),RAND EUROPE COMMUNITY INTEREST COMPANY,022868.016 - 0000059,60000,Evaluation of IPS (23/24),CB2 8DR,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),MERCATEO UK LIMITED,1080049128,25176,Smoking Cessation - National Swap to Stop - UNITE,WC2B 5AH,Small,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F40065,135165.92,BH-EMM_Mental Health_23-24_VOD_Rest of Buy,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),DEFINE RESEARCH & INSIGHT LIMITED,16707,26940,CVD territory and creative qual testing,E1 6NW,Small,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),MERCATEO UK LIMITED,1080048769,29997,Smoking Cessation - National Swap to Stop - UNITE,WC2B 5AH,Small,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),MERCATEO UK LIMITED,1080048525,55994.4,Smoking Cessation - National Swap to Stop - UNITE,WC2B 5AH,Small,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),IPSOS MORI UK LTD,24100233,210000,Uplift: Evaluation: RSDATG (23/24),E1W 1YW,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F42203,27636.29,BH EY - media (paid search),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F42202,46.74,Upweight with Programmatic Underspend,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F42202,47205.82,BH EY - media (social),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39593,29.86,Stoptober Media Buying Social  - ASBOF,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F39593,31449.87,Stoptober Media Buying Social,N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),MERCATEO UK LIMITED,1080048486,119988,Smoking Cessation - National Swap to Stop - UNITE,WC2B 5AH,Small,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Office For Health Improvement & Disparities (OHID),OMD GROUP LTD,F40019,46.29,January Quit Smoking Campaign - TV ASBOF,N1 9RL,Large,,,
