Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,NHSE TD,EGTON MEDICAL INFORMATION SYSTEMS LTD,FIN000602,8816.64,GPES various extracts & Dev costs Q1&2 FY2324,LS19 6BA,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - ICT,NHSE TD,MEDICUS HEALTH LIMITED,INV-1018,40000,GPITF Framework Agreement Sch 2.3 Q3 FY2324 SaaS,WC2H 9JQ,Small,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Service charge - ICT,NHSE TD,THE PHOENIX PARTNERSHIP LEEDS LTD,GPITF-SCP40,40000,GPIF Framework Agreement Sch 2.3 Q3 FY2324 SaaS,LS18 5TN,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Service charge - ICT,NHSE TD,PCTI SOLUTIONS LTD,ARIN/00000273,630365.24,GPITF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,B1 1RF,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Service charge - ICT,NHSE TD,IN PRACTICE SYSTEMS LTD,456494,40000,GPITF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,SW8 3QJ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Service charge - ICT,NHSE TD,EGTON MEDICAL INFORMATION SYSTEMS LTD,SINV00025684,359785.16,GPIF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,LS19 6BA,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Service charge - ICT,NHSE TD,DXS UK LTD,23612,112963.85,GPITF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,GU8 6LB,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Service charge - ICT,NHSE TD,BLACK PEAR SOFTWARE LTD,INV-10661,48417.14,GPITF Framework Agreement Sch 2.3 Q4 FY2324 SaaS,WR6 6TP,Small,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Service charge - ICT,NHSE TD,ACCURX LIMITED,PLUS14180,34771.96,GPITF Framework Agreement Sch 2.3 Q3 FY2324 SaaS,N1 5AA,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Outsourcing Contract,NHSE TD,TPXIMPACT LIMITED,INTPXI1172,63827.6,DHSC National Digital Support Platform,SE1 9RG,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Consultancy/Professional Advice,NHSE TD,TPXIMPACT LIMITED,INTPXI1172,33983.07,DHSC National Digital Support Platform,SE1 9RG,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Additions-SW LIC,NHSE TD,ATOS IT SOLUTIONS AND SERVICES LTD,5584436291,136855,Blueprinting / Shared Learning contract with Atos,WC1V 6EA,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Legal Fees,NHS Policy & Performance,7BR,INVRAL56,25050,Thirlwall Inquiry Sep23 to Nov23 ,WC1R 4BS,Small,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Legal Fees,NHS Policy & Performance,2TG,INV/CVB29,34344,Thirlwall Inquiry - Sep23 to Jan 24,EC4Y 9AY,Micro,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Service charge - ICT,Group Operations,ENTSERV UK LIMITED,6134455,211755.35,IMS4 Core Service Charges for FY -23/24,GU11 1PZ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Service charge - ICT,Group Operations,ENTSERV UK LIMITED,6134454,211002.49,IMS4 Core Service Charges for FY -23/24,GU11 1PZ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Publicity & advertising,Group Operations,MULLENLOWE LONDON,9052022071,39750.57,Child Imms 23Red partnerships,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Publicity & advertising,Group Operations,MULLENLOWE LONDON,9052022018,158532.61,Childhood Immunisations creative agency fee,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022475,105189.9,TO1438-PH- 2nd Floor Refurbishment,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Building repairs & maintenance,Group Operations,OVERBURY PLC,1508042,161143.44,10SC 10th Floor Changes,W1T 1QL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Service charge - ICT,Group Operations,MOZAIC SERVICES LTD,2548,9900,CCN001 - Mozaic Extension,EC4N 7AF,Small,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Service charge - ICT,Group Operations,COGNIZANT WORLDWIDE LIMITED,CW101-0001706563,88680,Digital Discovery and Delivery Support,W2 6BD,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Security: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022508,44936.67,WEL Security 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Publicity & advertising,Group Operations,MULLENLOWE LONDON,9052022157,92250.01,Production Costs - Childhood Imms shoot,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Publicity & advertising,Group Operations,MULLENLOWE LONDON,9052022147,62216,Patient Choice 23/24 - TG Content Creation,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Fast streamers,Group Operations,CABINET OFFICE,3836395,49761,23/24 Comemrcial Directorate FS staff recharge,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Facilities management: contract,Group Operations,MATRIX BOOKING LIMITED,MB-2141,32204.16,Matrix - Stratford Hub 2024,W1D 3QL,Small,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Facilities management: contract,Group Operations,MATRIX BOOKING LIMITED,MB-2140,2160,Matrix - UKHSA Link,W1D 3QL,Small,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Facilities management: contract,Group Operations,MATRIX BOOKING LIMITED,MB-2140,2160,Matrix - Office for Life Sciences 2024,W1D 3QL,Small,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Facilities management: contract,Group Operations,MATRIX BOOKING LIMITED,MB-2140,65979.36,Matrix - Core DHSC Estate 2024,W1D 3QL,Small,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022508,59739.64,WEL Central FM 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Cleaning: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022508,84311.61,WEL Cleaning 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022508,57797.73,WEL Building/Maintanence  2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29515,768737.84,10SC 10th workplaces services 22/23 Q4,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29515,500614.05,10SC 10th Floor Landlord Service Charge 22/23 Q4,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29515,84165.02,10SC 10th Floor GPA Management Fees 22/23 Q4,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Security: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022505,102811.67,39VS Security 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Rates,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29515,388094.49,10SC 10th Floor rates 22/23 Q4,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Legal Fees,Group Operations,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,538615,41015.15,Covid 19 Inquiry GLD  & LEGASTAT costs 23/24 FY,SW1H 9GL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022505,65135.15,39VS Central FM 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Cleaning: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022505,36691.25,39VS Cleaning 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1022505,66994.13,39VS Building/Maintanence  2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020655,164293.42,TO1310-39VS-CCTV Upgrade,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020634,30568.06,"""TO1357-WH-Plant-Airedale
Chiller Sequencer works""",SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Training (Learning and Development),Group Operations,CABINET OFFICE,3836317,130500,Beyond Boundaries Programme x 30 places,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - Property related,Group Operations,NHS PROPERTY SERVICES LTD,762552,57091.31,Victoria House SVC 23/24,WF3 1WE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29791,302470.37,10SC 9th Floor Workplace Services 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29791,155035.82,10SC 9th Floor Landlord Services  23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Service charge - ICT,Group Operations,ENTSERV UK LIMITED,6134149,140152.67,IMS4 Core Service Charges for FY -23/24,GU11 1PZ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Security: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020719,84311.61,WEL Security 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,NHS PROPERTY SERVICES LTD,761119,67757.59,Victoria House Rent 23/24,WF3 1WE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29791,488993.13,10SC 9th Floor Rent 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Rates,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29791,129364.82,10SC 9th Floor Rates 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Legal Fees,Group Operations,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,A4089,33000,Covid 19 Inquiry GLD  & LEGASTAT costs 23/24 FY,SW1H 9GL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Legal Fees,Group Operations,GOVERNMENT LEGAL DEPARTMENT OFFICE MONIES,A4081,193500,Covid 19 Inquiry GLD  & LEGASTAT costs 23/24 FY,SW1H 9GL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Facilities management: contract,Group Operations,NHS PROPERTY SERVICES LTD,762552,1733.27,Victoria House FM 23/24,WF3 1WE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020719,59915.64,WEL Central FM 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020659,84856,TO1448-PREM Second Floor Long lead Items,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Cleaning: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020719,44936.67,WEL Cleaning 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020719,57797.73,WEL Building/Maintanence  2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020638,80000,TO0489- WH-C. stairs- rewire_ new light/em. Light,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/30497,59906.64,Bristol Rivergate Workplace services 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/30497,2124,Bristol Rivergate Landlord Services 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - ICT,Group Operations,HITACHI SOLUTIONS EUROPE LTD,I008465P-GB01,178000,200 Call Off Units,EC2Y 9HT,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - ICT,Group Operations,HITACHI SOLUTIONS EUROPE LTD,I008393P-GB01,93975,Delivery of HR Upgrade for D365 - BC 16603,EC2Y 9HT,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - ICT,Group Operations,HITACHI SOLUTIONS EUROPE LTD,I008266P-GB01,142931.25,Delivery of HR Upgrade for D365 - BC 16603,EC2Y 9HT,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - ICT,Group Operations,HITACHI SOLUTIONS EUROPE LTD,I008087P-GB01,79312.5,Delivery of HR Upgrade for D365 - BC 16603,EC2Y 9HT,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - ICT,Group Operations,HITACHI SOLUTIONS EUROPE LTD,I008018P-GB01,48912.5,Delivery of HR Upgrade for D365 - BC 16603,EC2Y 9HT,Large,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Revenue Policy Payments,Group Operations,DEPARTMENT FOR INTERNATIONAL TRADE,6.23E+11,162500,Healthcare UK funding,SW1H 0ET,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/26540,-114277,OUTSTANDING CREDIT NOTE PO PO565875 INV 00000001/24168,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Rates,Group Operations,NEWHAM LONDON BOROUGH COUNCIL,46676341 Jan24,53200,2 Redman Place Rates 23/24,E6 2RP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Rates,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/30497,29196.39,Bristol Rivergate Rates 23/24,SW1H 0NN,Govn,,,
