Transparency Report - December 2024,,,,,
Date,Supplier,Department ,CC Description,Ledger Code,Amount
02/12/2024,AKW Medi-Care Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£2,666.87"
02/12/2024,AKW Medi-Care Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£1,536.42"
02/12/2024,AKW Medi-Care Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£2,759.87"
02/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Grant Work,Sub-Contractors,£320.00
05/12/2024,The Dwelling Doctors LTD,Population Wellbeing,Grant Work,Sub-Contractors,"£1,175.00"
03/12/2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£621.80
03/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£320.33
09/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£923.05
10/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,013.07"
18/12/2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£312.85
18/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£257.78
24/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£362.27
26/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£533.86
27/12/2024,Butterfield Timber & Safety Supplies,Population Wellbeing,Voids,Purchase Of Materials,"£2,250.35"
28/12/2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£317.85
28/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£283.13
28/12/2024,Butterfield Timber & Safety Supplies,Population Wellbeing,Voids,Purchase Of Materials,"£1,106.80"
05/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,530.67"
05/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,328.17"
05/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,937.05"
