Transparency Report - October 2024,,,,,
Date,Suppliers,Department ,CC Description,Ledger Code,Value £
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£490.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£580.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£740.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£325.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,200.00"
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,645.00"
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£355.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£600.00
 17-Oct-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£880.00
