Transparency Report March 2024,,,,,
Date,Supplier,Dept,CC Description,Ledger Code,Value £
 18-Mar-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£2,000.00"
 20-Mar-2024,Furlong & Higgs Ltd,Population Wellbeing,Aids and Adaptations,Sub-Contractors,"£3,045.00"
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Grant Work,Sub-Contractors,£800.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Grant Work,Sub-Contractors,£885.00
 14-Mar-2024,Walpole Design and Build Ltd,Population Wellbeing,Grant Work,Sub-Contractors,"£1,753.00"
 20-Mar-2024,Dycol Ltd,Population Wellbeing,Grant Work,Sub-Contractors,£500.00
 20-Mar-2024,Dycol Ltd,Population Wellbeing,Grant Work,Sub-Contractors,£610.00
 20-Mar-2024,Dycol Ltd,Population Wellbeing,Grant Work,Sub-Contractors,£575.00
 04-Mar-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,£894.25
 13-Mar-2024,Butterfield Timber & Safety Supplies,Population Wellbeing,Voids,Purchase Of Materials,£620.00
 13-Mar-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£586.00
 13-Mar-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£586.00
 13-Mar-2024,Jewson,Population Wellbeing,Voids,Purchase Of Materials,£586.00
 18-Mar-2024,New Century Doors Ltd,Population Wellbeing,Voids,Purchase Of Materials,£550.00
 19-Mar-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Voids,Purchase Of Materials,£257.79
 19-Mar-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,103.97"
 19-Mar-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Voids,Purchase Of Materials,"£1,034.88"
 20-Mar-2024,Travis Perkins Trading Co Ltd,Population Wellbeing,Voids,Purchase Of Materials,£393.53
 04-Mar-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Voids,Sub-Contractors,"£17,050.00"
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,350.00"
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,385.00"
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 06-Mar-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,312.37"
 06-Mar-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,530.67"
 06-Mar-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£3,380.59"
 11-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 11-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£725.00
 11-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,251.00"
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,100.00"
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£750.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,£525.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,000.00"
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,400.00"
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,850.00"
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£435.00
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,785.00"
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£1,225.00"
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£795.00
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£660.00
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,"£2,100.00"
 18-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Voids,Sub-Contractors,£350.00
 18-Mar-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,650.98"
 18-Mar-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,846.69"
 18-Mar-2024,Lonsdale Painting & Decorating,Population Wellbeing,Voids,Sub-Contractors,"£1,799.35"
 04-Mar-2024,UC (Sealed Units) Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£336.72
 04-Mar-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£271.07
 05-Mar-2024,Fascia & Glazing Supplies,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£384.67
 13-Mar-2024,Direct Glazing Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,"£2,300.00"
 13-Mar-2024,Direct Glazing Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,"£4,950.00"
 13-Mar-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£586.00
 13-Mar-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£586.00
 18-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 18-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£574.42
 18-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£543.44
 19-Mar-2024,Jewson,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£286.60
 19-Mar-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£400.81
 19-Mar-2024,Window Parts Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£443.86
 22-Mar-2024,UC (Sealed Units) Limited,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£254.15
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£991.08
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£586.86
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.32
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£550.00
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£885.00
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£943.26
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£530.00
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£729.19
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£553.64
 27-Mar-2024,Butterfield Timber & Safety Supplies,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£872.00
 27-Mar-2024,New Century Doors Ltd,Population Wellbeing,Repairs - Aldenham,Direct Purchases - Supplies,£729.19
 04-Mar-2024,J & B Electrical Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,"£1,110.00"
 06-Mar-2024,Garage Doors (Luton),Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£693.00
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£375.00
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
 06-Mar-2024,T & L Flooring Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£430.00
