LBBD Payments Greater than £250 for Publishing,,,,,,,,,,
Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
01-Feb-24,BD Service Delivery Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,621140 R & M MINOR WORKS,18988.45,3164.74
01-Feb-24,BD Together Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,641220 CATERING SERVICES,3012.12,502.02
01-Feb-24,BD Together Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,641220 CATERING SERVICES,5018.34,836.39
01-Feb-24,BD Together Ltd,Commercial,F15240,FAMILY SUPP & SAFEGUARDING SER,CHILDREN'S CARE & SUPPORT 10AE,CARE MANAGEMENT 10AEE,CARE MANAGEMENT TEAMS 10AEEA,651780 PRIVATE CONTRACTORS PAY,478.37,79.73
01-Feb-24,BD Together Ltd,Commercial,F15240,FAMILY SUPP & SAFEGUARDING SER,CHILDREN'S CARE & SUPPORT 10AE,CARE MANAGEMENT 10AEE,CARE MANAGEMENT TEAMS 10AEEA,651780 PRIVATE CONTRACTORS PAY,260.40,43.40
01-Feb-24,BD Together Ltd,Commercial,D60760,SEABROOK CAMPUS (ETS),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,641180 CATERING AND VENDING SU,1546.26,257.71
01-Feb-24,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,748.80,124.80
01-Feb-24,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,4076.40,679.40
01-Feb-24,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,734.10,122.35
01-Feb-24,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,640.80,106.80
01-Feb-24,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,734.10,122.35
01-Feb-24,Redacted,Foster Carer,F15920,ADOPTION PLACEMENT COSTS,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651220 ADOPTION ALLOW PRIVATE,390.80,0.00
01-Feb-24,Redacted,Foster Carer,F16080,PERMANENCE TEAM - FOSTERING,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS INTERNAL COSTS 10AEH,PLACEMENTS SERVICE 10AEHC,651460 KINSHIP PLACEMENT PRIV,447.18,0.00
01-Feb-24,Benjamin UK Ltd,Commercial,F15760,PRIV & VOL. RES. HOMES WITH ED,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651780 PRIVATE CONTRACTORS PAY,21190.36,0.00
01-Feb-24,Bindmans LLP,Legal Services,F15240,FAMILY SUPP & SAFEGUARDING SER,CHILDREN'S CARE & SUPPORT 10AE,CARE MANAGEMENT 10AEE,CARE MANAGEMENT TEAMS 10AEEA,641630 COURT COSTS,1316.40,0.00
01-Feb-24,BPA Care Limited,Commercial,F15640,LEAVING CARE SERVICE,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651480 LEAVING CARE - PRIVATE,2276.28,0.00
01-Feb-24,BPA Care Limited,Commercial,F15640,LEAVING CARE SERVICE,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,661020 LOOKED AFTER COST OTHER,310.00,0.00
01-Feb-24,Redacted,Carer,F15920,ADOPTION PLACEMENT COSTS,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651220 ADOPTION ALLOW PRIVATE,476.08,0.00
01-Feb-24,Redacted,Carer,F15920,ADOPTION PLACEMENT COSTS,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651220 ADOPTION ALLOW PRIVATE,600.00,0.00
01-Feb-24,Brightway Contact Services,Central Government,F17850,SPECIALIST INTERVENTION SERVIC,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,SPECIALIST INTERVENTION HUB 10AEJ,651780 PRIVATE CONTRACTORS PAY,1252.00,0.00
01-Feb-24,Brocks Haulage Ltd,Commercial,F29200,WASTE - REFUSE COLL DOMESTIC,MY PLACE 10G,PUBLIC REALM 10GC,WASTE OPS 10GCE,641000 REFUSE CONTAINERS/LITTE,816.00,136.00
01-Feb-24,Bucher Municipal Ltd,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631100 OTHER VEHICLE COSTS,3750.00,625.00
01-Feb-24,Redacted,Other Entities and Individuals,F15880,INTERNAL FOSTERING PLACEMENT,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651440 IN HSE FOSTER PLCMNTS P,708.00,0.00
01-Feb-24,Bucher Municipal Ltd,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631100 OTHER VEHICLE COSTS,4800.00,800.00
01-Feb-24,By Education Barking Ltd_f,Commercial,F19000,PFI EDUCATION,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",SCHOOL ESTATE AND ORGANISATION 10AFE,641640 PROFESSIONAL SERVCES -,761029.06,126838.18
01-Feb-24,Cambian Childcare Ltd,Commercial,F15760,PRIV & VOL. RES. HOMES WITH ED,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651780 PRIVATE CONTRACTORS PAY,28099.29,0.00
01-Feb-24,Cansford Laboratories Ltd,Commercial,F15240,FAMILY SUPP & SAFEGUARDING SER,CHILDREN'S CARE & SUPPORT 10AE,CARE MANAGEMENT 10AEE,CARE MANAGEMENT TEAMS 10AEEA,641630 COURT COSTS,724.75,120.79
01-Feb-24,Cansford Laboratories Ltd,Commercial,F15240,FAMILY SUPP & SAFEGUARDING SER,CHILDREN'S CARE & SUPPORT 10AE,CARE MANAGEMENT 10AEE,CARE MANAGEMENT TEAMS 10AEEA,641630 COURT COSTS,555.90,92.65
01-Feb-24,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,340.38,56.73
01-Feb-24,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,609.71,101.62
01-Feb-24,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,914.75,152.46
01-Feb-24,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,370.14,61.69
01-Feb-24,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,370.14,61.69
01-Feb-24,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,793.10,132.18
01-Feb-24,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,1384.34,230.72
01-Feb-24,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,861.18,143.53
01-Feb-24,Care Focus Ltd,Commercial,F15760,PRIV & VOL. RES. HOMES WITH ED,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651780 PRIVATE CONTRACTORS PAY,41411.57,0.00
01-Feb-24,Redacted,Other Entities and Individuals,F16080,PERMANENCE TEAM - FOSTERING,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS INTERNAL COSTS 10AEH,PLACEMENTS SERVICE 10AEHC,651460 KINSHIP PLACEMENT PRIV,1021.76,0.00
