Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,Capital/ Revenue,Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Foster Band 1 Mtce 1115,45413.402407407404,Various,727.1800000000001,Revenue,Redacted personal data,151774.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402407407404,Various,998.4,Revenue,Redacted personal data,151944.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402407407404,Various,524.7,Revenue,Redacted personal data,152213.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.402407407404,Various,636.03,Revenue,Redacted personal data,152428.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.40241898148,Various,530.27,Revenue,Redacted personal data,153372.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40241898148,Various,679.8000000000001,Revenue,Redacted personal data,153386.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40241898148,Various,634.48,Revenue,Redacted personal data,153406.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40241898148,Various,521.1800000000001,Revenue,Redacted personal data,153592.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40241898148,Various,1176.26,Revenue,Redacted personal data,153951.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Foster Band 1 Mtce 04,45413.40241898148,Various,500.58,Revenue,Redacted personal data,154134.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Mainstream 5 - 10 Years,45413.40241898148,Various,541.78,Revenue,Redacted personal data,154155.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,45413.40241898148,Various,792.07,Revenue,Redacted personal data,154393.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Special Guardianship Allowance,45413.40241898148,Various,1099.74,Revenue,Redacted personal data,154405.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45413.42023148148,9804467931,1000.0,Revenue,Redacted personal data,119188.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45413.42023148148,9804467968,2124.88,Revenue,Redacted personal data,154292.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45413.42023148148,9804467976,672.0,Revenue,Redacted personal data,154417.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Direct Payments,45413.42023148148,Various,1441.91,Revenue,Redacted personal data,154417.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,People Directorate,Various,Various,45414.59583333333,Various,5224.7300000000005,Revenue,Waterfront West,24125.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Grants  Private Contractors,45414.59583333333,PLY4468227,1813.39,Revenue,Pelican Childrens Centre,25176.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,9503.95,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,38714.49,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Public Health,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,18056.02,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,2626.01,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,735.54,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,1498.18,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,594.23,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,557.11,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,431.52,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,500.13,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,731.0600000000001,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,842.72,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,1053.28,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,419.89,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor - SWH,45414.59583333333,HM0022427,1197.95,Capital,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Private Contractors,45414.59583333333,HM0022427,540.11,Revenue,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Private Contractors,45414.59583333333,HM0022427,936.85,Revenue,South West Highways,25551.0
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Private Contractors,45414.59583333333,HM0022427,2518.16,Revenue,South West Highways,25551.0
