Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,12-Jul-24,51501124923,"£9,221.41",Access UK Limited t/a Adam,Adult Services,Mental Health,Domiciliary Care
Milton Keynes City Council,12-Jul-24,51501129169,"£9,647.40",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129386,"£9,647.40",HAVILAH CARE LTD,Adult Services,Autism,Living support grants
Milton Keynes City Council,12-Jul-24,51501129182,"£9,647.40",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129467,"£9,647.40",EJC Group Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,12-Jul-24,51501129425,"£9,647.40",Superior Homecare Services Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,12-Jul-24,51501129456,"£9,647.40",Ashlotrimcare Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129352,"£9,647.40",Exceed Support Services Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,12-Jul-24,51501129390,"£9,647.40",HAVILAH CARE LTD,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129380,"£9,647.40",Bespoke Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129170,"£10,024.11",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501124920,"£10,196.96",Access UK Limited t/a Adam,Environment & Property,Assistant Director Highways and Transport,Concessions - payments to transport operators
Milton Keynes City Council,12-Jul-24,51501127767,"£10,720.02",Shell UK Limited,Environment & Property,Assistant Director Environment and Waste,Vehicle Fuel
Milton Keynes City Council,12-Jul-24,51501124812,"£11,684.58",CME Heating Ltd,Environment & Property,Assistant Director Property,Building Repair and Maintenance
Milton Keynes City Council,12-Jul-24,51501124924,"£11,922.81",Access UK Limited t/a Adam,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,12-Jul-24,51501129173,"£11,944.40",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501123127,"£12,000.00",Studio Morison Limited,Planning and Placemaking,Economy and Culture,Construction - External Professional Fees
Milton Keynes City Council,12-Jul-24,51501128878,"£12,511.34",Stagecoach Services Ltd,Environment & Property,Assistant Director Highways and Transport,Concessions - payments to transport operators
Milton Keynes City Council,12-Jul-24,51501124754,"£14,485.71",Access UK Limited t/a Adam,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501124927,"£15,373.56",Adam HTT Limited T/A Adam,Children's Services,Social Work - CWD & FAST,Day Care
Milton Keynes City Council,12-Jul-24,51501129473,"£16,128.00",All4One Care Services Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501129474,"£16,632.00",MK Supported Housing Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-24,51501116177,"£17,155.50",Hopscotch Solutions Ltd T/a The Shires School,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501129079,"£21,296.60",Bedfordshire Supported Housing Limited,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,12-Jul-24,51501127612,"£22,711.67",Kedleston Group Ltd,Children's Services,High Needs Block,Independent School Placements
Milton Keynes City Council,12-Jul-24,51501127678,"£23,450.00",Assisted Living Care Group LTD,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,51501128110,"£23,614.18",Milton Keynes Community Foundation Ltd,Environment & Property,Assistant Director Property,Rents and Leases
Milton Keynes City Council,12-Jul-24,51501124492,"£29,677.16",Access UK Limited t/a Adam,Adult Services,"Assessment, Review and Hospital Discharge",Domiciliary Care
Milton Keynes City Council,12-Jul-24,51501128729,"£29,696.94",Npower Ltd,Environment & Property,Assistant Director Property,Electricity
Milton Keynes City Council,12-Jul-24,51501116121,"£30,535.00",Care Acre Limited,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,12-Jul-24,14500044038,"£35,618.00",HMRC - PAYE,Finance & Resources - Corporate Codes,Corporate Codes,Apprenctice Levy
Milton Keynes City Council,12-Jul-24,51501124919,"£37,950.06",Access UK Limited t/a Adam,Adult Services,Physical Disability,Domiciliary Care
Milton Keynes City Council,12-Jul-24,51501129668,"£39,000.00",Nugent Care,Children's Services,Corporate Parenting,Residential Care
