Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Prosperity & Investment,Regeneration & Investment,Supplies & Services,Advertising,Austin Mix Ltd,11/12/2023,515.00
Health & Wellbeing,Health Improvement,Supplies & Services,Computer Software (Maint),AXIELL LTD,07/12/2023,"5,220.81"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Supplies & Services,Concessionary Travel,B P B TRAVEL LTD,13/12/2023,559.00
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Subsidised Routes,B P B TRAVEL LTD,13/12/2023,"12,790.00"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Transport-Related Expenditure,Subsidised Routes,B P B TRAVEL LTD,19/12/2023,"12,861.00"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Supplies & Services,Concessionary Travel,B P B TRAVEL LTD,19/12/2023,622.00
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Sport Equip - Purchase,Badcock Services,05/12/2023,150.00
Neighbourhood & Enforcement Services,"Highways, Engineering & Project Delivery",Third Party Payments,Highways Contract - BBLP,Balfour Beatty Civils Limited,20/12/2023,"981,787.06"
Neighbourhood & Enforcement Services,Strategic Transport & Highway Network Management,Supplies & Services,Concessionary Travel,Banga Travel,19/12/2023,"2,088.00"
Neighbourhood & Enforcement Services,Safer & Stronger Communities,Premises-Related Expenditure,General Rents,Barratt West Midlands,21/12/2023,700.00
Children´s Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Supplies & Services,Advertising,Bauer Radio Ltd,21/12/2023,901.59
Children´s Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Supplies & Services,Advertising,Bauer Radio Ltd,21/12/2023,"1,208.56"
Children´s Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Supplies & Services,Advertising,Bauer Radio Ltd,21/12/2023,370.00
Prosperity & Investment,BiT,Premises-Related Expenditure,Service Contracts,Belvidere Lifts Ltd,05/12/2023,125.00
Prosperity & Investment,BiT,Capital Expenditure,Payments to Contractor,Belvidere Lifts Ltd,21/12/2023,"33,944.00"
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,06/12/2023,130.50
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,06/12/2023,251.10
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,13/12/2023,392.20
Adult Social Care,My Options,Premises-Related Expenditure,Clean Mats & Toilet Requisites,BERWICK CARE EQUIPMENT LTD,21/12/2023,292.68
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,08/12/2023,662.00
Adult Social Care,Prevention & Independence - Older Adults & Disability,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,14/12/2023,662.00
Prosperity & Investment,BiT,Supplies & Services,Publications,BESA Publications Ltd,21/12/2023,"9,027.75"
Children´s Safeguarding & Family Support,"Family Placements, Children in Care, Leaving Care & Emergency Duty Team",Supplies & Services,Section 17 Childrens Act,Birmingham City Council,19/12/2023,238.79
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,Bolinda UK Ltd,04/12/2023,337.14
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,Bolinda UK Ltd,04/12/2023,337.14
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,Bolinda UK Ltd,04/12/2023,337.14
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,Bolinda UK Ltd,04/12/2023,337.14
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,Bolinda UK Ltd,04/12/2023,337.14
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,Bolinda UK Ltd,04/12/2023,337.14
Health & Wellbeing,Health Improvement,Supplies & Services,Libraries Book Fund,Bolinda UK Ltd,04/12/2023,337.14
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,04/12/2023,216.89
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,04/12/2023,232.58
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,04/12/2023,190.80
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,04/12/2023,100.07
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Protective Clothing,Border Janitorial Supplies Limited,04/12/2023,171.49
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,04/12/2023,138.39
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,07/12/2023,108.34
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Chemicals/Cleaning Products,Border Janitorial Supplies Limited,07/12/2023,212.33
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,11/12/2023,236.43
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,11/12/2023,105.48
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,13/12/2023,192.18
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,13/12/2023,154.70
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,13/12/2023,127.05
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,13/12/2023,116.28
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,13/12/2023,267.58
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,13/12/2023,114.48
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/12/2023,128.55
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/12/2023,163.12
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/12/2023,184.13
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/12/2023,190.77
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/12/2023,257.14
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/12/2023,169.42
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,14/12/2023,825.00
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,15/12/2023,"5,800.00"
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/12/2023,142.41
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/12/2023,126.95
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/12/2023,147.73
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/12/2023,287.65
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Crockery/Hardware/Light Equip,Border Janitorial Supplies Limited,18/12/2023,178.21
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,19/12/2023,122.55
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,19/12/2023,103.58
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,19/12/2023,127.68
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,19/12/2023,104.97
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,19/12/2023,261.22
"Communities, Customer & Commercial Services",Sport & Leisure,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,21/12/2023,109.17
Prosperity & Investment,BiT,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,01/12/2023,379.67
Prosperity & Investment,BiT,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,05/12/2023,215.53
Neighbourhood & Enforcement Services,Safer & Stronger Communities,Supplies & Services,Other Services,BOURNVILLE VILLAGE TRUST,18/12/2023,"3,500.00"
Neighbourhood & Enforcement Services,Safer & Stronger Communities,Supplies & Services,Other Services,BOURNVILLE VILLAGE TRUST,21/12/2023,176.50
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,B INDUSTRIAL SERVICES,05/12/2023,115.39
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,B INDUSTRIAL SERVICES,05/12/2023,206.34
Prosperity & Investment,BiT,Premises-Related Expenditure,R&M -Buildings DLO Charge,B INDUSTRIAL SERVICES,05/12/2023,121.00
