Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,ROYAL MENCAP SOCIETY,26/10/2023,206.36
Education & Skills,SEND (0-25),Transport-Related Expenditure,Taxi Costs,ROYAL MENCAP SOCIETY,26/10/2023,172.82
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,24/10/2023,"4,393.83"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/10/2023,112.20
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/10/2023,"5,967.26"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,12/10/2023,"6,978.58"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,31/10/2023,"5,616.60"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,24/10/2023,328.90
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,24/10/2023,"1,351.03"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/10/2023,"1,705.70"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,05/10/2023,"8,127.90"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,12/10/2023,"8,553.05"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,12/10/2023,"1,972.22"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,31/10/2023,"8,301.70"
Adult Social Care,My Options,Employees,Agency Supply Costs,Safehands Recruitment,31/10/2023,709.43
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,118.80
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,114.20
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,216.40
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,204.90
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,300.20
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,178.80
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,118.80
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,213.50
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,160.50
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,125.95
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,127.45
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,219.90
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,141.20
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,129.70
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,118.90
"Communities, Customer & Commercial Services",Sport & Leisure,Supplies & Services,Provisions,SPICE TIME,10/10/2023,113.75
"Communities, Customer & Commercial Services",ICT,Supplies & Services,Comp Software (Purch / Hire),Salamandersoft Limited,26/10/2023,"4,464.81"
"Communities, Customer & Commercial Services",ICT,Supplies & Services,Comp Software (Purch / Hire),Salamandersoft Limited,26/10/2023,"3,419.83"
"Communities, Customer & Commercial Services",ICT,Supplies & Services,Comp Software (Purch / Hire),Salamandersoft Limited,26/10/2023,"5,650.95"
"Communities, Customer & Commercial Services",ICT,Supplies & Services,Comp Software (Purch / Hire),Salamandersoft Limited,26/10/2023,"12,459.20"
"Communities, Customer & Commercial Services",ICT,Supplies & Services,Comp Software (Purch / Hire),Salamandersoft Limited,26/10/2023,238.50
Prosperity & Investment,Development Management,Employees,Agency Supply Costs,Sarto T Limited,04/10/2023,"1,800.00"
Prosperity & Investment,Development Management,Employees,Agency Supply Costs,Sarto T Limited,04/10/2023,"1,800.00"
Prosperity & Investment,Development Management,Employees,Agency Supply Costs,Sarto T Limited,04/10/2023,"1,800.00"
Prosperity & Investment,Development Management,Employees,Agency Supply Costs,Sarto T Limited,18/10/2023,"1,800.00"
Prosperity & Investment,Development Management,Employees,Agency Supply Costs,Sarto T Limited,18/10/2023,"1,800.00"
Prosperity & Investment,Development Management,Employees,Agency Supply Costs,Sarto T Limited,31/10/2023,"1,800.00"
Prosperity & Investment,Development Management,Employees,Agency Supply Costs,Sarto T Limited,31/10/2023,"1,800.00"
Prosperity & Investment,BiT,Premises-Related Expenditure,Service Charges Paid,Savills Limited,03/10/2023,"3,750.00"
Education & Skills,Consultancy & Advisory Services,Supplies & Services,Other Grants (Expenses),School of Coding Ltd,17/10/2023,"2,250.00"
Education & Skills,Consultancy & Advisory Services,Supplies & Services,Other Grants (Expenses),School of Coding Ltd,17/10/2023,"1,250.00"
