OrganisationName,OrganisationalUnit,BeneficiaryName,PaymentDate,Amount,Purpose,CategoryInternal,OrganisationURI,
Staffordshire County Council,Independent School Fee Special,Haven School Ltd,16/05/2023,12133.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Haven School Ltd,16/05/2023,9100.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Haven School Ltd,16/05/2023,15167.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Haven School Ltd,16/05/2023,15167.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Haven School Ltd,16/05/2023,15167.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Haven School Ltd,16/05/2023,15167.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Haven School Ltd,16/05/2023,15167.00,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Central Programme Costs,HAYS SPECIALIST RECRUITMENT LTD,05/05/2023,1758.91,CONSULTANT FEES,CONSULTANT FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Central Programme Costs,HAYS SPECIALIST RECRUITMENT LTD,22/05/2023,2198.64,CONSULTANT FEES,CONSULTANT FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Central Programme Costs,HAYS SPECIALIST RECRUITMENT LTD,26/05/2023,1758.91,CONSULTANT FEES,CONSULTANT FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Hazel Slade Primary Academy,03/05/2023,5605.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Occupational Health Unit,Healthwork group Ltd - Optima,12/05/2023,1428.00,CONSULTANT FEES,CONSULTANT FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Occupational Health Unit,Healthwork group Ltd - Optima,26/05/2023,1500.00,CONSULTANT FEES,CONSULTANT FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,5438 Staffs Place 1&2Tipping S,HEATELECT LIMITED,10/05/2023,3866.03,Day to Day Mechanical Services,Day to Day Mechanical Services,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,0822 County Records Eastgate S,HEATELECT LIMITED,25/05/2023,540.00,Day to Day Mechanical Services,Day to Day Mechanical Services,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Heath Hayes Academy,03/05/2023,57158.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent Sch Fees Mainstr'm,Heathfield Knoll School,15/05/2023,9725.66,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent Sch Fees Mainstr'm,Heathfield Knoll School,15/05/2023,19666.67,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Heathfields Infant Academy,03/05/2023,30178.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Pupil Premium Grant,Heathfields Infant Academy,22/05/2023,1190.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Diabetes,Heathview Medical Centre,30/05/2023,585.80,Other payments / claims,Other payments / claims,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Apedale HLS,Heathwood Nurseries Ltd,11/05/2023,517.68,General Equipment Purchase,General Equipment Purchase,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,Hedgehogs Preschool,12/05/2023,1382.07,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Hedgehogs Preschool,12/05/2023,5073.91,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,Hedgehogs Preschool,12/05/2023,4146.20,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Hedgehogs Preschool,12/05/2023,2621.78,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,Hedgehogs Preschool,12/05/2023,1382.07,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Hedgehogs Preschool,12/05/2023,3792.56,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Hedgehogs Preschool,12/05/2023,735.90,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Hedgehogs Preschool,12/05/2023,735.90,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,Hedgehogs Preschool,12/05/2023,902.55,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Chasetown Special School,Hednesford Buses & Taxis,26/05/2023,1262.40,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,HEDNESFORD TRAVEL,03/05/2023,3352.25,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Helens Home from Home Childminding,12/05/2023,881.40,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Moor Children with Disability,Helping Angels Ltd,17/05/2023,704.92,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Moor Children with Disability,Helping Angels Ltd,26/05/2023,1269.95,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MOOR Early Help & Resourcing,Helping Angels Ltd,12/05/2023,1304.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MOOR Early Help & Resourcing,Helping Angels Ltd,12/05/2023,1282.50,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Moor Children with Disability,Helping Angels Ltd,17/05/2023,1864.95,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Moor Children with Disability,Helping Angels Ltd,12/05/2023,1066.45,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Moor Children with Disability,Helping Angels Ltd,12/05/2023,629.75,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HSF Education Support 22/23,Hemingways Marketing Services Ltd,05/05/2023,37130.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HSF Education Support 22/23,Hemingways Marketing Services Ltd,05/05/2023,3820.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HSF Application Scheme 22/23,Hemingways Marketing Services Ltd,12/05/2023,10420.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HSF Education Support 22/23,Hemingways Marketing Services Ltd,19/05/2023,1220.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HSF Application Scheme 22/23,Hemingways Marketing Services Ltd,19/05/2023,24805.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HSF Application Scheme 22/23,Hemingways Marketing Services Ltd,26/05/2023,57735.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HSF Education Support 22/23,Hemingways Marketing Services Ltd,26/05/2023,680.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,HSF Application Scheme 22/23,Hemingways Marketing Services Ltd,31/05/2023,29600.00,OTHER HIRED SERVICES,OTHER HIRED SERVICES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Hempstalls Primary School,03/05/2023,76421.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Henhurst Ridge Primary Academy Nursery,12/05/2023,10818.61,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Henhurst Ridge Primary Academy Nursery,03/05/2023,7661.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Henhurst Ridge Primary Academy Nursery,12/05/2023,1092.60,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Henry Chadwick Primary,12/05/2023,5309.98,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Henry Chadwick Primary,03/05/2023,32417.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Henry Chadwick Primary,12/05/2023,556.56,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Further Education Placements,HEREWARD COLLEGE,11/05/2023,1859.93,Events and Competitions,Events and Competitions,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,HEY DIDDLE DIDDLE,12/05/2023,1476.90,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,HEY DIDDLE DIDDLE,12/05/2023,820.80,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DAF - Disability Access Fund,HEY DIDDLE DIDDLE,23/05/2023,828.00,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DAF - Disability Access Fund,HEY DIDDLE DIDDLE,23/05/2023,828.00,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DAF - Disability Access Fund,HEY DIDDLE DIDDLE,23/05/2023,828.00,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,Hi Cars Ltd,30/05/2023,4813.80,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,High Grange Specialist School,16/05/2023,34833.33,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,High Grange Specialist School,16/05/2023,34833.33,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent Sch Fees Mainstr'm,Highclare School,03/05/2023,9221.17,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,HILLS COACHES,26/05/2023,7824.00,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,Hilltop Tots Day Nursery Ltd,12/05/2023,935.55,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Hilltop Tots Day Nursery Ltd,12/05/2023,10316.50,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Homes for Ukraines,Hollinsclough C of E Academy,02/05/2023,4935.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Homes for Ukraines,Hollinsclough C of E Academy,18/05/2023,4935.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,HOLLINSHEAD'S COACHES LTD,26/05/2023,2634.20,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Holly Grove Primary Academy,12/05/2023,12928.05,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Holly Grove Primary Academy,03/05/2023,29810.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Holy Rosary Catholic Voluntary Academy,12/05/2023,4656.73,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Holy Rosary Catholic Voluntary Academy,03/05/2023,38764.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,Holy Rosary Catholic Voluntary Academy,12/05/2023,702.90,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,HOLY TRINITY PLAYGROUP,12/05/2023,829.24,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,HOLY TRINITY PLAYGROUP,12/05/2023,1441.05,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,HOLY TRINITY PLAYGROUP,12/05/2023,1169.40,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Pupil Premium Grant,Holyhead School,22/05/2023,650.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,Home2Home with Care Limited,11/05/2023,987.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,Home2Home with Care Limited,12/05/2023,728.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,Home2Home with Care Limited,12/05/2023,1254.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,Home2Home with Care Limited,11/05/2023,940.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,Home2Home with Care Limited,11/05/2023,735.00,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Tam Children with Disability,Home2Home with Care Limited,19/05/2023,2727.50,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Independent School Fee Special,Hopedale Children & Families Services,25/05/2023,5744.42,Fees to Independent Schools,Fees to Independent Schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,STAF Assess & Staying Together,Horizon Care Ltd,15/05/2023,1619.94,S17 FAMILY SUPPORT,S17 FAMILY SUPPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Horninglow Prim De Ferrers Trst Acd,03/05/2023,35354.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Pupil Premium Grant,Horninglow Prim De Ferrers Trst Acd,22/05/2023,510.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,AEN Funding Academies/Free/Col,Horton St. Michael's CE First School,03/05/2023,11083.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Pupil Premium Grant,Horton St. Michael's CE First School,22/05/2023,1480.00,Grants to third parties,Grants to third parties,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DIPS EOTAS,HRPE,31/05/2023,2217.60, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DIPS EOTAS,HRPE,31/05/2023,1814.40, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DIPS EOTAS,HRPE,31/05/2023,2419.20, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DIPS EOTAS,HRPE,31/05/2023,1411.20, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DIPS EOTAS,HRPE,31/05/2023,2620.80, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DIPS EOTAS,HRPE,31/05/2023,1814.40, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DIPS EOTAS,HRPE,31/05/2023,2822.40, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,DIPS EOTAS,HRPE,31/05/2023,1209.60, Alternative Education Schemes, Alternative Education Schemes,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock (Poplars) HWRC,HSS ProService,04/05/2023,7920.00,General Equipment Purchase,General Equipment Purchase,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Wombourne HWRC,HSS ProService,03/05/2023,1122.00,General Equipment Repair/Maint,General Equipment Repair/Maint,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cannock (Poplars) HWRC,HSS ProService,26/05/2023,6336.00,General Equipment Purchase,General Equipment Purchase,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,HUGGIES DAY NURSERY LTD,12/05/2023,1934.89,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Nursery Education Grant,HUGGIES DAY NURSERY LTD,12/05/2023,14631.64,Grants Nursery Education Pymnt,Grants Nursery Education Pymnt,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,HUGGIES DAY NURSERY LTD,12/05/2023,656.40,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Fost Supervise & Support North,HUGGIES DAY NURSERY LTD,10/05/2023,776.00,Fostering Equipment on Loans,Fostering Equipment on Loans,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Homes for Ukraines,Humpties@StMichaels,12/05/2023,750.00,Grants to schools,Grants to schools,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Think 2 Project,HUMPTY DUMPTY DAY NURSERY,12/05/2023,525.12,Awards Funded Childcare Places,Awards Funded Childcare Places,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,NEW Child in Care/Care Leavers,Hyde Accessible Transport Ltd,16/05/2023,1750.00,Case Work,Case Work,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Amey Winter Maintenance,I & M Shaw Ltd,03/05/2023,8265.60,Winter Maint - Prec Salting,Winter Maint - Prec Salting,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Amey Winter Maintenance,I & M Shaw Ltd,05/05/2023,14599.15,Winter Maint - Prec Salting,Winter Maint - Prec Salting,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Bailey Street AP,I M Cars,26/05/2023,2250.00,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Highways Laboratory,I2 Analytical Ltd,22/05/2023,504.00,CONSULTANT FEES,CONSULTANT FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to school transport-main,iCars Limited,26/05/2023,25316.92,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,LICH Assess & Staying Together,iCars Limited,23/05/2023,840.00,S17 TRANSPORT,S17 TRANSPORT,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,ID Medical Group Ltd,02/05/2023,3880.87,Medical Fees,Medical Fees,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,ID Medical Group Ltd,02/05/2023,20697.98,Medical Fees,Medical Fees,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,MCA / DoLs / AMHP,ID Medical Group Ltd,03/05/2023,11355.14,Medical Fees,Medical Fees,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Environmental Advice Team,Idox Software Ltd,05/05/2023,2500.56,General Equipment Purchase,General Equipment Purchase,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Home to college transport SEN,Idrive Travel LTD,25/05/2023,825.00,Manned Transpt - Hire Medical,Manned Transpt - Hire Medical,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Legal Services Unit,Iken Business Ltd,26/05/2023,7318.08,PROFESSIONAL FEES,PROFESSIONAL FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Central Programme Costs,IMPROVEMENT & DEV AGENCY LOC GOV,19/05/2023,7200.00,CONSULTANT FEES,CONSULTANT FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Fountains High School,IMRAN TRAVEL,26/05/2023,4181.40,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Turnaround Programme,In2 Health & Wellbeing CIC,04/05/2023,25548.00,CPF-Grants to Other Vol Bodies,CPF-Grants to Other Vol Bodies,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Audit,Information Security Advice Limited,10/05/2023,3500.00,Agency Staff,Agency Staff,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Highways,Information Security Advice Limited,02/05/2023,1036.30,Agency Staff,Agency Staff,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Trent & Sow Env Enhance Fund,Ingestre Orangery and Gardens,15/05/2023,2149.21,General Grants,General Grants,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Specialist Assessment,Insight Assessment Services,26/05/2023,3568.98,Prev Supp Legal Costs,Prev Supp Legal Costs,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,KCOM - Telephone Network,INSIGHT DIRECT (UK) LTD,10/05/2023,720.00,CALL CHARGES,CALL CHARGES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,"Server, Storage and DBA",INSIGHT DIRECT (UK) LTD,26/05/2023,3764.29,SOFTWARE LICENCES,SOFTWARE LICENCES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,"Server, Storage and DBA",INSIGHT DIRECT (UK) LTD,26/05/2023,5166.04,SOFTWARE LICENCES,SOFTWARE LICENCES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Staff Development Ctr,Inspired Film & Video Ltd,15/05/2023,3360.00,Contingency,Contingency,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Cedars Short Stay School,INTERCITY PRIVATE HIRE LTD,26/05/2023,3601.46,Home School Contract Vehicles,Home School Contract Vehicles,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Adoption Support Fund,IntraQuest CIC,04/05/2023,1170.00,PROFESSIONAL FEES,PROFESSIONAL FEES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Adoption Support,IntraQuest CIC,02/05/2023,651.00,Contingency,Contingency,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,7115 Unit Qa Beacon Business P,ISE Estates Ltd,03/05/2023,4219.20,Repair and Maintenance,Repair and Maintenance,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,"7232 Unit QB, Beaconside ST18 ",ISE Estates Ltd,19/05/2023,2519.48,Electricity,Electricity,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,7195 Building G Beacon Bus Par,ISE Estates Ltd,19/05/2023,2360.87,Electricity,Electricity,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,7115 Unit Qa Beacon Business P,ISE Estates Ltd,19/05/2023,2100.26,Gas,Gas,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,7115 Unit Qa Beacon Business P,ISE Estates Ltd,19/05/2023,6049.87,Electricity,Electricity,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,"7232 Unit QB, Beaconside ST18 ",ISE Estates Ltd,19/05/2023,1772.38,Gas,Gas,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Concessionary Fare Schemes,ITSO LTD,10/05/2023,2883.60,LICENCES,LICENCES,http://opendatacommunities.org/id/county-council/staffordshire  ,
Staffordshire County Council,Virtual School - Pupil Premium,Ivingswood Academy,09/05/2023,650.00,OTHER ALLOWANCES,OTHER ALLOWANCES,http://opendatacommunities.org/id/county-council/staffordshire  ,
