Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Place,Economy,Economy,Estates,Services - Payments To Contractors,New Image (Public Relations) Ltd,45301,14875
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Age UK Oldham Ltd,45362,14872.78
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Other Employee expenses,Working on Wellbeing Ltd t/a Optima Health Ltd,45366,14786.06
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Licences,Frontline Data Limited,45322,14765.25
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45313,14690.59
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45324,14690.59
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Supporting Futures Ltd,45336,14625.03
People,Children´s Services,Children´s Social Care,Children´s Services Intergration,Services - Professional Fees,Tile Hill Interim & Executive Ltd,45300,14625
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Aaban Partnership Ltd,45376,14590.2
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Care Today Childrens Services Ltd,45364,14557.71
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Broadfield Specialist School,45356,14547.5
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Seashell Trust,45294,14523.88
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Consumables,Millgate Computer Systems Ltd,45306,14500
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45358,14469
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45358,14457.54
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,GMIS (Greater Manchester Independent School)(Teenage Works ),45306,14454.54
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Services - Professional Fees,Civica,45373,14441
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Riddle´s Accommodation Bureau Ltd t/a 247hotel.com,45302,14403.33
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,VoiceAbility Advocacy,45301,14400
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,VoiceAbility Advocacy,45301,14400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,14400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,14400
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Spare Parts,Fleet Factors Ltd,45334,14398
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45308,14395
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Meadows Care Limited,45322,14385
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Programme Spend,Michael Page International,45362,14375
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Spare Parts,Fleet Factors Ltd,45308,14362.59
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,WSP UK Ltd,45362,14307.76
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Fees - Agency,Bloom Procurement Services Ltd,45370,14305.76
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Acorn Care & Education SSC Limited (Belmont School),45306,14272.51
People,Children´s Services,Children´s Social Care,Children´s Services Intergration,Services - Professional Fees,Tile Hill Interim & Executive Ltd,45320,14250
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Transportation Direct Ltd,45309,14210.87
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Broadway Day Nursery Ltd,45349,14189.17
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Beal Vale Primary School,45303,14176
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Lifetime Opportunities Ltd,45344,14163.6
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Lifetime Opportunities Ltd,45344,14163.6
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Lifetime Opportunities Ltd,45364,14163.6
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Lifetime Opportunities Ltd,45364,14163.6
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45322,14110.17
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45342,14110.17
People,Community Health and Adult Social Care,Commissioning,Commissioning,Occupational Therapy Service,Northern Care Alliance NHS Foundation Trust,45363,14110.17
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Kenmac Associates Ltd,45355,14100
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Structec (NW) Ltd,45359,14092.86
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Legal Expenses,Weightmans LLP,45364,14089
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45358,14069
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Agrovista UK Ltd,45356,14012
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45313,14000
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45295,14000
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Pennine Social Care Ltd,45307,13988.46
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,AI Digital Limited,45362,13965
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Riddle´s Accommodation Bureau Ltd t/a 247hotel.com,45295,13950.83
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Penna PLC,45358,13950
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Swan Meadow Cottage Private Day Nursery,45349,13893.66
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45324,13877
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Timeout Children´s Homes Ltd,45334,13846.15
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Simon House Nursery and Pre-School,45349,13839.29
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Connect Cars UK Ltd,45357,13836
Place,Economy,Economy,Estates,Maintenance Contracts,Corlett Electrical Engineering Co (1981) Ltd,45335,13816.93
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Programme Spend,Michael Page International,45345,13800
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Edstart Specialist Education Limited,45320,13800
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Edstart Specialist Education Limited,45320,13800
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45324,13785
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Cathmor Limited,45364,13742.81
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Services - Payments To Contractors,Positive Steps Oldham,45365,13650
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,Hendham Hotels Ltd T/A Hendham House Hotel,45337,13636
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Inspire Children’s Services Limited,45320,13619.54
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Inspire Children’s Services Limited,45337,13619.54
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Inspire Children’s Services Limited,45373,13619.54
People,Children´s Services,Children´s Social Care,Children in Care,Parent and Baby Assessment Placement,Progressive Care Ltd,45329,13617.86
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Acorn Care & Education SSC Limited (Belmont School),45306,13537.26
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Vaisala Ltd,45376,13528.41
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Publications,Orange Tree Digital Ltd,45366,13500
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Blessed John Henry Newman RC College,45370,13499
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Penna PLC,45323,13485
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,St Hughs CE Primary School,45302,13484.89
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,E Smith & Son,45317,13475
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45336,13441.2
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Kids Planet Day Nurseries Ltd,45349,13384.48
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,E Smith & Son,45324,13350.89
Place,Environmental Services,Environmental Services,Street Lighting,Services - Professional Fees,4 Way Consulting Ltd,45376,13329.25
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,AI Digital Limited,45307,13300
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,WJS Construction Ltd,45324,13280
People,Children´s Services,Children´s Social Care,Children in Care,Parent and Baby Assessment Placement,Progressive Care Ltd,45356,13267.86
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Acorn Care & Education SSC Limited (Belmont School),45344,13257.97
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,J D Construction,45320,13232
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Fees And Expenses Independent Schools,Tree Of Life Educational and Holistic Services CIC,45320,13200
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45321,13020.18
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Penna PLC,45323,13020
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Penna PLC,45378,13020
People,Children´s Services,Children´s Social Care,Children in Care,Parent and Baby Assessment Placement,Progressive Care Ltd,45308,13007.14
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Structec (NW) Ltd,45373,13000.17
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Educational Curriculum Equipment,Halle Concerts Society,45336,13000
People,Children´s Services,Children´s Social Care,Children in Care,Services - Professional Fees,Sports Works (Greater Manchester) Ltd,45309,13000
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45316,12950
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,G & A Taylor Hotels Ltd,45376,12945
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Raise the Youth Foundation C.I.C.,45294,12943.36
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,TNP Ltd,45324,12927
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Spare Parts,Fleet Factors Ltd,45302,12915.38
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Cars Ltd,45369,12900
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,St Matthews Playgroup,45349,12892.66
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Services - Professional Fees,Oldham Community Leisure Ltd,45294,12845.69
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,G & A Taylor Hotels Ltd,45369,12840
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Booktrust,45344,12838.25
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,A-Star Kids Ltd,45349,12771.82
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45294,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45306,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45329,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45331,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45336,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45345,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45355,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45358,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45363,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45371,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45373,12768
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45376,12768
Place,Economy,Economy,Strategic Housing,Services - Professional Fees,Riddle´s Accommodation Bureau Ltd t/a 247hotel.com,45295,12745.83
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Inspire Children’s Services Limited,45371,12740.86
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Xoom X Ltd,45364,12642
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Skyline Cars Ltd,45334,12635
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,12600
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,12600
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,12600
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,12600
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Ambrose Nursery Ltd,45349,12527.52
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Acorn Care & Education SSC Limited (Belmont School),45306,12526.07
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45356,12520
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Swan Meadow Private Day Nursery Ltd,45349,12514.2
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,North Chadderton School,45363,12500
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Bloom Procurement Services Ltd,45294,12500
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Individual Pathways Limited,45293,12480
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Individual Pathways Limited,45320,12480
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Individual Pathways Limited,45343,12480
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Thomasson Memorial School,45337,12469
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,The Together Trust,45376,12388.88
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,The Together Trust,45376,12388.88
People,Community Health and Adult Social Care,Director Adult Social Care,Director Adult Social Care,Services - Payments To Contractors,My Happy Mind Ltd,45306,12375
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Connect Cars UK Ltd,45357,12351
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Saddleworth Plant Hire Ltd (SPH Ltd),45373,12350
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Timeout Children´s Homes Ltd,45343,12307.69
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Safe Hands Care and Support Services Limited,45349,12262.91
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Panda Pre School Group,45349,12256.47
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,St Chads CE Primary School,45303,12251
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Wessex Lift Co Ltd,45348,12231
People,Community Health and Adult Social Care,Commissioning,Commissioning,Payments To Carers/Volunteers/Providers,MioCare Services Ltd,45335,12212.78
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Connor Ltd,45308,12200.18
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Safe Hands Care and Support Services Limited,45320,12199.28
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Safe Hands Care and Support Services Limited,45331,12199.28
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Safe Hands Care and Support Services Limited,45331,12199.28
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Safe Hands Care and Support Services Limited,45331,12199.28
People,Children´s Services,Children´s Social Care,Children´s Services Intergration,Services - Professional Fees,Thrive Economics,45358,12155
Place,Environmental Services,Environmental Services,Highways,Services - Professional Fees,Co-op Academy Failsworth,45372,12150
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,St Thomas Moorside School Fund,45365,12079.66
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,G & A Taylor Hotels Ltd,45364,12060
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Blackshaw Lane Academy,45377,12032
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Aire Logic Ltd,45327,12000
Corporate Services,Corporate Services,Strategy and Performance,Strategy and Performance,Services - Professional Fees,University of Hull,45351,12000
Corporate Services,Corporate Services,Legal Services,Elections,Subscriptions,Civica Uk Ltd,45322,11979.16
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,GMIS (Greater Manchester Independent School)(Teenage Works ),45302,11965.92
People,Children´s Services,Children´s Social Care,Children in Care,Secure - Welfare,Clare Lodge,45337,11900
People,Children´s Services,Children´s Social Care,Children in Care,Parent and Baby Assessment Placement,Progressive Care Ltd,45329,11846.43
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Maintenance Agreements,Dell Corporation Ltd,45345,11822.21
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45329,11816.57
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Services - Payments To Contractors,Civica,45371,11816
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Oldham Community Football Academy,45351,11814
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Safe Hands Care and Support Services Limited,45331,11805.75
Place,Youth & Communities,Youth Services Client,Youth Services Client,Services - Payments To Contractors,D Hughes Demolition & Excavation Ltd,45345,11800
Place,Environmental Services,Environmental Services,Waste Management Service,Tools And Equipment,IPL Plastics (UK),45350,11790
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Oasis Academy Limeside,45349,11764.5
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Rhodes & Sons Construction Ltd,45329,11723.55
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Shine A Light Day Nursery Ltd,45349,11701.8
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Professional Fees,Human Engine Ltd,45313,11666
People,Children´s Services,Schools,Schools,Additional grant for Schools,St Thomas Werneth,45376,11658
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45356,11650
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,The Together Trust,45331,11648.14
Place,Environmental Services,Environmental Services,Waste Management Service,Tools And Equipment,IPL Plastics (UK),45328,11640
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Xoom X Ltd,45358,11585.98
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45313,11550
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Services - Professional Fees,4C Strategies,45336,11550
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Building Design Partnership Ltd,45334,11507.58
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Building Design Partnership Ltd,45372,11507.58
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Building Design Partnership Ltd,45371,11507.58
People,Children´s Services,Children´s Social Care,Children in Care,Parent and Baby Assessment Placement,Progressive Care Ltd,45308,11464.29
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Oldham Community Leisure Ltd,45356,11400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,11400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,11400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,11400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,11400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,11400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,11400
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Safe Start School Ltd,45337,11400
People,Children´s Services,Children´s Social Care,Children in Care,Parent and Baby Assessment Placement,Progressive Care Ltd,45329,11393.58
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Holyrood Nursery,45349,11328.9
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Appledore Private Day Nursery Ltd,45349,11293.42
Place,Economy,Economy,Estates,Premises Service Charges,The Regenda Group,45322,11292.2
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,G & A Taylor Hotels Ltd,45358,11280
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Howarth Housing Group Ltd,45308,11223
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Bloom Procurement Services Ltd,45369,11188.28
Place,Environmental Services,Environmental Services,Public Protection,Operational Materials,Manchester Boarding Kennels Ltd,45376,11131.59
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Electricity,EDF Energy Ltd,45341,11082.85
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,POINT Parents of Oldham in Touch,45329,11080
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Bloom Procurement Services Ltd,45348,11062
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,WSP UK Ltd,45344,11040
Place,Economy,Economy,Strategic Housing,Hotel Accommodation,G & A Taylor Hotels Ltd,45364,11040
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Maintenance - Contract,Dennis Eagle Ltd,45363,11028.06
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,GMIS (Greater Manchester Independent School)(Teenage Works ),45302,11027.7
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,J D Construction,45364,11000
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Edstart Specialist Education Limited,45294,11000
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Edstart Specialist Education Limited,45320,11000
Place,Economy,Economy,Creating a Better Place,Services - Professional Fees,Thrive Economics,45351,10950
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Structec (NW) Ltd,45322,10934.67
Place,Economy,Economy,Strategic Housing,Nightly Provision Accommodation,Howarth Housing Group Ltd,45371,10922
Corporate Services,Corporate Services,Commissioning and Procurement,Commissioning and Procurement,Services - Professional Fees,Oxygen Finance Ltd,45357,10894.49
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45344,10850
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Agency Staff,Reed Specialist Recruitment Limited,45344,10850
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,AGT Service,45334,10800
Corporate Services,Corporate Services,Capital - IT,Capital - IT,IT Consultancy,AGT Service,45337,10800
Place,Youth & Communities,Community Services,Community Safety,Services - Professional Fees,Stuart Angus Associates,45348,10775
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Comms - Telephone Rental,British Telecommunications PLC,45359,10772.16
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Diggle Day Nursery & Education Centre Ltd,45349,10753.05
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45294,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45306,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45308,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45309,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45320,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45322,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45330,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45336,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45344,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45355,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45358,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45363,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45371,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45372,10752
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Polarity Care,45376,10752
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Saddleworth Stars Nursery,45349,10740.9
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Parent-Infant Relationship & Perinatal Mental Health,Brazelton Centre UK CIO,45376,10740
Place,Economy,Economy,Estates,Maintenance Contracts,Corlett Electrical Engineering Co (1981) Ltd,45362,10718.6
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Edstart Specialist Education Limited,45313,10700
