SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period April 2023,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
ACCOMPLISH GROUP,560.00,07/04/2023,TA01,H2000,Adult Social Care,Corporate Appointeeship - Protection of Property Accounts
Accomplish Group Lifestyles Ltd,"-6,256.41",26/04/2023,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,589.12,26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,670.40,26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,671.05,26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,671.05,26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,671.05,26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,671.05,26/04/2023,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living
Accomplish Group Lifestyles Ltd,736.40,26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,736.40,26/04/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,736.40,26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,773.22,26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,006.60",26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,006.60",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,006.60",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,057.37",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,104.60",26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,472.80",26/04/2023,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,509.90",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,546.44",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,546.44",26/04/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,546.44",26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"1,546.44",26/04/2023,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living
Accomplish Group Lifestyles Ltd,"1,841.00",26/04/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"1,914.64",26/04/2023,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"2,011.20",26/04/2023,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"2,011.20",26/04/2023,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living
