SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period July 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
ICare GB Ltd,503.53,15/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
CARAH Care,503.53,11/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Care Connect,503.53,16/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Randstad Solutions Ltd,505,17/07/2024,EE97,R2501,Education Excellence,Pupil Premium Grant - Looked After Children - Bought In Professional Services-Curriculum
Flowbird Smart City UK Ltd,505.15,15/07/2024,BC16,R2941,Highways and Public Protection,Car Parks-Other - Bank Charges
British Telecom Plc,505.32,22/05/2024,SS06,R2613,Operational In-House Services,CCTV/Control Room/Patrol - Landline Telephones (Excluding Arvato)
Lifeways I L A,505.68,18/07/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Logistics uk,506.1,02/07/2024,SV01,R3031,Operational In-House Services,Admin Account - Vehicles - Repairs And Maintenance
Supplier Name Redacted,508.34,01/07/2024,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
Supplier Name Redacted,509,22/07/2024,SL63,R2268,Operational In-House Services,Crematorium - Scarisbrick - Book Of Remembrance Expenses
Care Connect,509.39,16/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
MHR International UK Ltd,509.49,24/05/2024,GF19,R2470,Corporate Resources,THR & Payroll Team - Consultancy and Professional Services
Supplier Name Redacted,510,28/06/2024,HL22,R2487,Communities,Creative Transitions Project - Other Hired Services - Bands/Artist
Early Learners Nursery Limited,510,06/06/2024,YS28,R2116,Children's Social Care,Locality South - Personal Needs
Right at Home Sefton,510.12,17/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Supplier Name Redacted,512,19/07/2024,BH07,R1271,Highways and Public Protection,Public Footways - Highways Management Works
Osborne Delta (Lightning Conductors) Ltd,513,28/06/2024,BA05,R1001,Property and Building Services,Eco Centre - Repair & Mtce Of Land & Buildings
Care Connect,513.68,16/07/2024,AN10,R4051,Adult Social Care,Mental Health Support - Older People 65+ - Domiciliary Care
Hilton Cabinet Company Ltd,514.95,22/07/2024,SL63,R2268,Operational In-House Services,Crematorium - Scarisbrick - Book Of Remembrance Expenses
Heron Building Contractors,515,25/07/2024,AE15,R2052,Adult Social Care,"Adaptations - Aids, Appliances And Adaptations"
Apollo Care Liverpool,515.24,15/07/2024,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
ICare GB Ltd,515.24,15/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
ICare GB Ltd,515.24,01/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
CRG Homecare Ltd,515.24,12/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
 Yes Care,515.24,16/07/2024,AL05,R4051,Adult Social Care,Learning Disability Support -Adults 18-64 - Domiciliary Care
 Yes Care,515.24,16/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Care Confidence Ltd,515.24,11/07/2024,AN05,R4051,Adult Social Care,Mental Health Support - Adults 18-64 - Domiciliary Care
Ornate Healthcare,515.24,17/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Outreach (Sefton) Ltd,515.24,13/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Local Solutions,515.24,15/07/2024,AP05,R4051,Adult Social Care,Physical Support - Adults 18-64 - Domiciliary Care
Warrencare Ltd,515.24,12/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Supplier Name Redacted,516.9,18/07/2024,SL80,R2438,Corporate Resources,Coroners - Fees - Pathologists
Warrencare Ltd,517.1,12/07/2024,AP10,R4051,Adult Social Care,Physical Support - Older People 65+ - Domiciliary Care
Warrencare Ltd,517.44,18/07/2024,AL05,R4054,Adult Social Care,Learning Disability Support -Adults 18-64 - Community Support
Autism Initiatives,519.44,18/07/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Lightmax Ltd,520,01/07/2024,BT19,R2498,Economic Growth and Housing,Bootle Canalside - Major Events
Thrive Education Group Liverpool Ltd,520,24/07/2024,EE97,R2501,Education Excellence,Pupil Premium Grant - Looked After Children - Bought In Professional Services-Curriculum
Thrive Education Group Liverpool Ltd,520,09/07/2024,EE97,R2501,Education Excellence,Pupil Premium Grant - Looked After Children - Bought In Professional Services-Curriculum
Thrive Education Group Liverpool Ltd,520,03/07/2024,EE97,R2501,Education Excellence,Pupil Premium Grant - Looked After Children - Bought In Professional Services-Curriculum
Thrive Education Group Liverpool Ltd,520,16/07/2024,EE97,R2501,Education Excellence,Pupil Premium Grant - Looked After Children - Bought In Professional Services-Curriculum
County Homes,520,18/07/2024,AN05,R4042,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Nursing Ho
Smirthwaite Ltd,520,28/06/2024,YS81,R2052,Children's Social Care,"Childrens Special Equipment - Aids, Appliances And Adaptations"
Roller Shutter Services Ltd,520,16/07/2024,AE05,R1711,Adult Social Care,Sefton Joint Community Equipment Service - Fixtures & Fittings
Aspirations Care Ltd,520.13,18/07/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Aspirations Care Ltd,520.13,18/07/2024,AN10,R4043,Adult Social Care,Mental Health Support - Older People 65+ - Supported Living
Radfield Home Care Liverpool North,520.25,19/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Supplier Name Redacted,520.28,18/07/2024,TB02,H0101,Operational In-House Services,Stock / Stock Adjustment Account - Stock - Hawthorne Road Depot - Vehicle Maintenance
Yorkshire Purchasing Organisation,520.64,23/07/2024,YE28,R2225,Children's Social Care,"Supporting Families Programme - Printing, Stationery & General Office Expenses"
CRG Homecare Ltd,521.1,12/07/2024,AP10,R4059,Adult Social Care,Physical Support - Older People 65+ - Re-Enablement
Alarm Supplies Scotland Ltd,522.81,09/07/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
Cic,523.6,18/07/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
