,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","190,754.38","190,754.38"
23/10/2023,"BUILDING MATERIALS, LUMBER STORES",BARRYS SKIP HIRE LIMIT,181.20,,
23/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,38.00,,
23/10/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,38.00,,
25/10/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,373.95,,
29/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,43.98,,
31/10/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,98.95,,
31/10/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,69.95,,
31/10/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,32.95,,
31/10/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,275.00,,
31/10/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,29.95,,
31/10/2023,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",EMMAUS MERSEYSIDE,270.00,,
02/11/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,-3.95,,
02/11/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,-95.00,,
02/11/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,125.95,,
02/11/2023,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",BARRY S SKIP HIRE,235.20,,
02/11/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,11.00,,
02/11/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,53.60,,
02/11/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,236.95,,
03/11/2023,VARIETY STORES,PAYPAL ARGOSDIRECT,201.95,,
03/11/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,28.00,,
03/11/2023,VARIETY STORES,PAYPAL ARGOSDIRECT,90.00,,
06/11/2023,"PUBLIC WAREHOUSING-FARM, REFRIG GOODS, HHG STORAGE",ARMADILLO - LIVERPOOL,325.60,,
07/11/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,-38.00,,
