Detail Spend Analysis by Account ,,,
,,,
,,,
15/03/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,72.67
21/03/2023,DEPARTMENT STORES,WWW.ARGOS.CO.UK,13.5
03/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,33
10/01/2023,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,33
13/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,205
19/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,22
19/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,35
23/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,567.34
23/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.MONEYCLAIM.GOV,455
24/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,COMPANIESHOUSE CHS - G,-15
24/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,COMPANIESHOUSE CHS - G,15
24/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,COMPANIESHOUSE CHS - G,15
26/01/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,35
09/02/2023,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,-11
09/02/2023,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,11
16/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,11
16/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,LIVERPOOL CITY COUNCIL,11
