,,,,,
Detail Spend Analysis by Account ,,,,,
,,,,,
,,,,,
"
Transaction
Date","

Merchant Category Name","

Merchant","
Transaction
Amount","194,654.58","194,654.58"
19/03/2024,TRAVEL AGENCIES AND TOUR OPERATORS,BKG HOTEL AT BOOKING.C,46.90,,
08/01/2024,TRAVELODGE,TRAVELODGE,25.48,,
16/01/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,999.00,,
16/01/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,277.00,,
16/01/2024,TRAVELODGE,TRAVELODGE,271.25,,
16/01/2024,TRAVELODGE,TRAVELODGE,290.62,,
18/01/2024,TRAVELODGE,TRAVELODGE,158.04,,
18/01/2024,TRAVELODGE,TRAVELODGE,173.34,,
18/01/2024,TRAVELODGE,TRAVELODGE,273.30,,
19/01/2024,TRAVELODGE,TRAVELODGE,305.92,,
22/01/2024,TRAVELODGE,TRAVELODGE,40.78,,
22/01/2024,TRAVELODGE,TRAVELODGE,93.81,,
22/01/2024,TRAVELODGE,TRAVELODGE,350.79,,
22/01/2024,TRAVELODGE,TRAVELODGE,40.78,,
23/01/2024,TRAVELODGE,TRAVELODGE,275.32,,
23/01/2024,TRAVELODGE,TRAVELODGE,483.40,,
23/01/2024,TRAVELODGE,TRAVELODGE,488.50,,
23/01/2024,TRAVELODGE,TRAVELODGE,294.70,,
23/01/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,999.00,,
23/01/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,276.00,,
25/01/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
25/01/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
25/01/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
05/02/2024,PREMIER INN,PREMIER INN,58.00,,
05/02/2024,TRAVELODGE,TRAVELODGE,33.01,,
06/02/2024,TRAVELODGE,TRAVELODGE,82.00,,
06/02/2024,PREMIER INN,PREMIER INN,67.00,,
06/02/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,276.00,,
12/02/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
12/02/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
12/02/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
12/02/2024,TRAVELODGE,TRAVELODGE,331.95,,
12/02/2024,TRAVELODGE,TRAVELODGE,331.95,,
12/02/2024,TRAVELODGE,TRAVELODGE,331.95,,
12/02/2024,TRAVELODGE,TRAVELODGE,483.95,,
20/02/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,765.00,,
27/02/2024,TRAVELODGE,TRAVELODGE,462.95,,
27/02/2024,TRAVELODGE,TRAVELODGE,618.95,,
27/02/2024,TRAVELODGE,TRAVELODGE,384.95,,
27/02/2024,TRAVELODGE,TRAVELODGE,314.95,,
27/02/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,765.00,,
28/02/2024,PREMIER INN,PREMIER INN,506.00,,
29/02/2024,TRAVELODGE,TRAVELODGE,262.98,,
05/03/2024,TRAVELODGE,TRAVELODGE,461.95,,
07/03/2024,TRAVELODGE,TRAVELODGE,319.97,,
07/03/2024,TRAVELODGE,TRAVELODGE,293.97,,
07/03/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
07/03/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
07/03/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",THE PICTURE HOUSE APAR,900.00,,
18/03/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",TEQUILA,510.00,,
18/03/2024,TRAVELODGE,TRAVELODGE,282.99,,
19/03/2024,TRAVELODGE,TRAVELODGE,505.95,,
19/03/2024,TRAVELODGE,TRAVELODGE,310.95,,
19/03/2024,TRAVELODGE,TRAVELODGE,377.95,,
21/03/2024,TRAVELODGE,TRAVELODGE,250.97,,
21/03/2024,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Hotel at Booking.com,419.63,,
07/03/2024,DEPARTMENT STORES,WWW.ARGOS.CO.UK,864.95,,
24/01/2024,FAST FOOD RESTAURANTS,WWW.PIZZAHUT.CO.UK,41.99,,
07/02/2024,FAST FOOD RESTAURANTS,WWW.PIZZAHUT.CO.UK,31.99,,
06/03/2024,FAST FOOD RESTAURANTS,WWW.PIZZAHUT.CO.UK,41.99,,
20/03/2024,FAST FOOD RESTAURANTS,WWW.PIZZAHUT.CO.UK,41.99,,
20/02/2024,PHOTOGRAPHIC STUDIOS,CANVA I04065-30848840,99.99,,
26/03/2024,DEPARTMENT STORES,High Street Vouchers,806.25,,
26/03/2024,DEPARTMENT STORES,High Street Vouchers,806.25,,
28/03/2024,"EATING PLACES, RESTAURANTS",TOBY CARVERY AINTR,26.84,,
