SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period August 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Abbegale Lodge (2006) Li,"-2,495.55",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,567.17,15/08/2024,Mental Health Support - Adults 18-64,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Older People 65+,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Adults 18-64,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Adults 18-64,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Older People 65+,R4045,Adult Social Care,Physical Support - Older People 65+ - Residential - Short Term
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Adults 18-64,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Adults 18-64,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,807.24",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"3,176.16",15/08/2024,Mental Health Support - Older People 65+,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
