SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-�500 for period April 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Abbeyfield North Mersey,"2,993.84",25/04/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,993.84",25/04/2024,AP10,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
ABC Design & Communications Ltd,920,19/04/2024,SG66,R2470,Operational In-House Services,Botanic Gardens NLHF - Consultancy and Professional Services
ABL Health Ltd,"52,185.42",01/04/2024,PH30,R4341,Health and Wellbeing,IWS- Smoking & Tobacco - Payments To NHS- General
Abzorb Group,"1,852.50",09/04/2024,YE28,R2655,Children's Social Care,Supporting Families Programme - Computer Costs
Accomplish Group Lifestyles Ltd,516.12,25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,516.12,25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,688.16,25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,692.58,25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,692.58,25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,692.58,25/04/2024,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living
Accomplish Group Lifestyles Ltd,692.58,25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,692.58,25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
