Organisation name,Effective date,Cost Centre,Supplier (Beneficiary) details,Payment date,Transaction number,Net Amount,Purpose of spend
Somerset Council,2023-09-30 00:00:00,EOTAS,Burley Inclusive Ltd,2023-05-22 00:00:00,SC01-000011019|7126|S0042475|5639216565,2739.98,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Ind & NM Schs-Code of Practice,The Happy Learning Centre Ltd,2023-05-22 00:00:00,SC01-000011021|7131|S0014992|5639216566,12430,TPP Other - Non-Maintained School Fees
Somerset Council,2023-09-30 00:00:00,Residential Placements,Durham County Council,2023-05-22 00:00:00,SC01-000011058|7174|S0001830|5639294868,10440,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,Unaccompanied Asylum Seekers Children,Empower Outreach Limited,2023-05-22 00:00:00,SC01-000011073|7197|S0014304|5638653175,9000,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,Unaccompanied Asylum Seekers Children,Empower Outreach Limited,2023-05-22 00:00:00,SC01-000011074|7198|S0014304|5638653175,6400,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,Semi Independent 16/17,Empower Outreach Limited,2023-05-22 00:00:00,SC01-000011075|7200|S0014304|5638653175,5000,TPP Other - Purchased Services - Personal Care
Somerset Council,2023-09-30 00:00:00,South Petherton Infants School,Figs Catering Ltd,2023-05-22 00:00:00,SC01-000011118|SC-ISC-100005524|S0009429|5638363158,842.4,Catering - Contract Catering
Somerset Council,2023-09-30 00:00:00,Knights Templar Primary School,Edwards and Ward Limited,2023-05-22 00:00:00,SC01-000011120|SC-ISC-100005527|S0007199|5638653991,3678.53,Catering - Contract Catering
Somerset Council,2023-09-30 00:00:00,Knights Templar Primary School,WATER2BUSINESS,2023-05-22 00:00:00,SC01-000011120|SC-ISC-100005529|S0039175|5639091109,1782.3,Water - Water Charges / Sewer
Somerset Council,2023-09-30 00:00:00,Greenfylde Primary School,WATER2BUSINESS,2023-05-22 00:00:00,SC01-000011123|SC-ISC-100005536|S0039175|5639091109,862.72,Water - Water Charges / Sewer
Somerset Council,2023-09-30 00:00:00,Taunton Bishop Henderson Sch,AIS Contract Cleaners Ltd,2023-05-22 00:00:00,SC01-000011136|SC-ISC-100005549|S0039622|5638653985,1005,Salaries - Temp Cover - Caretakers/Cleaners/Maintenance
Somerset Council,2023-09-30 00:00:00,Taunton Bishop Henderson Sch,Edwards and Ward Limited,2023-05-22 00:00:00,SC01-000011136|SC-ISC-100005555|S0007199|5638653991,5329.18,Catering - Catering
Somerset Council,2023-09-30 00:00:00,South Petherton Infants School,PHS Group Ltd,2023-05-22 00:00:00,SC01-000011139|SC-ISC-100005568|S0001448|5638654004,801.13,Sup & Serv Oth - Health & Safety Costs
Somerset Council,2023-09-30 00:00:00,Bruton Primary School,Lavender Country Kitchen Ltd,2023-05-22 00:00:00,SC01-000011281|SC-ISC-100005641|S0013576|5638668491,1536.1,Catering - Contract Catering
Somerset Council,2023-09-30 00:00:00,Bruton Primary School,SPORTING WORLD,2023-05-22 00:00:00,SC01-000011281|SC-ISC-100005643|S0003538|5638668493,534,Subscriptions - Learning Resources
Somerset Council,2023-09-30 00:00:00,Bruton Primary School,SPORTING WORLD,2023-05-22 00:00:00,SC01-000011281|SC-ISC-100005645|S0003538|5638668493,516,Subscriptions - Learning Resources
