Month,Supplier,Account Code,Transaction Ref,£
May,FRANCOTYP-POSTALIA LTD - POSTBASE,Postage Costs,AAAplkAAFAADKuqAAD,3000
May,Fuchs Lubricants UK (PLC),Vehicle Maintenance,AAAplkAAFAADK1WAAN,592.45
May,FWP PLUMBERS NOTTINGHAM LTD,Reactive Building Works,AAAplkAAFAADFLZAAD,954.46
May,Gallagher Basset International Ltd,Insurance Claims Provision,AAAplkAAFAADKvUAAf,4822.01
May,GALLAGHER BASSETT - FEES,Vehicle Insurance,AAAplkAAFAADFMJAAV,4538.4
May,GALLAGHER BASSETT - FEES,Vehicle Insurance,AAAplkAAFAADFMJAAW,37820
May,GALLAGHER BASSETT - FEES,Vehicle Insurance,AAAplkAAFAADFMJAAS,800384
May,GALLAGHER BASSETT - FEES,Vehicle Insurance,AAAplkAAFAADFMJAAT,96046.08
May,GALLAGHER BASSETT - FEES,Property Related Insurance,AAAplkAAFAADFMJAAY,763.2
May,GALLAGHER BASSETT - FEES,Property Related Insurance,AAAplkAAFAADFMJAAZ,6410
May,GALLAGHER BASSETT - FEES,Combined Liability,AAAplkAAFAADFIoAAg,1420.92
May,GALLAGHER BASSETT - FEES,Combined Liability,AAAplkAAFAADFIoAAa,129840
May,GALLAGHER BASSETT - FEES,Combined Liability,AAAplkAAFAADFIoAAB,1082000
May,GALLAGHER BASSETT - FEES,Combined Liability,AAAplkAAFAADFIoAAD,2834.4
May,GALLAGHER BASSETT - FEES,Combined Liability,AAAplkAAFAADFIoAAE,23620
May,GALLAGHER BASSETT - FEES,Combined Liability,AAAplkAAFAADFIoAAH,11841
May,GALLAGHER BASSETT - FEES,Insurance Personal Accident,AAAplkAAFAADFMJAAQ,669.74
May,GALLAGHER BASSETT - FEES,Libel & Slander Insurance,AAAplkAAFAADFMJAAK,500
May,GALLAGHER BASSETT - FEES,Libel & Slander Insurance,AAAplkAAFAADFMJAAL,2153
May,GALLAGHER BASSETT - FEES,Libel & Slander Insurance,AAAplkAAFAADFMJAAM,17944.28
May,GALLAGHER BASSETT - INT TAMWOR,Brokers & Claim Handling Fees,AAAplkAAMAACdIGAAe,3574
May,GARMENTEC GROUP LTD,Uniform,AAAplkAAFAADKuJAAQ,644.25
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAG,14000
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAH,10000
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAB,1000
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAD,22222.42
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAC,10000
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAA,1000
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAE,1000.73
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAF,1000
May,Gelder Ltd,Condition Survey Works,AAAplkAAFAADKxrAAI,4000
May,GMK LTD,Uniform,AAAplkAAFAADFMRAAD,1364.8
May,GMK LTD,Uniform,AAAplkAAFAADFMRAAE,4676.88
May,GOODYEAR TYRES UK,Vehicle Tyres,AAAplkAAFAADFH4AAQ,21525.16
May,GOODYEAR TYRES UK,Vehicle Tyres,AAAplkAAFAADFIgAAe,19478.21
May,GRANT THORNTON UK LLP,External Audit Fee,AAAplkAAFAADFROAAW,24454
May,GRANT THORNTON UK LLP,External Audit Fee,AAAplkAAFAADFROAAZ,11994
