PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT),
01/03/2024,Allen Lane Limited,"FINANCIAL STRATEGY, PLANNING AND COMMERCIAL",HEADS OF FINANCE,PROFESSIONAL SERVICES ,6525,
01/03/2024,Allied Care Services Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,6478.2,
01/03/2024,Allied Care Services Ltd,LEARNING DISABILITY SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL CARE INCOME,5380.18,
01/03/2024,Allied Publicity Services (Manchester) Limited t/a APS Group,CONCESSIONARY FARES: DISABLED,REVENUES AND BENEFITS,ICT MANTENANCE & SUPPORT COSTS,982.62,
01/03/2024,Alphatrack Systems Ltd,DOOR ENTRY,CAPITAL,ASSETS UNDER CONSTRUCTION COST,14673.92,
01/03/2024,Alphatrack Systems Ltd,DOOR ENTRY,CAPITAL,ASSETS UNDER CONSTRUCTION COST,624.86,
01/03/2024,Alphatrack Systems Ltd,DOOR ENTRY,CAPITAL,ASSETS UNDER CONSTRUCTION COST,-2488.92,
01/03/2024,Alphatrack Systems Ltd,DOOR ENTRY,CAPITAL,ASSETS UNDER CONSTRUCTION COST,-2014.84,
01/03/2024,Alphatrack Systems Ltd,DOOR ENTRY,CAPITAL,ASSETS UNDER CONSTRUCTION COST,-1066.68,
01/03/2024,Amelie’s Place,OTHER CARE ARRANGEMENTS,CORPORATE PARENTING,PRIVATE CONTRACTORS PAYMENT - OTHER,750,
01/03/2024,Amelie’s Place,OTHER CARE ARRANGEMENTS,CORPORATE PARENTING,PRIVATE CONTRACTORS PAYMENT - OTHER,600,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,797,
01/03/2024,Redacted,OTHER CARE ARRANGEMENTS,CORPORATE PARENTING,SPECIAL GUARDIANSHIP PAYMENTS,442,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,950,
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,850,
