Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
20/11/2023,II,4148745,3574.3,HC115722,The Nationwide Community Learning Partnership (NCLP),202408,Education and Commissioning,Supplies & Services,No
17/11/2023,II,4148757,787.45,HC106975,Hoople Ltd,202408,Schools,Premises-Related Expenditure,No
17/11/2023,II,4148762,12027,HC118836,Llangattock School Ltd,202408,Dedicated Schools Grant,Supplies & Services,No
21/11/2023,II,4148763,20789.47,HC112391,Softcat Ltd,202408,Strategic Finance,Supplies & Services,No
20/11/2023,II,4148764,5437.26,HC127573,Diocese of Hereford Multi-Academy Trust,202408,Capital Planning Delivery Board,Capital Expenditure,No
17/11/2023,II,4148766,1500,HC128332,Ross on Wye Community Gardens,202408,Strategic Finance,Transfer Payments,No
20/11/2023,II,4148768,562,HC101667,Chaplins Limited,202408,Schools,Supplies & Services,No
21/11/2023,II,4148770,457.66,HC101556,Rethink Printing Ltd,202408,Schools,Supplies & Services,No
20/11/2023,II,4148774,2922.22,HC126791,Medical Expert Witness Alliance (MEWA) LLP,202408,Safeguarding and Family Support,Supplies & Services,No
20/11/2023,II,4148777,996.72,HC125959,Ignis Group Limited,202408,Schools,Premises-Related Expenditure,No
20/11/2023,II,4148779,2000,HC101284,Browne Jacobson LLP,202408,Strategic Assets,Supplies & Services,No
20/11/2023,II,4148780,1585.22,HC131520,Blue Sky Digital Solutions,202408,Schools,Supplies & Services,No
20/11/2023,II,4148785,1015,HC114841,Redacted,202408,Safeguarding and Family Support,Supplies & Services,No
20/11/2023,II,4148786,850,HC103857,Hereford Diocesan Board Of Finance-Ust A/C,202408,Schools,Supplies & Services,No
20/11/2023,II,4148803,4018,HC101123,Boss,202408,Schools Devolved Capital,Capital Expenditure,No
20/11/2023,II,4148810,480.96,HC132096,SITECH Support Ltd,202408,Schools,Supplies & Services,No
20/11/2023,II,4148815,1423.36,HC111508,Wigmore High School (Academy),202408,Schools,Supplies & Services,No
20/11/2023,II,4148819,3232.17,HC110117,Stagecoach Services Limited,202408,"Highways, Environment and Waste",Third Party Payments,No
22/11/2023,II,4148822,8606.4,HC108194,Octaga Security Services Ltd,202408,Strategic Assets,Third Party Payments,No
23/11/2023,II,4148823,1720,HC108194,Octaga Security Services Ltd,202408,Strategic Assets,Third Party Payments,No
22/11/2023,II,4148824,10389.8,HC108194,Octaga Security Services Ltd,202408,Strategic Assets,Third Party Payments,No
20/11/2023,II,4148825,475,HC200184,Innervation Trust Limited,202408,Schools,Support Services,No
20/11/2023,II,4148826,1600,HC200184,Innervation Trust Limited,202408,Schools,Support Services,No
20/11/2023,II,4148838,600,HC200663,Cambium Sustainable Ltd,202408,Schools,Supplies & Services,No
