Council Name,Date,TransNo,Amount £ (Excl VAT),Supplier name,Supplier Category,Expense Area,Expense Type,Expense Code
Royal Borough of Kingston,01/11/2023,90284235,"2,185.71",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284314,"-3,567.86",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284319,"2,957.14",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284529,"1,387.50",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284530,"1,387.50",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284531,"1,387.50",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284532,"1,387.50",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284533,"-2,114.29",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284534,"-2,114.29",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284535,"-2,114.29",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284536,"1,982.14",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284537,"1,982.14",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284538,"1,982.14",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,01/11/2023,90284539,"1,982.14",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Other Private Contractors - Third Party,A56080
Royal Borough of Kingston,30/11/2023,90285802,"1,671.43",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,30/11/2023,90285803,"2,185.71",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,30/11/2023,90287156,"1,800.00",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,30/11/2023,90287157,"3,857.14",LANGLEY COURT REST HOME,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284362,"3,516.60",LARCHE BOGNOR REGIS,SOCIAL SERVICES - OTHER,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284505,652.63,LARCHE BOGNOR REGIS,SOCIAL SERVICES - OTHER,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284964,865.71,LARCHE BOGNOR REGIS,SOCIAL SERVICES - OTHER,Adult Social Care & Health,Personal Budget - Third Party,A61019
Royal Borough of Kingston,17/11/2023,70059061,500.00,Latchmere Recreation,SUNDRY SUPPLIER - FINANCE,Corporate & Communities,"Grants, Contributions & Donations",A47005
Royal Borough of Kingston,14/11/2023,90281243,"2,763.00",LATCHMERE SCHOOL,SCHOOL FUNDS,Schools,Early Years Contingency,A60030
Royal Borough of Kingston,01/11/2023,90284441,"11,688.77",LD CARE LIMITED,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90284444,"11,197.84",LD CARE LIMITED,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,70057937,"9,000.00",LEARN ENGLISH AT HOME,GRANTS & EX GRATIA PAYMENTS,Adult Social Care & Health,"Grants, Contributions & Donations",A47005
Royal Borough of Kingston,01/11/2023,90284106,"5,303.83",LEONARD CHESHIRE DISABILITY,SOCIAL SERVICES - OTHER,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,31/10/2023,70058026,"8,765.00",Levitt Bernstein Associates,CONSULTING ARCHITECTS ENGINEER,Place,Buildings - Design & Planning,C14001
Royal Borough of Kingston,31/10/2023,70058257,"7,998.00",LHG Thornton Heath LTD,ACCOMMODATION BED & BREAKFAST,Place,Bed & Breakfast,A56000
