Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,17-Jul-23,51500946405,"£1,429.26",Redacted Personal Data,Children's Services,High Needs Block,Professional Fees and Hired Services
Milton Keynes City Council,14-Jul-23,51500946034,"£1,429.28",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500949338,£952.80,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,26-Jul-23,51500950648,"£1,434.12",Redacted Personal Data,Adult Services,Physical Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500949314,£952.80,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500947002,£960.00,Morgan Hunt UK Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,19-Jul-23,51500946535,"£1,435.55",Someries Infant School,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,26-Jul-23,51500939478,"£1,436.40",Baily Garner LLP,Children and Families,"Education, Effectiveness & Participation",Construction - External Professional Fees
Milton Keynes City Council,26-Jul-23,51500939481,"£1,436.40",Baily Garner LLP,Children and Families,"Education, Effectiveness & Participation",Construction - External Professional Fees
Milton Keynes City Council,26-Jul-23,51500950685,"£1,437.88",Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500949058,£970.14,Macintyre Care,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500947216,£971.28,Youth Club Pre-School,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500946383,"£1,448.04",MARS Secure Transport & Recruitment Service ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,21-Jul-23,51500947701,£973.08,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,21-Jul-23,51500949165,£986.76,Precious Homes Support Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,17-Jul-23,51500935816,"£1,453.20",Matchtech,Environment & Property,Head of Service - Highways and Transport,Agency Staff
Milton Keynes City Council,21-Jul-23,51500948797,"£1,012.32",Intrust Care Ltd,Adult Services,"Assessment, Review and Hospital Discharge",Living support grants
Milton Keynes City Council,21-Jul-23,51500948763,"£1,012.32",Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948593,"£1,012.32",Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948758,"£1,012.44",Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500947743,"£1,019.28",Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,21-Jul-23,51500948821,"£1,476.30",Vital Healthcare Services Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,14-Jul-23,51500946181,"£1,476.30",Eastview Healthcare Services Limited C/O Bibby Factors Leicester Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500947746,"£1,019.28",Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,21-Jul-23,51500948826,"£1,476.30",Vital Healthcare Services Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,14-Jul-23,51500946183,"£1,476.30",Eastview Healthcare Services Limited C/O Bibby Factors Leicester Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,14-Jul-23,51500946184,"£1,476.30",Eastview Healthcare Services Limited C/O Bibby Factors Leicester Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,14-Jul-23,51500946182,"£1,476.30",Eastview Healthcare Services Limited C/O Bibby Factors Leicester Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,26-Jul-23,51500950698,"£1,476.32",Redacted Personal Data,Adult Services,Learning Disability,Direct Payments
Milton Keynes City Council,05-Jul-23,51500940409,"£1,476.32",Redacted Personal Data,Adult Services,Physical Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500947003,"£1,020.00",Morgan Hunt UK Ltd,Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,21-Jul-23,51500948808,"£1,479.85",Vital Healthcare Services Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,21-Jul-23,51500947273,"£1,036.98",Redacted Personal Data,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500948548,"£1,493.00",Bubblefresh Limited,Adult Services,"Assessment, Review and Hospital Discharge",Cleaning and Domestic Supplies
Milton Keynes City Council,05-Jul-23,51500940413,"£1,494.00",Redacted Personal Data,Adult Services,Physical Disability,Direct Payments
Milton Keynes City Council,21-Jul-23,51500949037,"£1,037.56",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,14-Jul-23,51500946131,"£1,497.39",One Hermitage,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,10-Jul-23,51500940569,"£1,500.00",Redacted Personal Data,Chief Executive,Chief Executive,Professional Fees and Hired Services
Milton Keynes City Council,24-Jul-23,51500946840,"£1,500.00",SieveMK Gateway,Children's Services,Special Education Needs & Disabilities,Professional Fees and Hired Services
Milton Keynes City Council,24-Jul-23,51500950266,"£1,500.00",Redacted Personal Data,Customer and Community Services,Policy & Performance,Rents and Leases
Milton Keynes City Council,21-Jul-23,51500949047,"£1,054.50",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,12-Jul-23,51500944945,"£1,500.00",Redacted Personal Data,Children's Services,Corporate Parenting,Mandatory Student Awards
Milton Keynes City Council,21-Jul-23,51500947362,"£1,080.19",Redacted Personal Data,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500948867,"£1,083.04",Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948556,"£1,084.88",Autism Care UK Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500948017,"£1,085.71",Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,21-Jul-23,51500949121,"£1,087.24",Infinate Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,21-Jul-23,51500948594,"£1,096.68",Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500949042,"£1,096.68",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500947186,"£1,107.60",First Meditation Enterprise Ltd t/a Nurtureville Nursery,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500949100,"£1,111.52",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500949292,"£1,111.60",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,21-Jul-23,51500949087,"£1,138.86",Care Support MK Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,10-Jul-23,51500931702,"£1,509.60","G2 Recruitment Solutions, a division of G2v Recruitment Group",Adult Services,Homeless Prevention + Access,Agency Staff
Milton Keynes City Council,21-Jul-23,51500948912,"£1,139.52",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,21-Jul-23,51500946991,"£1,140.00",Redacted Personal Data,Law & Governance,Legal,External Legal Fees
Milton Keynes City Council,21-Jul-23,51500947281,"£1,142.05",Redacted Personal Data,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500948096,"£1,142.86",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,17-Jul-23,51500939514,"£1,517.93",Redacted Personal Data,Adult Services,"Group Head, Adult Services",Staff Training & Development
Milton Keynes City Council,21-Jul-23,51500947314,"£1,145.00",Redacted Personal Data,Children's Services,Early Years Block,Grants
Milton Keynes City Council,21-Jul-23,51500947938,"£1,150.00",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Nursing Care
