Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation ,Expense Type
Milton Keynes City Council,08-Dec-23,51501015031,£736.87,Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,08-Dec-23,51501015939,£738.15,SSA Quality Care ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015892,£738.15,Intrust Care Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015376,£738.15,Blessings Care Ltd,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501013628,£751.33,Luton Borough Council,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,08-Dec-23,51501015182,£759.24,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015191,£759.24,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015188,£759.24,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015459,£759.24,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015201,£759.24,Intrust Care Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,08-Dec-23,51501015578,£759.24,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015991,£759.24,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015420,£759.84,Autism Care UK Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501014412,£763.92,Camphill Milton Keynes Communities,Adult Services,Autism,Homecare
Milton Keynes City Council,08-Dec-23,51501014453,£763.92,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014404,£763.92,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014406,£763.92,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014405,£763.92,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501014407,£763.92,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501015071,£767.00,HC-One No 1 Limited t/a Ridgeway Lodge Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,08-Dec-23,51501015265,£773.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015733,£788.76,Infinate Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,08-Dec-23,51501015424,£788.76,Autism Care UK Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015514,£788.76,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015540,£788.76,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015532,£788.76,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015525,£788.76,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015579,£788.77,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015447,£788.80,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015452,£788.80,Camphill Milton Keynes Communities,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015449,£788.80,Camphill Milton Keynes Communities,Adult Services,Autism,Living support grants
Milton Keynes City Council,08-Dec-23,51501015437,£788.80,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015436,£788.80,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015508,£788.84,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015421,£788.84,Autism Care UK Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015554,£788.84,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015551,£788.84,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015547,£788.84,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015984,£790.88,Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501014455,£799.20,Macintyre Care,Adult Services,Learning Disability,Homecare
Milton Keynes City Council,08-Dec-23,51501015511,£801.88,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501014842,£810.09,Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,08-Dec-23,51501015434,£842.24,Camphill Milton Keynes Communities,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015275,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015271,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015269,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015268,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,08-Dec-23,51501015270,£843.60,Intrust Care Ltd,Adult Services,Learning Disability,Living support grants
