Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation,Expense Type
Milton Keynes City Council,05-Jan-24,51501028019,"£4,380.00",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501027369,"£4,386.72",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027536,"£4,386.72",Infinate Limited,Adult Services,Physical Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501028305,"£4,391.20",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028306,"£4,391.20",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028232,"£4,391.20",Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028023,"£4,391.20",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501022010,"£4,406.43",County Fostering Services Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,05-Jan-24,51501027752,"£4,428.90",Destiny International Care Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,05-Jan-24,51501027758,"£4,428.90",Destiny International Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027550,"£4,428.90",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027504,"£4,428.90",Infinate Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,05-Jan-24,51501027528,"£4,428.90",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,05-Jan-24,51501027744,"£4,429.36",Destiny International Care Ltd,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027613,"£4,493.04",NSSL Holding t/a Next Step Support Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,05-Jan-24,51501021789,"£4,500.00",Kay Pettit t/a Consultancy & Support Solutions,Customer and Community Services,Policy & Performance,Professional Fees and Hired Services
Milton Keynes City Council,05-Jan-24,51501028335,"£4,540.00",Cinnabar Support and Living Ltd Re: The Stratfords Residential Home,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,05-Jan-24,51501028262,"£4,601.52",Sanctuary Care Ltd Re: Caton House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501022011,"£4,627.86",County Fostering Services Ltd,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,05-Jan-24,51501028325,"£4,651.68",Macintyre Care,Adult Services,Learning Disability,Residential Care
