Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Individual Supplier(T)
06/02/2023,II,4110255,"5,385.00",HC131197,Llanishen Parochial Hall,202311,Highways & Transport,Supplies & Services,No
06/02/2023,II,4110256,650,HC129333,Borderlands Outdoor Instruction Ltd T/a Borderlands First Aid,202311,Highways & Transport,Supplies & Services,No
06/02/2023,II,4110257,"2,625.00",HC126125,Attenti Consulting,202311,Safeguarding and Family Support,Supplies & Services,No
07/02/2023,II,4110258,"4,379.71",HC101639,Central Roofing & Building Services Ltd,202311,Property Services,Third Party Payments,No
15/02/2023,II,4110260,"1,100.00",HC109458,S C Joseph Ltd,202311,Property Services,Third Party Payments,No
09/02/2023,II,4110262,"2,040.17",HC116496,JP Mechanical Services,202311,Property Services,Third Party Payments,No
21/02/2023,II,4110264,"5,217.92",HC101639,Central Roofing & Building Services Ltd,202311,Corporate Property Programme Board,Capital Expenditure,No
06/02/2023,II,4110271,"1,800.00",HC130837,Redacted,202311,Safeguarding and Family Support,Supplies & Services,No
06/02/2023,II,4110274,"2,019.74",HC131001,Redacted,202311,Safeguarding and Family Support,Supplies & Services,No
15/02/2023,II,4110275,"1,446.00",HC128278,Metro Rod,202311,Property Services,Third Party Payments,No
06/02/2023,II,4110276,599,HC130809,Powys Association of Voluntary Organisations,202311,Education and Commissioning,Transport-Related Expenditure,No
06/02/2023,II,4110277,550,HC107645,Redacted,202311,Schools,Employees,Yes
06/02/2023,II,4110284,"1,977.48",HC109259,CADline Ltd,202311,Property Services,Supplies & Services,No
06/02/2023,II,4110287,750,HC130898,Redacted,202311,"Finance, Legal & Governance",Supplies & Services,Yes
06/02/2023,II,4110289,500,HC130093,AWC Legal Services Ltd,202311,"Finance, Legal & Governance",Supplies & Services,No
06/02/2023,II,4110290,580,HC130093,AWC Legal Services Ltd,202311,"Finance, Legal & Governance",Supplies & Services,No
06/02/2023,II,4110291,450,HC130093,AWC Legal Services Ltd,202311,"Finance, Legal & Governance",Supplies & Services,No
08/02/2023,II,4110292,535,HC129903,Redacted,202311,"Finance, Legal & Governance",Supplies & Services,Yes
08/02/2023,II,4110293,"1,800.00",HC130981,Redacted,202311,"Finance, Legal & Governance",Supplies & Services,Yes
06/02/2023,II,4110294,"3,376.00",HC127080,Redacted,202311,"Finance, Legal & Governance",Supplies & Services,Yes
06/02/2023,II,4110295,"1,669.50",HC109259,CADline Ltd,202311,Highways & Transport,Supplies & Services,No
08/02/2023,II,4110297,"1,265.64",HC110473,Phoenix Software Ltd,202311,People & Performance,Supplies & Services,No
06/02/2023,II,4110298,"21,848.41",HC128665,Odgers Interim & Odgers Connect,202311,Central Childrens Directorate Costs,Employees,No
06/02/2023,II,4110301,"4,125.00",HC117490,Badenoch & Clark T/A Adecco,202311,Highways & Transport,Third Party Payments,No
06/02/2023,II,4110302,"2,842.80",HC117490,Badenoch & Clark T/A Adecco,202311,Care Operations,Supplies & Services,No
06/02/2023,II,4110303,442.2,HC128711,Bromyard Kidz Club,202311,Talk Community Programme,Transfer Payments,No
06/02/2023,II,4110333,622.71,HC111380,Welsh Water,202311,Schools,Premises-Related Expenditure,No
07/02/2023,II,4110334,802.5,HC125415,The Monmouth Savoy Trust,202311,Schools,Supplies & Services,No
06/02/2023,II,4110336,"1,012.78",HC127131,Bidvest Noonan,202311,Schools,Premises-Related Expenditure,No
06/02/2023,II,4110337,"1,012.78",HC127131,Bidvest Noonan,202311,Schools,Premises-Related Expenditure,No
06/02/2023,II,4110338,"1,012.78",HC127131,Bidvest Noonan,202311,Schools,Premises-Related Expenditure,No
06/02/2023,II,4110339,"1,012.78",HC127131,Bidvest Noonan,202311,Schools,Premises-Related Expenditure,No
06/02/2023,II,4110341,756.2,HC127131,Bidvest Noonan,202311,Schools,Premises-Related Expenditure,No
