Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,04/09/2024,601532830,521.4,86.9,434.5,Royal Mail Group Ltd,Resources & Transformation,Postage
Salford City Council,04/09/2024,601532846,955.22,0,955.22,Rundles Enforcement Agents,Resources & Transformation,VAT Adjustment
Salford City Council,04/09/2024,601532884,3000,0,3000,Salford City Academy,People (Childrens),Other Professional Fees
Salford City Council,04/09/2024,601532883,6000,0,6000,Salford City Academy,People (Childrens),Other Professional Fees
Salford City Council,04/09/2024,601532849,1569.82,261.64,1308.18,Salford Community Leisure Ltd,Capital Expenditure,Other Works
Salford City Council,04/09/2024,601532832,24869.24,4144.87,20724.37,T/A Cbre Ltd,Capital Expenditure,Capital Expenses
Salford City Council,04/09/2024,6003964321,587.54,0,587.54,Www.Spsdesign.Co.Uk,Resources & Transformation,Printing & Photocopying
Salford City Council,05/09/2024,6003965291,638,0,638,Ao Retail Limited,People (Childrens),Equipment Purchase
Salford City Council,05/09/2024,6003965283,2400,0,2400,Bigsam Global Logistics L,People (Adults),Removal Expenses
Salford City Council,05/09/2024,6003965281,549.46,0,549.46,Creamline Dairies Red Ban,Place,Food and refreshments
Salford City Council,05/09/2024,6003965326,559.74,93.29,466.45,Furniture Resource Centre,People (Adults),Furniture
Salford City Council,05/09/2024,6003965336,565.58,94.26,471.32,Furniture Resource Centre,People (Adults),Furniture
Salford City Council,05/09/2024,6003965330,729.36,121.56,607.8,Furniture Resource Centre,People (Adults),Furniture
Salford City Council,05/09/2024,6003965331,742.86,123.81,619.05,Furniture Resource Centre,People (Adults),Furniture
Salford City Council,05/09/2024,6003965334,1397.96,232.99,1164.97,Furniture Resource Centre,People (Adults),Furniture
Salford City Council,05/09/2024,6003965261,1867.78,0,1867.78,Hb Clark And Co Successor,Place,Food and refreshments
Salford City Council,05/09/2024,601532972,791,0,791,Liverpool University Hospital Nhs T,Public Health,Payments to Agencies
Salford City Council,05/09/2024,1600742025,960,160,800,Mindjam,People (Childrens),SEN Expenditure
Salford City Council,05/09/2024,1600740510,2363.64,0,2363.64,Navigators College,People (Childrens),Pupil Assistance
Salford City Council,05/09/2024,1600736772,-9907.92,0,-9907.92,Prospere Learning Trust,People (Childrens),Payments to Other Local Authorities
Salford City Council,05/09/2024,1600733869,21090,0,21090,Prospere Learning Trust,People (Childrens),Payments to Other Local Authorities
Salford City Council,05/09/2024,601532122,1956,326,1630,Ramboll Uk Ltd,Place,Other Professional Fees
Salford City Council,05/09/2024,601532947,540,0,540,Redacted Data,Place,Other Professional Fees
Salford City Council,05/09/2024,6003964714,603,0,603,Redacted Data,People (Childrens),Short Break-Non Disability
Salford City Council,05/09/2024,601532944,640,0,640,Redacted Data,Place,Other Professional Fees
Salford City Council,05/09/2024,601532946,860,0,860,Redacted Data,Place,Other Professional Fees
Salford City Council,05/09/2024,6003965294,599.97,0,599.97,Sq *Vsc Plus Limited,People (Childrens),Training expenses
Salford City Council,05/09/2024,1600742494,37935.6,6322.6,31613,Swan Partners Limited,Place,Other Professional Fees
Salford City Council,05/09/2024,1600742472,10000,0,10000,T/A Irwell House Artists Studios Ci,Capital Expenditure,Miscellaneous Expenses
Salford City Council,05/09/2024,601532898,1516.8,252.8,1264,Tradewind Recruitment Ltd,People (Childrens),Agency Fees
Salford City Council,05/09/2024,601532909,1321.32,0,1321.32,Vspg Housing Ltd,People (Adults),Rents
Salford City Council,05/09/2024,601532910,3091.56,0,3091.56,Vspg Housing Ltd,People (Adults),Rents
Salford City Council,05/09/2024,6003965264,668,0,668,Warrington Borough ,Place,Client Travel Expenses
Salford City Council,05/09/2024,1600742318,1260,210,1050,Wayne For Drains Ltd,Capital Expenditure,External Fees - Other
Salford City Council,05/09/2024,1600742319,1260,210,1050,Wayne For Drains Ltd,Capital Expenditure,External Fees - Other
Salford City Council,05/09/2024,1600742320,1260,210,1050,Wayne For Drains Ltd,Capital Expenditure,External Fees - Other
Salford City Council,05/09/2024,1600742470,504,84,420,Wesley Music,Place,General Resaleable Items
Salford City Council,05/09/2024,1600742468,1676.4,279.4,1397,Wesley Music,Place,General Resaleable Items
Salford City Council,05/09/2024,1600734657,-24348.85,0,-24348.85,Wigan Council,People (Childrens),Payments to Other Local Authorities
Salford City Council,05/09/2024,1600737991,22808.4,3801.4,19007,Wigan Council,Resources & Transformation,Other Professional Fees
Salford City Council,05/09/2024,1600741812,21000,0,21000,Wigan Council,People (Childrens),Payments to Other Local Authorities
Salford City Council,05/09/2024,6003965319,585.63,0,585.63,Wm Morrisons Store Pick,People (Childrens),Food and refreshments
Salford City Council,05/09/2024,601532906,960,160,800,Worldwide Teaching Limited,People (Childrens),Agency Fees
Salford City Council,06/09/2024,6003965912,868.57,0,868.57,Airbnb * Hm8Hr335Cb,People (Childrens),Staff Travel
Salford City Council,06/09/2024,1600742461,559.3,0,559.3,Alcedo Orange Limited,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,1600742458,1069.25,0,1069.25,Alcedo Orange Limited,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,1600742459,1280,0,1280,Alcedo Orange Limited,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,1600742462,1830,0,1830,Alcedo Orange Limited,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,1600742380,4850.76,808.46,4042.3,Allpay Ltd,Resources & Transformation,Bank Commission
Salford City Council,06/09/2024,601532960,840,0,840,Amas Ltd Jones Lang Lasalle,Place,Rechargeable Insurance
Salford City Council,06/09/2024,6003965815,875.24,0,875.24,Amazon* 578Pw41U5,People (Childrens),Food and refreshments
Salford City Council,06/09/2024,1600742442,1170,195,975,Andrew Jenner Ltd T/A Rcd Leaflets,Place,Marketing & Publicity
Salford City Council,06/09/2024,601533007,49208,0,49208,Arbour Academy,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,601533003,60625,0,60625,Arbour Academy,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,601533004,60625,0,60625,Arbour Academy,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,601533005,60625,0,60625,Arbour Academy,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,601533006,60625,0,60625,Arbour Academy,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600742559,4824,804,4020,Arcadis Llp,Capital Expenditure,External Fees - Other
Salford City Council,06/09/2024,1600742493,-5292.25,-882.04,-4410.21,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,06/09/2024,1600742492,-4306.82,-717.8,-3589.02,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,06/09/2024,1600742483,1544.15,257.36,1286.79,Argyle (North West) Construction Lt,Place,Materials
Salford City Council,06/09/2024,1600742490,3966.12,661.02,3305.1,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,06/09/2024,1600742482,6524.99,1087.5,5437.49,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,06/09/2024,1600742491,9533.18,1588.86,7944.32,Argyle (North West) Construction Lt,Place,Contractors
Salford City Council,06/09/2024,601532888,593.93,98.99,494.94,Arval Uk Ltd,People (Childrens),Vehicle short term Hire
Salford City Council,06/09/2024,1600742384,3000,500,2500,Bernard Taylor Partnership Limited,Capital Expenditure,Works & Building
Salford City Council,06/09/2024,1600742440,1056,176,880,Bid Group Ltd,Place,UV Minor Decoration and Flooring
Salford City Council,06/09/2024,1600742465,2823,470.5,2352.5,Bloom Procurement Services Ltd,Capital Expenditure,Miscellaneous Expenses
Salford City Council,06/09/2024,1600742163,18048,3008,15040,C L Redfern T/A Clr Electrical,Capital Expenditure,Works & Building
Salford City Council,06/09/2024,6003965513,12822.57,0,12822.57,Care Direct Salford Ltd,People (Adults),Day Care
Salford City Council,06/09/2024,1600742560,4406.43,0,4406.43,Cathmor Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,601532998,11038.46,0,11038.46,Chatsworth High School & Community,Capital Expenditure,Works & Building
Salford City Council,06/09/2024,601532999,11038.46,0,11038.46,Chatsworth High School & Community,Capital Expenditure,Works & Building
Salford City Council,06/09/2024,1600742359,2160,360,1800,Cipfa Business Ltd,Resources & Transformation,Other Professional Fees
Salford City Council,06/09/2024,1600742455,7911,0,7911,Cliffe Enterprise Ltd,Resources & Transformation,Printing & Photocopying
Salford City Council,06/09/2024,1600742438,2557.85,426.31,2131.54,Cms Cameron Mckenna Nabarro Olswang,Capital Expenditure,Other Works
Salford City Council,06/09/2024,1600742537,3600,600,3000,Concerto Support Services Ltd,Place,Consultants
Salford City Council,06/09/2024,1600742464,3375,562.5,2812.5,Counterculture Partnership Llp,Capital Expenditure,Miscellaneous Expenses
Salford City Council,06/09/2024,1600742583,59830.93,9971.82,49859.11,Cunard Construction Ltd,Capital Expenditure,Works & Building
Salford City Council,06/09/2024,1600742582,236874.34,39479.06,197395.28,Cunard Construction Ltd,Capital Expenditure,Works & Building
Salford City Council,06/09/2024,1600742112,16128,2688,13440,David Mandel And Associates Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,1600742424,1481.93,246.99,1234.94,Dick Leigh Llp,Place,Clothing & Uniforms
