Authority,Paid date,Document number,Gross,VAT,Net,Supplier,Directorate,GL description
Salford City Council,01/02/2023,1600703599,810.90,135.15,675.75,Vsc Plus Ltd,People (Childrens) Service Group,Conferences / Seminars
Salford City Council,01/02/2023,601482196,554.40,0.00,554.40,Westwood Smarties Pre-School Nurser,People (Childrens) Service Group,Payments to Private Providers
Salford City Council,01/02/2023,1600702416,5136.00,856.00,4280.00,Wilde Consultant Engineers Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/02/2023,1600702818,5136.00,856.00,4280.00,Wilde Consultant Engineers Ltd,Capital Expenditure,External Fees - Other
Salford City Council,01/02/2023,1600703578,518.40,86.40,432.00,Working Office Wonders Ltd,People (Childrens) Service Group,Other Professional Fees
Salford City Council,01/02/2023,6003645829,700.00,0.00,700.00,Zettle_*Kevin Booth Pa,People (Adults) - CHSC,Other Professional Fees
Salford City Council,01/02/2023,6003645836,980.00,0.00,980.00,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
Salford City Council,02/02/2023,1600703783,1403.75,0.00,1403.75,Adullam Homes Housing Assoc Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,02/02/2023,6003645989,561.71,24.84,536.87,Aim Rx Ltd,Public Health,Payments to Agencies
Salford City Council,02/02/2023,1600703726,594.00,99.00,495.00,Alan Franklin Builders Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,02/02/2023,1600703727,1188.00,198.00,990.00,Alan Franklin Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,02/02/2023,1600703728,2160.00,360.00,1800.00,Alan Franklin Builders Ltd,Capital Expenditure,Works & Building
Salford City Council,02/02/2023,601482455,4390.80,731.80,3659.00,Amv Playgrounds,People (Childrens) Service Group,non -UV Building Repairs & Maintenance
Salford City Council,02/02/2023,1600703681,600.00,100.00,500.00,Anchored Schools Limited,People (Childrens) Service Group,Consultants
Salford City Council,02/02/2023,1600703674,2736.00,456.00,2280.00,Apse,Place Directorate,Other Professional Fees
Salford City Council,02/02/2023,6003646876,554.00,0.00,554.00,Berkeley Scott Ltd,Place Directorate,Agency Fees
Salford City Council,02/02/2023,6003645968,1108.78,48.28,1060.50,Bowness Pharmacy (Little Hulton),Public Health,Payments to Agencies
Salford City Council,02/02/2023,601482412,540.98,11.91,529.07,Brake Bros Ltd,People (Childrens) Service Group,Food and refreshments
Salford City Council,02/02/2023,601482411,617.53,16.54,600.99,Brake Bros Ltd,People (Childrens) Service Group,Food and refreshments
Salford City Council,02/02/2023,6003646969,529.04,0.76,528.28,Brakes (Stored Cards),Place Directorate,Food and refreshments
Salford City Council,02/02/2023,6003646962,649.72,1.42,648.30,Brakes (Stored Cards),Place Directorate,Food and refreshments
Salford City Council,02/02/2023,6003646953,650.44,1.81,648.63,Brakes (Stored Cards),Place Directorate,Food and refreshments
Salford City Council,02/02/2023,6003646968,752.52,8.68,743.84,Brakes (Stored Cards),Place Directorate,Food and refreshments
Salford City Council,02/02/2023,6003646959,1747.67,54.58,1693.09,Brakes (Stored Cards),Place Directorate,Food and refreshments
Salford City Council,02/02/2023,1600703683,510.00,85.00,425.00,Child In Mind Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,02/02/2023,601482486,769.44,0.00,769.44,Clarendon Medical Practice,Public Health,Payments to Agencies
Salford City Council,02/02/2023,6003645964,770.00,0.00,770.00,Clarendon Medical Practice,Public Health,Payments to Agencies
Salford City Council,02/02/2023,601482452,2415.00,402.50,2012.50,Clyde & Co Claims Llp,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,02/02/2023,6003646804,1153.84,0.00,1153.84,Creamline Dairies Red Bank,Place Directorate,Food and refreshments
Salford City Council,02/02/2023,601482489,509.84,0.00,509.84,Dearden Avenue Medical Practice,Public Health,Payments to Agencies
Salford City Council,02/02/2023,601482459,79049.40,0.00,79049.40,Diocese Of Salford,Capital Expenditure,Works & Building
Salford City Council,02/02/2023,601482458,152779.32,0.00,152779.32,Diocese Of Salford,Capital Expenditure,Works & Building
Salford City Council,02/02/2023,601482562,193060.07,0.00,193060.07,Forhousing Ltd,People (Adults) - CHSC,Rents
Salford City Council,02/02/2023,601482463,524.70,87.45,437.25,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,02/02/2023,601482424,531.15,88.53,442.62,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,02/02/2023,601482421,565.72,94.29,471.43,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,02/02/2023,601482434,651.57,108.59,542.98,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,02/02/2023,601482485,837.96,139.66,698.30,Furniture Resource Centre Ltd,People (Adults) - CHSC,Furniture
Salford City Council,02/02/2023,6003645970,3593.18,159.32,3433.86,Georgemead Ltd T/A Cohens Chemist,Public Health,Payments to Agencies
Salford City Council,02/02/2023,1600703656,2863.80,477.30,2386.50,Glasdon Uk Ltd,Place Directorate,Materials
Salford City Council,02/02/2023,1600703730,40270.49,6711.75,33558.74,Helping Hands Minor Repairs Service,Capital Expenditure,Payments to Contractors - Improvements
Salford City Council,02/02/2023,6003645971,978.26,43.13,935.13,Higher Broughton Salford Pharmacy,Public Health,Payments to Agencies
Salford City Council,02/02/2023,1600703685,2191.20,365.20,1826.00,Ijm Electrical Contractors Ltd,Place Directorate,Contractors
Salford City Council,02/02/2023,1600703684,1886.40,314.40,1572.00,Ijm Electrical Contractors Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,02/02/2023,1600703689,1314.00,219.00,1095.00,Ijm Electrical Contractors Ltd,Place Directorate,UV Programmed Repairs
Salford City Council,02/02/2023,601482413,2756.00,0.00,2756.00,Inspiring Communities Together,Outside Hierarchy,Other Professional Fees
Salford City Council,02/02/2023,1600703721,560.88,93.48,467.40,J Fletcher Engineers Ltd,Place Directorate,UV Heating Repairs
Salford City Council,02/02/2023,1600703745,938.14,156.36,781.78,J Fletcher Engineers Ltd,Place Directorate,UV Heating Repairs
