GESTION;2017;;;;;;;;
TYPE BUDGET;Budget général;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2016;AEPLF; CPLF 2016; CPPLF
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Fonction pétrolière;130 370 755;130 990 575;130 370 755;130 990 575
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";2;Logistique et soutien interarmées / CICoS;63 908 625;38 918 689;63 908 625;38 918 689
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";3;Soutiens complémentaires;20 706 679;63 434;20 706 679;63 434
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";4;Service interarmées des munitions;78 580 513;81 241 988;78 580 513;81 241 988
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";5;Service du commissariat des armées;1 676 825 980;1 413 877 112;1 676 825 980;1 413 877 112
Défense;212;58;"Logistique et soutien interarmées - Personnel travaillant pour le programme ""Préparation et emploi des forces""";6;Fonction santé;1 139 595 318;774 079 081;1 139 595 318;774 079 081
Défense;212;59;"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";1;Surcoûts liés aux opérations extérieures;170 000 000;170 000 000;170 000 000;170 000 000
Défense;212;59;"Surcoûts liés aux opérations - Personnel travaillant pour le programme ""Préparation et emploi des forces""";2;Surcoûts liés aux opérations intérieures;26 000 000;41 000 000;26 000 000;41 000 000
Défense;212;61;Action sociale, chômage et pensions;1;Actions sociales et autres politiques des ressources humaines;173 679 526;173 757 736;173 679 526;173 757 736
Défense;212;61;Action sociale, chômage et pensions;2;Reconversion des personnels militaires - Chômage;122 118 812;128 784 691;122 118 812;128 784 691
Défense;212;61;Action sociale, chômage et pensions;3;Reconversion des personnels civils - Chômage;26 733 876;4 984 560;26 733 876;4 984 560
Défense;212;63;Restructurations - RH;1;Restructurations Personnels civils;48 242 110;53 080 756;48 242 110;53 080 756
Défense;212;63;Restructurations - RH;2;Restructurations Personnels militaires;105 862 520;61 161 465;105 862 520;61 161 465
Défense;212;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;1;Personnel du SGA employeur;322 544 912;309 167 772;322 544 912;309 167 772
Défense;212;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;7;Personnel de l'action sociale;79 772 398;58 885 934;79 772 398;58 885 934
Défense;212;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;8;Personnel de l'agence de reconversion de la Défense;47 567 259;48 073 267;47 567 259;48 073 267
Défense;212;66;Rayonnement et contribution extérieure;1;Pilotage, soutien et communication - effectifs sortants remboursés sous PMEA Mindef;0;0;0;0
Défense;212;66;Rayonnement et contribution extérieure;2;Pilotage, soutien et communication - effectifs sortants non remboursés sous PMEA Mindef;23 795 575;22 949 599;23 795 575;22 949 599
Défense;212;66;Rayonnement et contribution extérieure;3;Pilotage, soutien et communication - effectifs sortants remboursés hors PMEA Mindef;0;0;0;0
Défense;212;66;Rayonnement et contribution extérieure;4;Pilotage, soutien et communication - Présidence de la République;0;0;0;0
Défense;212;66;Rayonnement et contribution extérieure;5;Pilotage, soutien et communication -  Elèves des classes préparatoires des lycées de la défense;0;1 168 073;0;1 168 073
Défense;212;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;1;Sous-Direction des Bureau des Cabinets - Cabinet du Ministre de la Défense - Cabinet du Secrétaire d'Etat aux anciens combattants - Bureau des Officiers Généraux;37 036 458;39 320 386;37 036 458;39 320 386
Défense;212;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;2;Contrôle général des armées;18 878 785;17 580 169;18 878 785;17 580 169
Défense;212;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;3;Direction Générale des Systèmes d'Information et de Communication;5 064 100;6 776 371;5 064 100;6 776 371
Défense;212;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;4;Délégation à l'Information et la Communication de la Défense;12 410 772;10 748 967;12 410 772;10 748 967
Défense;212;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;5;Gendarmerie de la Sureté de l'Armement Nucléaire;3 852 291;4 584 238;3 852 291;4 584 238
Défense;212;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;6;Contrôle Budgétaire et Comptable Ministériel défense - Agence Comptable des Services Industriels de l'Armement;11 878 093;9 809 056;11 878 093;9 809 056
Défense;212;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;7;Direction de la Protection des Installations, moyens et activités de la Dissuasion;1 915 949;2 234 349;1 915 949;2 234 349
Engagements financiers de l'État;114;4;Développement international de l'économie française;1;Assurance-crédit;0;0;0;0
Engagements financiers de l'État;114;4;Développement international de l'économie française;2;Assurance-prospection;80 000 000;0;80 000 000;0
Engagements financiers de l'État;114;4;Développement international de l'économie française;3;Garantie de change;10 400 000;0;10 400 000;0
Engagements financiers de l'État;114;4;Développement international de l'économie française;4;Garantie du risque économique;200 000;0;200 000;0
Engagements financiers de l'État;114;4;Développement international de l'économie française;5;Garanties de taux d'intérêt Natixis;0;0;0;0
Engagements financiers de l'État;114;4;Développement international de l'économie française;6;Garantie du risque exportateur;12 000 000;0;12 000 000;0
Recherche et enseignement supérieur;190;10;Recherche dans le domaine de l'énergie;1;Commissariat à l'énergie atomique et aux énergies alternatives (CEA);493 137 265;490 136 265;493 137 265;490 136 265
Recherche et enseignement supérieur;190;10;Recherche dans le domaine de l'énergie;2;IFP Energies nouvelles (IFPEN);129 784 549;135 627 494;129 784 549;135 627 494
Recherche et enseignement supérieur;190;10;Recherche dans le domaine de l'énergie;3;Gestion des matières et déchets radioactifs : CNE - reprise des sources;467 781;467 781;467 781;467 781
Recherche et enseignement supérieur;190;11;Recherche dans le domaine des risques;1;Institut national de l'environnement industriel et des risques (INERIS);6 373 110;6 373 110;6 373 110;6 373 110
Recherche et enseignement supérieur;190;11;Recherche dans le domaine des risques;2;Institut de radioprotection et de sûreté nucléaire (IRSN);172 729 240;172 729 240;172 729 240;172 729 240
Recherche et enseignement supérieur;190;12;Recherche dans le domaine des transports, de la construction et de l'aménagement;1;Institut français des sciences et technologies des transports, de l’aménagement et des réseaux (IFSTTAR);86 204 995;86 184 495;86 204 995;86 184 495
Recherche et enseignement supérieur;190;12;Recherche dans le domaine des transports, de la construction et de l'aménagement;3;Centre scientifique et technique du bâtiment (CSTB);15 046 382;15 046 382;15 046 382;15 046 382
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;1;Agence nationale chargée de la sécurité sanitaire de l'alimentation, de l'environnement et du travail (ANSES);1 551 198;1 551 198;1 551 198;1 551 198
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;2;Agence de l'environnement et de la maîtrise de l'énergie (ADEME);0;0;0;0
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;4;Recherche en matière de transport (PREDIT);0;0;965 735;965 735
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;5;Construction (PREBAT, C2D2, RGCU);0;0;276 099;276 099
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;6;Urbanisme et territoire (PUCA, MUTS);0;0;1 120 134;1 120 134
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;7;Changement global (GMES, adaptation au changement climatique);0;0;753 671;753 671
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;8;Risque, santé, environnement;0;0;1 770 746;1 770 746
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;9;Biodiversité;0;0;698 847;698 847
Recherche et enseignement supérieur;190;13;Recherche partenariale dans le développement et l'aménagement durable;10;Innovation et prospective dans le domaine du développement et de l'aménagement durable;0;0;414 768;414 768
Recherche et enseignement supérieur;190;14;Recherche et développement dans le domaine de l'aéronautique civile;1;Recherches en amont;59 665 448;59 665 448;59 665 448;59 665 448
Recherche et enseignement supérieur;190;14;Recherche et développement dans le domaine de l'aéronautique civile;2;Subventions à des organismes de recherche;128 000;128 000;128 000;128 000
Recherche et enseignement supérieur;190;14;Recherche et développement dans le domaine de l'aéronautique civile;3;Equipementier;12 981 920;10 137 975;12 981 920;10 137 975
Recherche et enseignement supérieur;190;14;Recherche et développement dans le domaine de l'aéronautique civile;4;Avions;0;0;0;0
Recherche et enseignement supérieur;190;14;Recherche et développement dans le domaine de l'aéronautique civile;5;Moteurs;0;0;0;0
Recherche et enseignement supérieur;190;14;Recherche et développement dans le domaine de l'aéronautique civile;6;Hélicoptères;0;0;0;0
Remboursements et dégrèvements;200;11;Remboursements et restitutions liés à la mécanique de l'impôt;1;Impôts sur les sociétés;14 944 354 000;17 174 000 000;14 944 354 000;17 174 000 000
Remboursements et dégrèvements;200;11;Remboursements et restitutions liés à la mécanique de l'impôt;2;Taxe sur la valeur ajoutée;49 108 000 000;52 419 000 000;49 108 000 000;52 419 000 000
Remboursements et dégrèvements;200;11;Remboursements et restitutions liés à la mécanique de l'impôt;3;Plafonnement des impositions directes;0;0;0;0
Remboursements et dégrèvements;200;11;Remboursements et restitutions liés à la mécanique de l'impôt;4;Autres remboursements et dégrèvements liés à la mécanique de l’impôt;164 424 000;164 424 000;164 424 000;164 424 000
Remboursements et dégrèvements;200;12;Remboursements et dégrèvements liées à des politiques publiques;1;Prime pour l'emploi;55 000 000;0;55 000 000;0
Remboursements et dégrèvements;200;12;Remboursements et dégrèvements liées à des politiques publiques;2;Impôt sur le revenu;2 123 000 000;2 628 000 000;2 123 000 000;2 628 000 000
Remboursements et dégrèvements;200;12;Remboursements et dégrèvements liées à des politiques publiques;3;Impôt sur les sociétés;8 398 767 000;11 519 000 000;8 398 767 000;11 519 000 000
Remboursements et dégrèvements;200;12;Remboursements et dégrèvements liées à des politiques publiques;4;Taxe intérieure sur les produits pétroliers;755 000 000;1 119 852 000;755 000 000;1 119 852 000
Remboursements et dégrèvements;200;12;Remboursements et dégrèvements liées à des politiques publiques;5;Taxe intérieure de consommation sur le gaz naturel;3 000 000;3 000 000;3 000 000;3 000 000
