Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45383,2200021028,6180.66,Halls Electrical Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45383,2200020874,31059.38,Volvo Car Uk Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45385,2200020904,45253,Rygor Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45385,2200020905,45253,Rygor Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45385,2200020906,45253,Rygor Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45385,2200020907,45253,Rygor Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45385,2200020908,45253,Rygor Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45387,2200020936,21374.82,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45387,2200020937,21374.82,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45387,2200020940,24291.96,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45387,2200020941,21374.82,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45387,2200020942,21374.82,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45390,2200020953,27893.54,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021127,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021128,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021129,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021130,35644.92,Ford Motor Company Ltd
Hampshire & Isle of Wight Constabulary,Depreciation Vehicles,Purchase of Vehicles,45407,2200021131,35644.92,Ford Motor Company Ltd
