,,,,April 2023 £500 spend data,,,,
Payment Date,Transaction Number,Non Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
04/04/2023,858291,0,661.12,REDACTED PERSONAL DATA,1000046200,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858275,0,790,REDACTED PERSONAL DATA,1000046400,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858273,0,629.02,REDACTED PERSONAL DATA,1000047900,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858269,0,735.9,REDACTED PERSONAL DATA,1000049300,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858270,0,1944.28,REDACTED PERSONAL DATA,1000067800,Adoption Allowance,Children's Services,Children Social Care & Safegua
04/04/2023,858325,0,1672,REDACTED PERSONAL DATA,2000004000,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858350,0,1584,REDACTED PERSONAL DATA,2000005900,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858380,0,524.33,REDACTED PERSONAL DATA,2000006800,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858333,0,595.24,REDACTED PERSONAL DATA,2000007701,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858362,0,2376,REDACTED PERSONAL DATA,2000010300,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858377,0,792,REDACTED PERSONAL DATA,2000011800,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858369,0,643.2,REDACTED PERSONAL DATA,2000014100,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858375,0,2402.4,REDACTED PERSONAL DATA,2000014200,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858359,0,528,REDACTED PERSONAL DATA,2000015300,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858321,0,825,REDACTED PERSONAL DATA,2000016800,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858338,0,616,REDACTED PERSONAL DATA,2000017500,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858372,0,616,REDACTED PERSONAL DATA,2000017701,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858364,0,704,REDACTED PERSONAL DATA,2000019300,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858322,0,616,REDACTED PERSONAL DATA,2000020700,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858376,0,1210,REDACTED PERSONAL DATA,2000021200,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
04/04/2023,858336,0,1056,REDACTED PERSONAL DATA,2000021300,ChildwithDisabilityDirectPyts,Children's Services,Children Social Care & Safegua
