Body Name,Vendor Number,Vendor Name,Cost Centre,Service Label,BV Code,Amount,Period
Slough Borough Council,3137,Applegarth Care Home Ltd,M25C,Adult Social Care Operations,Supplies and Services,"3,200.00",Apr-23
Slough Borough Council,3350,Arbour Vale School,E610,Children & Families,Supplies and Services,"460,607.17",Apr-23
Slough Borough Council,2073,Arc Preschool,F909,Children & Families,Supplies and Services,"5,921.14",Apr-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"10,758.60",Apr-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"12,857.75",Apr-23
Slough Borough Council,831,Argos Business Solutions Ltd,H055,Finance & Commercial,Supplies and Services,"19,561.33",Apr-23
Slough Borough Council,1826,Arvato Public Sector Services Ltd,B007,Finance & Commercial,Supplies and Services,"-1,572.50",Apr-23
Slough Borough Council,1826,Arvato Public Sector Services Ltd,B007,Finance & Commercial,Supplies and Services,"-12,735.36",Apr-23
Slough Borough Council,1826,Arvato Public Sector Services Ltd,B007,Finance & Commercial,Supplies and Services,"-13,880.00",Apr-23
Slough Borough Council,1985,Ascentis,F210,Community,Supplies and Services,675.00,Apr-23
Slough Borough Council,420,Ashburn Estate Agents,H205,Housing (People) Services,Premises,"121,374.00",Apr-23
Slough Borough Council,3666,Assisted Living South West,M26E,Adult Social Care Operations,Supplies and Services,"5,105.00",Apr-23
Slough Borough Council,3666,Assisted Living South West,M26E,Adult Social Care Operations,Supplies and Services,"6,778.96",Apr-23
Slough Borough Council,570,Atkins Limited,P209,Capital,Capital Charges,"10,500.00",Apr-23
Slough Borough Council,570,Atkins Limited,P209,Capital,Capital Charges,"6,000.00",Apr-23
Slough Borough Council,3370,Baylis Court School,E610,Children & Families,Supplies and Services,"4,333.34",Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,502.00,Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,"2,594.00",Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,"1,806.00",Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,737.00,Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,"7,702.00",Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,"5,495.00",Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,"1,366.00",Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,"8,931.00",Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,685.00,Apr-23
Slough Borough Council,1681,Bcq,B246,Governance,Supplies and Services,864.00,Apr-23
Slough Borough Council,1681,Bcq,B240,Business Services,Supplies and Services,"1,253.00",Apr-23
Slough Borough Council,1681,Bcq,D610,Place Operations,Supplies and Services,"1,700.00",Apr-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"12,214.36",Apr-23
Slough Borough Council,3208,Be Happy Pre School,F909,Children & Families,Supplies and Services,"6,747.25",Apr-23
Slough Borough Council,805539,Beech Haven Ltd,M27C,Adult Social Care Operations,Supplies and Services,"3,277.14",Apr-23
Slough Borough Council,609,Beechwood Secondary School,E610,Children & Families,Supplies and Services,"6,125.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M15D,Adult Social Care Operations,Supplies and Services,"6,400.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M15D,Adult Social Care Operations,Supplies and Services,"6,400.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M15D,Adult Social Care Operations,Supplies and Services,"6,400.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M15D,Adult Social Care Operations,Supplies and Services,"6,400.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M18C,Adult Social Care Operations,Supplies and Services,"5,800.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M18C,Adult Social Care Operations,Supplies and Services,"3,107.14",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M18C,Adult Social Care Operations,Supplies and Services,"-5,800.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M18C,Adult Social Care Operations,Supplies and Services,"-3,107.14",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M18C,Adult Social Care Operations,Supplies and Services,"-5,800.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M18C,Adult Social Care Operations,Supplies and Services,"5,800.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M27C,Adult Social Care Operations,Supplies and Services,"5,600.00",Apr-23
Slough Borough Council,804588,BEN Motor & Allied Trades Bev.Fnd,M27C,Adult Social Care Operations,Supplies and Services,"5,600.00",Apr-23
Slough Borough Council,808148,BEST CHOICE CARE LTD,M45C,Adult Social Care Operations,Supplies and Services,612.64,Apr-23
Slough Borough Council,1736,Bevan Brittan Llp,P242,Capital,Capital Charges,"25,054.00",Apr-23
Slough Borough Council,803828,Blue Willow Day Nursery Ltd,F909,Children & Families,Supplies and Services,"27,353.32",Apr-23
Slough Borough Council,971,Bournemouth University,A07M,Mental Health Services,Supplies and Services,"5,000.00",Apr-23
Slough Borough Council,805160,Bouygues E&S FM UK Limited,K521,Business Services,Premises,"4,799.81",Apr-23
Slough Borough Council,2856,Brain Injury Rehabilitation Trust,M26E,Adult Social Care Operations,Supplies and Services,"5,949.16",Apr-23
Slough Borough Council,805179,Braywood Tree Surgery Ltd,P220,Capital,Capital Charges,"1,056.72",Apr-23
Slough Borough Council,805179,Braywood Tree Surgery Ltd,P220,Capital,Capital Charges,"1,056.72",Apr-23
Slough Borough Council,805817,Bright World Nurseries,F909,Children & Families,Supplies and Services,"10,772.90",Apr-23
Slough Borough Council,617,British Telecommunications,K089,Place Regulation,Supplies and Services,"1,933.93",Apr-23
Slough Borough Council,504,Britwell Baptist Pre School,F909,Children & Families,Supplies and Services,"5,319.74",Apr-23
Slough Borough Council,741,Bunnies Pre-School,F909,Children & Families,Supplies and Services,"6,510.92",Apr-23
Slough Borough Council,804448,Bupa Care Homes (ANS) Ltd,M15D,Adult Social Care Operations,Supplies and Services,"5,821.18",Apr-23
Slough Borough Council,804448,Bupa Care Homes (ANS) Ltd,M26E,Adult Social Care Operations,Supplies and Services,"7,528.57",Apr-23
Slough Borough Council,629,C.H.O.I.C.E Limited,M26E,Adult Social Care Operations,Supplies and Services,"9,499.59",Apr-23
Slough Borough Council,629,C.H.O.I.C.E Limited,M26E,Adult Social Care Operations,Supplies and Services,"12,502.24",Apr-23
Slough Borough Council,629,C.H.O.I.C.E Limited,M42E,Adult Social Care Operations,Supplies and Services,"4,030.43",Apr-23
Slough Borough Council,629,C.H.O.I.C.E Limited,M44F,Adult Social Care Operations,Supplies and Services,"2,764.53",Apr-23
Slough Borough Council,806459,Cambridgeshire County Council,F123,Education & Inclusion,Supplies and Services,759.61,Apr-23
Slough Borough Council,806459,Cambridgeshire County Council,F123,Education & Inclusion,Supplies and Services,661.50,Apr-23
Slough Borough Council,808007,Cameron & Cooper Limited (The Beech House School),F462,Children & Families,Supplies and Services,"2,420.98",Apr-23
Slough Borough Council,807068,Capita Business Services Limited,H015,Finance & Commercial,Supplies and Services,"237,935.58",Apr-23
