DCC Transparency Report Supplier Payment over ï¿½500,,,,,,,,,,,,,
,,,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,,Purpose of Spend,Procurement Classification,Selection Code 3 Description,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5284,591.36,East Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5285,873.76,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5286,"3,842.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5287,"1,292.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5288,"1,320.30",Preparing for Adulthood Sensory Support - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5289,"2,934.00",Preparing for Adulthood Sensory Support - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5290,"9,291.00",Preparing for Adulthood Sensory Support - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5291,"3,374.10",Ordinary Lives Sensory Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5292,"11,247.00",Ordinary Lives Sensory Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5293,733.5,Preparing for Adulthood Sensory Support - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5294,"2,445.00",Preparing for Adulthood Sensory Support - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5295,"13,692.00",Ordinary Lives Sensory Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5296,"4,107.60",Ordinary Lives Sensory Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5297,"1,627.10",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5298,770,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,LAM SERVICES LIMITED,18/04/2023,857,5299,"4,255.68",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5304,710.4,Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5306,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5308,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5310,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5312,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5314,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5316,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5318,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5320,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5322,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5324,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5326,"1,369.92",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5328,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5329,"1,420.10",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5331,"1,420.80",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,VOYAGE LTD,18/04/2023,377,5332,"1,420.10",Central/East MH LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,18/04/2023,1142,5334,795.32,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,18/04/2023,1142,5335,"2,354.38",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,18/04/2023,1142,5338,795.32,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,18/04/2023,1142,5339,"2,354.38",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,18/04/2023,1142,5342,795.32,Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,COMMUNITY LINKS SUPPORT LTD,18/04/2023,1142,5343,"2,354.38",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5355,946.8,Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5356,946.8,Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5357,"1,004.56",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5358,"1,032.70",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,DERBYSHIRE CARE SERVICES,18/04/2023,362,5364,719.81,West OP (over 65) Memory - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5370,666.33,West OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5377,524.16,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5384,785.96,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5385,720.32,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5386,720.32,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5389,834.91,Central Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5390,834.91,Central Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5391,540.9,Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5392,540.9,Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,DERBYSHIRE CARE SERVICES,18/04/2023,362,5393,715.99,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CARING LINKS LTD,18/04/2023,713,5406,916.32,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CARING LINKS LTD,18/04/2023,713,5407,512.96,East Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5417,873.76,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5419,941.12,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5420,941.12,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5425,964.44,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5426,964.44,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5429,659.84,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5431,941.12,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5432,941.12,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5434,620.12,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5435,"1,417.28",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5436,"1,417.28",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5437,"4,495.68",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5440,"1,521.60",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5441,"1,521.60",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5443,659.84,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5445,640,East Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5447,"1,417.28",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5448,"1,417.28",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5449,"4,495.68",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5452,"1,521.60",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5453,"1,521.60",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5454,605.32,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5456,659.84,East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5457,640,East Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,QUALITY CARE SERVICES,18/04/2023,360,5458,606.24,East OP (under 65) Mental Health - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5459,"1,397.12",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5460,"1,397.12",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5461,"4,495.68",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5464,"1,521.60",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5465,"1,521.60",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5466,640,East Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5467,"1,521.60",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5468,"1,521.60",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY CARE SERVICES,18/04/2023,360,5469,"4,495.68",East OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CRT CARE SERVICES,18/04/2023,1083,5470,913.58,Central OP (over 65) LD - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,QUALITY HOME CARE UK LTD,18/04/2023,437,5476,630,South OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5481,558.8,West OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CRT CARE SERVICES,18/04/2023,1083,5482,660.96,Central Adults (under 65) LD - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5483,668.96,Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,CRT CARE SERVICES,18/04/2023,1083,5485,"1,015.44",Central OP (over 65) Mental Health - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,CRT CARE SERVICES,18/04/2023,1083,5486,566.08,West Adults (under 65) Sensory - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,CRT CARE SERVICES,18/04/2023,1083,5490,574.8,Central OP (over 65) Sensory - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CRT CARE SERVICES,18/04/2023,1083,5491,"1,011.26",Central OP (over 65) LD - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5492,"1,710.30",Central Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5493,"1,829.34",Central Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CRT CARE SERVICES,18/04/2023,1083,5494,547.6,Central OP (over 65) LD - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,CRT CARE SERVICES,18/04/2023,1083,5495,"1,011.52",Central OP (over 65) Mental Health - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,CRT CARE SERVICES,18/04/2023,1083,5496,558.8,Central OP (over 65) Mental Health - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5498,531.7,Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5499,558.8,Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5500,619.92,Central Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5501,619.92,Central Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,CRT CARE SERVICES,18/04/2023,1083,5502,"1,243.76",Central Adults (under 65) LD - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5513,550.8,Central Adults (under 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5515,"1,219.76",Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,CRT CARE SERVICES,18/04/2023,1083,5516,"1,219.76",Central OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5517,"2,685.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5519,"2,769.48",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5520,"5,966.24",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5523,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5524,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5528,"3,092.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5529,"1,436.40",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5532,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5533,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5536,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5537,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5540,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5541,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5544,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5545,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5548,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5549,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5552,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5553,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5556,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5557,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5560,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5561,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5564,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5565,"2,872.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,VOYAGE LTD,18/04/2023,377,5568,"6,185.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,SME,,
