,,,,,,,,,,
Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement category name
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,SECAPLUS LIMITED T/A SECCARE+,06/12/2024,12076005,"1,500.80",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,SPDNS NURSE CARE CIC.,06/12/2024,12076005,"9,993.67",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1108,SPDNS NURSE CARE CIC.,06/12/2024,12076005,"1,740.94",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,SPDNS NURSE CARE CIC.,06/12/2024,12076005,"1,299.32",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,SPDNS NURSE CARE CIC.,06/12/2024,12076005,"9,513.24",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1108,SPDNS NURSE CARE CIC.,06/12/2024,12076005,"1,772.43",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,SPDNS NURSE CARE CIC.,06/12/2024,12076005,"1,311.24",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3310,ST ANDREWS C OF E PRIMARY SCHOOL,06/12/2024,12076005,535.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3310,ST ANDREWS C OF E PRIMARY SCHOOL,06/12/2024,12076005,535.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,STRESS FREE EXECUTIVES LTD T/A YOWSUN CARE,06/12/2024,12076005,"1,074.06",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,SYDNEY CARE LTD,06/12/2024,12076005,"6,642.86",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3310,TENTERDEN SCHOOLS TRUST,06/12/2024,12076005,600.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3310,THE CHELSEA ACADEMY (A SCIENCE ACADEMY),06/12/2024,12076005,600.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3091,THE KING EDMUND SCHOOL,06/12/2024,12076005,"15,093.08",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3091,THE KING EDMUND SCHOOL,06/12/2024,12076005,616.92,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3091,THE NATIONAL TEACHING ADVISORY SERVICE,06/12/2024,12076005,"3,283.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,THE NATIONAL TEACHING ADVISORY SERVICE,06/12/2024,12076005,"1,541.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,THE NATIONAL TEACHING ADVISORY SERVICE,06/12/2024,12076005,"3,819.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,THE NATIONAL TEACHING ADVISORY SERVICE,06/12/2024,12076005,"3,819.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,THE NATIONAL TEACHING ADVISORY SERVICE,06/12/2024,12076005,"1,809.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,THE NATIONAL TEACHING ADVISORY SERVICE,06/12/2024,12076005,"2,412.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,THE NATIONAL TEACHING ADVISORY SERVICE,06/12/2024,12076005,"2,579.50",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,THE NATIONAL TEACHING ADVISORY SERVICE,06/12/2024,12076005,"1,922.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3310,THE SANDON SCHOOL ACADEMY TRUST,06/12/2024,12076005,600.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3310,THE SIGMA TRUST,06/12/2024,12076005,600.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3090,THE ST. CHRISTOPHER SCHOOL ACADEMY TRUST,06/12/2024,12076005,"3,696.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3091,THE SWEYNE PARK SCHOOL,06/12/2024,12076005,"40,415.64",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural and Related Services,7505,TLM MANAGEMENT LTD,06/12/2024,12076005,900.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3310,TRANSITIONAL CARE LTD T/A TCES,06/12/2024,12076005,600.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,TRIX MEDCARE LTD,06/12/2024,12076005,"10,222.09",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,TRIX MEDCARE LTD,06/12/2024,12076005,"3,444.97",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1100,VIBRANCE CLIENT ACCOUNT,06/12/2024,12076005,"3,448.50",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,VOLSEC LTD T/A VOLSEC HEALTHCARE,06/12/2024,12076005,"7,540.64",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,VOLSEC LTD T/A VOLSEC HEALTHCARE,06/12/2024,12076005,"1,590.31",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4030,WUFFA SAXON AND VIKING RE-ENACTMENT SOCIETY,06/12/2024,12076005,500.00,Cultural And Entertainment Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,(G) MARLBOROUGH SURFACING LIMITED,10/12/2024,12076006,"2,600.54",Contractors General,Contractors General
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4045,(G) MILLANE CONTRACT SERVICES LTD,10/12/2024,12076006,"3,300.00",Repairs And Maintenance Contracts,"Repairs, alterations and maintenance of buildings"
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,ADVANCE HOUSING AND SUPPORT LTD T/A ADVANCE,10/12/2024,12076006,987.36,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,AFFINITY FOSTERING SERVICES LTD,10/12/2024,12076006,"3,556.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,AFFINITY FOSTERING SERVICES LTD,10/12/2024,12076006,675.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,AFFINITY FOSTERING SERVICES LTD,10/12/2024,12076006,935.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,720.77,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,8608,ALLPAY . NET LIMITED,10/12/2024,12076006,"7,552.38",Services Fees And Charges,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,2156,ALLPAY . NET LIMITED,10/12/2024,12076006,825.28,Financial Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,2156,ALLPAY . NET LIMITED,10/12/2024,12076006,863.60,Financial Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4055,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,422.00",Professional Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,10/12/2024,12076006,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,751.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,698.95,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,10/12/2024,12076006,"1,252.86",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,10/12/2024,12076006,"45,882.45",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1108,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,10/12/2024,12076006,573.37,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,10/12/2024,12076006,"3,081.67",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1310,ASHLEY COMMUNITY CARE SERVICES LTD T/A ASHLEY CARE,10/12/2024,12076006,523.36,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,484.88",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,556.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,243.52",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,503.64",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,503.64",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,345.44",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,979.92",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,345.44",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,702.72",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,503.64",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"4,098.08",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,088.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,ASPIRATIONS FOSTERING LIMITED,10/12/2024,12076006,"3,556.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,AVANCE LTD,10/12/2024,12076006,"3,542.86",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3011,AVENUE PLAYGROUP,10/12/2024,12076006,703.50,Child Minding,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,BENARISHOMEUK LTD,10/12/2024,12076006,642.60,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"13,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"13,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"13,400.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"5,635.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"5,635.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"5,635.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"5,635.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"4,427.50",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,BENECARE LIMITED,10/12/2024,12076006,"1,610.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,CAMBIAN CHILDCARE LIMITED,10/12/2024,12076006,"27,457.14",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,CAMBIAN CHILDCARE LIMITED,10/12/2024,12076006,"57,640.07",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,CANARY HOUSE CARE LIMITED,10/12/2024,12076006,"1,600.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,CANARY HOUSE CARE LIMITED,10/12/2024,12076006,750.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,CANARY HOUSE CARE LIMITED,10/12/2024,12076006,"2,195.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,CANARY HOUSE CARE LIMITED,10/12/2024,12076006,"1,400.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3791,CANARY HOUSE CARE LIMITED,10/12/2024,12076006,800.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,932.00,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,CENTRECHILD HOUSE LTD,10/12/2024,12076006,"5,507.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1266,REDACTED PERSONAL DATA,10/12/2024,12076006,"1,230.59",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,CHERRY CARE CHILDREN'S HOME LTD,10/12/2024,12076006,"13,561.85",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,CHERRY CARE CHILDREN'S HOME LTD,10/12/2024,12076006,"14,029.50",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,CHERRY CARE CHILDREN'S HOME LTD,10/12/2024,12076006,"28,059.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,CHOICES HEALTHCARE LTD,10/12/2024,12076006,"1,355.76",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,851.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,ELLIOT LEIGH PROPERTY MANAGEMENT LTD,10/12/2024,12076006,"11,253.00",Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,10/12/2024,12076006,751.24,Foster Carer Allowance,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,ERBIL GULHAN T/A PALM2PALM CARE AND REABLEMENT SERVICES,10/12/2024,12076006,"5,903.31",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,ERBIL GULHAN T/A PALM2PALM CARE AND REABLEMENT SERVICES,10/12/2024,12076006,907.82,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,ESSEX SALES AND LETTINGS LTD,10/12/2024,12076006,900.00,Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,ESSEX SALES AND LETTINGS LTD,10/12/2024,12076006,"1,330.00",Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3183,EVERYTHING BRANDED LTD,10/12/2024,12076006,693.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3011,FAIRWAYS PRE SCHOOL PLAYGROUP,10/12/2024,12076006,"3,412.50",Child Minding,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,FAMILY FIRST FOSTERING LTD,10/12/2024,12076006,"8,142.86",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,189.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,615.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,755.84",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"5,079.20",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,755.84",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"5,079.20",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,615.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,615.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,615.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,615.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,189.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,189.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,189.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,189.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,755.84",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,755.84",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,755.84",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"5,483.40",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"5,079.20",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"5,483.40",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,755.84",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"4,189.96",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1294,FORGET ME NOT CARING LTD,10/12/2024,12076006,"6,119.88",Private Contractors,Other Agencies
